Scenario File,Current Balance,Mean #UTXO,Current #UTXO,#Deposits,#Inputs Spent,#Withdraws,#Uneconomical outputs spent,#Change Created,#Changeless,Min Change Value,Max Change Value,Mean Change Value,Std. Dev. of Change Value,Total Fees,Mean Fees per Withdraw,Cost to Empty (10 sat/vB),Total Cost,Min Input Size,Max Input Size,Mean Input Size,Std. Dev. of Input Size,Usage
bustabit-tiny-hot-wallet_peak-and-tail,0E-8,0,0,0,0,0,0,0,Total: **0**,0,0,0,0,0,0,0E-66,0E-66,0,0,0,0,
bustabit-tiny-hot-wallet_peak-and-tail,15.19432212,26.3840000000,22,267,445,233,1,200,bnb: **31** ; knapsack: **2** ; Total: **33**,0.00000334,4.99664529,0.42694659345,1.19716319003,0.00453755,0.0000194744635193,0.000149600000,0.004687150000,1,12,1.90987124464,1.80170811691,knapsack: **134** ; srd: **68** ; bnb: **31**
bustabit-tiny-hot-wallet_peak-and-tail,23.92732757,31.6800000000,46,594,885,406,1,337,bnb: **65** ; knapsack: **4** ; Total: **69**,0.00000334,4.99664529,0.355023284629,1.04248079772,0.00799660,0.0000196960591133,0.000312800000,0.008309400000,1,18,2.17980295567,2.32000126875,knapsack: **235** ; srd: **106** ; bnb: **65**
bustabit-tiny-hot-wallet_peak-and-tail,27.28331088,43.6586666667,104,961,1294,539,2,437,bnb: **97** ; knapsack: **5** ; Total: **102**,0.00000334,4.99664529,0.338638859314,0.982228882297,0.01129412,0.0000209538404453,0.000707200000,0.012001320000,1,18,2.40074211503,2.64906510238,knapsack: **286** ; srd: **156** ; bnb: **97**
bustabit-tiny-hot-wallet_peak-and-tail,19.66774261,49.0285000000,36,1316,1824,684,4,544,bnb: **133** ; knapsack: **7** ; Total: **140**,0.00000334,9.05921332,0.324611353732,1.03802286380,0.01408154,0.0000205870467836,0.000244800000,0.014326340000,1,35,2.66666666667,3.18764084752,knapsack: **366** ; srd: **185** ; bnb: **133**
bustabit-tiny-hot-wallet_peak-and-tail,26.29770493,48.6808000000,63,1682,2265,818,4,646,bnb: **163** ; knapsack: **9** ; Total: **172**,0.00000334,9.05921332,0.286461831207,0.961906385622,0.01665610,0.0000203619804401,0.000428400000,0.017084500000,1,35,2.76894865526,3.35995047463,knapsack: **438** ; srd: **217** ; bnb: **163**
bustabit-tiny-hot-wallet_peak-and-tail,18.38190088,48.4223333333,42,2008,2750,992,4,784,bnb: **198** ; knapsack: **10** ; Total: **208**,0.00000317,9.05921332,0.294363714936,0.968980702096,0.02090659,0.0000210751915323,0.000285600000,0.021192190000,1,35,2.77217741935,3.29273304642,knapsack: **523** ; srd: **271** ; bnb: **198**
bustabit-tiny-hot-wallet_peak-and-tail,26.40550107,51.1640000000,75,2415,3194,1085,4,854,bnb: **221** ; knapsack: **10** ; Total: **231**,0.00000317,9.05921332,0.288482512904,0.943227462170,0.02288947,0.0000210962857143,0.000510000000,0.023399470000,1,43,2.94377880184,3.71314242481,knapsack: **563** ; srd: **301** ; bnb: **221**
bustabit-tiny-hot-wallet_peak-and-tail,23.47324488,53.8545000000,53,2818,3684,1182,4,919,bnb: **253** ; knapsack: **10** ; Total: **263**,0.00000317,9.05921332,0.274662104853,0.912788637383,0.02574099,0.0000217774873096,0.000360400000,0.026101390000,1,43,3.11675126904,3.99257230825,knapsack: **613** ; srd: **316** ; bnb: **253**
bustabit-tiny-hot-wallet_peak-and-tail,15.35683991,54.2955555556,24,3213,4187,1287,4,998,bnb: **274** ; knapsack: **15** ; Total: **289**,0.00000317,9.05921332,0.267402946022,0.881090918443,0.02932403,0.0000227847940948,0.000163200000,0.029487230000,1,43,3.25330225330,4.24808285965,knapsack: **667** ; srd: **346** ; bnb: **274**
bustabit-tiny-hot-wallet_peak-and-tail,15.78095424,53.1386000000,24,3571,4663,1429,4,1116,bnb: **297** ; knapsack: **16** ; Total: **313**,0.00000317,9.05921332,0.257159831523,0.839420024267,0.03208227,0.0000224508537439,0.000163200000,0.032245470000,1,43,3.26312106368,4.21623732716,knapsack: **753** ; srd: **379** ; bnb: **297**
