id,amount,fees,target_feerate,real_feerate,algo,num_inputs,negative_ev,num_outputs,change_amount,before_num_utxos,after_num_utxos,waste
0,0.00310000,0.00007253,0.00051435,0.000514397163121,knapsack,1,0,2,0.00011747,22,22,5433
1,0.00010100,0.00006530,0.00046306,0.000463120567376,srd,1,0,2,0.00312770,22,22,4925
2,0.00329400,0.00006071,0.00043052,0.000430567375887,srd,1,0,2,2.99664529,22,22,4603
3,0.00410100,0.00006476,0.00045929,0.000459290780142,knapsack,1,0,2,0.00066424,22,22,4888
4,0.00329000,0.00003628,0.00025725,0.000257304964539,srd,1,0,2,0.99667372,22,22,2888
5,0.00319400,0.00001690,0.00011981,0.000119858156028,srd,1,0,2,0.00473410,22,22,1527
6,0.00040100,0.00002415,0.00017125,0.000171276595745,knapsack,1,0,2,0.00023909,22,22,2036
7,0.00262000,0.00002932,0.00020791,0.000207943262411,knapsack,1,0,2,0.00047838,22,22,2399
8,0.00100000,0.00002720,0.00019288,0.000192907801418,srd,1,0,2,0.00228680,22,22,2250
9,0.00650000,0.00002657,0.00018838,0.000188439716312,srd,1,0,2,4.99347343,23,23,2205
10,0.00014000,0.00001517,0.00010753,0.000107588652482,knapsack,1,0,2,0.00008392,23,23,1406
11,0.00310000,0.00003125,0.00007917,0.0000820209973753,bnb,5,0,1,,30,25,1092
12,0.00010100,0.00002683,0.00019026,0.000190283687943,knapsack,1,0,2,0.00002077,26,26,2224
13,0.00113200,0.00002890,0.00020493,0.000204964539007,knapsack,1,0,2,0.00212910,26,26,2370
14,0.00010200,0.00001863,0.00013210,0.000132127659574,knapsack,1,0,2,0.00037937,26,26,1649
15,0.00400000,0.00004813,0.00034131,0.000341347517730,srd,1,0,2,0.00595187,32,32,3720
16,0.00100000,0.00003200,0.00028435,0.000290909090909,bnb,1,0,1,,32,31,1665
17,0.00300000,0.00007157,0.00050756,0.000507588652482,srd,1,0,2,1.99692843,33,33,5366
18,0.00665800,0.00009979,0.00047972,0.000479759615385,srd,2,0,2,0.00214221,33,32,8014
19,0.00110000,0.00008313,0.00058951,0.000589574468085,srd,1,0,2,0.00211087,32,32,6177
20,0.00090000,0.00010000,0.00066830,0.000909090909091,bnb,1,0,1,,32,31,6853
21,0.00110000,0.00008264,0.00058609,0.000586099290780,srd,1,0,2,0.00092823,31,31,6143
22,0.00209300,0.00003610,0.00032686,0.000328181818182,bnb,1,0,1,,31,30,1897
23,0.00332600,0.00003287,0.00023312,0.000233120567376,srd,1,0,2,0.02164113,30,30,2649
24,0.00424600,0.00003531,0.00016975,0.000169759615385,srd,2,0,2,0.00681869,30,29,2837
25,0.00333000,0.00002478,0.00017571,0.000175744680851,srd,1,0,2,0.00346391,29,29,2080
26,0.00200000,0.00002272,0.00016108,0.000161134751773,srd,1,0,2,1.99490571,29,29,1936
27,0.00337500,0.00002292,0.00010801,0.000129491525424,bnb,2,0,1,,29,27,1158
28,0.00300000,0.00001400,0.00009927,0.0000992907801418,srd,1,0,2,0.00638600,27,27,1324
29,0.00294600,0.00002136,0.00005283,0.0000682428115016,bnb,4,0,1,,27,23,554
30,0.00332500,0.00001651,0.00011709,0.000117092198582,srd,1,0,2,0.00645849,24,24,1500
31,0.00332500,0.00001635,0.00011591,0.000115957446809,srd,1,0,2,4.99013208,24,24,1489
32,0.00330000,0.00001477,0.00006361,0.0000834463276836,bnb,2,0,1,,24,22,529
33,0.00336300,0.00001111,0.00007874,0.0000787943262411,srd,1,0,2,0.00135999,22,22,1121
34,0.00333400,0.00001410,0.00002942,0.0000294363256785,knapsack,6,1,2,0.00002352,25,20,-62
35,0.00030000,0.00000575,0.00004071,0.0000407801418440,knapsack,1,0,2,0.00183646,20,20,744
36,0.00300100,0.00000449,0.00003180,0.0000318439716312,knapsack,1,0,2,0.00028851,20,20,656
37,0.00332900,0.00000408,0.00002890,0.0000289361702128,knapsack,1,0,2,0.00013083,21,21,627
38,0.00332700,0.00000661,0.00002392,0.0000239492753623,knapsack,3,0,2,0.00008573,21,19,224
39,0.00332700,0.00000479,0.00002302,0.0000230288461538,knapsack,2,0,2,0.00004994,19,18,386
40,0.00322700,0.00001062,0.00003845,0.0000384782608696,srd,3,0,2,2.99348113,18,16,566
41,0.00332000,0.00000575,0.00004075,0.0000407801418440,knapsack,1,0,2,0.00262612,16,16,741
42,0.00198400,0.00000678,0.00003259,0.0000325961538462,knapsack,2,0,2,0.00004568,17,16,546
43,0.00322000,0.00000413,0.00002925,0.0000292907801418,knapsack,1,0,2,0.00316187,16,16,630
44,0.00505500,0.00000542,0.00002602,0.0000260576923077,knapsack,2,0,2,0.00072757,18,17,431
45,0.00105000,0.00000654,0.00004637,0.0000463829787234,knapsack,1,0,2,0.00194346,18,18,796
46,0.00020000,0.00000525,0.00003719,0.0000372340425532,knapsack,1,0,2,0.00052232,18,18,705
47,0.00086900,0.00000448,0.00003177,0.0000317730496454,knapsack,1,0,2,0.00106998,18,18,652
48,0.00020400,0.00000324,0.00002292,0.0000229787234043,knapsack,1,0,2,0.00031508,19,19,564
49,0.00322600,0.00000443,0.00003136,0.0000314184397163,knapsack,1,0,2,0.00322806,19,19,648
50,0.00334300,0.00000798,0.00002891,0.0000289130434783,knapsack,3,0,2,0.00003276,19,17,224
51,0.00668000,0.00000689,0.00003311,0.000033125000,srd,2,0,2,0.00903587,17,16,438
52,0.00332500,0.00000497,0.00003523,0.0000352482269504,knapsack,1,0,2,0.00570590,16,16,686
53,0.00332500,0.00001114,0.00007896,0.0000790070921986,knapsack,1,0,2,0.00236976,16,16,1118
54,0.00332500,0.00000678,0.00003255,0.0000325961538462,knapsack,2,0,2,0.00010796,16,15,541
55,0.00332500,0.00000362,0.00002561,0.0000256737588652,knapsack,1,0,2,0.00667138,15,15,478
56,0.00300000,0.00000413,0.00002929,0.0000292907801418,knapsack,1,0,2,0.00366725,15,15,514
57,0.00332700,0.00000394,0.00002793,0.0000279432624113,knapsack,1,0,2,0.00033631,15,15,500
58,0.00332500,0.00000723,0.00003473,0.0000347596153846,srd,2,0,2,0.03236201,15,14,465
59,0.00300000,0.00000443,0.00003138,0.0000314184397163,knapsack,1,0,2,0.00699557,14,14,535
60,0.00332700,0.00000603,0.00004272,0.0000427659574468,knapsack,1,0,2,0.00366254,14,14,647
61,0.00332700,0.00000463,0.00003282,0.0000328368794326,knapsack,1,0,2,0.00033091,14,14,549
62,0.00332800,0.00000542,0.00003837,0.0000384397163121,knapsack,1,0,2,0.00966658,14,14,603
63,0.00332900,0.00000395,0.00002798,0.0000280141843972,knapsack,1,0,2,0.00633363,14,14,501
64,0.00333000,0.00000827,0.00003974,0.0000397596153846,srd,2,0,2,0.01863377,14,13,549
65,0.00332500,0.00000502,0.00003559,0.0000356028368794,knapsack,1,0,2,0.00300361,13,13,214
66,0.00332500,0.00000547,0.00002628,0.0000262980769231,knapsack,2,0,2,0.00001974,13,12,-25
67,0.00333500,0.00000626,0.00003005,0.0000300961538462,srd,2,0,2,4.98755982,12,11,24
68,0.00332500,0.00000412,0.00002921,0.0000292198581560,knapsack,1,0,2,0.01237088,11,11,151
69,0.00332500,0.00000352,0.00002495,0.0000249645390071,knapsack,1,0,2,0.00904236,11,11,109
70,0.00300000,0.00000383,0.00002712,0.0000271631205674,knapsack,1,0,2,0.00603853,11,11,131
71,0.00321200,0.00000579,0.00004100,0.0000410638297872,knapsack,1,0,2,0.00282074,11,11,268
72,0.00200000,0.00001028,0.00007284,0.0000729078014184,knapsack,1,0,2,0.00081046,12,12,583
73,0.00320000,0.00000955,0.00006768,0.0000677304964539,knapsack,1,0,2,0.01542422,12,12,546
74,0.00332500,0.00000577,0.00004091,0.0000409219858156,knapsack,1,0,2,0.01209345,12,12,281
75,0.00330000,0.00000442,0.00003128,0.0000313475177305,knapsack,1,0,2,0.00878903,12,12,185
76,0.00339300,0.00000534,0.00003786,0.0000378723404255,knapsack,1,0,2,0.00539069,12,12,251
