id,input_amounts
0,['0.00329000']
1,['0.00329400']
2,['3.00000000']
3,['0.00483000']
4,['1.00000000']
5,['0.00794500']
6,['0.00066424']
7,['0.00312770']
8,['0.00331400']
9,['5.00000000']
10,['0.00023909']
11,"['0.00228680', '0.00010000', '0.00011747', '0.00014860', '0.00047838']"
12,['0.00014860']
13,['0.00329000']
14,['0.00050000']
15,['0.01000000']
16,['0.00103200']
17,['2.00000000']
18,"['0.00500000', '0.00390000']"
19,['0.00329400']
20,['0.00100000']
21,['0.00211087']
22,['0.00212910']
23,['0.02500000']
24,"['0.00100000', '0.01010000']"
25,['0.00681869']
26,['1.99692843']
27,"['0.00008392', '0.00331400']"
28,['0.00940000']
29,"['0.00109000', '0.00092823', '0.00056976', '0.00037937']"
30,['0.00980000']
31,['4.99347343']
32,"['0.00002077', '0.00329400']"
33,['0.00473410']
34,"['0.00100000', '0.00010863', '0.00000200', '0.00135999', '0.00000100', '0.00090000']"
35,['0.00214221']
36,['0.00329400']
37,['0.00346391']
38,"['0.00028851', '0.00013083', '0.00300000']"
39,"['0.00008573', '0.00329600']"
40,"['0.00004994', '2.99664529', '0.00002352']"
41,['0.00595187']
42,"['0.00183646', '0.00020000']"
43,['0.00638600']
44,"['0.00262612', '0.00316187']"
45,['0.00300000']
46,['0.00072757']
47,['0.00194346']
48,['0.00052232']
49,['0.00645849']
50,"['0.00322806', '0.00011000', '0.00004568']"
51,"['0.00003276', '0.01569000']"
52,['0.00903587']
53,['0.00570590']
54,"['0.00106998', '0.00236976']"
55,['0.01000000']
56,['0.00667138']
57,['0.00366725']
58,"['0.03535793', '0.00033631']"
59,['0.01000000']
60,['0.00699557']
61,['0.00366254']
62,['0.01300000']
63,['0.00966658']
64,"['0.02164113', '0.00033091']"
65,['0.00633363']
66,"['0.00300361', '0.00034660']"
67,"['0.00076900', '4.99013208']"
68,['0.01570000']
69,['0.01237088']
70,['0.00904236']
71,['0.00603853']
72,['0.00282074']
73,['0.01863377']
74,['0.01542422']
75,['0.01209345']
76,['0.00878903']
77,['0.00539069']
78,"['0.00205715', '0.00031508', '0.00100000']"
79,['0.03236201']
80,['0.02902787']
81,"['0.00001811', '1.99490571']"
82,['0.02569343']
83,['0.02235570']
84,['0.00910000']
85,['0.00576575']
86,"['0.01902059', '0.00275830']"
87,"['0.00129344', '0.00081046']"
88,['0.01714000']
89,['0.01448214']
90,['0.01114464']
91,['0.99667372']
92,['0.00781371']
93,"['0.00010796', '0.98167009']"
94,['0.00681048']
95,['0.00480277']
96,['0.00279814']
97,['1.98558953']
98,"['0.01490000', '0.00037652']"
99,['4.00000000']
100,['0.01780000']
101,"['0.00078760', '0.97177289']"
102,"['0.00100000', '0.00001974', '0.00100000']"
103,"['0.00300000', '0.00001152']"
104,['4.98755982']
105,"['0.00100000', '0.00080000', '0.00006080', '0.00116387']"
106,['0.00480000']
107,['0.01579265']
108,"['0.00100000', '0.00000895']"
109,"['0.00025847', '0.00100000', '0.00370000']"
110,['0.00120000']
111,['0.00100000']
112,['0.00480000']
113,['0.03000000']
114,"['0.00200000', '0.00120000', '0.00002721', '0.00100000', '0.00065998', '0.00049501', '0.00000438']"
115,['0.00500000']
116,"['0.00087643', '0.00228044', '0.00009442', '0.00010000', '0.00040000']"
117,['0.00100000']
118,"['0.00270000', '0.00002311', '0.00085624', '0.00200000']"
119,"['0.00091371', '0.00008000', '0.00090000', '0.00006000', '0.00107722']"
120,"['0.00444318', '0.00480000', '0.00001452']"
121,"['0.00341677', '0.00163049']"
122,"['0.00004010', '0.00025639', '0.00100000', '0.00200000', '0.00010000']"
123,['2.99348113']
124,['3.99798860']
125,"['0.00110000', '0.00592000', '0.00300000']"
126,"['0.96797446', '0.01000000', '0.00500000']"
127,"['0.00169500', '0.00090000']"
128,['0.00171142']
129,['4.98655234']
130,['2.98496881']
131,['0.00800000']
132,"['0.00058806', '0.00189242', '0.00390000']"
133,"['0.00300000', '0.00002980', '0.00800000']"
134,['0.00290000']
135,"['0.00900000', '0.00002167', '0.00014425', '0.00036192', '0.00049540']"
136,"['0.00001073', '0.01000000']"
137,['0.00213902']
138,['0.00226500']
139,"['0.00100000', '0.00055955', '0.00013380']"
140,"['0.00490000', '0.00454585', '0.00360000']"
141,['0.00300000']
