Scenario File,Current Balance,Mean #UTXO,Current #UTXO,#Deposits,#Inputs Spent,#Withdraws,#Uneconomical outputs spent,#Change Created,#Changeless,Min Change Value,Max Change Value,Mean Change Value,Std. Dev. of Change Value,Total Fees,Mean Fees per Withdraw,Cost to Empty (10 sat/vB),Total Cost,Min Input Size,Max Input Size,Mean Input Size,Std. Dev. of Input Size,Usage
bustabit-tiny-hot-wallet_peak-and-tail,0E-8,0,0,0,0,0,0,0,Total: **0**,0,0,0,0,0,0,0E-66,0E-66,0,0,0,0,
bustabit-tiny-hot-wallet_peak-and-tail,15.19438728,27.5220000000,25,267,447,233,1,205,bnb: **27** ; knapsack: **1** ; Total: **28**,0.00000334,4.99347343,0.324131679902,0.994810285877,0.00447239,0.0000191948068670,0.000170000000,0.004642390000,1,17,1.91845493562,2.05679136179,knapsack: **138** ; srd: **68** ; bnb: **27**
bustabit-tiny-hot-wallet_peak-and-tail,23.92732972,32.9990000000,48,594,887,406,1,341,bnb: **61** ; knapsack: **4** ; Total: **65**,0.00000321,4.99347343,0.335899085865,1.02493811240,0.00799445,0.0000196907635468,0.000326400000,0.008320850000,1,17,2.18472906404,2.31961327141,knapsack: **239** ; srd: **106** ; bnb: **61**
bustabit-tiny-hot-wallet_peak-and-tail,27.28337253,45.3713333333,101,961,1297,539,2,437,bnb: **97** ; knapsack: **5** ; Total: **102**,0.00000321,4.99347343,0.322647299840,0.966216727869,0.01123247,0.0000208394619666,0.000686800000,0.011919270000,1,17,2.40630797774,2.61395260851,knapsack: **285** ; srd: **157** ; bnb: **97**
bustabit-tiny-hot-wallet_peak-and-tail,19.66775263,49.1260000000,24,1316,1836,684,4,544,bnb: **133** ; knapsack: **7** ; Total: **140**,0.00000321,9.98895496,0.318178372335,1.05723964408,0.01407152,0.0000205723976608,0.000163200000,0.014234720000,1,44,2.68421052632,3.49686943736,knapsack: **361** ; srd: **190** ; bnb: **133**
bustabit-tiny-hot-wallet_peak-and-tail,26.29745072,46.4700000000,51,1682,2281,818,4,650,bnb: **160** ; knapsack: **8** ; Total: **168**,0.00000321,9.98895496,0.340912678769,1.12829220383,0.01691031,0.0000206727506112,0.000346800000,0.017257110000,1,44,2.78850855746,3.62947473877,knapsack: **432** ; srd: **226** ; bnb: **160**
bustabit-tiny-hot-wallet_peak-and-tail,18.38149178,45.3286666667,29,2008,2777,992,4,798,bnb: **185** ; knapsack: **9** ; Total: **194**,0.00000317,9.98895496,0.353147707168,1.13679840935,0.02131569,0.0000214875907258,0.000197200000,0.021512890000,1,44,2.79939516129,3.52289321819,knapsack: **524** ; srd: **283** ; bnb: **185**
bustabit-tiny-hot-wallet_peak-and-tail,26.40502344,47.9382857143,65,2415,3216,1085,4,866,bnb: **209** ; knapsack: **10** ; Total: **219**,0.00000317,9.98895496,0.345377383268,1.11492193426,0.02336710,0.0000215364976959,0.000442000000,0.023809100000,1,44,2.96405529954,3.81727455332,knapsack: **570** ; srd: **306** ; bnb: **209**
bustabit-tiny-hot-wallet_peak-and-tail,23.47288554,50.0707500000,48,2818,3705,1182,4,935,bnb: **237** ; knapsack: **10** ; Total: **247**,0.00000317,9.98895496,0.331105101326,1.07724418295,0.02610033,0.0000220814974619,0.000326400000,0.026426730000,1,44,3.13451776650,4.09328270647,knapsack: **619** ; srd: **326** ; bnb: **237**
bustabit-tiny-hot-wallet_peak-and-tail,15.35655986,50.8340000000,26,3213,4200,1287,4,1013,bnb: **263** ; knapsack: **11** ; Total: **274**,0.00000317,9.98895496,0.322619530750,1.03972270265,0.02960408,0.0000230023931624,0.000176800000,0.029780880000,1,44,3.26340326340,4.28655773451,knapsack: **661** ; srd: **363** ; bnb: **263**
bustabit-tiny-hot-wallet_peak-and-tail,15.78073647,50.1576000000,30,3571,4669,1429,4,1128,bnb: **290** ; knapsack: **11** ; Total: **301**,0.00000317,9.98895496,0.305881275559,0.991756730027,0.03230004,0.0000226032470259,0.000204000000,0.032504040000,1,44,3.26731980406,4.28255236819,knapsack: **739** ; srd: **400** ; bnb: **290**
