id,amount,fees,target_feerate,real_feerate,algo,num_inputs,negative_ev,num_outputs,change_amount,before_num_utxos,after_num_utxos,waste
0,0.00310000,0.00007253,0.00051435,0.000514397163121,knapsack,1,0,2,0.00011747,22,22,5433
1,0.00010100,0.00006530,0.00046306,0.000463120567376,srd,1,0,2,0.00312770,22,22,4925
2,0.00329400,0.00006071,0.00043052,0.000430567375887,srd,1,0,2,0.00164529,22,22,4603
3,0.00410100,0.00006476,0.00045929,0.000459290780142,srd,1,0,2,0.99583424,22,22,4888
4,0.00329000,0.00005351,0.00025725,0.000257259615385,srd,2,0,2,0.00161578,22,21,4298
5,0.00319400,0.00002493,0.00011981,0.000119855769231,knapsack,2,0,2,0.00002624,21,20,2002
6,0.00040100,0.00002415,0.00017125,0.000171276595745,knapsack,1,0,2,0.00119063,20,20,2036
7,0.00262000,0.00002932,0.00020791,0.000207943262411,knapsack,1,0,2,0.00064068,20,20,2399
8,0.00100000,0.00002720,0.00019288,0.000192907801418,knapsack,1,0,2,0.00016343,20,20,2250
9,0.00650000,0.00002657,0.00018838,0.000188439716312,srd,1,0,2,0.00141843,21,21,2205
10,0.00014000,0.00002343,0.00010753,0.000213000,knapsack,1,0,1,,21,20,1406
11,0.00310000,0.00001117,0.00007917,0.0000792198581560,knapsack,1,0,2,0.00018283,27,27,1125
12,0.00010100,0.00002683,0.00019026,0.000190283687943,knapsack,1,0,2,0.00002077,28,28,2224
13,0.00113200,0.00002890,0.00020493,0.000204964539007,srd,1,0,2,0.99467334,28,28,2370
14,0.00010200,0.00002424,0.00013210,0.000136949152542,bnb,2,0,1,,28,26,1189
15,0.00400000,0.00007100,0.00034131,0.000341346153846,srd,2,0,2,0.02482900,32,31,5701
16,0.00100000,0.00003200,0.00028435,0.000290909090909,bnb,1,0,1,,31,30,1665
17,0.00300000,0.00007157,0.00050756,0.000507588652482,srd,1,0,2,4.99692843,32,32,5366
18,0.00665800,0.00009979,0.00047972,0.000479759615385,srd,2,0,2,0.99121155,32,31,8014
19,0.00110000,0.00008313,0.00058951,0.000589574468085,srd,1,0,2,0.01451687,31,31,6177
20,0.00090000,0.00010000,0.00066830,0.000909090909091,bnb,1,0,1,,31,30,6853
21,0.00110000,0.00008264,0.00058609,0.000586099290780,srd,1,0,2,4.99574579,30,30,6143
22,0.00209300,0.00004609,0.00032686,0.000326879432624,srd,1,0,2,0.01237778,30,30,3577
23,0.00332600,0.00006435,0.00023312,0.000233152173913,srd,3,0,2,0.00988648,30,28,5141
24,0.00424600,0.00003531,0.00016975,0.000169759615385,srd,2,0,2,0.00889917,28,27,2837
25,0.00333000,0.00002478,0.00017571,0.000175744680851,srd,1,0,2,3.99664522,27,27,2080
26,0.00200000,0.00004068,0.00016108,0.000166040816327,bnb,3,0,1,,27,24,2371
27,0.00337500,0.00001523,0.00010801,0.000108014184397,srd,1,0,2,3.99325499,24,24,1410
28,0.00300000,0.00001400,0.00009927,0.0000992907801418,srd,1,0,2,1.99698600,24,24,1324
29,0.00294600,0.00000745,0.00005283,0.0000528368794326,srd,1,0,2,4.99279234,24,24,864
30,0.00332500,0.00001651,0.00011709,0.000117092198582,srd,1,0,2,4.98945083,25,25,1500
31,0.00332500,0.00001635,0.00011591,0.000115957446809,srd,1,0,2,0.00675865,25,25,1489
32,0.00330000,0.00001400,0.00006361,0.000127272727273,bnb,1,0,1,,25,24,792
33,0.00336300,0.00001111,0.00007874,0.0000787943262411,srd,1,0,2,0.98783744,24,24,1121
34,0.00333400,0.00001323,0.00002942,0.0000347244094488,bnb,5,0,1,,27,22,-501
35,0.00030000,0.00000575,0.00004071,0.0000407801418440,knapsack,1,0,2,0.00026401,22,22,744
36,0.00300100,0.00000449,0.00003180,0.0000318439716312,knapsack,1,0,2,0.00182451,22,22,656
37,0.00332900,0.00000995,0.00002890,0.0000289244186047,knapsack,4,1,2,0.00016900,23,20,198
38,0.00332700,0.00000338,0.00002392,0.0000239716312057,knapsack,1,0,2,0.00342827,20,20,578
39,0.00332700,0.00000325,0.00002302,0.0000230496453901,knapsack,1,0,2,0.00009802,20,20,569
40,0.00322700,0.00001323,0.00003845,0.0000384593023256,knapsack,4,0,2,0.00002879,20,17,488
41,0.00332000,0.00000575,0.00004075,0.0000407801418440,knapsack,1,0,2,0.00557342,17,17,745
42,0.00198400,0.00000460,0.00003259,0.0000326241134752,knapsack,1,0,2,0.00358482,18,18,660
43,0.00322000,0.00000413,0.00002925,0.0000292907801418,knapsack,1,0,2,0.00036069,18,18,630
44,0.00505500,0.00000367,0.00002602,0.0000260283687943,knapsack,1,0,2,0.00434133,20,20,598
45,0.00105000,0.00000654,0.00004637,0.0000463829787234,knapsack,1,0,2,0.00194346,21,21,800
46,0.00020000,0.00000774,0.00003719,0.0000372115384615,knapsack,2,0,2,0.00001303,21,20,622
47,0.00086900,0.00000661,0.00003177,0.0000317788461538,srd,2,0,2,4.98858825,20,19,529
48,0.00020400,0.00000324,0.00002292,0.0000229787234043,knapsack,1,0,2,0.00015345,20,20,564
49,0.00322600,0.00000443,0.00003136,0.0000314184397163,knapsack,1,0,2,0.00111090,20,20,648
50,0.00334300,0.00000798,0.00002891,0.0000289130434783,knapsack,3,0,2,0.00004998,20,18,199
51,0.00668000,0.00000467,0.00003311,0.0000331205673759,knapsack,1,0,2,0.00331533,18,18,527
52,0.00332500,0.00000733,0.00003523,0.0000352403846154,knapsack,2,0,2,0.00001179,18,17,586
53,0.00332500,0.00001114,0.00007896,0.0000790070921986,knapsack,1,0,2,0.00666386,17,17,1118
54,0.00332500,0.00000459,0.00003255,0.0000325531914894,knapsack,1,0,2,0.00333427,17,17,659
55,0.00332500,0.00000927,0.00002561,0.0000842727272727,bnb,1,0,1,,17,16,479
56,0.00300000,0.00000413,0.00002929,0.0000292907801418,knapsack,1,0,2,0.00699587,16,16,627
57,0.00332700,0.00000394,0.00002793,0.0000279432624113,knapsack,1,0,2,0.00366493,16,16,613
58,0.00332500,0.00000723,0.00003473,0.0000347596153846,srd,2,0,2,4.98536602,16,15,578
59,0.00300000,0.00000443,0.00003138,0.0000314184397163,knapsack,1,0,2,0.00066050,15,15,546
60,0.00332700,0.00000603,0.00004272,0.0000427659574468,knapsack,1,0,2,0.00904475,15,15,658
61,0.00332700,0.00000463,0.00003282,0.0000330714285714,knapsack,1,0,2,0.00571312,15,15,560
62,0.00332800,0.00000542,0.00003837,0.0000384397163121,knapsack,1,0,2,0.00237970,15,15,614
63,0.00332900,0.00000963,0.00002798,0.0000279941860465,knapsack,4,0,2,0.00001350,15,12,65
64,0.00333000,0.00000561,0.00003974,0.0000397872340426,knapsack,1,0,2,0.00966439,12,12,629
65,0.00332500,0.00000502,0.00003559,0.0000356028368794,knapsack,1,0,2,0.00633437,12,12,588
66,0.00332500,0.00000371,0.00002628,0.0000263120567376,knapsack,1,0,2,0.00300566,12,12,136
67,0.00333500,0.00000626,0.00003005,0.0000300961538462,knapsack,2,0,2,0.00032490,12,11,39
68,0.00332500,0.00000412,0.00002921,0.0000292198581560,knapsack,1,0,2,0.01236088,11,11,165
69,0.00332500,0.00000352,0.00002495,0.0000249645390071,knapsack,1,0,2,0.00903236,11,11,123
70,0.00300000,0.00000383,0.00002712,0.0000271631205674,knapsack,1,0,2,0.00602853,11,11,132
71,0.00321200,0.00000579,0.00004100,0.0000410638297872,knapsack,1,0,2,0.00281074,11,11,269
72,0.00200000,0.00001028,0.00007284,0.0000729078014184,knapsack,1,0,2,0.00080046,12,12,597
73,0.00320000,0.00000955,0.00006768,0.0000677304964539,knapsack,1,0,2,0.02161945,12,12,546
74,0.00332500,0.00000577,0.00004091,0.0000409219858156,knapsack,1,0,2,0.01828868,12,12,281
75,0.00330000,0.00000442,0.00003128,0.0000313475177305,knapsack,1,0,2,0.01498426,12,12,185
76,0.00339300,0.00000534,0.00003786,0.0000378723404255,knapsack,1,0,2,0.01158592,12,12,251
