id,input_amounts
0,['0.00329000']
1,['0.00329400']
2,['0.00500000']
3,['1.00000000']
4,"['0.00164529', '0.00331400']"
5,"['0.00312770', '0.00011747']"
6,['0.00161578']
7,['0.00329000']
8,['0.00119063']
9,['0.00794500']
10,['0.00016343']
11,['0.00329400']
12,['0.00014860']
13,['0.99583424']
14,"['0.00010000', '0.00002624']"
15,"['0.00390000', '0.02500000']"
16,['0.00103200']
17,['5.00000000']
18,"['0.00329600', '0.99467334']"
19,['0.01570000']
20,['0.00100000']
21,['4.99692843']
22,['0.01451687']
23,"['0.00018283', '0.00329400', '0.00980000']"
24,"['0.00988648', '0.00329400']"
25,['4.00000000']
26,"['0.00064068', '0.00050000', '0.00090000']"
27,['3.99664522']
28,['2.00000000']
29,['4.99574579']
30,['4.99279234']
31,['0.01010000']
32,['0.00331400']
33,['0.99121155']
34,"['0.00109000', '0.00100000', '0.00014860', '0.00100000', '0.00010863']"
35,['0.00056976']
36,['0.00483000']
37,"['0.00182451', '0.00026401', '0.00000100', '0.00141843']"
38,['0.00675865']
39,['0.00342827']
40,"['0.00016900', '0.00300000', '0.00009802', '0.00000200']"
41,['0.00889917']
42,['0.00557342']
43,['0.00358482']
44,['0.00940000']
45,['0.00300000']
46,"['0.00002077', '0.00020000']"
47,"['4.98945083', '0.00001303']"
48,['0.00036069']
49,['0.00434133']
50,"['0.00111090', '0.00034660', '0.00194346']"
51,['0.01000000']
52,"['0.00331533', '0.00002879']"
53,['0.01000000']
54,['0.00666386']
55,['0.00333427']
56,['0.01000000']
57,['0.00699587']
58,"['0.00011000', '4.98858825']"
59,['0.00366493']
60,['0.01237778']
61,['0.00904475']
62,['0.00571312']
63,"['0.00076900', '0.00237970', '0.00015345', '0.00004998']"
64,['0.01300000']
65,['0.00966439']
66,['0.00633437']
67,"['0.00066050', '0.00300566']"
68,['0.01569000']
69,['0.01236088']
70,['0.00903236']
71,['0.00602853']
72,['0.00281074']
73,['0.02482900']
74,['0.02161945']
75,['0.01828868']
76,['0.01498426']
77,['0.01158592']
78,"['3.99325499', '0.00080046', '0.00100000']"
79,['0.00825238']
80,['0.00491824']
81,['0.03535793']
82,['0.02602567']
83,['0.02268794']
84,['0.00910000']
85,['0.00576575']
86,"['0.01935283', '0.00158380']"
87,['0.00275830']
88,['0.01714000']
89,['0.01448214']
90,['0.01114464']
91,"['0.98783744', '0.00103265']"
92,"['0.00001350', '0.00001179', '3.99170133']"
93,['0.03000000']
94,['0.00781371']
95,['0.00580600']
96,['0.00300000']
97,['0.00116387']
98,['4.98536602']
99,['0.01490000']
100,['0.01780000']
101,['0.01999650']
102,"['0.00006080', '0.00100000', '0.00098946']"
103,"['0.00107722', '0.00100000', '0.00080000', '0.00014595']"
104,"['0.00100000', '0.00001137']"
105,"['0.00300000', '0.00004204']"
106,['0.00444318']
107,['0.00370000']
108,"['0.00100000', '0.00003253']"
109,"['0.00100000', '0.00290636', '0.00002707', '0.00100000']"
110,['0.00120000']
111,"['0.00009442', '0.00010000', '0.00032490']"
112,['0.00480000']
113,"['0.00200000', '0.00000956', '0.00045118', '0.00065998']"
114,"['0.00171142', '0.00120000', '0.00158990', '0.00087643']"
115,['0.01541466']
116,['0.00380137']
117,['0.00040000']
118,"['0.00008580', '0.00454585', '0.00100000']"
119,"['0.00270000', '0.00005416', '0.00025624']"
120,"['0.00100000', '0.00091371', '0.00200000', '0.00010000', '0.00300000', '0.00200000', '0.00025639']"
121,"['0.00341677', '0.00163049']"
122,['0.01000000']
123,"['0.00100000', '0.01288860']"
124,['0.01450000']
125,"['0.00537042', '0.00464370']"
126,"['0.00004010', '0.00500000', '0.00390000', '0.00008000', '0.00490000', '0.00110000']"
127,['0.00228044']
128,['0.00169500']
129,"['0.00290000', '0.00027573', '0.00006000']"
130,['3.99072030']
131,"['0.00500000', '0.00480000']"
132,['0.00648517']
133,"['0.00013971', '0.00090000', '0.01000000']"
134,['0.00300000']
135,"['0.00226500', '0.00003158', '0.00049540', '0.00024425', '0.00213902', '0.00034550', '0.00090000', '0.00360000']"
136,"['0.00368882', '0.00661748']"
137,['0.00300000']
138,"['0.00100000', '0.00099478']"
139,['0.00480000']
140,"['0.00100000', '0.00028675', '0.01109159', '0.00069882']"
141,['0.00319299']
142,"['0.00006798', '0.00200000']"
