id,input_amounts
0,['0.00329000']
1,['0.00331400']
2,['1.00000000']
3,['0.00483000']
4,['0.00794500']
5,['0.01570000']
6,['0.00066424']
7,['0.00314770']
8,['0.01569000']
9,['4.00000000']
10,['0.00023909']
11,['0.00329000']
12,['0.00014860']
13,['0.00329400']
14,['0.00011747']
15,['0.01000000']
16,['0.00103200']
17,['0.00980000']
18,['0.00672843']
19,['0.00500000']
20,['0.00100000']
21,['0.01000000']
22,['0.00213310']
23,['0.01010000']
24,['0.01248910']
25,['0.00461872']
26,['0.02500000']
27,"['0.00329600', '0.00010000']"
28,"['0.00109000', '0.00010863', '0.00056976', '0.00126394']"
29,"['0.00090000', '0.00049838', '0.00008392', '0.00000100', '0.00100000', '0.00000200', '0.00050000']"
30,['0.00881736']
31,"['0.00014860', '0.00329400']"
32,"['0.00329400', '0.00002077']"
33,"['0.00329400', '0.00009349']"
34,"['0.00017883', '0.00331400']"
35,['0.00100000']
36,['0.00381687']
37,"['0.00300000', '0.00069425']"
38,['0.00390000']
39,['0.00547585']
40,"['0.00214560', '0.00035923', '0.00081138']"
41,['0.00595187']
42,['0.00262612']
43,['0.00674113']
44,"['0.00015271', '0.00056962', '0.00351700', '0.00020000', '0.00063752']"
45,['0.00300000']
46,['0.00194346']
47,['0.00173821']
48,['0.00086473']
49,['0.00821916']
50,"['3.99347343', '0.00001040']"
51,['0.00940000']
52,"['0.00065749', '0.00271533']"
53,['0.00498873']
54,['0.01000000']
55,"['0.00001112', '0.03535793', '0.00034660']"
56,"['0.02297728', '0.00076900']"
57,['0.00667041']
58,['0.00333947']
59,['0.01300000']
60,"['0.00165259', '0.03238358']"
61,['0.00999557']
62,['0.00666394']
63,"['0.00011000', '0.00004049', '0.03070028']"
64,"['0.00000957', '0.00333052']"
65,['0.01466280']
66,['0.01133278']
67,['0.00800407']
68,['0.00466483']
69,['0.02074018']
70,['0.01741166']
71,['0.01440783']
72,['0.01119004']
73,['0.00917976']
74,"['0.00007859', '0.99664529']"
75,['0.00597021']
76,"['0.00266579', '0.00133571']"
77,['0.02751404']
78,['0.02418050']
79,['0.02083279']
80,['0.01749865']
81,['0.01416421']
82,['0.00483195']
83,['0.99339037']
84,['0.00910000']
85,"['0.00100000', '0.00060062', '0.00149422']"
86,['0.99005526']
87,['0.00576575']
88,['0.00404010']
89,['0.01714000']
90,['0.01380250']
91,['0.96957253']
92,['0.00138224']
93,['0.01047157']
94,"['0.00116387', '0.00008026', '0.00037901', '0.00046807']"
95,['0.03000000']
96,['0.00300000']
97,['5.00000000']
98,['0.02799537']
99,['3.99013481']
100,"['0.00006080', '0.00098946', '0.00100000']"
101,['0.00480000']
102,"['0.00021816', '0.00080000', '0.00100000']"
103,"['0.00300000', '0.00000994']"
104,"['0.00003587', '0.00100000']"
105,"['0.00100000', '0.00100000', '0.00107722']"
106,['0.00200000']
107,['0.00500000']
108,"['0.00002484', '0.00100000']"
109,"['0.00171142', '0.00006461', '0.00046318', '0.00270000']"
110,['0.00120000']
111,['0.00100000']
112,"['0.00000517', '0.00087643', '0.00007241', '0.00120000', '0.00200000']"
113,"['0.00288990', '0.00049501']"
114,"['0.00010000', '0.00027326', '0.00500000']"
115,"['0.00001938', '0.00100000']"
116,"['0.00370000', '0.00009442']"
117,['0.00040000']
118,"['0.00025624', '0.00228044', '0.00300000', '0.00007574']"
119,"['0.00200000', '0.00090000', '0.00003259', '0.00008000']"
120,"['0.00390000', '0.00341677', '0.00025639', '0.00006000', '0.00163049']"
121,"['0.00090000', '0.00444318']"
122,['0.00360000']
123,['4.99898208']
124,['0.01450000']
125,"['0.00592000', '0.00300000', '0.00110000']"
126,"['0.01298313', '0.00033602', '0.00169500']"
127,"['0.00100000', '0.00010000', '0.00091371']"
128,['0.00290000']
129,['0.00454585']
130,['0.01109159']
131,"['0.00131804', '0.00480000']"
132,"['0.00480000', '0.00155050']"
133,"['0.00464370', '0.00648517']"
134,['0.00490000']
135,"['0.00213902', '0.00000450', '0.00049540', '0.00012274', '0.00498261', '0.00000686', '0.00226500']"
136,"['0.00790000', '0.00214425']"
137,['0.00300000']
138,"['0.00099478', '0.00100000']"
139,['0.00500000']
140,"['0.00500000', '0.00600000', '0.00100000', '0.00028675', '0.00003490', '0.00069882']"
141,['0.00339299']
142,"['0.00021748', '0.00200000']"
143,['0.00070000']
144,['3.00000000']
145,"['0.00500000', '0.00138590', '0.00300000']"
146,"['0.00280000', '0.00024546']"
147,['0.00180000']
148,['0.00600000']
149,"['0.01000000', '0.00880000']"
150,"['0.00800000', '0.00800000']"
151,"['0.00860000', '0.00900000', '0.00880000', '0.00020907', '0.00000319', '0.00900000', '0.00627514', '0.00290000', '0.00024160', '0.00899181', '0.00500000']"
152,['2.99788817']
153,"['0.01490000', '0.01780000', '0.01680000', '0.00040000', '0.00013049']"
154,['0.01000000']
155,"['0.00263338', '0.00090000']"
156,"['0.06000000', '0.00980000', '0.00032371', '0.01000000', '0.00500000', '0.01000000', '0.01500000', '0.00090000', '0.01000000']"
157,['0.00969612']
158,['0.00612402']
159,"['0.05000000', '0.00963986', '0.00012344', '0.00527478', '0.03500000']"
160,"['0.05900000', '0.01990000', '0.02959206']"
161,"['0.02000000', '0.04000000', '0.00847720', '0.03300000']"
162,['0.00700000']
163,"['0.00146488', '0.00199320', '0.00038000', '0.00021000']"
164,['0.01000000']
165,"['0.00499242', '0.00002022']"
166,['0.00084400']
167,['0.00800000']
168,"['0.00000533', '0.01000000']"
169,"['0.00000534', '0.00100000']"
170,['0.02471042']
171,['0.00499480']
172,['0.00361931']
173,['0.01467583']
174,"['0.00002463', '0.00500000']"
175,"['0.00003308', '0.00001552', '0.01017199']"
176,['0.03000000']
177,"['0.00014607', '0.00980000', '0.00040000', '0.00017000']"
178,['0.01979373']
179,['0.00090000']
180,['0.00053586']
181,['0.07024500']
182,['0.09980000']
183,"['0.01000000', '0.01000000']"
184,['0.05000000']
185,['0.00234426']
186,['0.00206558']
187,"['0.01000000', '0.03886379']"
188,"['0.03763861', '0.00250000']"
189,"['0.00961178', '0.00911479']"
190,['0.06000000']
191,['0.02592017']
192,"['0.00318000', '3.98812341']"
193,['4.99046976']
194,['0.02379085']
195,['0.00180000']
196,"['0.05991282', '0.01000000']"
197,['0.05000000']
198,['0.05793524']
199,"['0.05000000', '0.01000000', '0.00132193']"
200,['0.00753025']
201,['2.00000000']
202,['0.05000000']
203,"['3.97916044', '0.00010000']"
204,['2.99586537']
