id,input_amounts
0,['0.00329000']
1,['0.00483000']
2,['2.00000000']
3,['0.00466370']
4,['5.00000000']
5,['0.00329000']
6,['1.00000000']
7,['0.00329400']
8,['0.00331400']
9,"['0.00011747', '4.00000000']"
10,['0.00329400']
11,['0.00313883']
12,['0.00014860']
13,['0.00794500']
14,"['0.00010000', '0.00002766']"
15,['0.00500000']
16,['0.00103200']
17,"['0.00064468', '0.01010000']"
18,['0.01000000']
19,['0.02500000']
20,['0.00100000']
21,['0.99957485']
22,['0.00940000']
23,"['0.00007910', '0.00329400']"
24,['0.99839221']
25,['0.99412227']
26,"['0.00095187', '0.00329400']"
27,"['0.00327435', '0.00002077', '0.00010863']"
28,['4.99667372']
29,"['0.00100000', '0.00056976', '0.00090000', '0.00049794']"
30,['3.99357828']
31,['0.00390000']
32,['0.00331400']
33,['0.01000000']
34,"['0.00000200', '0.00055865', '0.00228680', '0.00050000', '0.00000100']"
35,['0.00100000']
36,"['0.00221236', '0.00069425', '0.00014860']"
37,"['0.00329600', '0.00004543']"
38,"['0.00300000', '0.00109000']"
39,['0.00662589']
40,['0.00329564']
41,['0.00678410']
42,['0.00345835']
43,['0.00726091']
44,"['0.00146975', '0.00403678']"
45,"['0.00075802', '0.00044611']"
46,"['0.00006321', '0.00014448']"
47,['0.00300000']
48,"['0.00011000', '0.00020000']"
49,['0.00763910']
50,['0.00440867']
51,['0.00980000']
52,"['0.00034660', '0.00311533']"
53,['0.01000000']
54,"['0.00106159', '0.00212652', '0.00012960', '0.00010123']"
55,['0.00666386']
56,['0.00333524']
57,['0.01300000']
58,['0.00966906']
59,['0.00633916']
60,['0.00333473']
61,['0.01569000']
62,['0.01235837']
63,['0.00902495']
64,['0.00569200']
65,"['0.00076900', '0.00235639', '0.00033111']"
66,['0.01570000']
67,['0.01237129']
68,['0.00903205']
69,['0.00570293']
70,['0.02381687']
71,['0.02081304']
72,['0.00237441']
73,['0.01759525']
74,['0.01438570']
75,['0.01105493']
76,['0.00775051']
77,"['3.99023677', '0.00100000']"
78,['0.00435217']
79,['0.03535793']
80,['0.03202379']
81,"['4.99365972', '0.00008274']"
82,['0.02868935']
83,['0.02535162']
84,['0.00910000']
85,"['0.00100446', '0.00036413', '1.99664529']"
86,['0.02201651']
87,['0.00576575']
88,['0.00404010']
89,['0.01714000']
90,['0.01380250']
91,"['0.99076749', '0.00153378']"
92,['0.00138224']
93,"['3.00000000', '0.00012167']"
94,['0.01047157']
95,['0.00846386']
96,['0.00300000']
97,['0.00116387']
98,['3.98790013']
99,['0.01780000']
100,"['0.00098946', '0.00100000', '0.00006080']"
101,['0.00480000']
102,"['0.00100000', '0.00021816', '0.00080000']"
103,"['0.00107722', '0.00645923', '0.00037901']"
104,"['0.00000994', '0.00100000']"
105,"['0.00300000', '0.00003587']"
106,['0.00480000']
107,['0.01450000']
108,"['0.00002636', '0.00100000']"
109,"['0.00014595', '0.00480000']"
110,['0.00120000']
111,['0.00100000']
112,"['0.00087643', '0.00001746', '0.00326318']"
113,"['0.00200000', '0.00000937', '0.00100000', '0.00002090', '0.00009442']"
114,"['0.00049501', '0.00100000', '0.00390000']"
115,"['0.00002046', '0.00100000']"
116,"['0.00010000', '0.00370000']"
117,['0.00040000']
118,"['0.00120000', '0.00270000', '0.00171142']"
119,"['0.00008000', '0.00163049', '0.00025624', '0.00006000', '0.00008132', '0.00091371']"
120,"['0.00592000', '0.00010000', '0.00025639', '0.00300000']"
121,"['0.00500000', '0.00001503']"
122,['0.00341677']
123,['0.03000000']
124,['0.97729592']
125,['0.01109159']
126,"['0.00108055', '0.00000787', '0.00300000', '0.00200000', '0.00169500', '0.00090000', '0.00110000', '0.00228044', '0.00003393', '0.00290000', '0.00003425']"
127,"['0.00200000', '0.00090000']"
128,"['0.00100000', '0.00089306']"
129,['0.00360000']
130,['0.00790000']
131,"['0.00179102', '0.00444318']"
132,['0.00800000']
133,"['0.00037219', '0.00165454', '0.00900000']"
134,"['0.00054096', '0.00226500']"
135,"['0.00049540', '0.00454585', '0.00490599', '0.00004844', '0.00001860']"
136,"['0.00012302', '0.00490000', '0.00500000']"
137,['0.00213902']
138,['0.00300000']
139,"['0.00129455', '0.00100000']"
140,"['0.00001061', '0.00800000', '0.00500000']"
141,"['0.00068421', '0.00100000', '0.00069882']"
142,"['0.00013380', '0.00200000']"
143,['0.01000000']
144,['0.00600000']
145,"['0.00600000', '0.00280000', '0.00036916', '0.00012539']"
146,"['0.00070000', '0.00300000']"
147,['0.00180000']
148,"['0.00500000', '0.00065773', '0.00013049']"
149,"['0.01238990', '0.01000000', '0.00000443']"
150,"['0.00500000', '0.00500000']"
151,"['0.00290000', '0.00969612', '0.00980000', '0.01578860', '0.00263338', '0.00860000', '0.00002465', '0.00002903', '0.00954546']"
152,['0.01680000']
153,"['0.06000000', '0.02148768']"
154,['0.01000000']
155,['0.00388817']
156,"['0.00027514', '0.01500000', '0.00068161', '0.03500000', '0.01000000', '0.01258379', '0.00040000', '0.00500000', '0.00090000', '0.00880000', '0.03147234', '0.00002022', '0.00090000']"
157,['0.00464370']
158,['0.00107160']
159,"['0.01000000', '0.01990000', '0.00022236', '0.02000000', '0.05000000']"
160,"['0.04000000', '0.01477720', '0.01490000', '0.00084400', '0.02959206']"
161,"['0.03300000', '0.00880000', '0.05900000']"
162,['0.00700000']
163,['0.00900000']
164,"['0.00499385', '0.00009108']"
165,['0.00963986']
166,"['0.00007376', '0.00021000', '0.00038000', '0.00010891']"
167,"['0.00006908', '0.00017000', '0.00079011', '0.00199320']"
168,"['0.00000971', '0.01000000']"
169,"['0.00100000', '0.00000406']"
170,"['0.00010000', '0.01000000']"
171,['0.00463491']
172,['0.00325942']
173,['0.00800000']
174,"['0.00500000', '0.00006323']"
175,['0.02471042']
176,['0.01450305']
177,"['0.00429678', '0.00198437', '0.00090000', '0.00349616']"
178,['0.96928109']
179,['0.00040000']
180,['0.00250000']
181,['0.07024500']
182,['0.06000000']
183,"['0.00980000', '0.00213347']"
184,['0.95860215']
185,['0.00154525']
186,['0.00126657']
187,['0.05000000']
188,"['0.00500000', '0.01000000']"
189,['1.99499930']
190,['0.04915496']
191,"['0.00318000', '0.00078156']"
192,"['0.01000000', '0.00900000']"
193,"['0.01000000', '0.01000000']"
194,['0.00896081']
195,['4.98440817']
196,"['0.01000000', '0.01000000']"
197,['0.94746594']
198,['0.01090000']
199,"['0.94644823', '0.00028000']"
200,['0.01000000']
201,['2.99011651']
202,['0.00443337']
203,['0.04709020']
204,['0.00400000']
205,"['0.00418728', '3.97288789']"
206,"['0.00693502', '0.00014000', '0.00100000', '0.00900000', '0.00180000', '0.00005412']"
207,"['0.00990000', '0.00959081']"
208,['0.05000000']
209,['0.03000000']
210,['0.09990000']
211,"['0.00297606', '0.00181831', '0.00090000', '0.00290000', '0.00200000', '0.00090000', '0.00010000', '0.00044827', '0.00003586', '0.00016383', '0.00390000', '0.00050000', '0.00170000']"
212,"['0.00006080', '0.01000000', '0.02310000', '0.00546645', '0.00180000', '0.01000000', '0.00097600', '0.00229870', '0.02000000', '0.00795187', '0.00052292', '0.01000000', '0.00685703', '0.00099000']"
213,"['0.00390000', '0.02899103']"
214,['0.00039116']
215,"['0.02900000', '0.04598365', '0.00005460']"
216,"['0.00002857', '0.01000000']"
217,"['0.03884735', '0.01000000', '0.01000000', '0.01000000', '0.00002083', '0.01000000', '0.01944692', '0.00170503']"
218,"['0.00013614', '0.03000000']"
219,"['0.00004161', '0.00019558']"
220,['0.00193800']
221,"['0.01938633', '0.05000000', '0.00005460', '0.02400000', '0.00969500', '0.01950000', '0.00172686']"
222,"['0.01000000', '0.01030000', '0.01570000']"
223,"['0.00003476', '0.00010000', '0.00010000', '0.00003117']"
224,"['0.00204720', '0.00100000', '0.02700000', '0.00096700']"
225,"['0.09980000', '0.05000000', '0.00011495', '0.00013629']"
226,"['0.05991282', '0.07000000']"
227,['0.01940000']
228,['0.00939617']
229,['0.00338663']
230,['0.00088221']
231,"['0.00161670', '0.00050000']"
232,"['0.00000630', '0.00004090', '0.00020650', '0.00006184']"
233,"['0.00490674', '0.00500000', '0.06000000', '0.01940000', '0.00114700', '0.00010000', '0.01950000']"
234,"['0.01930000', '0.00637176']"
235,"['0.00001000', '0.00072800', '0.00050000', '0.00025501', '0.00050000']"
236,"['0.00067567', '0.00070000']"
237,"['0.00020000', '0.00002327']"
238,['0.00100000']
239,['0.00037051']
240,"['0.00222825', '0.00127802', '0.00170883', '0.00010000', '0.00110000', '0.00015997', '0.00042229', '0.01000000']"
241,['0.01930000']
242,['0.09968889']
243,"['0.00050000', '0.00100000', '0.00100000', '0.00003202', '0.00100000']"
244,"['0.00020000', '0.00020000', '0.00196900', '0.00020000', '0.09743739', '0.00000791']"
245,['0.01200000']
246,"['0.06894104', '0.00010000', '0.01000000', '0.00149316', '0.00989938', '0.00980000']"
247,['0.01519265']
248,"['0.92766946', '0.03000000', '0.01468864', '0.01942388', '0.01000000']"
249,['0.20000000']
250,['0.00980000']
251,['1.98383400']
252,"['0.03000000', '0.00166315', '0.02000000', '0.00169591']"
253,"['0.00001526', '0.10000000']"
254,"['0.01500000', '0.09647578']"
255,['1.00000000']
256,['0.00034264']
257,['0.05500000']
258,['0.00407495']
259,"['0.00013532', '0.00005460', '0.00001789', '0.00011752']"
260,['0.00040000']
261,['0.00100000']
262,"['0.00019601', '0.00006000']"
263,"['0.00000607', '0.00090000', '0.00000980', '0.00059628']"
264,['0.00070000']
265,"['0.00006448', '0.00510000', '0.00019673', '0.00010000', '0.00500000', '0.00290000', '0.00090000']"
266,['0.00300000']
267,['0.00229438']
268,"['0.00006996', '0.00004538', '0.00010000']"
269,['0.00080000']
270,['0.00059518']
271,['1.00000000']
272,"['0.00040856', '0.00060000']"
273,['0.00138852']
274,['0.00390625']
275,"['0.00001000', '0.00038381', '0.00001500', '0.00060110', '0.00000993']"
276,['0.00290075']
277,['0.00269194']
278,['0.00161842']
279,['0.00392156']
280,"['0.00080000', '0.00500000', '0.00061267', '0.00063000']"
281,['0.01000000']
282,"['0.00100000', '0.00392695', '0.00291574']"
283,['0.00399653']
284,['0.00319237']
285,"['0.00003431', '0.00008035', '0.00010000']"
286,['0.00188523']
287,"['0.00083132', '0.00067831', '0.05000000', '0.00040000']"
288,"['0.00237000', '0.00040900', '0.01146785', '0.00700000', '0.01495000', '0.00049400', '0.00005460', '0.00393405', '0.00000462', '0.01000000', '0.01000000']"
289,['0.00500000']
290,['0.00363637']
291,"['0.00163240', '0.00006504', '0.00700000', '0.01119474', '0.00013227']"
292,"['0.00090000', '0.00052000']"
293,['0.00060081']
294,"['0.00017703', '0.00003449', '0.00021255', '0.00000858']"
295,['0.00090000']
296,['0.00110000']
297,['3.96393566']
298,['0.00190000']
299,"['0.00890000', '0.00029639', '0.00089022', '0.00200000']"
300,['0.00100000']
301,"['0.00019516', '0.03000000']"
302,"['0.00057720', '0.00224987', '0.00700000', '0.00018794']"
303,"['0.00198637', '0.00986679', '0.01000000', '0.00100000']"
304,['0.00150000']
305,['0.01000000']
306,"['0.00035370', '0.00070000']"
307,['0.01158205']
308,"['0.00010000', '0.00011716', '0.00004598']"
309,"['0.00100000', '0.00200000', '0.00001000']"
310,"['0.01470000', '0.00010000', '0.00025000', '0.00489333', '0.00008830']"
311,"['0.00001565', '0.00100000', '0.00100000']"
312,['0.00063540']
313,['0.01000000']
314,['0.98598896']
315,['0.01149000']
316,['0.20000000']
317,"['0.05000000', '0.00005666', '0.00100000']"
318,['0.10000000']
319,['2.98240727']
320,['0.18994977']
321,['0.01449659']
322,['0.03000000']
323,['0.00038020']
324,"['0.01042347', '0.00975106']"
325,['0.02000000']
326,['0.98542482']
327,"['0.00011000', '0.00450000', '0.18572612', '0.00970000']"
328,['0.01001500']
329,"['0.01743524', '0.01187000', '0.02073312']"
330,"['0.01900000', '0.00124100']"
331,"['0.00011522', '0.10000000', '0.10000000', '0.10000000']"
332,"['0.00060426', '0.00005480']"
333,"['1.00000000', '0.00400000']"
334,"['0.00062652', '0.02747658', '0.00202400']"
335,"['0.00200000', '2.97233562']"
336,['0.00108100']
337,['0.00990000']
338,['0.00880000']
339,['1.00000000']
340,"['0.00130000', '1.49990000']"
341,['2.87197800']
342,"['0.00017188', '0.00022810', '0.00011808']"
343,"['0.00087269', '0.00147542', '0.00090000', '0.00808498', '0.01544502', '0.00824903']"
344,"['0.20000000', '8.82000000']"
345,"['0.00000390', '0.00030000', '0.00002000', '0.00001437', '0.00011821', '0.00125391', '0.00000378', '0.00030000']"
346,"['0.00100000', '0.00090000', '0.00014800']"
347,"['0.00020000', '0.00198467', '0.00360000', '0.00004164', '0.00020000']"
348,"['0.00110000', '0.00200000', '0.00100000', '0.00001164']"
349,"['0.00342500', '0.00100000']"
350,"['0.00210500', '0.01070000', '0.00021770', '0.00294160', '0.00414937']"
351,"['0.00400000', '0.00620000', '0.00590000', '0.00000340', '0.00190000', '0.00190000', '0.02000000', '0.00931736', '0.02579463']"
352,['0.99906713']
353,"['0.00410000', '0.00220000', '0.00340000', '0.03896379', '0.00990000', '0.03156101', '0.00640000', '0.01294394', '0.00260000', '0.00935000', '0.10000000', '0.00500000', '0.00207729', '0.20000000', '0.00212552']"
354,"['0.01000000', '0.00050000']"
355,"['0.00150000', '0.00049317']"
356,['0.00841560']
357,"['0.05000000', '0.00138864', '0.04108462', '0.05000000', '0.00781058']"
358,['0.30000000']
359,"['0.00927000', '0.06000000', '0.02000000', '0.01050420', '0.00041390']"
360,"['0.04000000', '0.00026694', '0.01000000', '0.05000000']"
361,['0.00100000']
362,"['0.00006901', '0.00049456']"
363,['0.00110000']
364,['1.00000000']
365,['0.00290001']
366,"['0.00040000', '0.00029600', '0.00008989', '0.00005728', '0.00040000', '0.00089455']"
367,"['0.00090000', '0.00500000']"
368,['0.01041666']
369,"['0.00350000', '0.01054340']"
370,"['0.00043403', '0.00103824', '0.00027465', '0.00040000']"
371,['0.00090000']
372,"['0.00024855', '0.00590430', '0.00010000', '0.00841343', '0.00001298', '0.00031395', '0.00654000']"
373,"['0.10000000', '0.00759000', '0.01458546', '0.01230000', '0.01849000', '0.00020930', '0.10000000', '0.00990000', '0.00015059']"
374,['2.84695528']
375,['0.01740000']
376,"['0.00003310', '0.00100000']"
377,"['0.00090000', '0.00094703']"
378,['0.00109998']
379,['0.00139584']
380,"['0.00100000', '0.00002565']"
381,"['0.00140000', '0.00031036', '0.00090000', '0.00059440', '0.00001796', '0.00490000', '0.00250000', '0.00090000']"
382,"['0.00034112', '0.00019000']"
383,['0.00376342']
384,"['0.01090000', '0.00325784', '0.02784502', '0.00500000', '0.00500000']"
385,"['0.00040000', '0.00040000', '0.04501000', '0.05000000', '0.00250000', '0.05990000', '0.00040000', '0.01090000', '0.10000000', '0.03826319', '0.05000000', '0.00827097']"
386,['0.02200000']
387,['0.01198882']
388,"['0.00018573', '0.00006372']"
389,"['0.00003160', '0.01000000', '0.00010486', '0.00028000']"
390,['0.00181806']
391,"['0.04000000', '0.00002032', '0.01000000']"
392,"['0.00421683', '0.00104404', '0.00100000', '0.00100000', '0.00836500', '0.00000448', '0.02702703', '0.00011100', '0.00500000', '0.04490000', '0.00086473', '0.00049998', '0.00500000', '0.00100000']"
393,['0.00161230']
394,"['0.00010000', '0.00104916']"
395,"['0.00004106', '0.00058000']"
396,['0.79999482']
397,"['0.10000000', '0.05000000', '0.27513323', '0.27526571', '0.01194000', '0.05000000']"
398,['0.00100000']
399,['0.00050759']
400,['0.00100000']
401,['0.00210588']
402,['0.00049587']
403,"['0.00050000', '0.00000925']"
404,['0.00848688']
405,['0.00618143']
406,"['0.00010000', '0.00290000', '0.00001081', '0.00040000', '0.00317442', '0.00000423', '0.00118400', '0.00008236', '0.01630678', '0.00029171', '0.00051449', '0.00006169']"
407,"['0.00005747', '0.01000000', '0.00500000', '0.00005939', '0.10570824', '0.01000000', '0.02100000', '0.01300000', '0.08320540', '0.00200000']"
408,"['0.00040000', '0.00205800']"
409,"['0.00014936', '0.09990000']"
410,['0.00205800']
411,"['0.00051449', '0.00220000', '0.06881642', '0.00004254', '0.05344091']"
412,"['0.02000000', '0.08066294']"
413,"['0.00956300', '0.00065509']"
414,['0.50000000']
415,"['0.00100000', '0.00205800', '0.00500000', '0.00060000', '0.01000000', '0.00100000', '0.00010000', '0.00029976']"
416,"['0.00002754', '0.10000000', '0.20000000']"
417,"['0.25000000', '0.03000000', '0.02057994']"
418,['0.00057018']
419,"['0.00005500', '0.00031649']"
420,['0.00090000']
421,['0.00054370']
422,"['0.00500000', '0.00100000', '0.01000000']"
423,"['0.00015000', '0.00001481', '0.00006169', '0.00001951', '0.00018703', '0.00009247']"
424,"['0.00200000', '0.00653000', '0.00020000', '0.00115363', '0.00025000', '0.05000000', '0.01990000']"
425,['0.00372964']
426,"['0.00000398', '0.00030000', '0.00020746', '0.00500000', '0.00103700']"
427,['0.00929808']
428,"['0.02115000', '0.01000000', '0.03108035']"
429,"['0.00072239', '0.00017000', '0.00022199']"
430,['0.00374752']
431,['0.00274047']
432,['0.00173532']
433,"['0.00073148', '0.00010352']"
434,"['0.09000000', '0.01000000', '0.10000000', '0.00003510']"
435,['0.00150000']
436,['0.10416666']
437,['0.08713448']
438,"['0.00185463', '0.64998601']"
439,['0.50000000']
440,['0.00500000']
441,['1.51997589']
442,['0.28479045']
443,['0.21153276']
444,['4.98329700']
445,['0.99949075']
446,['0.21040711']
447,['0.98770999']
448,['0.10345969']
449,['0.00025000']
450,['0.25000000']
451,['0.99393836']
452,['0.15000000']
453,"['0.00169636', '0.02082422']"
454,['0.24600857']
455,['0.39168660']
456,['0.00490000']
457,['0.19980000']
458,['1.78382390']
459,['0.28436177']
460,['0.23797198']
461,['0.36912841']
462,"['0.00187023', '0.01041232', '0.00930000']"
463,['4.98303224']
464,['0.01000771']
465,"['0.00400000', '0.00076951']"
466,"['0.00025000', '0.00104060', '0.00040000', '0.00010000', '0.01039651', '0.10436234', '0.00187114', '0.00020800', '0.00001713', '0.00071040', '0.00020872', '0.00000979', '0.00039202', '0.00002317', '0.00104079']"
467,"['0.00088052', '0.00025000']"
468,['0.00028044']
469,"['0.00005460', '0.00012440', '0.00007584']"
470,['0.00029100']
471,['0.00060000']
472,"['0.01239744', '0.00090000', '0.00026656', '0.00080000', '0.00100000', '0.00049998', '0.00004676', '0.00142296', '0.00080000', '0.00100000', '0.00090000']"
473,"['0.00625800', '0.00729513', '0.03522440', '0.00124378']"
474,"['0.00100000', '0.00142422', '0.00039676', '0.00178983', '0.00010837', '0.00100000', '0.00197628', '0.00482560', '0.19873235', '0.00008760', '0.00700000']"
475,"['0.03045621', '0.00200000', '0.00200000', '0.00100000', '0.00208120', '0.00417211', '0.00012190', '0.00200000', '0.00220428', '0.00100000']"
476,"['0.00500000', '0.00300000', '0.00100000', '0.00207400', '0.00208290', '0.00221800', '0.00500000', '0.02068400', '0.00002042', '0.00481691', '0.00413440']"
477,['0.00290000']
478,['0.00070000']
479,['0.00188989']
480,"['0.09823443', '0.00208290', '0.00030495']"
481,"['0.00215000', '0.00059000', '0.00010000']"
482,['1.51955424']
483,"['0.00001882', '0.00022454', '0.00028257', '0.00020000', '0.00030000']"
484,['0.22830530']
485,"['0.00084389', '0.00097909', '0.00100000', '0.00003383', '0.00100000', '0.00037310', '0.00100000']"
486,"['0.00200000', '0.01155000', '0.00190000', '0.00576620', '0.00140000', '0.00240000']"
487,"['0.00004439', '0.01000000']"
488,"['0.01030594', '0.00400000', '0.00500000', '0.00250000']"
489,"['0.01504962', '0.00416051', '0.02080000', '0.01000000', '0.00022000', '0.00500000', '0.00207955', '0.00003616', '0.03000000', '0.00416319', '0.00851600']"
490,['0.01621225']
491,['0.00116400']
492,"['0.00020215', '0.00015327', '0.00049998', '0.00190000']"
493,"['0.02800000', '0.00800000', '0.01000000', '0.13597745', '0.01000000', '0.02079564', '0.01000000', '0.00685854', '0.01000000', '0.01000000', '0.00040000']"
494,"['0.00014637', '0.00248667', '0.00622407', '0.01152508', '0.00980000', '0.01984500']"
495,"['0.02079131', '0.01580000', '0.00250000', '0.01896000', '0.02200000']"
496,['0.89391786']
497,"['0.00798782', '0.01000000', '0.00003108', '0.01200000']"
498,"['0.01867219', '0.00040058', '0.03000000', '0.00100000']"
499,"['0.00065949', '0.00000100', '0.02000000', '0.00345636', '0.00090000']"
500,"['0.00000248', '0.00053000', '0.00056005']"
501,"['0.01000000', '0.00982000', '0.00005994', '0.00024091']"
502,"['0.00000901', '0.05000000', '0.00010000']"
503,['2.49694443']
504,['0.00122000']
505,"['0.00029760', '0.00051349', '0.00020000']"
506,"['0.00130000', '0.00061268', '0.00090000', '0.00050000', '0.00007554', '0.00400000', '0.00030096', '0.00008125', '0.00050000']"
507,"['0.01000000', '0.00400000', '0.00790000', '0.00100000']"
508,['0.00031655']
509,"['0.00190000', '0.00007226', '0.01000000', '0.00397000', '0.00100000', '0.00010000']"
510,['3.96334626']
511,"['0.00011133', '0.00040000', '0.00140000', '0.00026000', '0.00000566', '0.00170000', '0.00151412', '0.00052161', '0.00106000', '0.00042100']"
512,['3.95833568']
513,"['0.00210925', '0.00700000', '0.00130000', '0.00571000', '0.00100000', '0.00050106', '0.00011920', '0.00070000', '0.00100000', '0.00933765', '0.02126000']"
514,"['0.00107100', '0.01229700', '0.00653948', '0.00169662']"
515,"['0.00213201', '0.00344105']"
516,"['0.00220000', '0.00424628', '0.00056269', '0.00950000', '0.00100000', '0.00400000', '0.00001583']"
517,"['0.00008719', '0.02203000', '0.06190000', '0.00975259', '0.00000503', '0.02550000']"
518,['0.01000000']
519,"['0.01900000', '0.00524631']"
520,"['0.00004516', '0.01000000', '0.08607737', '0.00100000', '0.00040000', '0.01026670', '0.02000000', '0.00223647', '0.01000000', '0.01000000']"
521,['0.00184806']
522,['0.01604660']
523,"['0.00155000', '0.02280000', '0.04000000', '0.03580000', '0.00500000', '0.00019143']"
524,"['0.00593310', '0.10414930']"
525,['0.01100000']
526,"['0.00015000', '0.00007333']"
527,"['0.00001767', '0.01000000', '0.02760084', '0.00259000', '0.10900000', '0.01000000', '0.01990000', '0.02069671', '0.00290000', '0.00508549', '0.04158176', '0.00067183']"
528,"['0.05000000', '0.00069715', '0.00313728']"
529,['0.48548154']
530,['0.27718913']
531,['0.10000000']
