id,input_amounts
0,['0.00329000']
1,['0.00331400']
2,['0.01570000']
3,['0.00483000']
4,['3.00000000']
5,['0.01234529']
6,['0.00066424']
7,['0.00314770']
8,['0.00500000']
9,['0.00940000']
10,['0.00023909']
11,"['0.00287343', '0.00010000', '0.00014860']"
12,['0.00014860']
13,['0.01010000']
14,['0.00011747']
15,"['0.00397280', '0.00010863']"
16,['0.00103200']
17,['0.00329000']
18,['1.00000000']
19,['2.00000000']
20,['0.00100000']
21,['0.00913439']
22,['0.01000000']
23,['0.01569000']
24,['0.00893910']
25,['0.00795175']
26,['0.00980000']
27,"['0.00008392', '0.00331400']"
28,['4.00000000']
29,"['0.00056976', '0.00049838', '0.00100000', '0.00090000']"
30,['0.00466916']
31,['2.99667372']
32,"['0.00002077', '0.00329400']"
33,['0.00777728']
34,"['0.00000100', '0.00132765', '0.00000200', '0.00109000', '0.00100000']"
35,['0.00050000']
36,"['0.00007452', '0.00794500']"
37,"['0.00019425', '0.00300000', '0.00021843']"
38,"['0.00007570', '0.00329400']"
39,"['0.00003772', '0.00329400']"
40,['0.00329400']
41,"['0.00006157', '0.00329600']"
42,['0.00390000']
43,['0.00440317']
44,"['0.00020000', '0.00501190']"
45,"['0.00117904', '0.99327435']"
46,['0.00191140']
47,['0.00170615']
48,"['0.00011000', '0.00015148']"
49,"['0.00300000', '0.00034660']"
50,['0.00459697']
51,['0.00786091']
52,"['0.00002909', '0.00083267', '0.00124989', '0.00117624', '0.00005271']"
53,['0.01000000']
54,['0.00666386']
55,"['1.99881687', '0.00333427']"
56,['0.01000000']
57,['0.00699587']
58,['0.00366493']
59,['0.01233113']
60,['0.00932670']
61,['0.00599367']
62,"['0.00266204', '0.00076900']"
63,['0.01300000']
64,['0.00966705']
65,['0.00633144']
66,"['0.00033503', '0.00300142']"
67,['0.02500000']
68,['0.02166076']
69,['0.01833164']
70,['0.01500312']
71,['0.01199929']
72,['0.00878150']
73,['0.00677122']
74,['0.00356167']
75,['0.03535793']
76,"['0.03205351', '0.00009505']"
77,['0.02874768']
78,['0.02541414']
79,['0.02206643']
80,['0.01873229']
81,['0.01539785']
82,['0.00606559']
83,['3.99698600']
84,['3.99365089']
85,"['0.00011407', '0.00023090', '0.00272786']"
86,['0.99339374']
87,['0.00910000']
88,['0.00737435']
89,['0.00471649']
90,"['0.01714000', '0.00005825', '0.00100000']"
91,"['0.00137899', '0.01486165']"
92,['0.00123529']
93,['0.03000000']
94,['0.01999650']
95,['0.01798879']
96,['0.00300000']
97,['0.00116387']
98,['3.99031664']
99,['3.97530440']
100,"['0.00006080', '0.00098946', '0.00100000']"
101,['0.00480000']
102,"['0.00080000', '0.00100000', '0.00021816']"
103,"['0.00000994', '0.00300000']"
104,"['0.00003587', '0.00100000']"
105,"['0.00100000', '0.00107722', '0.00100000']"
106,['0.00200000']
107,['0.00500000']
108,"['0.00100000', '0.00000598']"
109,"['0.00444318', '0.00002484', '0.00046318']"
110,"['0.00100000', '0.00014595']"
111,['0.00120000']
112,"['0.00120000', '0.00087643', '0.00171142', '0.00003772', '0.00023206', '0.00010000']"
113,"['0.00069501', '0.00270000']"
114,"['0.00370000', '0.00100000', '0.00040000', '0.00028336']"
115,['0.00200000']
116,"['0.00098570', '0.00288990']"
117,['0.00015692']
118,"['0.00228044', '0.00341677']"
119,"['0.00300000', '0.00001316']"
120,"['0.00006000', '0.00163049', '0.00006461', '0.00000487', '0.00360000', '0.00200000', '0.00090000', '0.00010000', '0.00091371']"
121,"['0.00390000', '0.00012205', '0.00100000']"
122,['0.00454585']
123,['0.01490000']
124,"['0.00290000', '0.01450000']"
125,"['0.00110000', '0.00300000', '0.00592000']"
126,"['0.00008000', '0.00090000', '0.00000547', '0.00937813', '0.00464370', '0.00001255']"
127,"['0.00169500', '0.00116333']"
128,['0.00480000']
129,['0.00345050']
130,['5.00000000']
131,"['0.00022269', '0.00085139', '0.00480000', '0.00025639']"
132,['0.00638768']
133,['0.01109159']
134,['0.00490000']
135,"['0.00500000', '2.99333237', '0.00004222', '0.00500000']"
136,"['0.00001199', '0.01000000']"
137,['0.00213902']
138,"['0.00013380', '0.00049540', '0.00100000', '0.00008743']"
139,['0.00214425']
140,"['0.00069882', '0.00880000', '0.00053724', '0.00300000']"
141,['0.00226500']
142,"['0.00200000', '0.00002688']"
143,['0.00070000']
144,['0.03500000']
145,"['0.00900000', '0.00001847', '0.00024546']"
146,"['0.00180000', '0.00025791', '0.00100000']"
147,['0.00280000']
148,"['0.00290000', '0.00300000']"
149,"['0.00880000', '0.00113049']"
150,"['0.00500000', '0.00500000']"
151,"['0.00600000', '0.00790000', '0.00900000', '0.00600000', '0.00500000', '0.00012230', '0.00860000', '0.01598416', '0.00027514', '0.00013903']"
152,['0.01780000']
153,"['0.97291101', '0.00980000']"
154,['0.01000000']
155,"['0.00090000', '0.00263338']"
156,"['0.01000000', '0.01000000', '0.01000000', '0.00040000', '0.00500000', '0.00969612', '0.00002022', '0.00090000', '0.01500000', '0.00001327', '0.06000000']"
157,['0.00800000']
158,['0.00442790']
159,"['0.01680000', '0.05000000', '0.03288817', '0.00032371']"
160,"['0.04000000', '0.02959206', '0.00963986', '0.02000000', '0.00084400']"
161,"['0.00800000', '0.03300000', '0.00005374', '0.05900000']"
162,['0.00700000']
163,"['0.00038000', '0.00021000', '0.00357866']"
164,['0.01000000']
165,"['0.00499242', '0.00004142']"
166,['0.00199320']
167,['0.00800000']
168,"['0.01000000', '0.00002653']"
169,"['0.00002088', '0.00100000']"
170,['0.01577720']
171,"['0.00129527', '0.00010000']"
172,['0.00499480']
173,"['0.00371975', '0.00090000']"
174,"['0.00500000', '0.00001654']"
175,['0.01990000']
176,"['0.00969263', '0.00000743', '0.00011409', '0.00040000']"
177,"['0.00980000', '0.00250000']"
178,['0.02471042']
179,['0.00179185']
180,['0.00142771']
181,['0.05000000']
182,['0.06000000']
183,['3.97329300']
184,['0.07024500']
185,['0.00106118']
186,['0.00078250']
187,['0.01403148']
188,['0.09980000']
189,['1.99882081']
190,['0.00287883']
191,['0.00318000']
192,['1.98765551']
193,['0.09990000']
194,['0.01000000']
195,"['0.00003885', '0.00017000', '0.00001718', '0.00090000']"
196,['3.96293319']
197,['0.00105068']
198,"['0.00014000', '0.00500000']"
199,['3.94738029']
200,['0.01090000']
201,['0.05000000']
202,['0.00028000']
203,['0.04229076']
204,['0.05000000']
205,['3.92835269']
