Scenario File,Current Balance,Mean #UTXO,Current #UTXO,#Deposits,#Inputs Spent,#Withdraws,#Uneconomical outputs spent,#Change Created,#Changeless,Min Change Value,Max Change Value,Mean Change Value,Std. Dev. of Change Value,Total Fees,Mean Fees per Withdraw,Cost to Empty (10 sat/vB),Total Cost,Min Input Size,Max Input Size,Mean Input Size,Std. Dev. of Input Size,Usage
bustabit-tiny-hot-wallet_peak-and-tail,0E-8,0,0,0,0,0,0,0,Total: **0**,0,0,0,0,0,0,0E-66,0E-66,0,0,0,0,
bustabit-tiny-hot-wallet_peak-and-tail,15.19440777,25.3860000000,24,267,444,233,1,201,bnb: **29** ; knapsack: **3** ; Total: **32**,0.00000487,4.99389102,0.321131943930,0.989423245474,0.00445190,0.0000191068669528,0.000163200000,0.004615100000,1,15,1.90557939914,1.81459925611,knapsack: **147** ; srd: **57** ; bnb: **29**
bustabit-tiny-hot-wallet_peak-and-tail,23.92733146,30.5030000000,39,594,894,406,1,339,bnb: **60** ; knapsack: **7** ; Total: **67**,0.00000487,4.99389102,0.282165414071,0.950294122764,0.00799271,0.0000196864778325,0.000265200000,0.008257910000,1,15,2.20197044335,2.21076961274,knapsack: **253** ; srd: **93** ; bnb: **60**
bustabit-tiny-hot-wallet_peak-and-tail,27.28318731,38.2026666667,79,961,1318,539,2,436,bnb: **95** ; knapsack: **8** ; Total: **103**,0.00000417,4.99389102,0.243665163211,0.849171710578,0.01141769,0.0000211830983302,0.000537200000,0.011954890000,1,17,2.44526901670,2.59006374022,knapsack: **313** ; srd: **131** ; bnb: **95**
bustabit-tiny-hot-wallet_peak-and-tail,19.66760536,44.5330000000,27,1316,1832,684,4,543,bnb: **129** ; knapsack: **12** ; Total: **141**,0.00000417,8.72998349,0.240966879945,0.877680214065,0.01421879,0.0000207877046784,0.000183600000,0.014402390000,1,26,2.67836257310,3.11122272294,knapsack: **392** ; srd: **163** ; bnb: **129**
bustabit-tiny-hot-wallet_peak-and-tail,26.29722002,42.6204000000,52,1682,2281,818,4,651,bnb: **153** ; knapsack: **14** ; Total: **167**,0.00000417,9.94113595,0.268424818955,1.03384994625,0.01714101,0.0000209547799511,0.000353600000,0.017494610000,1,26,2.78850855746,3.20235760391,knapsack: **475** ; srd: **190** ; bnb: **153**
bustabit-tiny-hot-wallet_peak-and-tail,18.38133976,42.0113333333,28,2008,2777,992,4,797,bnb: **177** ; knapsack: **18** ; Total: **195**,0.00000317,9.94113595,0.321006338331,1.17400174034,0.02146771,0.0000216408366935,0.000190400000,0.021658110000,1,26,2.79939516129,3.16532034924,knapsack: **570** ; srd: **245** ; bnb: **177**
bustabit-tiny-hot-wallet_peak-and-tail,26.40479638,42.6411428571,45,2415,3239,1085,4,869,bnb: **198** ; knapsack: **18** ; Total: **216**,0.00000317,9.94113595,0.322111945017,1.15175425249,0.02359416,0.0000217457695853,0.000306000000,0.023900160000,1,42,2.98525345622,3.63076289028,knapsack: **618** ; srd: **269** ; bnb: **198**
bustabit-tiny-hot-wallet_peak-and-tail,23.47261886,43.5830000000,49,2818,3711,1182,4,942,bnb: **220** ; knapsack: **20** ; Total: **240**,0.00000317,9.94113595,0.306451200584,1.11012156513,0.02636701,0.0000223071150592,0.000333200000,0.026700210000,1,42,3.13959390863,3.87745901383,knapsack: **679** ; srd: **283** ; bnb: **220**
bustabit-tiny-hot-wallet_peak-and-tail,15.35615707,44.6008888889,23,3213,4213,1287,4,1023,bnb: **240** ; knapsack: **24** ; Total: **264**,0.00000317,9.94113595,0.294279093089,1.06903087024,0.03000687,0.0000233153613054,0.000156400000,0.030163270000,1,42,3.27350427350,4.11968367021,knapsack: **735** ; srd: **312** ; bnb: **240**
bustabit-tiny-hot-wallet_peak-and-tail,15.78024885,44.2944000000,23,3571,4690,1429,4,1142,bnb: **262** ; knapsack: **25** ; Total: **287**,0.00000317,9.94113595,0.276269404028,1.01760289228,0.03278766,0.0000229444786564,0.000156400000,0.032944060000,1,42,3.28201539538,4.11182517861,knapsack: **830** ; srd: **337** ; bnb: **262**
bustabit-tiny-hot-wallet_peak-and-tail,22.01734187,42.9716363636,49,3938,5142,1562,4,1253,bnb: **284** ; knapsack: **25** ; Total: **309**,0.00000317,9.99089118,0.314011560192,1.11900381461,0.03562584,0.0000228078361076,0.000333200000,0.035959040000,1,42,3.29193341869,4.14880781106,knapsack: **910** ; srd: **368** ; bnb: **284**
bustabit-tiny-hot-wallet_peak-and-tail,20.44479814,42.1776666667,31,4278,5638,1722,4,1391,bnb: **304** ; knapsack: **27** ; Total: **331**,0.00000317,9.99089118,0.305067439691,1.09060740938,0.03886550,0.0000225699767712,0.000210800000,0.039076300000,1,42,3.27409988386,4.09167355468,knapsack: **1018** ; srd: **400** ; bnb: **304**
bustabit-tiny-hot-wallet_peak-and-tail,20.92327230,42.3289230769,41,4650,6107,1850,5,1498,bnb: **323** ; knapsack: **29** ; Total: **352**,0.00000317,9.99089118,0.294823573672,1.05442178870,0.04173228,0.0000225579891892,0.000278800000,0.042011080000,1,42,3.30108108108,4.12246925418,knapsack: **1100** ; srd: **427** ; bnb: **323**
bustabit-tiny-hot-wallet_peak-and-tail,27.28426168,41.9531428571,64,4990,6566,2010,5,1640,bnb: **340** ; knapsack: **30** ; Total: **370**,0.00000317,9.99089118,0.282771461049,1.01498809266,0.04541601,0.0000225950298507,0.000435200000,0.045851210000,1,42,3.26666666667,4.06768681088,knapsack: **1211** ; srd: **459** ; bnb: **340**
bustabit-tiny-hot-wallet_peak-and-tail,16.99921261,41.5552000000,24,5335,7078,2165,5,1767,bnb: **367** ; knapsack: **31** ; Total: **398**,0.00000317,9.99089118,0.277067007153,0.989505323551,0.04822017,0.0000222725958430,0.000163200000,0.048383370000,1,42,3.26928406467,4.03279115802,knapsack: **1305** ; srd: **493** ; bnb: **367**
bustabit-tiny-hot-wallet_peak-and-tail,12.91941332,40.3158750000,25,5654,7563,2346,5,1934,bnb: **381** ; knapsack: **31** ; Total: **412**,0.00000317,9.99089118,0.293777052632,1.02958107553,0.05175444,0.0000220607161125,0.000170000000,0.051924440000,1,42,3.22378516624,3.95763884658,knapsack: **1417** ; srd: **548** ; bnb: **381**
bustabit-tiny-hot-wallet_peak-and-tail,26.62584558,39.6449411765,39,5963,8032,2537,5,2108,bnb: **397** ; knapsack: **32** ; Total: **429**,0.00000317,9.99089118,0.304656207917,1.05761318334,0.05616553,0.0000221385612929,0.000265200000,0.056430730000,1,42,3.16594402838,3.88036478964,knapsack: **1543** ; srd: **597** ; bnb: **397**
bustabit-tiny-hot-wallet_peak-and-tail,15.61250273,39.8143333333,35,6278,8515,2722,5,2272,bnb: **416** ; knapsack: **34** ; Total: **450**,0.00000317,9.99089118,0.294698864243,1.02718060345,0.05965317,0.0000219151983835,0.000238000000,0.059891170000,1,42,3.12821454813,3.82309338677,knapsack: **1668** ; srd: **638** ; bnb: **416**
bustabit-tiny-hot-wallet_peak-and-tail,19.58154847,39.4392631579,32,6573,8999,2927,5,2458,bnb: **435** ; knapsack: **34** ; Total: **469**,0.00000317,9.99089118,0.284286252722,0.993788676428,0.06337718,0.0000216526067646,0.000217600000,0.063594780000,1,42,3.07447898873,3.74885553648,knapsack: **1810** ; srd: **682** ; bnb: **435**
bustabit-tiny-hot-wallet_peak-and-tail,13.43272432,39.2977000000,18,6892,9490,3108,5,2616,bnb: **458** ; knapsack: **34** ; Total: **492**,0.00000317,9.99089118,0.283227907898,0.973386739881,0.06715790,0.0000216080759331,0.000122400000,0.067280300000,1,42,3.05341055341,3.72489488722,knapsack: **1918** ; srd: **732** ; bnb: **458**
bustabit-tiny-hot-wallet_peak-and-tail,13.07339888,38.3994285714,40,7193,9959,3307,5,2806,bnb: **466** ; knapsack: **35** ; Total: **501**,0.00000317,9.99089118,0.303465730852,1.02808928886,0.07046899,0.0000213090384034,0.000272000000,0.070740990000,1,42,3.01149077714,3.66040120869,knapsack: **2075** ; srd: **766** ; bnb: **466**
bustabit-tiny-hot-wallet_peak-and-tail,12.20958038,38.0264545455,56,7533,10425,3467,5,2948,bnb: **484** ; knapsack: **35** ; Total: **519**,0.00000317,9.99089118,0.305429724393,1.01846468250,0.07444448,0.0000214723045861,0.000380800000,0.074825280000,1,42,3.00692241131,3.63423779115,knapsack: **2168** ; srd: **815** ; bnb: **484**
bustabit-tiny-hot-wallet_peak-and-tail,27.27532295,38.1649565217,55,7877,10896,3623,5,3074,bnb: **512** ; knapsack: **37** ; Total: **549**,0.00000317,9.99089118,0.303676434551,1.01874448396,0.07743898,0.0000213742699420,0.000374000000,0.077812980000,1,42,3.00745238752,3.61353668490,knapsack: **2264** ; srd: **847** ; bnb: **512**
bustabit-tiny-hot-wallet_peak-and-tail,15.43313836,38.0855000000,25,8204,11402,3796,5,3223,bnb: **534** ; knapsack: **39** ; Total: **573**,0.00000317,9.99089118,0.300912835110,1.00799571188,0.08031523,0.0000211578582719,0.000170000000,0.080485230000,1,42,3.00368809273,3.60207627020,knapsack: **2377** ; srd: **885** ; bnb: **534**
bustabit-tiny-hot-wallet_peak-and-tail,24.52861057,38.2753600000,50,8541,11854,3959,5,3363,bnb: **557** ; knapsack: **39** ; Total: **596**,0.00000317,9.99089118,0.300240160455,1.00078401036,0.08431526,0.0000212971103814,0.000340000000,0.084655260000,1,42,2.99419045213,3.58738689224,knapsack: **2460** ; srd: **942** ; bnb: **557**
bustabit-tiny-hot-wallet_peak-and-tail,20.82716648,38.3845384615,31,8875,12350,4125,5,3506,bnb: **578** ; knapsack: **41** ; Total: **619**,0.00000317,9.99089118,0.294528252935,0.987391964513,0.08691851,0.0000210711539394,0.000210800000,0.087129310000,1,42,2.99393939394,3.56418385035,knapsack: **2580** ; srd: **967** ; bnb: **578**
