id,amount,fees,target_feerate,real_feerate,algo,num_inputs,negative_ev,num_outputs,change_amount,before_num_utxos,after_num_utxos,waste
0,0.00310000,0.00007253,0.00051435,0.000514397163121,knapsack,1,0,2,0.00011747,22,22,5365
1,0.00010100,0.00006530,0.00046306,0.000463120567376,srd,1,0,2,0.00923370,22,22,4857
2,0.00329400,0.00006071,0.00043052,0.000430567375887,srd,1,0,2,0.99664529,22,22,4535
3,0.00410100,0.00006476,0.00045929,0.000459290780142,knapsack,1,0,2,0.00066424,22,22,4820
4,0.00329000,0.00005351,0.00025725,0.000257259615385,knapsack,2,0,2,0.00006396,22,21,4162
5,0.00319400,0.00001690,0.00011981,0.000119858156028,knapsack,1,0,2,0.00008310,21,21,1459
6,0.00040100,0.00002415,0.00017125,0.000171276595745,knapsack,1,0,2,0.00023909,21,21,1968
7,0.00262000,0.00002932,0.00020791,0.000207943262411,knapsack,1,0,2,0.00064468,21,21,2331
8,0.00100000,0.00002720,0.00019288,0.000192907801418,srd,1,0,2,0.00228680,21,21,2182
9,0.00650000,0.00002657,0.00018838,0.000188439716312,srd,1,0,2,0.00270713,22,22,2137
10,0.00014000,0.00001517,0.00010753,0.000107588652482,srd,1,0,2,0.00213163,22,22,1338
11,0.00310000,0.00002932,0.00007917,0.0000936741214058,bnb,4,0,1,,29,25,967
12,0.00010100,0.00002683,0.00019026,0.000190283687943,knapsack,1,0,2,0.00002077,26,26,2156
13,0.00113200,0.00002890,0.00020493,0.000204964539007,srd,1,0,2,0.00893910,26,26,2302
14,0.00010200,0.00001863,0.00013210,0.000132127659574,knapsack,1,0,2,0.00002797,26,26,1581
15,0.00400000,0.00009421,0.00034131,0.000341340579710,srd,3,0,2,3.99806539,32,30,7478
16,0.00100000,0.00003200,0.00028435,0.000290909090909,bnb,1,0,1,,30,29,1597
17,0.00300000,0.00007157,0.00050756,0.000507588652482,srd,1,0,2,0.00192843,31,31,5298
18,0.00665800,0.00009979,0.00047972,0.000479759615385,srd,2,0,2,0.99318350,31,30,7878
19,0.00110000,0.00008313,0.00058951,0.000589574468085,srd,1,0,2,4.99881687,30,30,6109
20,0.00090000,0.00010000,0.00066830,0.000909090909091,bnb,1,0,1,,30,29,6785
21,0.00110000,0.00008264,0.00058609,0.000586099290780,srd,1,0,2,1.99881736,29,29,6075
22,0.00209300,0.00004609,0.00032686,0.000326879432624,srd,1,0,2,0.00115491,29,29,3509
23,0.00332600,0.00003287,0.00023312,0.000233120567376,srd,1,0,2,0.00664113,29,29,2581
24,0.00424600,0.00002394,0.00016975,0.000169787234043,srd,1,0,2,0.01143006,29,29,1954
25,0.00333000,0.00002478,0.00017571,0.000175744680851,srd,1,0,2,0.02164522,29,29,2012
26,0.00200000,0.00002272,0.00016108,0.000161134751773,srd,1,0,2,0.00691638,29,29,1868
27,0.00337500,0.00001523,0.00010801,0.000108014184397,srd,1,0,2,0.00352615,29,29,1342
28,0.00300000,0.00001843,0.00009927,0.000104124293785,bnb,2,0,1,,29,27,610
29,0.00294600,0.00002618,0.00005283,0.0000687139107612,bnb,5,0,1,,27,22,356
30,0.00332500,0.00001651,0.00011709,0.000117092198582,knapsack,1,0,2,0.00018464,23,23,1432
31,0.00332500,0.00001635,0.00011591,0.000115957446809,srd,1,0,2,0.01234865,23,23,1421
32,0.00330000,0.00001477,0.00006361,0.0000834463276836,bnb,2,0,1,,23,21,393
33,0.00336300,0.00001111,0.00007874,0.0000787943262411,srd,1,0,2,0.00052589,21,21,1053
34,0.00333400,0.00001610,0.00002942,0.0000294332723949,knapsack,7,1,2,0.00014855,24,18,-677
35,0.00030000,0.00000847,0.00004071,0.0000407211538462,knapsack,2,0,2,0.00002472,18,17,545
36,0.00300100,0.00000449,0.00003180,0.0000318439716312,knapsack,1,0,2,0.00030851,17,17,588
37,0.00332900,0.00000408,0.00002890,0.0000289361702128,knapsack,1,0,2,0.00330805,18,18,559
38,0.00332700,0.00000623,0.00002392,0.0000254285714286,bnb,3,0,1,,18,15,-702
39,0.00332700,0.00000325,0.00002302,0.0000230496453901,knapsack,1,0,2,0.00461475,15,15,501
40,0.00322700,0.00000543,0.00003845,0.0000385106382979,knapsack,1,0,2,0.00007562,15,15,654
41,0.00332000,0.00000575,0.00004075,0.0000407801418440,knapsack,1,0,2,0.00128900,15,15,677
42,0.00198400,0.00000460,0.00003259,0.0000326241134752,knapsack,1,0,2,0.00781140,16,16,596
43,0.00322000,0.00000413,0.00002925,0.0000292907801418,knapsack,1,0,2,0.00458727,16,16,562
44,0.00505500,0.00000542,0.00002602,0.0000260576923077,knapsack,2,0,2,0.00081585,18,17,299
45,0.00105000,0.00001280,0.00004637,0.0000463768115942,knapsack,3,0,2,0.00002867,18,16,548
46,0.00020000,0.00000525,0.00003719,0.0000375000,knapsack,1,0,2,0.00279475,16,16,641
47,0.00086900,0.00000448,0.00003177,0.000032000,knapsack,1,0,2,0.00192127,16,16,588
48,0.00020400,0.00000324,0.00002292,0.0000229787234043,knapsack,1,0,2,0.00171403,17,17,500
