id,input_amounts
0,['0.00329000']
1,['0.00940000']
2,['1.00000000']
3,['0.00483000']
4,"['0.00329000', '0.00011747']"
5,['0.00329400']
6,['0.00066424']
7,['0.00329400']
8,['0.00331400']
9,['0.00923370']
10,['0.00228680']
11,"['0.00023909', '0.00008310', '0.00010000', '0.00270713']"
12,['0.00014860']
13,['0.01010000']
14,['0.00014860']
15,"['0.00213163', '4.00000000', '0.00002797']"
16,['0.00103200']
17,['0.00500000']
18,"['0.99664529', '0.00329600']"
19,['5.00000000']
20,['0.00100000']
21,['2.00000000']
22,['0.00329400']
23,['0.01000000']
24,['0.01570000']
25,['0.02500000']
26,['0.00893910']
27,['0.00691638']
28,"['0.00192843', '0.00109000']"
29,"['0.00115491', '0.00010863', '0.00100000', '0.00064468', '0.00006396']"
30,['0.00352615']
31,['0.01569000']
32,"['0.00002077', '0.00329400']"
33,['0.00390000']
34,"['0.00090000', '0.00052589', '0.00100000', '0.00056976', '0.00000200', '0.00050000', '0.00000100']"
35,"['0.00014855', '0.00018464']"
36,['0.00331400']
37,['0.00664113']
38,"['0.00030851', '0.00300000', '0.00002472']"
39,['0.00794500']
40,['0.00330805']
41,['0.00461475']
42,['0.00980000']
43,['0.00781140']
44,"['0.00458727', '0.00128900']"
45,"['0.00020000', '0.00007562', '0.00081585']"
46,['0.00300000']
47,['0.00279475']
48,['0.00192127']
49,['0.01000000']
50,['0.00676957']
51,['0.01000000']
52,"['0.00331533', '0.00002867']"
53,['0.00342249']
54,['0.01143006']
55,['0.00810047']
56,"['0.00011000', '0.00171403', '0.00034660', '0.00008635', '0.00076900']"
57,['0.00477185']
58,['0.01234865']
59,['0.00901875']
60,['0.00601432']
61,"['0.00144091', '0.00268129']"
62,['0.01300000']
63,['0.00966658']
64,"['0.00078837', '0.02164522']"
65,['0.00633363']
66,['0.01909532']
67,['0.01576661']
68,['0.01242737']
69,['0.00909825']
70,['0.00300361']
71,['0.00576973']
72,['0.00255194']
73,['0.03535793']
74,['0.03214838']
75,"['0.00001391', '0.99318350']"
76,['0.02881761']
77,['0.02541927']
78,['0.02208573']
79,['0.01873802']
80,['0.01540388']
81,['0.01206944']
82,"['0.00100000', '0.00273718']"
83,['0.98989090']
84,['0.00910000']
85,['0.00576575']
86,['0.98655579']
87,['0.00275830']
88,['0.01714000']
89,"['0.00039577', '3.99806539']"
90,['0.01448214']
91,['0.96607306']
92,['0.00103265']
93,['0.01115121']
94,"['0.00114771', '0.00116387']"
95,['0.03000000']
96,['0.00300000']
97,"['0.00030021', '0.00098946']"
98,['3.00000000']
99,['0.00480000']
100,['0.00278860']
101,['0.01490000']
102,"['0.00001167', '0.00100000', '0.00100000']"
103,"['0.00002942', '0.00300000']"
104,"['0.00100000', '0.00002228']"
105,"['0.00026323', '0.00100000', '0.00100000', '0.00078125']"
106,"['0.00054166', '0.00100000']"
107,['0.00370000']
108,"['0.00100000', '0.00001125']"
109,"['0.00002876', '0.00200000', '0.00171142', '0.00120000']"
110,"['0.00107722', '0.00006080']"
111,['0.00080000']
112,"['0.00120000', '0.00010000', '0.00200000', '0.00087643']"
113,"['0.00158990', '0.00200000']"
114,"['0.00002487', '0.00002979', '0.00444318', '0.00000614', '0.00000579', '0.00047825', '0.00040000']"
115,['4.99881687']
116,['0.00390000']
117,['0.00018443']
118,"['0.00004067', '0.00454585', '0.00100000']"
119,"['0.00300000', '0.00000903']"
120,"['0.00090000', '0.00006000', '0.00029501', '0.00228044', '0.00008000', '0.00091371', '0.00464370', '0.00010000']"
121,"['0.00341677', '0.00163049']"
122,"['0.00100000', '0.00169500', '0.00090000']"
123,['0.03500000']
124,['0.01031816']
125,"['0.00110000', '0.00592000', '0.00300000']"
126,"['0.00500000', '0.01000000', '0.00004010']"
127,['0.00230333']
128,['0.00270000']
129,['1.99881736']
130,['0.01780000']
131,"['0.00135050', '0.00480000']"
132,"['0.00360000', '0.00290000']"
133,['0.01109159']
134,"['0.00008743', '0.00015195', '0.00025639', '0.00226500']"
135,"['0.00029862', '0.00049540', '0.00002619', '0.00900000', '0.00020528']"
136,"['0.00500000', '0.00500000', '0.00001298']"
137,['0.00213902']
138,['0.00300000']
139,"['0.00100000', '0.00129455']"
140,"['0.00500000', '0.00790000', '0.00013380']"
141,"['0.00069882', '0.00068421', '0.00100000']"
142,"['0.00002762', '0.00200000']"
143,['0.00070000']
144,['0.00280000']
145,"['0.00600000', '0.00300000', '0.00024546', '0.00001921']"
146,['0.00480000']
147,['0.00176007']
148,"['0.00500000', '0.00068817', '0.00009056']"
149,"['0.00800000', '0.00001516', '0.00180000']"
150,"['0.00490000', '0.00500000']"
151,"['0.00017514', '0.00600000', '0.00000462', '0.01450000', '0.00880000', '0.00003932', '0.00290000', '0.00880000', '0.00800000', '0.00980000']"
152,['0.01169102']
153,"['0.02799537', '0.01000000', '0.00263338', '0.00040000', '0.00900000']"
154,['0.01000000']
155,['0.00860000']
156,"['0.01000000', '0.00966822', '0.00036916', '0.06000000', '0.01000000', '0.01500000', '0.00969612', '0.00539344', '0.00090000']"
157,['0.00500000']
158,['0.00090000']
159,"['0.05000000', '0.00142790', '0.01990000', '0.02000000', '0.00963986']"
160,"['0.00005076', '0.00095431', '0.04000000', '0.05900000', '0.00002022']"
161,"['0.03300000', '0.02648768', '0.02959206', '0.01680000']"
162,['0.00586742']
163,['0.00700000']
164,"['0.00084400', '0.00299385', '0.00038000', '0.00086062']"
165,['0.01000000']
166,['0.00499505']
167,['0.00429712']
168,"['0.01000000', '0.00006000']"
169,"['0.00100000', '0.00005435']"
170,"['0.00129192', '0.00800000', '0.00040000', '0.00010000', '0.00005001', '0.00021000']"
171,['0.02471042']
172,['0.02333493']
173,['0.02205988']
174,"['0.00017000', '0.00500000']"
175,['0.01755604']
176,"['0.00090000', '0.00734867', '0.00250000']"
177,['0.03000000']
178,['0.01949447']
179,['0.00053641']
180,['0.00881553']
181,['0.05000000']
182,['1.99558955']
183,"['0.01000000', '4.99780257']"
184,"['0.01000000', '0.06000000']"
185,['0.00500000']
186,['0.00472132']
187,['0.05000000']
188,['0.09990000']
189,['0.05000000']
190,['0.00397767']
191,['4.99741435']
192,['3.99512010']
