Scenario File,Current Balance,Mean #UTXO,Current #UTXO,#Deposits,#Inputs Spent,#Withdraws,#Uneconomical outputs spent,#Change Created,#Changeless,Min Change Value,Max Change Value,Mean Change Value,Std. Dev. of Change Value,Total Fees,Mean Fees per Withdraw,Cost to Empty (10 sat/vB),Total Cost,Min Input Size,Max Input Size,Mean Input Size,Std. Dev. of Input Size,Usage
bustabit-tiny-hot-wallet_peak-and-tail,0E-8,0,0,0,0,0,0,0,Total: **0**,0,0,0,0,0,0,0E-66,0E-66,0,0,0,0,
bustabit-tiny-hot-wallet_peak-and-tail,15.19425411,24.4720000000,23,267,450,233,1,206,bnb: **23** ; knapsack: **4** ; Total: **27**,0.00000462,4.99881687,0.282775097476,1.00618252888,0.00460556,0.0000197663519313,0.000156400000,0.004761960000,1,15,1.93133047210,1.83700150117,knapsack: **151** ; srd: **59** ; bnb: **23**
bustabit-tiny-hot-wallet_peak-and-tail,23.92721848,31.4910000000,44,594,896,406,1,346,bnb: **54** ; knapsack: **6** ; Total: **60**,0.00000462,4.99881687,0.232738309335,0.894130864371,0.00810569,0.0000199647536946,0.000299200000,0.008404890000,1,18,2.20689655172,2.28501327206,knapsack: **256** ; srd: **96** ; bnb: **54**
bustabit-tiny-hot-wallet_peak-and-tail,27.28313303,41.2846666667,89,961,1315,539,2,443,bnb: **90** ; knapsack: **6** ; Total: **96**,0.00000392,8.79007589,0.266620017743,1.02087472699,0.01147197,0.0000212838033395,0.000605200000,0.012077170000,1,18,2.43970315399,2.57265804732,knapsack: **309** ; srd: **140** ; bnb: **90**
bustabit-tiny-hot-wallet_peak-and-tail,19.66752385,41.8955000000,17,1316,1860,684,4,561,bnb: **114** ; knapsack: **9** ; Total: **123**,0.00000380,9.87325929,0.289601944242,1.16700867728,0.01430030,0.0000209068713450,0.000115600000,0.014415900000,1,57,2.71929824561,3.65698058156,knapsack: **400** ; srd: **170** ; bnb: **114**
bustabit-tiny-hot-wallet_peak-and-tail,26.29730570,41.1264000000,52,1682,2292,818,4,662,bnb: **144** ; knapsack: **12** ; Total: **156**,0.00000380,9.87325929,0.277880972689,1.15007435437,0.01705533,0.0000208500366748,0.000353600000,0.017408930000,1,57,2.80195599022,3.64453563411,knapsack: **480** ; srd: **194** ; bnb: **144**
bustabit-tiny-hot-wallet_peak-and-tail,18.38149364,41.1383333333,36,2008,2778,992,4,806,bnb: **173** ; knapsack: **13** ; Total: **186**,0.00000317,9.87325929,0.287524029467,1.11992456965,0.02131383,0.0000214857157258,0.000244800000,0.021558630000,1,57,2.80040322581,3.54394067078,knapsack: **570** ; srd: **249** ; bnb: **173**
bustabit-tiny-hot-wallet_peak-and-tail,26.40499981,43.5388571429,47,2415,3245,1085,4,877,bnb: **194** ; knapsack: **14** ; Total: **208**,0.00000317,9.87325929,0.284727728301,1.09644159694,0.02339073,0.0000215582764977,0.000319600000,0.023710330000,1,57,2.99078341014,3.96873247843,knapsack: **618** ; srd: **273** ; bnb: **194**
bustabit-tiny-hot-wallet_peak-and-tail,23.47281692,44.7900000000,49,2818,3719,1182,4,950,bnb: **218** ; knapsack: **14** ; Total: **232**,0.00000317,9.87325929,0.268884925126,1.05654038239,0.02616895,0.0000221395516074,0.000333200000,0.026502150000,1,57,3.14636209814,4.19544522964,knapsack: **677** ; srd: **287** ; bnb: **218**
bustabit-tiny-hot-wallet_peak-and-tail,15.35642088,45.8577777778,27,3213,4215,1287,4,1029,bnb: **243** ; knapsack: **15** ; Total: **258**,0.00000317,9.87325929,0.259435683780,1.01842553208,0.02974306,0.0000231103807304,0.000183600000,0.029926660000,1,57,3.27505827506,4.38775949821,knapsack: **727** ; srd: **317** ; bnb: **243**
bustabit-tiny-hot-wallet_peak-and-tail,15.78046703,45.2632000000,23,3571,4691,1429,4,1143,bnb: **268** ; knapsack: **18** ; Total: **286**,0.00000317,9.87325929,0.249306880892,0.972165075881,0.03256948,0.0000227917984605,0.000156400000,0.032725880000,1,57,3.28271518544,4.33196889732,knapsack: **815** ; srd: **346** ; bnb: **268**
