id,input_amounts
0,['0.00329000']
1,['0.00331400']
2,['0.00794500']
3,['0.00459029']
4,['3.00000000']
5,"['0.00011747', '0.00314770']"
6,['0.00042453']
7,['0.00329000']
8,['0.00329400']
9,['5.00000000']
10,['4.00000000']
11,"['0.00064068', '0.01569000', '0.00014860']"
12,['0.01000000']
13,['0.00226680']
14,['0.01570000']
15,['0.00940000']
16,['0.00103200']
17,['0.01000000']
18,"['0.00483000', '0.00390000']"
19,['2.99667372']
20,['0.00100000']
21,['0.00329600']
22,['0.00980000']
23,['2.99549059']
24,['0.00500000']
25,['0.00766091']
26,"['0.00329400', '0.00050000']"
27,"['0.00010863', '0.00329400']"
28,"['0.00010000', '0.00692843']"
29,"['0.00073006', '0.00109000', '0.00100000', '0.00014860']"
30,['0.00400778']
31,['0.01010000']
32,['0.00331400']
33,['0.00430613']
34,"['0.00329400', '0.00004624']"
35,['0.00056976']
36,"['0.00211336', '0.00000100', '0.00090000', '0.00000200']"
37,"['0.00110590', '0.00197221', '0.00026401']"
38,"['0.00093202', '0.00066627', '0.00176049']"
39,"['0.00300000', '0.00100000']"
40,['0.00535187']
41,['0.00675865']
42,['0.00211944']
43,['0.00343290']
44,['0.00987217']
45,"['0.00020000', '0.00020877', '0.00066821']"
46,['0.00300000']
47,"['0.00279475', '0.00002517']"
48,"['0.00011000', '0.00013084']"
49,['0.00481350']
50,"['0.00194431', '0.00158307']"
51,['0.01000000']
52,"['0.00003207', '0.00331533']"
53,['0.01300000']
54,['0.00966386']
55,['0.00633427']
56,['0.00300565']
57,['0.01335742']
58,['0.01002648']
59,['0.00669658']
60,['0.00369215']
61,['0.01557937']
62,['0.01224774']
63,['0.00891432']
64,['0.00558137']
65,"['0.00224576', '0.00034660', '0.00076900']"
66,['0.02500000']
67,['0.02167129']
68,['0.01833205']
69,['0.01500293']
70,['0.01167441']
71,['0.00867058']
72,['0.00545279']
73,['0.00344251']
74,"['0.00001507', '2.99213172']"
75,['0.03535793']
76,['0.03205351']
77,['0.02865517']
78,['0.02532163']
79,['0.02197392']
80,['0.01863978']
81,['0.01530534']
82,['0.00597308']
83,['2.00000000']
84,['1.99666489']
85,"['0.00002653', '0.00035912', '0.00263535']"
86,['1.00000000']
87,['0.00910000']
88,['0.00737435']
89,"['0.00017836', '0.01714000']"
90,['0.00471649']
91,"['0.01397730', '0.00100000', '0.00023296']"
92,['0.00138556']
93,"['0.00001418', '0.97951727', '0.00020316']"
94,['0.03000000']
95,['0.02799229']
96,['0.00300000']
97,['0.00116387']
98,"['0.00014595', '0.01490000']"
99,['4.99347343']
100,"['0.00002790', '0.00098946', '0.00100000']"
101,['0.00480000']
102,"['0.00100000', '0.00021816', '0.00080000']"
103,"['0.00300000', '0.00000642']"
104,"['0.00000994', '0.00100000']"
105,"['0.00100000', '0.00107722', '0.00100000']"
106,['0.00200000']
107,['0.01780000']
108,"['0.00100000', '0.00006080']"
109,"['0.00005534', '0.00038233', '0.00006461', '0.00444318']"
110,['0.00120000']
111,"['0.00046318', '0.00009442']"
112,"['0.00200000', '0.00005024', '0.00010000', '0.00200000']"
113,"['0.00270000', '0.00087643']"
114,"['0.00001142', '0.00120000', '0.00171142', '0.00100000', '0.00046478', '0.00100000']"
115,['0.00341677']
116,['0.00390000']
117,['0.00018443']
118,"['0.00040000', '0.00228044', '0.00300000']"
119,"['0.00090000', '0.00240247']"
120,"['0.00004067', '0.00010000', '0.00370000', '0.00025639', '0.00029418', '0.00480000', '0.00008000']"
121,"['0.00500000', '0.00006000']"
122,"['0.00163049', '0.00169500', '0.00010295']"
123,"['0.01450000', '0.00800000', '0.00100000']"
124,['0.01568990']
125,"['0.00300000', '0.00592000', '0.00110000']"
126,"['0.00800000', '0.01000000', '0.00003872']"
127,['0.00290000']
128,"['0.00089529', '0.00090000']"
129,['0.96972776']
130,['0.01000000']
131,"['0.00091371', '0.00480000', '0.00044319']"
132,"['0.00360000', '0.00302481']"
133,"['0.00500000', '1.99333064']"
134,['0.00389102']
135,"['0.00027676', '0.00049540', '0.00005284', '0.00464370', '0.00454585']"
136,"['0.00500000', '0.00500000', '0.00004207']"
137,"['0.00113527', '0.00100000']"
138,['0.00213902']
139,['0.00226500']
140,"['0.00043357', '0.00767507', '0.00490000']"
141,"['0.00069882', '0.00100000', '0.00065799']"
142,"['0.00200000', '0.00002966']"
143,['0.00600000']
144,['0.00880000']
145,"['0.00300000', '0.00034294', '0.00300000', '0.00012757', '0.00280000']"
146,['0.00500000']
147,['0.00180000']
148,"['0.00500000', '0.00070000', '0.00013049']"
149,"['0.00290000', '0.00668817', '0.01497588']"
150,"['0.00790000', '0.00196007']"
151,"['0.00980000', '0.00006692', '0.00554546', '0.00860000', '0.03500000']"
152,['0.96649995']
153,"['0.01109159', '0.00900000', '0.06000000']"
154,['0.01000000']
155,"['0.00090000', '0.00263338']"
156,"['0.03007124', '0.00040000', '0.01475351', '0.00969612', '0.02598766', '0.00032371', '0.00600000', '0.01000000', '0.01500000', '0.00880000']"
157,['0.00500000']
158,['0.00090000']
159,"['0.00142790', '0.00900000', '0.00005076', '0.04000000', '0.02000000', '0.00963986', '0.01990000']"
160,"['0.01680000', '0.05900000', '0.02959206']"
161,"['2.98881328', '0.05000000', '0.00000621']"
162,['0.00537720']
163,['0.00700000']
164,['0.01000000']
165,"['0.00002022', '0.00499242']"
166,"['0.00037040', '0.00021000', '0.00013521']"
167,"['0.00001392', '0.00299385']"
168,"['0.00000533', '0.01000000']"
169,"['0.00017000', '0.00084400']"
170,"['0.00010000', '0.01000000']"
171,"['0.00100000', '0.00038000']"
172,['0.00800000']
173,['0.00672495']
174,"['0.00500000', '0.00000966']"
175,['0.02471042']
176,['0.01450305']
177,"['0.00090000', '0.00980000']"
178,['0.03000000']
179,['0.00040000']
180,['0.00222111']
181,['0.96447715']
182,"['0.01932106', '0.00185458']"
183,['2.93880960']
184,['0.05000000']
185,['0.00250000']
186,['0.00222132']
187,['0.09980000']
188,['2.92844979']
189,['0.95414497']
190,['0.01000000']
191,['0.01000000']
192,['0.05000000']
193,"['0.01030920', '2.91426950']"
194,['1.98732451']
195,"['0.00002125', '0.00100000', '0.00010000']"
196,['0.94297967']
197,"['0.00019185', '0.00090000']"
198,['0.00147767']
199,"['0.01000000', '0.05000000']"
200,['1.98529872']
201,['0.00900000']
202,['0.02000000']
203,['0.08864735']
204,['0.01000000']
205,"['0.00099000', '0.00897606', '0.00318000']"
