Scenario File,Current Balance,Mean #UTXO,Current #UTXO,#Deposits,#Inputs Spent,#Withdraws,#Uneconomical outputs spent,#Change Created,#Changeless,Min Change Value,Max Change Value,Mean Change Value,Std. Dev. of Change Value,Total Fees,Mean Fees per Withdraw,Cost to Empty (10 sat/vB),Total Cost,Min Input Size,Max Input Size,Mean Input Size,Std. Dev. of Input Size,Usage
bustabit-tiny-hot-wallet_peak-and-tail,0E-8,0,0,0,0,0,0,0,Total: **0**,0,0,0,0,0,0,0E-66,0E-66,0,0,0,0,
bustabit-tiny-hot-wallet_peak-and-tail,15.19429901,25.0500000000,23,267,444,233,1,200,bnb: **29** ; knapsack: **4** ; Total: **33**,0.00000533,4.99347343,0.2769962916,0.858809771026,0.00456066,0.0000195736480687,0.000156400000,0.004717060000,1,14,1.90557939914,1.64254158975,knapsack: **141** ; srd: **63** ; bnb: **29**
bustabit-tiny-hot-wallet_peak-and-tail,23.92725965,32.0630000000,42,594,892,406,1,340,bnb: **58** ; knapsack: **8** ; Total: **66**,0.00000336,4.99347343,0.253372880059,0.814735129308,0.00806452,0.0000198633497537,0.000285600000,0.008350120000,1,16,2.19704433498,2.23011733800,knapsack: **251** ; srd: **97** ; bnb: **58**
bustabit-tiny-hot-wallet_peak-and-tail,27.28316776,38.7333333333,80,961,1321,539,3,440,bnb: **88** ; knapsack: **11** ; Total: **99**,0.00000336,8.80498776,0.303279973477,1.04857136742,0.01143724,0.0000212193692022,0.000544000000,0.011981240000,1,16,2.45083487941,2.65887275368,knapsack: **312** ; srd: **139** ; bnb: **88**
bustabit-tiny-hot-wallet_peak-and-tail,19.66755267,40.6470000000,22,1316,1850,684,5,556,bnb: **114** ; knapsack: **14** ; Total: **128**,0.00000336,9.82820414,0.285817664191,1.02899473135,0.01427148,0.0000208647368421,0.000149600000,0.014421080000,1,55,2.70467836257,3.52658695662,knapsack: **395** ; srd: **175** ; bnb: **114**
bustabit-tiny-hot-wallet_peak-and-tail,26.29739396,39.9168000000,49,1682,2295,818,5,662,bnb: **140** ; knapsack: **16** ; Total: **156**,0.00000336,9.82820414,0.275062908792,1.03809903665,0.01696707,0.0000207421393643,0.000333200000,0.017300270000,1,55,2.80562347188,3.62638470274,knapsack: **475** ; srd: **203** ; bnb: **140**
bustabit-tiny-hot-wallet_peak-and-tail,18.38138476,39.6266666667,26,2008,2786,992,5,804,bnb: **172** ; knapsack: **16** ; Total: **188**,0.00000317,9.82820414,0.327071241940,1.21274110124,0.02142271,0.0000215954737903,0.000176800000,0.021599510000,1,55,2.80846774194,3.51063094581,knapsack: **572** ; srd: **248** ; bnb: **172**
bustabit-tiny-hot-wallet_peak-and-tail,26.40489343,41.1057142857,46,2415,3245,1085,5,876,bnb: **193** ; knapsack: **16** ; Total: **209**,0.00000317,9.82820414,0.315538629954,1.18176582190,0.02349711,0.0000216563225806,0.000312800000,0.023809910000,1,55,2.99078341014,3.85602368589,knapsack: **624** ; srd: **268** ; bnb: **193**
bustabit-tiny-hot-wallet_peak-and-tail,23.47268212,41.8557500000,46,2818,3721,1182,5,949,bnb: **217** ; knapsack: **16** ; Total: **233**,0.00000317,9.82820414,0.295288511149,1.13867592300,0.02630375,0.0000222535956007,0.000312800000,0.026616550000,1,55,3.14805414552,4.10170144211,knapsack: **686** ; srd: **279** ; bnb: **217**
bustabit-tiny-hot-wallet_peak-and-tail,15.35622579,42.9260000000,23,3213,4218,1287,5,1028,bnb: **241** ; knapsack: **18** ; Total: **259**,0.00000317,9.82820414,0.284792780058,1.09784665430,0.02993815,0.0000232619658120,0.000156400000,0.030094550000,1,55,3.27738927739,4.28549327241,knapsack: **741** ; srd: **305** ; bnb: **241**
bustabit-tiny-hot-wallet_peak-and-tail,15.78037460,42.7872000000,20,3571,4702,1429,5,1151,bnb: **259** ; knapsack: **19** ; Total: **278**,0.00000317,9.82820414,0.268827867020,1.04745949320,0.03266191,0.0000228564800560,0.000136000000,0.032797910000,1,55,3.29041287614,4.25866053300,knapsack: **837** ; srd: **333** ; bnb: **259**
bustabit-tiny-hot-wallet_peak-and-tail,22.01736066,41.4709090909,42,3938,5159,1562,5,1263,bnb: **280** ; knapsack: **19** ; Total: **299**,0.00000317,9.82820414,0.288593425099,1.06080139945,0.03560705,0.0000227958066581,0.000285600000,0.035892650000,1,55,3.30281690141,4.28962423863,knapsack: **918** ; srd: **364** ; bnb: **280**
bustabit-tiny-hot-wallet_peak-and-tail,20.44489380,40.4796666667,27,4278,5653,1722,5,1402,bnb: **300** ; knapsack: **20** ; Total: **320**,0.00000317,9.82820414,0.284817349037,1.04429823666,0.03876984,0.0000225144250871,0.000183600000,0.038953440000,1,55,3.28281068525,4.20448221003,knapsack: **1024** ; srd: **398** ; bnb: **300**
bustabit-tiny-hot-wallet_peak-and-tail,20.92350863,40.5380000000,32,4650,6127,1850,5,1509,bnb: **321** ; knapsack: **20** ; Total: **341**,0.00000317,9.82820414,0.279318348058,1.01914035238,0.04149595,0.0000224302432432,0.000217600000,0.041713550000,1,55,3.31189189189,4.22840573071,knapsack: **1101** ; srd: **428** ; bnb: **321**
bustabit-tiny-hot-wallet_peak-and-tail,27.28454473,40.3444285714,67,4990,6575,2010,5,1652,bnb: **338** ; knapsack: **20** ; Total: **358**,0.00000317,9.82820414,0.268952748753,0.979251251984,0.04513296,0.0000224542089552,0.000455600000,0.045588560000,1,55,3.27114427861,4.16754785647,knapsack: **1206** ; srd: **466** ; bnb: **338**
bustabit-tiny-hot-wallet_peak-and-tail,16.99957874,39.9653333333,34,5335,7085,2165,5,1784,bnb: **360** ; knapsack: **21** ; Total: **381**,0.00000317,9.82820414,0.268283804877,0.966985684446,0.04785404,0.0000221034826790,0.000231200000,0.048085240000,1,55,3.27251732102,4.14619699591,knapsack: **1305** ; srd: **500** ; bnb: **360**
bustabit-tiny-hot-wallet_peak-and-tail,12.91979118,38.8730000000,27,5654,7578,2346,5,1951,bnb: **374** ; knapsack: **21** ; Total: **395**,0.00000317,9.82820414,0.283440996299,0.981173427228,0.05137658,0.0000218996504689,0.000183600000,0.051560180000,1,55,3.23017902813,4.07821731011,knapsack: **1419** ; srd: **553** ; bnb: **374**
bustabit-tiny-hot-wallet_peak-and-tail,26.62625813,38.4652941176,44,5963,8041,2537,5,2122,bnb: **393** ; knapsack: **22** ; Total: **415**,0.00000317,9.82820414,0.283906540693,0.985193886123,0.05575298,0.0000219759479700,0.000299200000,0.056052180000,1,55,3.16949152542,3.99038269336,knapsack: **1556** ; srd: **588** ; bnb: **393**
bustabit-tiny-hot-wallet_peak-and-tail,15.61275557,38.4260000000,25,6278,8539,2722,5,2286,bnb: **413** ; knapsack: **23** ; Total: **436**,0.00000317,9.82820414,0.271814190044,0.953023099810,0.05940033,0.0000218223108009,0.000170000000,0.059570330000,1,55,3.13703159442,3.93394032974,knapsack: **1692** ; srd: **617** ; bnb: **413**
bustabit-tiny-hot-wallet_peak-and-tail,19.58185036,38.0740000000,36,6573,9011,2927,5,2474,bnb: **428** ; knapsack: **25** ; Total: **453**,0.00000317,9.82820414,0.261397826006,0.921681597920,0.06307529,0.0000215494670311,0.000244800000,0.063320090000,1,55,3.07857874957,3.85138863594,knapsack: **1839** ; srd: **660** ; bnb: **428**
bustabit-tiny-hot-wallet_peak-and-tail,13.43306763,38.1411000000,22,6892,9505,3108,5,2635,bnb: **448** ; knapsack: **25** ; Total: **473**,0.00000317,9.82820414,0.259247086926,0.901105107299,0.06681459,0.0000214976158301,0.000149600000,0.066964190000,1,55,3.05823680824,3.82167935161,knapsack: **1954** ; srd: **706** ; bnb: **448**
bustabit-tiny-hot-wallet_peak-and-tail,13.07366698,37.4227619048,39,7193,9973,3307,5,2819,bnb: **461** ; knapsack: **27** ; Total: **488**,0.00000317,9.82820414,0.273860636084,0.944549126802,0.07020089,0.0000212279679468,0.000265200000,0.070466090000,1,55,3.01572422135,3.75582557547,knapsack: **2103** ; srd: **743** ; bnb: **461**
bustabit-tiny-hot-wallet_peak-and-tail,12.20954357,36.9847272727,47,7533,10445,3467,5,2959,bnb: **480** ; knapsack: **28** ; Total: **508**,0.00000317,9.82820414,0.280496865343,0.949353611594,0.07448129,0.0000214829218344,0.000319600000,0.074800890000,1,55,3.01269108740,3.71602484127,knapsack: **2196** ; srd: **791** ; bnb: **480**
bustabit-tiny-hot-wallet_peak-and-tail,27.27524243,37.0621739130,53,7877,10911,3623,5,3087,bnb: **508** ; knapsack: **28** ; Total: **536**,0.00000317,9.82820414,0.282886297065,0.950553570886,0.07751950,0.0000213964946177,0.000360400000,0.077879900000,1,55,3.01159260282,3.69486014238,knapsack: **2290** ; srd: **825** ; bnb: **508**
bustabit-tiny-hot-wallet_peak-and-tail,15.43296911,36.7538333333,20,8204,11425,3796,5,3241,bnb: **526** ; knapsack: **29** ; Total: **555**,0.00000317,9.82820414,0.287808819932,0.954566855578,0.08048448,0.0000212024446786,0.000136000000,0.080620480000,1,55,3.00974710221,3.69076900547,knapsack: **2406** ; srd: **864** ; bnb: **526**
