id,amount,fees,target_feerate,real_feerate,algo,num_inputs,negative_ev,num_outputs,change_amount,before_num_utxos,after_num_utxos,waste
0,0.00310000,0.00007253,0.00051435,0.000514397163121,knapsack,1,0,2,0.00011747,22,22,5297
1,0.00010100,0.00006530,0.00046306,0.000463120567376,srd,1,0,2,0.00777870,22,22,4789
2,0.00329400,0.00006071,0.00043052,0.000430567375887,srd,1,0,2,3.99664529,22,22,4467
3,0.00410100,0.00006476,0.00045929,0.000459290780142,knapsack,1,0,2,0.00066424,22,22,4752
4,0.00329000,0.00005351,0.00025725,0.000257259615385,knapsack,2,0,2,0.00006396,22,21,4026
5,0.00319400,0.00001690,0.00011981,0.000119858156028,knapsack,1,0,2,0.00008310,21,21,1391
6,0.00040100,0.00002415,0.00017125,0.000171276595745,knapsack,1,0,2,0.00023909,21,21,1900
7,0.00262000,0.00002932,0.00020791,0.000207943262411,knapsack,1,0,2,0.00064468,21,21,2263
8,0.00100000,0.00002720,0.00019288,0.000192907801418,srd,1,0,2,0.01466280,21,21,2114
9,0.00650000,0.00002657,0.00018838,0.000188439716312,srd,1,0,2,0.00917343,22,22,2069
10,0.00014000,0.00001517,0.00010753,0.000107588652482,srd,1,0,2,0.00313883,22,22,1270
11,0.00310000,0.00001117,0.00007917,0.0000792198581560,knapsack,1,0,2,0.00002766,29,29,989
12,0.00010100,0.00002683,0.00019026,0.000190283687943,srd,1,0,2,3.99651746,30,30,2088
13,0.00113200,0.00002890,0.00020493,0.000204964539007,srd,1,0,2,0.02383910,30,30,2234
14,0.00010200,0.00002566,0.00013210,0.000144971751412,bnb,2,0,1,,30,28,1059
15,0.00400000,0.00004813,0.00034131,0.000341347517730,srd,1,0,2,3.99246933,34,34,3584
16,0.00100000,0.00003200,0.00028435,0.000290909090909,bnb,1,0,1,,34,33,1529
17,0.00300000,0.00010558,0.00050756,0.000507596153846,srd,2,0,2,0.01000842,35,34,8206
18,0.00665800,0.00009979,0.00047972,0.000479759615385,srd,2,0,2,0.00571164,34,33,7742
19,0.00110000,0.00008313,0.00058951,0.000589574468085,srd,1,0,2,0.01347967,33,33,6041
20,0.00090000,0.00010000,0.00066830,0.000909090909091,bnb,1,0,1,,33,32,6717
21,0.00110000,0.00008264,0.00058609,0.000586099290780,srd,1,0,2,0.00213136,32,32,6007
22,0.00209300,0.00003836,0.00032686,0.000348727272727,bnb,1,0,1,,32,31,1987
23,0.00332600,0.00003287,0.00023312,0.000233120567376,srd,1,0,2,2.99664113,31,31,2513
24,0.00424600,0.00002394,0.00016975,0.000169787234043,srd,1,0,2,2.99237119,31,31,1886
25,0.00333000,0.00002478,0.00017571,0.000175744680851,srd,1,0,2,0.00164522,31,31,1944
26,0.00200000,0.00002272,0.00016108,0.000161134751773,srd,1,0,2,0.00575598,31,31,1800
27,0.00337500,0.00001523,0.00010801,0.000108014184397,srd,1,0,2,0.00236575,31,31,1274
28,0.00300000,0.00003242,0.00009927,0.000103578274760,bnb,4,0,1,,31,27,921
29,0.00294600,0.00002950,0.00005283,0.0000658482142857,bnb,6,0,1,,27,21,-128
30,0.00332500,0.00001651,0.00011709,0.000117092198582,srd,1,0,2,2.98902968,22,22,1364
31,0.00332500,0.00001635,0.00011591,0.000115957446809,srd,1,0,2,0.00055865,22,22,1353
32,0.00330000,0.00002189,0.00006361,0.0000636337209302,knapsack,4,2,2,0.00003907,22,19,706
33,0.00336300,0.00001111,0.00007874,0.0000787943262411,srd,1,0,2,0.01010556,19,19,985
34,0.00333400,0.00000612,0.00002942,0.0000294230769231,knapsack,2,0,2,0.00002563,22,21,222
35,0.00030000,0.00000575,0.00004071,0.0000407801418440,knapsack,1,0,2,0.00019425,21,21,608
36,0.00300100,0.00000449,0.00003180,0.0000318439716312,knapsack,1,0,2,0.00270615,21,21,520
37,0.00332900,0.00001161,0.00002890,0.0000370926517572,bnb,4,0,1,,22,18,-865
38,0.00332700,0.00000498,0.00002392,0.0000239423076923,knapsack,2,0,2,0.00022667,18,17,129
39,0.00332700,0.00000325,0.00002302,0.0000230496453901,knapsack,1,0,2,0.00606975,17,17,433
40,0.00322700,0.00000543,0.00003845,0.0000385106382979,knapsack,1,0,2,0.00283732,17,17,586
41,0.00332000,0.00000575,0.00004075,0.0000407801418440,knapsack,1,0,2,0.00667425,17,17,609
42,0.00198400,0.00000460,0.00003259,0.0000326241134752,knapsack,1,0,2,0.00084872,18,18,528
43,0.00322000,0.00000413,0.00002925,0.0000292907801418,knapsack,1,0,2,0.00345012,18,18,494
44,0.00505500,0.00000542,0.00002602,0.0000260576923077,srd,2,0,2,1.99513383,20,19,163
45,0.00105000,0.00000965,0.00004637,0.0000463942307692,knapsack,2,0,2,0.00001574,20,19,504
46,0.00020000,0.00001574,0.00003719,0.0000889265536723,knapsack,2,0,1,,19,17,350
47,0.00086900,0.00000448,0.00003177,0.0000317730496454,knapsack,1,0,2,0.00212652,17,17,520
48,0.00020400,0.00000324,0.00002292,0.0000229787234043,knapsack,1,0,2,0.00191928,18,18,432
49,0.00322600,0.00000443,0.00003136,0.0000314184397163,knapsack,1,0,2,0.00021969,18,18,516
50,0.00334300,0.00000408,0.00002891,0.0000289361702128,knapsack,1,0,2,0.00665292,18,18,491
51,0.00668000,0.00000689,0.00003311,0.000033125000,knapsack,2,0,2,0.00007603,18,17,283
52,0.00332500,0.00000497,0.00003523,0.0000352482269504,knapsack,1,0,2,0.00667003,17,17,554
53,0.00332500,0.00001114,0.00007896,0.0000790070921986,knapsack,1,0,2,0.00333389,17,17,986
54,0.00332500,0.00000678,0.00003255,0.0000325961538462,srd,2,0,2,2.98604450,17,16,273
55,0.00332500,0.00000533,0.00002561,0.000025625000,srd,2,0,2,0.02058480,16,15,158
56,0.00300000,0.00000413,0.00002929,0.0000292907801418,knapsack,1,0,2,0.00032976,15,15,495
57,0.00332700,0.00000394,0.00002793,0.0000279432624113,knapsack,1,0,2,0.00667748,15,15,481
58,0.00332500,0.00000490,0.00003473,0.0000347517730496,knapsack,1,0,2,0.00334758,15,15,549
59,0.00300000,0.00000867,0.00003138,0.0000314130434783,knapsack,3,0,2,0.00000937,15,13,-83
60,0.00332700,0.00000603,0.00004272,0.0000427659574468,knapsack,1,0,2,0.00001455,13,13,553
61,0.00332700,0.00000463,0.00003282,0.0000328368794326,knapsack,1,0,2,0.00676837,13,13,530
62,0.00332800,0.00000542,0.00003837,0.0000384397163121,knapsack,1,0,2,0.00343495,13,13,584
63,0.00332900,0.00000395,0.00002798,0.0000280141843972,knapsack,1,0,2,0.00010200,13,13,407
64,0.00333000,0.00000561,0.00003974,0.0000397872340426,knapsack,1,0,2,0.00676995,13,13,524
65,0.00332500,0.00000502,0.00003559,0.0000356028368794,knapsack,1,0,2,0.00343993,13,13,483
66,0.00332500,0.00000371,0.00002628,0.0000263120567376,knapsack,1,0,2,0.00011122,13,13,0
67,0.00333500,0.00000626,0.00003005,0.0000300961538462,srd,2,0,2,4.99687843,13,12,-233
68,0.00332500,0.00000412,0.00002921,0.0000292198581560,knapsack,1,0,2,0.00967088,12,12,15
69,0.00332500,0.00000352,0.00002495,0.0000249645390071,knapsack,1,0,2,0.00634236,12,12,-13
70,0.00300000,0.00000565,0.00002712,0.0000271634615385,srd,2,0,2,0.00334608,12,11,-282
71,0.00321200,0.00000579,0.00004100,0.0000410638297872,knapsack,1,0,2,0.00012829,11,11,132
72,0.00200000,0.00001028,0.00007284,0.0000729078014184,knapsack,1,0,2,0.01857452,12,12,461
73,0.00320000,0.00000955,0.00006768,0.0000677304964539,knapsack,1,0,2,0.01536497,12,12,410
74,0.00332500,0.00000851,0.00004091,0.0000409134615385,srd,2,0,2,0.99679478,12,11,-52
75,0.00330000,0.00000442,0.00003128,0.0000313475177305,knapsack,1,0,2,0.01206055,11,11,49
76,0.00339300,0.00000534,0.00003786,0.0000378723404255,knapsack,1,0,2,0.00866221,11,11,115
77,0.00332700,0.00000654,0.00004632,0.0000463829787234,knapsack,1,0,2,0.00532867,11,11,198
78,0.00334100,0.00000989,0.00004752,0.0000475480769231,srd,2,0,2,0.03211826,11,10,59
79,0.00332700,0.00000714,0.00005059,0.0000506382978723,knapsack,1,0,2,0.00199453,10,10,249
80,0.00332900,0.00000544,0.00003857,0.0000385815602837,knapsack,1,0,2,0.02878382,11,11,145
81,0.00932800,0.00000426,0.00003020,0.0000302127659574,knapsack,1,0,2,0.01945156,11,11,62
82,0.00333000,0.00000773,0.00005482,0.0000548226950355,knapsack,1,0,2,0.01611383,12,12,305
83,0.00332500,0.00001011,0.00007168,0.0000717021276596,knapsack,1,0,2,0.01277872,12,12,473
84,0.00332500,0.00000925,0.00006554,0.0000656028368794,knapsack,1,0,2,0.00576575,12,12,435
85,0.00300000,0.00001458,0.00005282,0.0000528260869565,knapsack,3,0,2,0.00008195,12,10,77
86,0.02047700,0.00000573,0.00004059,0.0000406382978723,knapsack,1,0,2,0.97631205,10,10,188
87,0.00172200,0.00000365,0.00002583,0.0000258865248227,knapsack,1,0,2,0.00404010,10,10,58
88,0.00265000,0.00000786,0.00005570,0.0000557446808511,knapsack,1,0,2,0.00138224,11,11,337
89,0.00333000,0.00000750,0.00005315,0.0000531914893617,knapsack,1,0,2,0.00944122,11,11,312
90,0.00332500,0.00000593,0.00004202,0.0000420567375887,knapsack,1,0,2,0.00611029,11,11,202
91,0.01500000,0.00000363,0.00002572,0.0000257446808511,knapsack,1,0,2,0.00213637,12,12,56
92,0.00100000,0.00000323,0.00002289,0.0000229078014184,knapsack,1,0,2,0.00037901,12,12,28
93,0.01000000,0.00000350,0.00002479,0.0000248226950355,knapsack,1,0,2,0.01999650,12,12,-36
94,0.00200000,0.00000771,0.00005464,0.0000546808510638,knapsack,1,0,2,0.00012866,15,15,268
95,0.00200000,0.00000683,0.00003280,0.0000328365384615,srd,2,0,2,0.00423212,15,14,-200
96,0.00200000,0.00001054,0.00007472,0.0000747517730496,knapsack,1,0,2,0.00098946,17,17,467
97,0.00100000,0.00001792,0.00012707,0.000127092198582,srd,1,0,2,0.00378208,17,17,998
98,0.01500000,0.00002395,0.00008674,0.0000867753623188,knapsack,3,0,2,0.00001880,20,18,826
99,0.00200000,0.00001140,0.00008082,0.0000808510638298,srd,1,0,2,0.01798510,18,18,540
100,0.00200000,0.00001793,0.00005212,0.0000521220930233,knapsack,4,0,2,0.00000488,18,15,-107
101,0.00457300,0.00001303,0.00006264,0.0000626442307692,knapsack,2,0,2,0.00002510,15,14,319
102,0.00200000,0.00000822,0.00002977,0.0000297826086957,knapsack,3,0,2,0.00001688,24,22,-465
103,0.00300000,0.00000714,0.00003429,0.0000343269230769,knapsack,2,0,2,0.00000974,24,23,-116
104,0.00100000,0.00000974,0.00005302,0.0000550282485876,bnb,2,0,1,,27,25,-201
105,0.00300000,0.00001261,0.00004568,0.0000456884057971,knapsack,3,0,2,0.00002848,25,23,-92
106,0.00152800,0.00001301,0.00006253,0.0000625480769231,knapsack,2,0,2,0.00045899,24,23,371
107,0.00210000,0.00001010,0.00007160,0.0000716312056738,srd,1,0,2,0.00288990,27,27,494
108,0.00100000,0.00000488,0.00002624,0.0000275706214689,bnb,2,0,1,,30,28,-575
109,0.00492000,0.00001065,0.00004079,0.0000434693877551,bnb,3,0,1,,30,27,-535
110,0.00110000,0.00000558,0.00003952,0.0000395744680851,knapsack,1,0,2,0.00009442,29,29,177
111,0.00050000,0.00000499,0.00003536,0.0000353900709220,knapsack,1,0,2,0.00069501,30,30,150
112,0.00413200,0.00001956,0.00005686,0.0000568604651163,knapsack,4,0,2,0.00004286,32,29,96
113,0.00310000,0.00001545,0.00005597,0.0000559782608696,knapsack,3,0,2,0.00016741,29,27,164
114,0.00536100,0.00002023,0.00004908,0.0000491019417476,knapsack,5,0,2,0.00001112,30,26,-282
115,0.00100000,0.00001430,0.00010135,0.000101418439716,knapsack,1,0,2,0.00098570,26,26,804
116,0.00370900,0.00000968,0.00004653,0.0000465384615385,knapsack,2,0,2,0.00015692,27,26,116
117,0.00013000,0.00001376,0.00009757,0.0000975886524823,knapsack,1,0,2,0.00001316,27,27,694
118,0.00556800,0.00000716,0.00003438,0.0000344230769231,knapsack,2,0,2,0.00012205,27,26,-174
119,0.00300000,0.00001099,0.00003981,0.0000398188405797,srd,3,0,2,0.00191106,37,35,-216
120,0.00924800,0.00002371,0.00003883,0.0000405993150685,bnb,8,0,1,,37,29,-1601
121,0.00500000,0.00000716,0.00003440,0.0000344230769231,knapsack,2,0,2,0.00000600,32,31,-102
122,0.00337500,0.00001472,0.00005332,0.0000533333333333,knapsack,3,0,2,0.00020528,32,30,102
123,0.00850000,0.00001232,0.00008736,0.0000873758865248,srd,1,0,2,4.98836611,30,30,665
