id,input_amounts
0,['0.00329000']
1,['0.00794500']
2,['4.00000000']
3,['0.00483000']
4,"['0.00011747', '0.00329000']"
5,['0.00329400']
6,['0.00066424']
7,['0.00329400']
8,['0.01569000']
9,['0.01570000']
10,['0.00329400']
11,['0.00313883']
12,['3.99664529']
13,['0.02500000']
14,"['0.00002766', '0.00010000']"
15,['3.99651746']
16,['0.00103200']
17,"['0.00980000', '0.00331400']"
18,"['0.00917343', '0.00329600']"
19,['0.01466280']
20,['0.00100000']
21,['0.00331400']
22,['0.00213136']
23,['3.00000000']
24,['2.99664113']
25,['0.00500000']
26,['0.00777870']
27,['0.00575598']
28,"['0.00014860', '0.00014860', '0.00109000', '0.00164522']"
29,"['0.00100000', '0.00090000', '0.00064468', '0.00008310', '0.00010863', '0.00023909']"
30,['2.99237119']
31,['0.00390000']
32,"['0.00329400', '0.00006396', '0.00000200', '0.00000100']"
33,['0.01347967']
34,"['0.00236575', '0.00100000']"
35,['0.00050000']
36,['0.00571164']
37,"['0.00003907', '0.00270615', '0.00002563', '0.00056976']"
38,"['0.00300000', '0.00055865']"
39,['0.00940000']
40,['0.00606975']
41,['0.01000000']
42,['0.00283732']
43,['0.00667425']
44,"['0.00019425', '2.00000000']"
45,"['0.00084872', '0.00022667']"
46,"['0.00001574', '0.00020000']"
47,['0.00300000']
48,['0.00212652']
49,['0.00345012']
50,['0.01000000']
51,"['0.00011000', '0.00665292']"
52,['0.01000000']
53,['0.00667003']
54,"['2.98902968', '0.00034660']"
55,"['0.02383910', '0.00007603']"
56,['0.00333389']
57,['0.01000842']
58,['0.00667748']
59,"['0.00076900', '0.00191928', '0.00032976']"
60,['0.00334758']
61,['0.01010000']
62,['0.00676837']
63,['0.00343495']
64,['0.01010556']
65,['0.00676995']
66,['0.00343993']
67,"['0.00021969', '5.00000000']"
68,['0.01300000']
69,['0.00967088']
70,"['0.00000937', '0.00634236']"
71,['0.00334608']
72,['0.02058480']
73,['0.01857452']
74,"['0.00012829', '1.00000000']"
75,['0.01536497']
76,['0.01206055']
77,['0.00866221']
78,"['0.03535793', '0.00011122']"
79,['0.00532867']
80,['0.03211826']
81,['0.02878382']
82,['0.01945156']
83,['0.01611383']
84,['0.00910000']
85,"['0.00100000', '0.00010200', '0.00199453']"
86,['0.99679478']
87,['0.00576575']
88,['0.00404010']
89,['0.01277872']
90,['0.00944122']
91,['0.01714000']
92,['0.00138224']
93,['0.03000000']
94,['0.00213637']
95,"['0.00611029', '0.00012866']"
96,['0.00300000']
97,['0.00480000']
98,"['0.00006080', '0.00008195', '0.01490000']"
99,['0.01999650']
100,"['0.00098946', '0.00001880', '0.00100000', '0.00001455']"
101,"['0.00423212', '0.00037901']"
102,"['0.00100000', '0.00002510', '0.00100000']"
103,"['0.00300000', '0.00001688']"
104,"['0.00000974', '0.00100000']"
105,"['0.00116387', '0.00080000', '0.00107722']"
106,"['0.00100000', '0.00100000']"
107,['0.00500000']
108,"['0.00000488', '0.00100000']"
109,"['0.00444318', '0.00045899', '0.00002848']"
110,['0.00120000']
111,['0.00120000']
112,"['0.00010000', '0.00009442', '0.00200000', '0.00200000']"
113,"['0.00087643', '0.00171142', '0.00069501']"
114,"['0.00004286', '0.00100000', '0.00378208', '0.00016741', '0.00040000']"
115,['0.00200000']
116,"['0.00288990', '0.00098570']"
117,['0.00015692']
118,"['0.00341677', '0.00228044']"
119,"['0.00012205', '0.00090000', '0.00390000']"
120,"['0.00001112', '0.00360000', '0.00163049', '0.00010000', '0.00091371', '0.00006000', '0.00270000', '0.00025639']"
121,"['0.00001316', '0.00500000']"
122,"['0.00169500', '0.00100000', '0.00090000']"
123,['4.99687843']
124,['0.01000000']
125,"['0.00300000', '0.00110000', '0.00592000']"
126,"['0.00490000', '0.00191106', '0.00800000', '0.00020528']"
127,"['0.00008000', '0.00198517']"
128,['0.00290000']
129,['0.00370000']
