id,input_amounts
0,['0.00329000']
1,"['0.00011747', '0.00014860']"
2,['0.01569000']
3,['0.00483000']
4,['3.00000000']
5,['0.00329000']
6,['0.00066424']
7,['0.00329400']
8,['1.00000000']
9,['2.99667372']
10,['0.99897280']
11,['0.00329400']
12,['0.00980000']
13,['0.00331400']
14,['0.00967217']
15,['0.01233529']
16,['0.00103200']
17,['0.00500000']
18,"['0.00329400', '0.00018283', '0.00331400']"
19,['0.01010000']
20,['0.00100000']
21,['0.00940000']
22,"['0.00192843', '0.00023909']"
23,"['0.00329400', '0.00007910']"
24,"['0.00828716', '0.00064468']"
25,"['0.00329600', '0.00006875']"
26,['5.00000000']
27,"['0.00014860', '0.00010863', '0.00215310', '0.00100000']"
28,['0.01000000']
29,"['0.00056976', '0.00000100', '0.00000200', '0.00090000', '0.00050000', '0.00109000']"
30,['0.00390000']
31,['0.00465053']
32,['0.00698600']
33,['0.00367703']
34,"['0.00100000', '0.00009145', '0.00130918', '0.00055849', '0.00010000', '0.00030292']"
35,['0.00794500']
36,['0.00763925']
37,['0.00463376']
38,"['0.00130068', '0.00300000']"
39,['0.00821736']
40,['0.00488711']
41,['0.00891687']
42,"['0.00165468', '0.00096870']"
43,['0.00559112']
44,['0.00955154']
45,['0.00236699']
46,"['0.00020000', '0.00001394']"
47,['0.00131045']
48,['0.00043697']
49,"['0.00011000', '0.00022973', '0.00300000']"
50,['0.00449287']
51,['0.01000000']
52,"['0.00331533', '0.00010507']"
53,['0.01000000']
54,['0.00666386']
55,"['0.00114579', '0.03535793', '0.00063260']"
56,"['0.00034660', '0.00333427']"
57,['0.01300000']
58,['0.00966906']
59,['0.00633916']
60,['0.00333473']
61,['0.01570000']
62,['0.01236837']
63,['0.00903495']
64,"['0.00076900', '0.02500000']"
65,['0.00570200']
66,['0.02243073']
67,['0.01910202']
68,['0.01576278']
69,['0.01243366']
70,"['0.00067477', '0.00237198']"
71,"['0.00008807', '4.99797728']"
72,['0.00910514']
73,['0.00709486']
74,['0.00388531']
75,['0.03380425']
76,['0.03049983']
77,['0.02710149']
78,['0.02376795']
79,['0.02042024']
80,['0.01708610']
81,['0.01375166']
82,['0.00441940']
83,['0.99881763']
84,['0.00910000']
85,['0.00576575']
86,['0.99548252']
87,"['0.00108167', '0.00100000']"
88,['0.00275830']
89,['0.01714000']
90,['0.01380250']
91,['0.97499979']
92,"['0.00035429', '0.00055454', '0.00010044']"
93,['0.01047157']
94,['0.03000000']
95,"['0.00116387', '2.99014715']"
96,['0.00300000']
97,['4.00000000']
98,['0.02799229']
99,['0.95999616']
100,"['0.00098946', '0.00004110', '0.00100000']"
101,"['0.01780000', '0.00046807', '0.00001617']"
102,"['0.00006080', '0.00100000', '0.00100000']"
103,"['0.00005258', '0.00300000']"
104,"['0.00100000', '0.00004544']"
105,['0.00370000']
106,"['0.00069355', '0.00100000']"
107,['0.01490000']
108,"['0.00003441', '0.00100000']"
109,"['0.00171142', '0.00120000', '0.00200000', '0.00002895']"
110,"['0.00100000', '0.00015254']"
111,['0.00080000']
112,"['0.00010000', '0.00270000', '0.00029501', '0.00107722']"
113,"['0.00200000', '0.00120000']"
114,"['0.00444318', '0.00002067', '0.00004431', '0.00087643']"
115,['0.00800000']
