id,amount,fees,target_feerate,real_feerate,algo,num_inputs,negative_ev,num_outputs,change_amount,before_num_utxos,after_num_utxos,waste
0,0.00310000,0.00007253,0.00051435,0.000514397163121,knapsack,1,0,2,0.00011747,22,22,5297
1,0.00010100,0.00006530,0.00046306,0.000463120567376,srd,1,0,2,1.99983370,22,22,4789
2,0.00329400,0.00006071,0.00043052,0.000430567375887,srd,1,0,2,4.99664529,22,22,4467
3,0.00410100,0.00006476,0.00045929,0.000459290780142,knapsack,1,0,2,0.00066424,22,22,4752
4,0.00329000,0.00003628,0.00025725,0.000257304964539,srd,1,0,2,0.01236372,22,22,2752
5,0.00319400,0.00001690,0.00011981,0.000119858156028,knapsack,1,0,2,0.00007910,22,22,1391
6,0.00040100,0.00002415,0.00017125,0.000171276595745,srd,1,0,2,0.00288885,22,22,1900
7,0.00262000,0.00002932,0.00020791,0.000207943262411,knapsack,1,0,2,0.00023953,22,22,2263
8,0.00100000,0.00002720,0.00019288,0.000192907801418,srd,1,0,2,4.99561809,22,22,2114
9,0.00650000,0.00002657,0.00018838,0.000188439716312,srd,1,0,2,3.99347343,23,23,2069
10,0.00014000,0.00001517,0.00010753,0.000107588652482,srd,1,0,2,0.00313883,23,23,1270
11,0.00310000,0.00001117,0.00007917,0.0000792198581560,knapsack,1,0,2,0.00002766,30,30,989
12,0.00010100,0.00002683,0.00019026,0.000190283687943,srd,1,0,2,4.99549026,31,31,2088
13,0.00113200,0.00002890,0.00020493,0.000204964539007,srd,1,0,2,0.00823910,31,31,2234
14,0.00010200,0.00001547,0.00013210,0.000140636363636,bnb,1,0,1,,31,30,516
15,0.00400000,0.00004813,0.00034131,0.000341347517730,srd,1,0,2,0.02095187,36,36,3584
16,0.00100000,0.00003200,0.00028435,0.000290909090909,bnb,1,0,1,,36,35,1529
17,0.00300000,0.00007157,0.00050756,0.000507588652482,srd,1,0,2,2.99692843,37,37,5230
18,0.00665800,0.00006765,0.00047972,0.000479787234043,srd,1,0,2,0.00563807,37,37,4955
19,0.00110000,0.00008313,0.00058951,0.000589574468085,srd,1,0,2,0.00891687,37,37,6041
20,0.00090000,0.00010000,0.00066830,0.000909090909091,bnb,1,0,1,,37,36,6717
21,0.00110000,0.00008264,0.00058609,0.000586099290780,srd,1,0,2,0.00773423,36,36,6007
22,0.00209300,0.00006799,0.00032686,0.000326875000,srd,2,0,2,0.00572184,36,35,5188
23,0.00332600,0.00004710,0.00023312,0.000266101694915,bnb,2,0,1,,35,33,2778
24,0.00424600,0.00004213,0.00016975,0.000171959183673,bnb,3,0,1,,33,30,2072
25,0.00333000,0.00003655,0.00017571,0.000175721153846,srd,2,0,2,4.99541971,30,29,2663
26,0.00200000,0.00002272,0.00016108,0.000161134751773,srd,1,0,2,0.99797728,29,29,1800
27,0.00337500,0.00001523,0.00010801,0.000108014184397,srd,1,0,2,4.99202948,29,29,1274
28,0.00300000,0.00002065,0.00009927,0.0000992788461538,srd,2,0,2,0.00379119,29,28,1388
29,0.00294600,0.00002676,0.00005283,0.0000597321428571,knapsack,6,2,1,,28,22,148
30,0.00332500,0.00001651,0.00011709,0.000117092198582,srd,1,0,2,0.01761036,23,23,1364
31,0.00332500,0.00001635,0.00011591,0.000115957446809,srd,1,0,2,1.99649235,23,23,1353
32,0.00330000,0.00001400,0.00006361,0.000127272727273,bnb,1,0,1,,23,22,656
33,0.00336300,0.00001111,0.00007874,0.0000787943262411,srd,1,0,2,0.00226396,22,22,985
34,0.00333400,0.00000812,0.00002942,0.0000294202898551,knapsack,3,0,2,0.00002184,25,23,-53
35,0.00030000,0.00000575,0.00004071,0.0000407801418440,knapsack,1,0,2,0.00035849,23,23,608
36,0.00300100,0.00000662,0.00003180,0.0000318269230769,srd,2,0,2,0.99507829,23,22,261
37,0.00332900,0.00001450,0.00002890,0.0000591836734694,bnb,3,0,1,,23,20,-100
38,0.00332700,0.00000498,0.00002392,0.0000239423076923,knapsack,2,0,2,0.00002651,20,19,129
39,0.00332700,0.00000325,0.00002302,0.0000230496453901,knapsack,1,0,2,0.00046094,19,19,433
40,0.00322700,0.00000543,0.00003845,0.0000385106382979,knapsack,1,0,2,0.00006157,19,19,586
41,0.00332000,0.00000575,0.00004075,0.0000407801418440,knapsack,1,0,2,0.00167425,19,19,609
42,0.00198400,0.00000678,0.00003259,0.0000325961538462,knapsack,2,0,2,0.00014441,20,19,274
43,0.00322000,0.00000413,0.00002925,0.0000292907801418,knapsack,1,0,2,0.00472087,19,19,494
44,0.00505500,0.00001028,0.00002602,0.0000419591836735,bnb,3,0,1,,21,18,-510
45,0.00105000,0.00000654,0.00004637,0.0000463829787234,knapsack,1,0,2,0.00194346,19,19,664
46,0.00020000,0.00000525,0.00003719,0.0000372340425532,knapsack,1,0,2,0.00173821,19,19,573
47,0.00086900,0.00000448,0.00003177,0.0000317730496454,knapsack,1,0,2,0.00086473,19,19,520
48,0.00020400,0.00000324,0.00002292,0.0000229787234043,knapsack,1,0,2,0.00065749,20,20,432
49,0.00322600,0.00000443,0.00003136,0.0000314184397163,knapsack,1,0,2,0.00500867,20,20,516
50,0.00334300,0.00000408,0.00002891,0.0000289361702128,knapsack,1,0,2,0.00166159,20,20,491
51,0.00668000,0.00000467,0.00003311,0.0000331205673759,knapsack,1,0,2,0.00311533,20,20,533
52,0.00332500,0.00000733,0.00003523,0.0000352403846154,knapsack,2,0,2,0.00012960,20,19,318
53,0.00332500,0.00001114,0.00007896,0.0000790070921986,srd,1,0,2,0.01427422,19,19,986
54,0.00332500,0.00001560,0.00003255,0.0000325678496868,knapsack,6,0,2,0.00001359,19,14,-743
55,0.00332500,0.00000362,0.00002561,0.0000256737588652,knapsack,1,0,2,0.00667138,14,14,459
56,0.00300000,0.00000413,0.00002929,0.0000292907801418,knapsack,1,0,2,0.00366725,14,14,495
57,0.00332700,0.00000394,0.00002793,0.0000279432624113,knapsack,1,0,2,0.00033631,14,14,481
58,0.00332500,0.00000490,0.00003473,0.0000347517730496,knapsack,1,0,2,0.00667010,14,14,549
59,0.00300000,0.00000443,0.00003138,0.0000314184397163,knapsack,1,0,2,0.00366567,14,14,516
60,0.00332700,0.00000603,0.00004272,0.0000427659574468,knapsack,1,0,2,0.00033264,14,14,628
61,0.00332700,0.00000463,0.00003282,0.0000328368794326,knapsack,1,0,2,0.00666837,14,14,530
