id,input_amounts
0,['0.00329000']
1,['2.00000000']
2,['5.00000000']
3,['0.00483000']
4,['0.01569000']
5,['0.00329000']
6,['0.00331400']
7,['0.00288885']
8,['4.99664529']
9,['4.00000000']
10,['0.00329400']
11,['0.00313883']
12,['4.99561809']
13,['0.00940000']
14,['0.00011747']
15,['0.02500000']
16,['0.00103200']
17,['3.00000000']
18,['0.01236372']
19,['0.01010000']
20,['0.00100000']
21,['0.00891687']
22,"['0.00773423', '0.00014860']"
23,"['0.00007910', '0.00329400']"
24,"['0.00390000', '0.00023953', '0.00014860']"
25,"['0.00329600', '4.99549026']"
26,['1.00000000']
27,['4.99541971']
28,"['0.00109000', '0.00572184']"
29,"['0.00090000', '0.00100000', '0.00000200', '0.00050000', '0.00000100', '0.00056976']"
30,['0.02095187']
31,['1.99983370']
32,['0.00331400']
33,['0.00563807']
34,"['0.00010000', '0.00100000', '0.00226396']"
35,['0.00066424']
36,"['0.00010863', '0.99797728']"
37,"['0.00002184', '0.00329400', '0.00002766']"
38,"['0.00300000', '0.00035849']"
39,['0.00379119']
40,['0.00329400']
41,['0.00500000']
42,"['0.00046094', '0.00167425']"
43,['0.00794500']
44,"['0.00472087', '0.00014441', '0.00020000']"
45,['0.00300000']
46,['0.00194346']
47,['0.00173821']
48,['0.00086473']
49,['0.00823910']
50,['0.00500867']
51,['0.00980000']
52,"['0.00034660', '0.00311533']"
53,['0.01761036']
54,"['0.00002651', '0.00166159', '0.00011000', '0.00065749', '0.00076900', '0.00012960']"
55,['0.01000000']
56,['0.00667138']
57,['0.00366725']
58,['0.01000000']
59,['0.00667010']
60,['0.00366567']
61,['0.01000000']
62,['0.00666837']
63,['0.00333495']
64,['0.01300000']
65,['0.00966439']
66,['0.00633437']
67,"['0.00033631', '0.00300566']"
68,['0.01427422']
69,['0.01094510']
70,['0.00761658']
71,['0.00461275']
72,['0.01570000']
73,['0.01368972']
74,['0.01048017']
75,['0.00714940']
76,['0.00384498']
77,['0.03535793']
78,"['4.99202948', '0.00044664']"
79,"['0.00033264', '3.99347343']"
80,['0.03202439']
81,['0.02868995']
82,['0.01935769']
83,['0.01601996']
84,"['0.00100000', '4.98912523']"
85,['0.00910000']
86,['0.99507829']
87,['0.00609255']
88,['0.00436690']
89,['0.01268485']
90,['0.00934735']
91,['0.01714000']
92,['0.00139496']
93,"['0.00601642', '0.00213637', '0.00039173', '0.00170904']"
94,['0.03000000']
95,"['0.00001359', '2.99692843']"
96,['0.00300000']
97,['0.01780000']
98,"['0.00006080', '0.00006157', '0.01490000']"
99,['2.99493519']
100,"['0.00098946', '0.00116387']"
101,['0.00480000']
102,"['0.00080000', '0.00100000', '0.00021816']"
103,"['0.00300000', '0.00000994']"
104,['0.00107722']
105,"['0.00100000', '0.00100000', '0.00100000', '0.00006974']"
106,"['0.00100000', '0.00100000']"
107,['1.99649235']
108,"['0.00005402', '0.00100000']"
109,"['0.00270000', '0.00024503', '0.00200000']"
110,['0.00120000']
111,"['0.00004856', '0.00045899']"
112,"['0.00001377', '0.00014248', '0.00009442', '0.00390000']"
113,"['0.00200000', '0.00120000']"
114,"['0.00010000', '0.00480000', '0.00040000', '0.00008835']"
115,['0.00171142']
116,"['0.00069712', '0.00228044', '0.00087643']"
117,['0.00100000']
118,"['0.00085624', '0.00480000']"
119,"['0.00300000', '0.00001046']"
120,"['0.00200000', '0.00592000', '0.00013214', '0.00090000', '0.00010000', '0.00008000', '0.00008108', '0.00006000']"
121,"['0.00341677', '0.00163049']"
122,"['0.00090000', '0.00169500', '0.00091371']"
123,['0.01109159']
124,"['0.00790000', '0.00011899']"
125,"['0.00444318', '0.00300000', '0.00257927']"
126,"['0.00110000', '0.00100000', '0.00004010', '0.00490000', '0.00800000']"
127,['0.00290000']
128,['0.00360000']
129,"['0.00025639', '0.00089529', '0.00225050']"
130,"['0.01000000', '0.00500000']"
131,"['2.99292379', '0.00500000']"
132,['0.00800000']
133,"['0.00464370', '0.00016594', '0.00165454', '0.00454585']"
134,['0.00370000']
135,"['0.00500000', '0.00500000', '0.00002180']"
136,"['0.01000000', '0.00001342']"
137,['0.00213902']
138,"['0.00100000', '0.00094425']"
139,['0.00226500']
140,"['0.00300000', '0.00100000', '0.00013380', '0.00888676']"
141,"['0.00065799', '0.00049540', '0.00069882', '0.00023622']"
142,"['0.00001138', '0.00200000']"
143,['0.00070000']
144,['0.00280000']
145,"['0.00600000', '0.00300000', '0.00007114', '0.00024546']"
146,['0.00500000']
147,['0.00180000']
148,"['0.00068817', '0.00500000', '0.00013049']"
149,"['0.00600000', '0.00290000', '2.99181261']"
150,"['0.00196007', '0.00880000']"
151,"['0.01680000', '0.00005108', '0.01450000', '0.01678208', '0.00103521', '0.00980000', '0.00005509']"
152,['2.99090207']
153,['0.06000000']
154,"['0.00090000', '0.00263338', '0.00040000', '0.02799229']"
155,['0.00860000']
156,"['0.00880000', '0.00539344', '0.01500000', '0.00900000', '0.00090000', '0.02193181', '0.03500000', '0.01000000', '0.01000000', '0.00500000']"
157,['0.00900000']
158,['0.00542790']
159,"['0.00969612', '0.04000000', '0.01000000', '0.00963986', '0.00998960', '0.00457866', '0.01990000']"
160,"['0.00084400', '0.05000000', '0.02000000', '0.02959206']"
161,['0.97459556']
162,['0.00700000']
163,"['0.00038000', '0.00378638']"
164,['0.01000000']
165,"['0.00499242', '0.00015731']"
166,"['0.00021000', '0.00014242', '0.00041754']"
167,"['0.00017000', '0.03300000']"
168,"['0.01000000', '0.00000955']"
169,"['0.00100000', '0.00000390']"
170,"['0.00800000', '0.00199320', '0.00006827']"
171,['0.02471042']
172,['0.02333493']
173,['0.02205988']
174,"['0.00500000', '0.00002249']"
175,['0.01755604']
176,"['0.00250000', '0.00040000', '0.00734867']"
177,"['0.00090000', '0.00980000']"
178,['0.03000000']
179,['0.01000000']
180,['0.00963586']
181,['0.05000000']
182,"['0.01000000', '0.00001338', '0.00926933']"
183,['1.99438225']
184,['0.07024500']
185,['0.00500000']
186,['0.00472132']
187,['0.01932106']
188,['0.87459051']
189,['0.05000000']
190,['0.00397767']
191,['1.98402244']
192,['0.03016233']
193,['0.09990000']
194,['0.01000000']
195,['0.06000000']
196,"['0.00900000', '0.00044827', '0.01000000']"
197,['0.00816841']
198,['3.99046854']
199,['0.03966782']
200,['4.98678659']
201,['0.01000000']
202,['0.01803320']
203,['1.98189312']
204,['0.09980000']
205,['0.02064022']
206,"['0.00099000', '0.00028000', '0.00010000', '0.01000000', '0.00014000', '0.00100000', '0.00090000', '0.00019185', '0.00006080', '0.00090000', '0.00200000', '0.00010000', '0.00180000', '0.00050000']"
207,"['0.00715070', '0.05900000']"
208,['0.02900000']
209,['0.00170000']
210,['0.00069103']
211,"['0.00290000', '0.00003641', '0.00751150', '0.00400000', '0.00386770']"
212,"['0.00229870', '0.00097600', '0.00005460', '0.01000000', '0.00180000', '0.02400000', '0.00047992', '0.00318000', '0.00839455', '0.01000000', '0.03883470']"
