Scenario File,Current Balance,Mean #UTXO,Current #UTXO,#Deposits,#Inputs Spent,#Withdraws,#Uneconomical outputs spent,#Change Created,#Changeless,Min Change Value,Max Change Value,Mean Change Value,Std. Dev. of Change Value,Total Fees,Mean Fees per Withdraw,Cost to Empty (10 sat/vB),Total Cost,Min Input Size,Max Input Size,Mean Input Size,Std. Dev. of Input Size,Usage
bustabit-tiny-hot-wallet_peak-and-tail,0E-8,0,0,0,0,0,0,0,Total: **0**,0,0,0,0,0,0,0E-66,0E-66,0,0,0,0,
bustabit-tiny-hot-wallet_peak-and-tail,15.19431861,24.4480000000,25,267,443,233,3,201,bnb: **27** ; knapsack: **5** ; Total: **32**,0.00000390,4.99664529,0.436484604577,1.20564987406,0.00454106,0.0000194895278970,0.000170000000,0.004711060000,1,14,1.90128755365,1.81080284839,knapsack: **144** ; srd: **62** ; bnb: **27**
bustabit-tiny-hot-wallet_peak-and-tail,23.92706284,30.4930000000,36,594,902,406,3,344,bnb: **56** ; knapsack: **6** ; Total: **62**,0.00000343,4.99664529,0.324182716860,1.03851582070,0.00826133,0.0000203481034483,0.000244800000,0.008506130000,1,14,2.22167487685,2.21668714058,knapsack: **260** ; srd: **90** ; bnb: **56**
bustabit-tiny-hot-wallet_peak-and-tail,27.28287446,36.8440000000,75,961,1331,539,4,445,bnb: **85** ; knapsack: **9** ; Total: **94**,0.00000343,8.79744181,0.325830042494,1.10532419919,0.01173054,0.0000217635250464,0.000510000000,0.012240540000,1,14,2.46938775510,2.57534958033,knapsack: **326** ; srd: **128** ; bnb: **85**
bustabit-tiny-hot-wallet_peak-and-tail,19.66714024,38.6830000000,17,1316,1862,684,6,563,bnb: **107** ; knapsack: **14** ; Total: **121**,0.00000343,9.85099465,0.338161661279,1.24506626165,0.01468391,0.0000214677046784,0.000115600000,0.014799510000,1,44,2.72222222222,3.33647972538,knapsack: **427** ; srd: **150** ; bnb: **107**
bustabit-tiny-hot-wallet_peak-and-tail,26.29699488,38.7368000000,54,1682,2294,818,6,666,bnb: **136** ; knapsack: **16** ; Total: **152**,0.00000343,9.85099465,0.353032409910,1.33388417279,0.01736615,0.0000212300122249,0.000367200000,0.017733350000,1,44,2.80440097800,3.36820473385,knapsack: **505** ; srd: **177** ; bnb: **136**
bustabit-tiny-hot-wallet_peak-and-tail,18.38096493,38.4456666667,25,2008,2793,992,6,810,bnb: **165** ; knapsack: **17** ; Total: **182**,0.00000317,9.85099465,0.408652832543,1.44756368370,0.02184254,0.0000220186895161,0.000170000000,0.022012540000,1,44,2.81552419355,3.38024786190,knapsack: **600** ; srd: **227** ; bnb: **165**
bustabit-tiny-hot-wallet_peak-and-tail,26.40438883,39.8314285714,45,2415,3253,1085,6,883,bnb: **185** ; knapsack: **17** ; Total: **202**,0.00000317,9.85099465,0.384437251937,1.39241187099,0.02400171,0.0000221213917051,0.000306000000,0.024307710000,1,44,2.99815668203,3.72163272027,knapsack: **657** ; srd: **243** ; bnb: **185**
bustabit-tiny-hot-wallet_peak-and-tail,23.47223394,40.9780000000,54,2818,3720,1182,6,956,bnb: **209** ; knapsack: **17** ; Total: **226**,0.00000317,9.85099465,0.363761884508,1.34708959130,0.02675193,0.0000226327664975,0.000367200000,0.027119130000,1,44,3.14720812183,3.94333120015,knapsack: **720** ; srd: **253** ; bnb: **209**
bustabit-tiny-hot-wallet_peak-and-tail,15.35583970,42.9488888889,25,3213,4224,1287,6,1036,bnb: **234** ; knapsack: **17** ; Total: **251**,0.00000317,9.85099465,0.344656736303,1.29732076696,0.03032424,0.0000235619580420,0.000170000000,0.030494240000,1,44,3.28205128205,4.19069317885,knapsack: **770** ; srd: **283** ; bnb: **234**
bustabit-tiny-hot-wallet_peak-and-tail,15.77994422,42.6866000000,27,3571,4699,1429,6,1155,bnb: **256** ; knapsack: **18** ; Total: **274**,0.00000317,9.85099465,0.320911024208,1.23302580639,0.03309229,0.0000231576557033,0.000183600000,0.033275890000,1,44,3.28831350595,4.16175184943,knapsack: **866** ; srd: **307** ; bnb: **256**
