id,amount,fees,target_feerate,real_feerate,algo,num_inputs,negative_ev,num_outputs,change_amount,before_num_utxos,after_num_utxos,waste
0,0.00310000,0.00007253,0.00051435,0.000514397163121,knapsack,1,0,2,0.00011747,22,22,5297
1,0.00010100,0.00006530,0.00046306,0.000463120567376,srd,1,0,2,0.00777870,22,22,4789
2,0.00329400,0.00006071,0.00043052,0.000430567375887,srd,1,0,2,0.01234529,22,22,4467
3,0.00410100,0.00006476,0.00045929,0.000459290780142,knapsack,1,0,2,0.00066424,22,22,4752
4,0.00329000,0.00003628,0.00025725,0.000257304964539,srd,1,0,2,2.99667372,22,22,2752
5,0.00319400,0.00001690,0.00011981,0.000119858156028,knapsack,1,0,2,0.00007910,22,22,1391
6,0.00040100,0.00002415,0.00017125,0.000171276595745,srd,1,0,2,0.99957485,22,22,1900
7,0.00262000,0.00002932,0.00020791,0.000207943262411,knapsack,1,0,2,0.00064468,22,22,2263
8,0.00100000,0.00004012,0.00019288,0.000192884615385,srd,2,0,2,2.99578220,22,21,2950
9,0.00650000,0.00002657,0.00018838,0.000188439716312,srd,1,0,2,3.99347343,22,22,2069
10,0.00014000,0.00001517,0.00010753,0.000107588652482,srd,1,0,2,0.01219012,22,22,1270
11,0.00310000,0.00001117,0.00007917,0.0000792198581560,knapsack,1,0,2,0.00018283,29,29,989
12,0.00010100,0.00002683,0.00019026,0.000190283687943,knapsack,1,0,2,0.00002077,30,30,2088
13,0.00113200,0.00005301,0.00020493,0.000216367346939,bnb,3,0,1,,30,27,3012
14,0.00010200,0.00001547,0.00013210,0.000140636363636,bnb,1,0,1,,27,26,516
15,0.00400000,0.00004813,0.00034131,0.000341347517730,srd,1,0,2,4.99595187,32,32,3584
16,0.00100000,0.00003200,0.00028435,0.000290909090909,bnb,1,0,1,,32,31,1529
17,0.00300000,0.00007157,0.00050756,0.000507588652482,knapsack,1,0,2,0.00022243,33,33,5230
18,0.00665800,0.00009979,0.00047972,0.000479759615385,srd,2,0,2,0.00957689,33,32,7742
19,0.00110000,0.00008313,0.00058951,0.000589574468085,srd,1,0,2,0.99839172,32,32,6041
20,0.00090000,0.00010000,0.00066830,0.000909090909091,bnb,1,0,1,,32,31,6717
21,0.00110000,0.00008264,0.00058609,0.000586099290780,srd,1,0,2,0.00881736,31,31,6007
22,0.00209300,0.00006799,0.00032686,0.000326875000,srd,2,0,2,4.99436064,31,30,5188
23,0.00332600,0.00004710,0.00023312,0.000266101694915,bnb,2,0,1,,30,28,2778
24,0.00424600,0.00003531,0.00016975,0.000169759615385,srd,2,0,2,0.00574112,28,27,2565
25,0.00333000,0.00003655,0.00017571,0.000175721153846,srd,2,0,2,0.00712345,27,26,2663
26,0.00200000,0.00002272,0.00016108,0.000161134751773,srd,1,0,2,0.00807728,26,26,1800
27,0.00337500,0.00002100,0.00010801,0.000118644067797,bnb,2,0,1,,26,24,694
28,0.00300000,0.00001400,0.00009927,0.0000992907801418,knapsack,1,0,2,0.00030000,24,24,1188
29,0.00294600,0.00000745,0.00005283,0.0000528368794326,knapsack,1,0,2,0.00036055,24,24,728
30,0.00332500,0.00001651,0.00011709,0.000117092198582,knapsack,1,0,2,0.00055849,25,25,1364
31,0.00332500,0.00001635,0.00011591,0.000115957446809,srd,1,0,2,0.99505037,25,25,1353
32,0.00330000,0.00004345,0.00006361,0.0000636163982430,knapsack,9,2,2,0.00007005,25,17,491
33,0.00336300,0.00001111,0.00007874,0.0000787943262411,knapsack,1,0,2,0.00162589,17,17,985
34,0.00333400,0.00000415,0.00002942,0.0000294326241135,knapsack,1,0,2,0.00240297,20,20,497
35,0.00030000,0.00000575,0.00004071,0.0000407801418440,knapsack,1,0,2,0.00069425,20,20,608
36,0.00300100,0.00000662,0.00003180,0.0000318269230769,knapsack,2,0,2,0.00008960,20,19,261
37,0.00332900,0.00000602,0.00002890,0.0000289423076923,knapsack,2,0,2,0.00129087,20,19,212
38,0.00332700,0.00000338,0.00002392,0.0000239716312057,knapsack,1,0,2,0.00379307,19,19,442
39,0.00332700,0.00000325,0.00002302,0.0000230496453901,knapsack,1,0,2,0.00046282,19,19,433
40,0.00322700,0.00000543,0.00003845,0.0000385106382979,knapsack,1,0,2,0.00454627,19,19,586
41,0.00332000,0.00000575,0.00004075,0.0000407801418440,knapsack,1,0,2,0.00122052,19,19,605
42,0.00198400,0.00001122,0.00003259,0.0000326162790698,knapsack,4,0,2,0.00002852,20,17,-234
43,0.00322000,0.00000413,0.00002925,0.0000292907801418,knapsack,1,0,2,0.00485315,17,17,494
44,0.00505500,0.00000542,0.00002602,0.0000260576923077,knapsack,2,0,2,0.00101325,19,18,159
45,0.00105000,0.00000965,0.00004637,0.0000463942307692,knapsack,2,0,2,0.00004320,19,18,500
46,0.00020000,0.00000525,0.00003719,0.0000372340425532,knapsack,1,0,2,0.00279475,18,18,569
47,0.00086900,0.00000448,0.00003177,0.0000317730496454,knapsack,1,0,2,0.00192127,18,18,516
48,0.00020400,0.00000324,0.00002292,0.0000229787234043,knapsack,1,0,2,0.00171403,19,19,428
49,0.00322600,0.00000443,0.00003136,0.0000314184397163,knapsack,1,0,2,0.00558693,19,19,512
50,0.00334300,0.00000408,0.00002891,0.0000289361702128,knapsack,1,0,2,0.00223985,19,19,349
51,0.00668000,0.00000467,0.00003311,0.0000331205673759,knapsack,1,0,2,0.00289222,19,19,391
52,0.00332500,0.00000973,0.00003523,0.0000352536231884,knapsack,3,0,2,0.00001409,19,17,78
53,0.00332500,0.00001643,0.00007896,0.0000789903846154,knapsack,2,0,2,0.00061245,17,16,1043
54,0.00332500,0.00000459,0.00003255,0.0000325531914894,knapsack,1,0,2,0.00667041,16,16,523
55,0.00332500,0.00000362,0.00002561,0.0000256737588652,knapsack,1,0,2,0.00334179,16,16,317
56,0.00300000,0.00000413,0.00002929,0.0000292907801418,knapsack,1,0,2,0.00033766,16,16,353
57,0.00332700,0.00000581,0.00002793,0.0000279326923077,srd,2,0,2,1.99671039,16,15,53
58,0.00332500,0.00000490,0.00003473,0.0000347517730496,knapsack,1,0,2,0.00667010,15,15,407
59,0.00300000,0.00000443,0.00003138,0.0000314184397163,knapsack,1,0,2,0.00366567,15,15,374
60,0.00332700,0.00000603,0.00004272,0.0000427659574468,knapsack,1,0,2,0.00033264,15,15,486
61,0.00332700,0.00000463,0.00003282,0.0000328368794326,knapsack,1,0,2,0.00885849,15,15,388
62,0.00332800,0.00000542,0.00003837,0.0000384397163121,knapsack,1,0,2,0.00552507,15,15,442
63,0.00332900,0.00000395,0.00002798,0.0000280141843972,knapsack,1,0,2,0.00219212,15,15,340
64,0.00333000,0.00001368,0.00003974,0.0000397674418605,knapsack,4,0,2,0.00013119,15,12,-158
65,0.00332500,0.00000741,0.00003559,0.000035625000,srd,2,0,2,0.03203961,12,11,-155
66,0.00332500,0.00000371,0.00002628,0.0000263120567376,knapsack,1,0,2,0.00967129,11,11,0
67,0.00333500,0.00000424,0.00003005,0.0000300709219858,knapsack,1,0,2,0.00633205,11,11,23
68,0.00332500,0.00000412,0.00002921,0.0000292198581560,knapsack,1,0,2,0.00300293,11,11,15
69,0.00332500,0.00000519,0.00002495,0.0000249519230769,knapsack,2,0,2,0.00044174,11,10,-333
70,0.00300000,0.00000383,0.00002712,0.0000271631205674,knapsack,1,0,2,0.02199617,10,10,-5
71,0.00321200,0.00000579,0.00004100,0.0000410638297872,knapsack,1,0,2,0.01877838,10,10,132
72,0.00200000,0.00001028,0.00007284,0.0000729078014184,knapsack,1,0,2,0.01676810,11,11,447
73,0.00320000,0.00001408,0.00006768,0.0000676923076923,srd,2,0,2,3.99028787,11,10,395
74,0.00332500,0.00000577,0.00004091,0.0000409219858156,knapsack,1,0,2,0.01343733,10,10,145
75,0.00330000,0.00000442,0.00003128,0.0000313475177305,knapsack,1,0,2,0.01013291,10,10,49
76,0.00339300,0.00000534,0.00003786,0.0000378723404255,knapsack,1,0,2,0.00673457,10,10,115
77,0.00332700,0.00000654,0.00004632,0.0000463829787234,knapsack,1,0,2,0.00340103,10,10,198
78,0.00334100,0.00000671,0.00004752,0.0000475886524823,knapsack,1,0,2,0.00005332,10,10,211
79,0.00332700,0.00000714,0.00005059,0.0000506382978723,knapsack,1,0,2,0.02870547,10,10,241
80,0.00332900,0.00000544,0.00003857,0.0000385815602837,knapsack,1,0,2,0.02537103,11,11,145
81,0.00932800,0.00000426,0.00003020,0.0000302127659574,knapsack,1,0,2,0.01603877,11,11,62
82,0.00333000,0.00000773,0.00005482,0.0000548226950355,knapsack,1,0,2,0.01270104,12,12,305
83,0.00332500,0.00001011,0.00007168,0.0000717021276596,knapsack,1,0,2,0.00936593,12,12,473
84,0.00332500,0.00000925,0.00006554,0.0000656028368794,knapsack,1,0,2,0.00576575,12,12,412
85,0.00300000,0.00000745,0.00005282,0.0000528368794326,knapsack,1,0,2,0.00275830,12,12,309
86,0.02047700,0.00000845,0.00004059,0.000040625000,srd,2,0,2,2.97629675,12,11,-11
87,0.00172200,0.00000365,0.00002583,0.0000258865248227,knapsack,1,0,2,0.00103265,11,11,42
88,0.00265000,0.00000786,0.00005570,0.0000557446808511,knapsack,1,0,2,0.00670807,12,12,337
89,0.00333000,0.00000750,0.00005315,0.0000531914893617,knapsack,1,0,2,0.00337057,12,12,328
90,0.00332500,0.00000593,0.00004202,0.0000420567375887,knapsack,1,0,2,0.00003964,12,12,218
91,0.01500000,0.00000535,0.00002572,0.0000257211538462,srd,2,0,2,0.98017621,13,12,-245
92,0.00100000,0.00000323,0.00002289,0.0000229078014184,knapsack,1,0,2,0.00002942,12,12,28
93,0.01000000,0.00000350,0.00002479,0.0000248226950355,knapsack,1,0,2,0.00713650,12,12,-35
94,0.00200000,0.00000771,0.00005464,0.0000546808510638,knapsack,1,0,2,0.00512879,15,15,261
95,0.00200000,0.00000463,0.00003280,0.0000328368794326,knapsack,1,0,2,0.00312416,15,15,45
96,0.00200000,0.00001054,0.00007472,0.0000747517730496,knapsack,1,0,2,0.00098946,18,18,460
97,0.00100000,0.00001792,0.00012707,0.000127092198582,srd,1,0,2,2.97527883,18,18,978
98,0.01500000,0.00001224,0.00008674,0.0000868085106383,srd,1,0,2,1.98169815,21,21,598
99,0.00200000,0.00001140,0.00008082,0.0000808510638298,srd,1,0,2,0.01578860,21,21,540
100,0.00200000,0.00001439,0.00005212,0.0000521376811594,knapsack,3,0,2,0.00000449,21,19,14
101,0.00457300,0.00002155,0.00006264,0.0000626453488372,knapsack,4,0,2,0.00001099,19,16,210
102,0.00200000,0.00000822,0.00002977,0.0000297826086957,knapsack,3,0,2,0.00000897,26,24,-465
103,0.00300000,0.00000897,0.00003429,0.0000506779661017,bnb,2,0,1,,26,24,-200
104,0.00100000,0.00001099,0.00005302,0.0000620903954802,bnb,2,0,1,,28,26,-76
105,0.00300000,0.00001261,0.00004568,0.0000456884057971,knapsack,3,0,2,0.00006461,26,24,-76
106,0.00152800,0.00000882,0.00006253,0.0000625531914894,knapsack,1,0,2,0.00046318,25,25,421
107,0.00210000,0.00001010,0.00007160,0.0000716312056738,srd,1,0,2,0.00288990,29,29,510
108,0.00100000,0.00000546,0.00002624,0.00002625000,knapsack,2,0,2,0.00005534,32,31,-235
109,0.00492000,0.00001404,0.00004079,0.0000408139534884,knapsack,4,0,2,0.00000517,33,30,-388
110,0.00110000,0.00000558,0.00003952,0.0000395744680851,knapsack,1,0,2,0.00009442,32,32,193
111,0.00050000,0.00000499,0.00003536,0.0000353900709220,knapsack,1,0,2,0.00049501,33,33,151
112,0.00413200,0.00002225,0.00005686,0.0000585526315789,bnb,5,0,1,,35,30,-394
113,0.00310000,0.00001165,0.00005597,0.0000560096153846,knapsack,2,0,2,0.00027326,30,29,260
114,0.00536100,0.00001226,0.00004908,0.0000500408163265,bnb,3,0,1,,32,29,-409
115,0.00100000,0.00002109,0.00010135,0.000101394230769,srd,2,0,2,0.00737891,29,28,1019
116,0.00370900,0.00000968,0.00004653,0.0000465384615385,knapsack,2,0,2,0.00008132,29,28,103
117,0.00013000,0.00001376,0.00009757,0.0000975886524823,knapsack,1,0,2,0.00073267,29,29,686
118,0.00556800,0.00000949,0.00003438,0.0000343840579710,knapsack,3,0,2,0.00003650,29,27,-343
119,0.00300000,0.00000829,0.00003981,0.0000398557692308,knapsack,2,0,2,0.00002821,38,37,-10
120,0.00924800,0.00002591,0.00003883,0.0000397392638037,bnb,9,0,1,,39,30,-1857
121,0.00500000,0.00000716,0.00003440,0.0000344230769231,knapsack,2,0,2,0.00004010,33,32,-102
122,0.00337500,0.00001472,0.00005332,0.0000533333333333,knapsack,3,0,2,0.00011899,33,31,102
123,0.00850000,0.00001232,0.00008736,0.0000873758865248,srd,1,0,2,4.98584832,31,31,665
