id,input_amounts
0,['0.00329000']
1,['0.00794500']
2,['0.01570000']
3,['0.00483000']
4,['3.00000000']
5,['0.00329000']
6,['1.00000000']
7,['0.00329400']
8,"['0.00014860', '2.99667372']"
9,['4.00000000']
10,['0.01234529']
11,['0.00329400']
12,['0.00014860']
13,"['0.00066424', '0.00050000', '0.00002077']"
14,['0.00011747']
15,['5.00000000']
16,['0.00103200']
17,['0.00329400']
18,"['0.01569000', '0.00064468']"
19,['0.99957485']
20,['0.00100000']
21,['0.01000000']
22,"['4.99595187', '0.00056976']"
23,"['0.00007910', '0.00329400']"
24,"['0.00980000', '0.00022243']"
25,"['0.00109000', '0.00940000']"
26,['0.01010000']
27,"['0.00010000', '0.00329600']"
28,['0.00331400']
29,['0.00331400']
30,['0.00390000']
31,['0.99839172']
32,"['0.00036055', '0.00030000', '0.00000100', '0.00018283', '0.00055849', '0.00090000', '0.00100000', '0.00000200', '0.00010863']"
33,['0.00500000']
34,['0.00574112']
35,['0.00100000']
36,"['0.00069425', '0.00240297']"
37,"['0.00162589', '0.00300000']"
38,['0.00712345']
39,['0.00379307']
40,['0.00777870']
41,['0.00454627']
42,"['0.00007005', '0.00046282', '0.00129087', '0.00020000']"
43,['0.00807728']
44,"['0.00122052', '0.00485315']"
45,"['0.00101325', '0.00008960']"
46,['0.00300000']
47,['0.00279475']
48,['0.00192127']
49,['0.00881736']
50,['0.00558693']
51,['0.00957689']
52,"['0.00034660', '0.00011000', '0.00289222']"
53,"['0.00223985', '0.00171403']"
54,['0.01000000']
55,['0.00667041']
56,['0.00334179']
57,"['0.00004320', '2.00000000']"
58,['0.01000000']
59,['0.00667010']
60,['0.00366567']
61,['0.01219012']
62,['0.00885849']
63,['0.00552507']
64,"['0.00061245', '0.00033766', '0.00033264', '0.00219212']"
65,"['0.03535793', '0.00001409']"
66,['0.01300000']
67,['0.00967129']
68,['0.00633205']
69,"['0.00300293', '0.00076900']"
70,['0.02500000']
71,['0.02199617']
72,['0.01877838']
73,"['0.00002852', '3.99347343']"
74,['0.01676810']
75,['0.01343733']
76,['0.01013291']
77,['0.00673457']
78,['0.00340103']
79,['0.03203961']
80,['0.02870547']
81,['0.02537103']
82,['0.01603877']
83,['0.01270104']
84,['0.00910000']
85,['0.00576575']
86,"['0.00100000', '2.99578220']"
87,['0.00275830']
88,['0.00936593']
89,['0.00670807']
90,['0.00337057']
91,"['0.99505037', '0.00013119']"
92,['0.00103265']
93,['0.01714000']
94,['0.00713650']
95,['0.00512879']
96,['0.00300000']
97,['2.97629675']
98,['1.99671039']
99,['0.01780000']
100,"['0.00098946', '0.00002942', '0.00100000']"
101,"['0.00003964', '0.00312416', '0.00044174', '0.00100000']"
102,"['0.00080000', '0.00005332', '0.00116387']"
103,"['0.00000897', '0.00300000']"
104,"['0.00100000', '0.00001099']"
105,"['0.00107722', '0.00100000', '0.00100000']"
106,['0.00200000']
107,['0.00500000']
108,"['0.00006080', '0.00100000']"
109,"['0.00046318', '0.00270000', '0.00006461', '0.00171142']"
110,['0.00120000']
111,['0.00100000']
112,"['0.00005534', '0.00009442', '0.00000449', '0.00200000', '0.00200000']"
113,"['0.00288990', '0.00049501']"
114,"['0.00027326', '0.00390000', '0.00120000']"
115,"['0.00800000', '0.00040000']"
116,"['0.00370000', '0.00010000']"
117,['0.00087643']
118,"['0.00480000', '0.00008132', '0.00073267']"
119,"['0.00300000', '0.00003650']"
120,"['0.00090000', '0.00006000', '0.00100000', '0.00002821', '0.00228044', '0.00025639', '0.00000517', '0.00464370', '0.00010000']"
121,"['0.00341677', '0.00163049']"
122,"['0.00169500', '0.00091371', '0.00090000']"
123,['4.99436064']
124,"['0.00011899', '0.00790000']"
125,"['0.00592000', '0.00300000', '0.00110000']"
126,"['0.00008000', '0.00004010', '0.00490000', '0.01000000']"
127,['0.00290000']
128,"['0.00089529', '0.00100000']"
129,['0.00360000']
