id,amount,fees,target_feerate,real_feerate,algo,num_inputs,negative_ev,num_outputs,change_amount,before_num_utxos,after_num_utxos,waste
0,0.00310000,0.00007253,0.00051435,0.000514397163121,knapsack,1,0,2,0.00011747,22,22,5297
1,0.00010100,0.00006530,0.00046306,0.000463120567376,srd,1,0,2,1.99983370,22,22,4789
2,0.00329400,0.00006071,0.00043052,0.000430567375887,srd,1,0,2,3.99664529,22,22,4467
3,0.00410100,0.00006476,0.00045929,0.000459290780142,knapsack,1,0,2,0.00066424,22,22,4752
4,0.00329000,0.00003628,0.00025725,0.000257304964539,srd,1,0,2,0.01236372,22,22,2752
5,0.00319400,0.00001690,0.00011981,0.000119858156028,knapsack,1,0,2,0.00007910,22,22,1391
6,0.00040100,0.00002415,0.00017125,0.000171276595745,srd,1,0,2,0.00897485,22,22,1900
7,0.00262000,0.00002932,0.00020791,0.000207943262411,knapsack,1,0,2,0.00064468,22,22,2263
8,0.00100000,0.00002720,0.00019288,0.000192907801418,srd,1,0,2,0.00226680,22,22,2114
9,0.00650000,0.00002657,0.00018838,0.000188439716312,srd,1,0,2,2.99347343,23,23,2069
10,0.00014000,0.00001517,0.00010753,0.000107588652482,srd,1,0,2,0.00313883,23,23,1270
11,0.00310000,0.00002761,0.00007917,0.0000882108626198,bnb,4,0,1,,30,26,524
12,0.00010100,0.00002683,0.00019026,0.000190283687943,knapsack,1,0,2,0.00002077,27,27,2088
13,0.00113200,0.00002890,0.00020493,0.000204964539007,srd,1,0,2,1.99867280,27,27,2234
14,0.00010200,0.00001863,0.00013210,0.000132127659574,knapsack,1,0,2,0.00002797,27,27,1513
15,0.00400000,0.00004813,0.00034131,0.000341347517730,srd,1,0,2,0.99595187,33,33,3584
16,0.00100000,0.00003200,0.00028435,0.000290909090909,bnb,1,0,1,,33,32,1529
17,0.00300000,0.00007157,0.00050756,0.000507588652482,srd,1,0,2,3.99357372,34,34,5230
18,0.00665800,0.00013241,0.00047972,0.000479746376812,srd,3,0,2,0.02330959,34,32,10529
19,0.00110000,0.00008313,0.00058951,0.000589574468085,srd,1,0,2,0.00211087,32,32,6041
20,0.00090000,0.00010000,0.00066830,0.000909090909091,bnb,1,0,1,,32,31,6717
21,0.00110000,0.00008264,0.00058609,0.000586099290780,srd,1,0,2,1.99749016,31,31,6007
22,0.00209300,0.00004609,0.00032686,0.000326879432624,srd,1,0,2,0.01356091,31,31,3441
23,0.00332600,0.00003287,0.00023312,0.000233120567376,srd,1,0,2,0.00900485,31,31,2513
24,0.00424600,0.00002394,0.00016975,0.000169787234043,srd,1,0,2,0.00573006,31,31,1886
25,0.00333000,0.00002478,0.00017571,0.000175744680851,srd,1,0,2,1.99413538,31,31,1944
26,0.00200000,0.00002272,0.00016108,0.000161134751773,srd,1,0,2,0.00592228,31,31,1800
27,0.00337500,0.00001523,0.00010801,0.000108014184397,srd,1,0,2,0.01991936,31,31,1274
28,0.00300000,0.00003874,0.00009927,0.000101679790026,bnb,5,0,1,,31,26,1077
29,0.00294600,0.00000745,0.00005283,0.0000528368794326,knapsack,1,0,2,0.00018538,26,26,728
30,0.00332500,0.00001651,0.00011709,0.000117092198582,srd,1,0,2,0.00055849,27,27,1364
31,0.00332500,0.00003918,0.00011591,0.000125175718850,bnb,4,0,1,,27,23,1527
32,0.00330000,0.00001400,0.00006361,0.000127272727273,bnb,1,0,1,,23,22,656
33,0.00336300,0.00001111,0.00007874,0.0000787943262411,srd,1,0,2,0.00662589,22,22,985
34,0.00333400,0.00001013,0.00002942,0.0000294476744186,knapsack,4,1,2,0.00014025,25,22,-328
35,0.00030000,0.00000575,0.00004071,0.0000407801418440,knapsack,1,0,2,0.00025274,22,22,608
36,0.00300100,0.00000449,0.00003180,0.0000318439716312,knapsack,1,0,2,0.00030851,22,22,520
37,0.00332900,0.00000798,0.00002890,0.0000289130434783,knapsack,3,0,2,0.00005601,23,21,-67
38,0.00332700,0.00000498,0.00002392,0.0000239423076923,srd,2,0,2,0.00245409,21,20,129
39,0.00332700,0.00000479,0.00002302,0.0000230288461538,knapsack,2,0,2,0.00012230,20,19,114
40,0.00322700,0.00000543,0.00003845,0.0000385106382979,knapsack,1,0,2,0.00268985,19,19,586
41,0.00332000,0.00001125,0.00004075,0.0000407608695652,knapsack,3,0,2,0.00005066,19,17,213
42,0.00198400,0.00000460,0.00003259,0.0000326241134752,knapsack,1,0,2,0.00463729,18,18,528
43,0.00322000,0.00000413,0.00002925,0.0000292907801418,knapsack,1,0,2,0.00141316,18,18,494
44,0.00505500,0.00000367,0.00002602,0.0000260283687943,knapsack,1,0,2,0.00391618,20,20,462
45,0.00105000,0.00000654,0.00004637,0.0000463829787234,knapsack,1,0,2,0.00035662,21,21,664
46,0.00020000,0.00000774,0.00003719,0.0000372115384615,knapsack,2,0,2,0.00004292,21,20,350
47,0.00086900,0.00000448,0.00003177,0.0000317730496454,knapsack,1,0,2,0.00212652,20,20,520
48,0.00020400,0.00000324,0.00002292,0.0000229787234043,knapsack,1,0,2,0.00010127,21,21,432
49,0.00322600,0.00000443,0.00003136,0.0000314184397163,knapsack,1,0,2,0.00068575,21,21,516
50,0.00334300,0.00001192,0.00002891,0.0000289320388350,knapsack,5,0,2,0.00001522,21,17,-625
51,0.00668000,0.00000467,0.00003311,0.0000331205673759,knapsack,1,0,2,0.00232018,17,17,533
52,0.00332500,0.00000497,0.00003523,0.0000352482269504,knapsack,1,0,2,0.00647003,17,17,554
53,0.00332500,0.00001114,0.00007896,0.0000790070921986,srd,1,0,2,0.00966386,17,17,986
54,0.00332500,0.00000899,0.00003255,0.0000325724637681,knapsack,3,0,2,0.00011181,17,15,19
55,0.00332500,0.00000362,0.00002561,0.0000256737588652,knapsack,1,0,2,0.00314141,15,15,379
56,0.00300000,0.00000413,0.00002929,0.0000292907801418,knapsack,1,0,2,0.00013728,15,15,415
57,0.00332700,0.00000394,0.00002793,0.0000279432624113,knapsack,1,0,2,0.00633292,15,15,401
58,0.00332500,0.00000490,0.00003473,0.0000347517730496,knapsack,1,0,2,0.00300302,15,15,469
59,0.00300000,0.00000653,0.00003138,0.0000313942307692,knapsack,2,0,2,0.00001171,15,14,254
60,0.00332700,0.00000603,0.00004272,0.0000427659574468,knapsack,1,0,2,0.00666697,14,14,628
