id,input_amounts
0,['0.00329000']
1,['2.00000000']
2,['4.00000000']
3,['0.00483000']
4,['0.01569000']
5,['0.00329000']
6,['0.00940000']
7,['0.00329400']
8,['0.00329400']
9,['3.00000000']
10,['0.00329400']
11,"['0.00226680', '0.00007910', '0.00011747', '0.00066424']"
12,['0.00014860']
13,['1.99983370']
14,['0.00014860']
15,['1.00000000']
16,['0.00103200']
17,['3.99664529']
18,"['0.00010000', '0.00500000', '0.02500000']"
19,['0.00329400']
20,['0.00100000']
21,['1.99867280']
22,['0.01570000']
23,['0.01236372']
24,['0.01000000']
25,['1.99749016']
26,['0.00794500']
27,['0.02330959']
28,"['0.00090000', '0.00002797', '0.00109000', '0.00002077', '0.00100000']"
29,['0.00313883']
30,['0.00390000']
31,"['0.00211087', '0.00010863', '0.00064468', '0.00050000']"
32,['0.00331400']
33,['0.01000000']
34,"['0.00329600', '0.00018538', '0.00000200', '0.00000100']"
35,['0.00055849']
36,['0.00331400']
37,"['0.00014025', '0.00300000', '0.00025274']"
38,"['0.00005601', '0.00573006']"
39,"['0.00100000', '0.00245409']"
40,['0.00592228']
41,"['0.00268985', '0.00012230', '0.00056976']"
42,['0.00662589']
43,['0.00463729']
44,['0.00897485']
45,['0.00141316']
46,"['0.00005066', '0.00020000']"
47,['0.00300000']
48,['0.00030851']
49,['0.00391618']
50,"['0.00034660', '0.00212652', '0.00068575', '0.00010127', '0.00011000']"
51,['0.00900485']
52,['0.00980000']
53,['0.01300000']
54,"['0.00232018', '0.00076900', '0.00035662']"
55,['0.00647003']
56,['0.00314141']
57,['0.00966386']
58,['0.00633292']
59,"['0.00300302', '0.00001522']"
60,['0.01000000']
61,['0.00666697']
62,['0.00333534']
63,['0.01010000']
64,['0.00676705']
65,['0.00343144']
66,['0.01356091']
67,['0.01023220']
68,['0.00689296']
69,"['2.99347343', '0.00010142']"
70,['0.00356384']
71,['0.01991936']
72,['0.01670157']
73,['0.01469129']
74,['0.01148174']
75,['0.00815097']
76,['0.00484655']
77,['0.03535793']
78,['0.03202439']
79,['0.02867668']
80,['0.02534254']
81,['0.02200810']
82,['0.01267584']
83,['0.00933811']
84,['0.00600300']
85,"['0.00144821', '0.00001171', '0.00100000', '0.00056001']"
86,"['0.00266875', '2.99024466']"
87,['0.00910000']
88,['0.00737435']
89,['0.00471649']
90,['0.01714000']
91,"['0.01380907', '0.00137899']"
92,"['0.99595187', '0.00018271']"
93,['0.03000000']
94,['0.01999650']
95,['0.01798879']
96,['0.00300000']
97,['2.97242796']
98,"['0.01490000', '0.00013728']"
99,['0.01598416']
100,"['0.00098946', '0.00004292', '0.00100000']"
101,"['0.00001923', '5.00000000', '0.00006080']"
102,"['0.00100000', '0.00100000', '0.00001799']"
103,"['0.00080000', '0.00000977', '0.01780000']"
104,['0.00107722']
105,"['0.00300000', '0.00006974']"
106,"['0.00100000', '0.00100000']"
107,['1.99413538']
108,"['0.00006023', '0.00100000']"
109,"['0.00005477', '0.00120000', '0.00370000']"
110,"['0.00100000', '0.00011181']"
111,"['0.00010000', '0.00045899']"
112,"['0.00200000', '0.00116387', '0.00120000']"
113,"['0.00005163', '0.00200000', '0.00021617', '0.00087643']"
114,"['0.00500000', '0.00040000']"
115,['0.00270000']
116,"['0.00168570', '0.00200000', '0.00002351', '0.00002497']"
117,['0.00100000']
118,"['0.00171142', '0.00390000']"
119,"['0.00000917', '0.00300000']"
120,"['0.00010000', '0.00444318', '0.00003626', '0.00008000', '0.00025639', '0.00090000', '0.00006000', '0.00085624', '0.00163049', '0.00091371']"
121,"['0.00002879', '0.00500000']"
122,['0.00341677']
123,['3.99357372']
124,"['0.00800000', '0.00002163']"
125,"['0.00592000', '0.00110000', '0.00300000']"
126,"['0.00360000', '0.00480000', '0.00169500', '1.99202528', '0.00454585']"
127,['0.00228044']
128,"['0.00090000', '0.00100000']"
129,"['0.00290000', '0.00054790']"
130,['0.00790000']
131,"['0.00179102', '0.00464370']"
132,['0.00800000']
133,"['0.00900000', '0.00003425', '0.00165454', '0.00032354']"
134,['0.00480000']
135,"['0.00490000', '0.00226500', '0.00213902', '0.00049540', '0.00021591']"
136,"['0.00500000', '0.00480000', '0.00027573']"
137,['0.00204425']
138,['0.00300000']
139,"['0.00129455', '0.00100000']"
140,"['0.00100000', '0.00068421', '0.00500000', '0.00600000', '0.00069882']"
141,['0.00500000']
142,"['0.00003903', '0.00200000']"
143,"['0.00006332', '0.00037086', '0.00003062']"
144,['0.01450000']
145,"['0.00299291', '0.00300000', '0.00280000', '0.00070000']"
146,['0.00600000']
147,['0.00180000']
148,"['0.00290000', '0.00296007']"
149,['0.01000000']
150,"['0.01000000', '0.01560030']"
151,"['0.01397276', '0.00969612', '0.00013049', '0.01109159', '0.00900000', '0.00980000', '0.00022739', '0.00500000', '0.00009910']"
152,['0.01680000']
153,"['0.01238817', '0.00263338', '0.03500000']"
154,['0.01000000']
155,['0.00860000']
156,"['0.00090000', '0.01587544', '0.00539344', '0.06000000', '0.00880000', '0.01477720', '0.00500000', '0.00880000', '0.00090000', '0.00040000', '0.00019413']"
157,['0.01000000']
158,['0.00642790']
159,"['0.05000000', '0.00001182', '0.04000000', '0.01000000']"
160,"['0.00557866', '0.01500000', '0.01990000', '0.00084400', '0.05900000']"
161,['0.99512981']
162,['0.00700000']
163,['0.00963986']
164,['0.00563371']
165,['0.01000000']
166,"['0.00062613', '0.00021000']"
167,['0.00499505']
168,"['0.00002022', '0.00198985', '0.00800000']"
169,"['0.00013633', '0.00100000']"
170,"['0.01000000', '0.00010000']"
171,"['0.00038000', '0.00040000', '0.00030048', '0.00017000', '0.00013199', '0.00006323']"
172,['0.00199320']
173,"['0.00090000', '0.02959206']"
174,"['0.00005707', '0.00500000']"
175,['0.02000000']
176,"['0.00979263', '0.00071815']"
177,"['0.00980000', '0.00250000']"
178,['0.02471042']
179,['0.00179185']
180,['0.00142771']
181,['0.05000000']
182,['3.98506140']
183,['0.01403148']
184,['0.89512476']
185,['0.00030154']
186,['0.00106118']
187,['2.97141004']
188,"['0.03966782', '0.00500000']"
189,['0.03000000']
190,['0.00367167']
191,['0.09980000']
192,['0.05000000']
193,"['0.01000000', '0.01000000']"
194,['2.96025739']
195,"['0.00010000', '0.00100000', '0.00002286']"
196,['2.95823160']
197,['0.06000000']
198,['0.01000000']
199,['0.88398855']
200,['0.01000000']
201,['0.01000000']
202,['0.00028000']
203,['0.86496095']
204,['3.97421636']
205,['0.02598640']
206,"['0.00090000', '0.00044827', '0.00180000', '0.00390000', '0.00050000', '0.00318000', '0.00006080', '0.00229076', '0.00400000', '0.00170000', '0.00003391', '0.00014000']"
207,"['0.00795187', '0.01090000']"
208,['0.01000000']
209,"['0.00004796', '0.00099000']"
210,['0.00031753']
211,"['0.00090000', '0.00200000', '0.00160691', '0.00290000', '0.00010642', '0.00598365', '0.00482751']"
