id,input_amounts
0,['0.00329000']
1,['0.01569000']
2,['0.01552370']
3,['0.00483000']
4,"['0.00329000', '0.00011747']"
5,['0.00329400']
6,['0.00066424']
7,['0.00329400']
8,"['0.00014860', '0.00794500']"
9,['0.00940000']
10,['4.00000000']
11,"['0.00287343', '0.00014860', '0.00010000']"
12,['5.00000000']
13,['3.00000000']
14,['4.99987217']
15,['2.99883910']
16,['0.00103200']
17,['0.01570000']
18,['3.99984483']
19,['0.00500000']
20,['0.00100000']
21,['0.01000000']
22,['0.01216899']
23,['1.00000000']
24,['0.00980000']
25,['0.01000000']
26,['3.99311918']
27,"['0.00008310', '0.00331400']"
28,"['0.00006396', '0.00023909', '0.00010863', '0.00064468', '0.00090000', '0.00109000']"
29,['0.00329400']
30,['3.99109646']
31,['2.00000000']
32,['0.00331400']
33,"['0.00034055', '0.00000100', '0.00329400', '0.00000200']"
34,"['0.00024746', '0.00329600']"
35,['0.00050000']
36,['0.00381687']
37,"['0.00100000', '0.00056976', '0.00081138', '0.00100000']"
38,"['0.00300000', '0.00019425', '0.00020334']"
39,['0.00390000']
40,['0.00553006']
41,['0.00664522']
42,"['0.01000000', '0.00229763']"
43,['0.00331947']
44,['0.00705348']
45,['0.00199481']
46,"['0.00020000', '0.00004219']"
47,['0.00093827']
48,"['0.00006479', '0.00006398', '0.00009534']"
49,"['0.00034660', '0.00300000']"
50,"['0.01002990', '0.00001378']"
51,['0.00669466']
52,['0.00881736']
53,['0.00548739']
54,"['0.00056975', '0.00076900', '0.00215125']"
55,['0.01010000']
56,['0.00677138']
57,"['4.99975154', '0.00011407']"
58,['0.00376725']
59,['0.01030685']
60,"['0.03535793', '0.00011000']"
61,['0.00730242']
62,['0.00397079']
63,['0.01262843']
64,['0.00929548']
65,['0.00595987']
66,"['0.00015601', '0.00063737', '0.00262985']"
67,['0.01300000']
68,['0.00966076']
69,['0.00633164']
70,"['0.00300312', '0.00000999']"
71,['0.02500000']
72,['0.02178221']
73,['0.01977193']
74,['0.01656238']
75,['0.01323161']
76,['0.00992719']
77,"['2.99479097', '0.00009097']"
78,['0.00652885']
79,"['0.00318114', '0.00043735']"
80,['0.03213204']
81,['0.02879760']
82,['0.01946534']
83,"['0.00003445', '1.99665865']"
84,['0.00910000']
85,['0.00576575']
86,['0.99664113']
87,"['0.00000746', '0.01612761']"
88,['0.00275830']
89,['0.01440769']
90,['0.01107019']
91,"['2.99154530', '0.00100000']"
92,['0.00773926']
93,['0.01714000']
94,['0.00673603']
95,['0.00472832']
96,['0.00272369']
97,['0.03000000']
98,"['0.00010044', '3.98775495']"
99,['0.00713650']
100,"['0.00071315', '0.00028096', '0.00006080', '0.00100000']"
101,['0.00480000']
102,"['0.00100000', '0.00080000', '0.00021816']"
103,"['0.00000994', '0.00300000']"
104,"['0.00003698', '0.00100000']"
105,"['0.00300000', '0.00002595']"
106,"['0.00100000', '0.00100000']"
107,"['0.00100000', '0.00116387']"
108,"['0.00001644', '0.00100000']"
109,"['0.00120000', '0.00370000', '0.00004897']"
110,['0.00120000']
111,"['0.00009442', '0.00045899']"
112,"['0.00010000', '0.00200000', '0.00001098', '0.00200000', '0.00004605']"
113,"['0.00270000', '0.00087643']"
114,"['0.00390000', '0.00040000', '0.00107722']"
115,['1.99335319']
116,"['0.00171142', '0.00001771', '0.00200000']"
117,['0.00046478']
118,"['0.00300000', '0.00228044', '0.00032102']"
119,['0.00341677']
120,"['0.00163049', '0.00100000', '0.00002397', '0.00025639', '0.00010000', '0.00000728', '0.00091371', '0.00444318', '0.00090000']"
121,"['0.00360000', '0.00100000', '0.00041115']"
122,['0.00454585']
123,"['0.00006000', '0.00169500', '0.00008000', '0.00116333', '0.00090000', '0.00464370']"
124,['0.01450000']
125,"['0.00592000', '0.00300000', '0.00110000']"
126,"['0.00512510', '0.01000000']"
127,['0.00290000']
128,['0.00480000']
129,['0.00345050']
130,"['0.00022269', '0.00500000', '0.00089529']"
131,"['0.00500000', '0.00490000']"
132,['0.00648517']
133,['0.01109159']
134,['0.00378882']
135,"['0.00213902', '0.00049540', '0.00500000', '0.00011338', '0.00226500']"
136,"['0.00013971', '0.00500000', '0.00008743', '0.00480000']"
137,"['0.00103307', '0.00100000']"
138,['0.00300000']
139,['0.00500000']
140,"['0.00069882', '0.00002537', '0.00790000', '0.00100000', '0.00339299']"
141,['0.00600000']
142,"['0.00001168', '0.00200000']"
143,['0.00070000']
144,['0.00280000']
145,"['0.00129455', '0.00800000']"
146,"['0.00300000', '0.00024546']"
147,['0.00180000']
148,"['0.00068817', '0.00013049', '0.00500000']"
149,"['0.00399291', '0.00600000']"
150,['0.01000000']
151,"['0.00880000', '0.00800000', '0.00018472', '0.00000501', '0.00900000', '0.00020319', '0.00263338', '0.00969612', '0.00290000', '0.00860000', '0.00900000']"
152,['0.00980000']
153,"['0.01780000', '0.00880000', '0.00005509', '0.00027703', '0.00003516', '0.00040000', '0.01490000', '0.00777720']"
154,['0.01000000']
155,['0.01000000']
156,"['0.00679344', '0.00090000', '0.02898208', '0.06000000', '0.01000000', '0.01500000']"
157,['0.00500000']
158,"['0.00090000', '4.99653280']"
159,"['0.02000000', '0.01990000', '0.00963986', '0.00065889', '0.05000000']"
160,"['0.00018530', '0.05900000', '0.00084400', '0.04000000']"
161,"['0.02959206', '0.03300000', '0.03500000', '0.01680000']"
162,['0.00700000']
163,"['0.00142790', '0.00021000', '0.00001078', '0.00038000', '0.00199320']"
164,['0.01000000']
165,"['0.00002022', '0.00499242']"
166,['0.01000000']
167,['0.00800000']
168,"['0.00499480', '0.00930207']"
169,"['0.00000392', '0.00100000']"
170,['0.01437974']
171,['0.00429122']
172,['0.00291573']
173,"['0.00017000', '0.00434515']"
174,"['0.00500000', '0.00000949']"
175,['0.02471042']
176,['0.01450305']
177,"['0.00090000', '0.00980000']"
178,['0.03000000']
179,['0.00040000']
180,['0.00164068']
181,['0.05000000']
182,['1.99233889']
183,['0.09980000']
184,['0.01932106']
185,['0.00127415']
186,['0.00099547']
187,['2.97753995']
188,['0.05000000']
189,['0.05000000']
190,['0.00250000']
191,['0.00318000']
192,['0.06000000']
193,['0.03966782']
194,['0.03581971']
195,"['0.00000533', '0.00019185', '0.00003586', '0.00090000']"
196,['0.97615840']
197,['2.96638730']
198,['0.01000000']
