id,amount,fees,target_feerate,real_feerate,algo,num_inputs,negative_ev,num_outputs,change_amount,before_num_utxos,after_num_utxos,waste
0,0.00310000,0.00007253,0.00051435,0.000514397163121,knapsack,1,0,2,0.00011747,22,22,5229
1,0.00010100,0.00006530,0.00046306,0.000463120567376,srd,1,0,2,0.00312970,22,22,4721
2,0.00329400,0.00006071,0.00043052,0.000430567375887,srd,1,0,2,0.00604529,22,22,4399
3,0.00410100,0.00006476,0.00045929,0.000459290780142,knapsack,1,0,2,0.00066424,22,22,4684
4,0.00329000,0.00003628,0.00025725,0.000257304964539,srd,1,0,2,0.01236372,22,22,2684
5,0.00319400,0.00002493,0.00011981,0.000119855769231,knapsack,2,0,2,0.00002824,22,21,1594
6,0.00040100,0.00002415,0.00017125,0.000171276595745,knapsack,1,0,2,0.00023909,21,21,1832
7,0.00262000,0.00002932,0.00020791,0.000207943262411,knapsack,1,0,2,0.00064068,21,21,2195
8,0.00100000,0.00002720,0.00019288,0.000192907801418,srd,1,0,2,0.01133652,21,21,2046
9,0.00650000,0.00002657,0.00018838,0.000188439716312,srd,1,0,2,0.00917343,22,22,2001
10,0.00014000,0.00002237,0.00010753,0.000107548076923,knapsack,2,0,2,0.00001447,22,21,1390
11,0.00310000,0.00001117,0.00007917,0.0000792198581560,knapsack,1,0,2,0.00018283,28,28,921
12,0.00010100,0.00002683,0.00019026,0.000190283687943,knapsack,1,0,2,0.00002077,29,29,2020
13,0.00113200,0.00004263,0.00020493,0.000204951923077,srd,2,0,2,0.00505349,29,28,3016
14,0.00010200,0.00003324,0.00013210,0.000135673469388,bnb,3,0,1,,28,25,1137
15,0.00400000,0.00004813,0.00034131,0.000341347517730,srd,1,0,2,0.99595187,31,31,3516
16,0.00100000,0.00003200,0.00028435,0.000290909090909,bnb,1,0,1,,31,30,1461
17,0.00300000,0.00007157,0.00050756,0.000507588652482,srd,1,0,2,0.00826495,32,32,5162
18,0.00665800,0.00006765,0.00047972,0.000479787234043,srd,1,0,2,3.99327435,32,32,4887
19,0.00110000,0.00012262,0.00058951,0.000589519230769,srd,2,0,2,0.00845081,32,31,9438
20,0.00090000,0.00010000,0.00066830,0.000909090909091,bnb,1,0,1,,31,30,6649
21,0.00110000,0.00008264,0.00058609,0.000586099290780,srd,1,0,2,0.00211136,30,30,5939
22,0.00209300,0.00006799,0.00032686,0.000326875000,srd,2,0,2,0.00700396,30,29,5052
23,0.00332600,0.00003287,0.00023312,0.000233120567376,srd,1,0,2,0.00169462,29,29,2445
24,0.00424600,0.00002394,0.00016975,0.000171000,srd,1,0,2,0.02073006,29,29,1818
25,0.00333000,0.00002478,0.00017571,0.000175744680851,srd,1,0,2,0.00509603,29,29,1876
26,0.00200000,0.00002272,0.00016108,0.000161134751773,srd,1,0,2,0.00187728,29,29,1732
27,0.00337500,0.00001523,0.00010801,0.000108014184397,srd,1,0,2,0.01733983,29,29,1206
28,0.00300000,0.00001400,0.00009927,0.0000992907801418,srd,1,0,2,0.00398996,29,29,1120
29,0.00294600,0.00002677,0.00005283,0.0000597544642857,knapsack,6,2,1,,29,23,-260
30,0.00332500,0.00001651,0.00011709,0.000117092198582,srd,1,0,2,0.00064845,24,24,1296
31,0.00332500,0.00001635,0.00011591,0.000115957446809,srd,1,0,2,0.00175468,24,24,1285
32,0.00330000,0.00001400,0.00006361,0.000127272727273,bnb,1,0,1,,24,23,588
33,0.00336300,0.00001638,0.00007874,0.00007875000,knapsack,2,0,2,0.00002325,23,22,909
34,0.00333400,0.00001369,0.00002942,0.0000437380191693,bnb,4,0,1,,25,21,-931
35,0.00030000,0.00000575,0.00004071,0.0000407801418440,knapsack,1,0,2,0.00034270,21,21,540
36,0.00300100,0.00000449,0.00003180,0.0000318439716312,knapsack,1,0,2,0.00028851,21,21,452
37,0.00332900,0.00001370,0.00002890,0.0000774011299435,knapsack,2,0,1,,22,20,76
38,0.00332700,0.00000498,0.00002392,0.0000239423076923,knapsack,2,0,2,0.00023992,20,19,-7
39,0.00332700,0.00000479,0.00002302,0.0000230288461538,knapsack,2,0,2,0.00022213,19,18,-22
40,0.00322700,0.00000543,0.00003845,0.0000385106382979,knapsack,1,0,2,0.00176757,18,18,518
41,0.00332000,0.00000848,0.00004075,0.0000407692307692,knapsack,2,0,2,0.00055045,18,17,275
42,0.00198400,0.00000460,0.00003259,0.0000326241134752,knapsack,1,0,2,0.00595640,18,18,460
43,0.00322000,0.00000413,0.00002925,0.0000292907801418,knapsack,1,0,2,0.00273227,18,18,426
44,0.00505500,0.00000367,0.00002602,0.0000260283687943,knapsack,1,0,2,0.00474133,20,20,394
45,0.00105000,0.00001596,0.00004637,0.0000463953488372,knapsack,4,0,2,0.00019513,21,18,-88
46,0.00020000,0.00000525,0.00003719,0.0000372340425532,knapsack,1,0,2,0.00252702,18,18,505
47,0.00086900,0.00000448,0.00003177,0.0000317730496454,knapsack,1,0,2,0.00165354,18,18,452
