id,input_amounts
0,['0.00329000']
1,['0.00329600']
2,['0.00940000']
3,['0.00483000']
4,['0.01569000']
5,"['0.00011747', '0.00312970']"
6,['0.00066424']
7,['0.00329000']
8,['0.01236372']
9,['0.01570000']
10,"['0.00014860', '0.00002824']"
11,['0.00329400']
12,['0.00014860']
13,"['0.00018283', '0.00604529']"
14,"['0.00001447', '0.00010000', '0.00002077']"
15,['1.00000000']
16,['0.00103200']
17,['0.01133652']
18,['4.00000000']
19,"['0.00050000', '0.00917343']"
20,['0.00100000']
21,['0.00329400']
22,"['0.00090000', '0.00826495']"
23,['0.00505349']
24,['0.02500000']
25,['0.00845081']
26,['0.00390000']
27,['0.02073006']
28,['0.00700396']
29,"['0.00023909', '0.00100000', '0.00064068', '0.00000200', '0.00000100', '0.00109000']"
30,['0.00398996']
31,['0.00509603']
32,['0.00331400']
33,"['0.00329400', '0.00010863']"
34,"['0.00056976', '0.00100000', '0.00002325', '0.00175468']"
35,['0.00064845']
36,['0.00329400']
37,"['0.00034270', '0.00300000']"
38,"['0.00187728', '0.00169462']"
39,"['0.00331400', '0.00023992']"
40,['0.00500000']
41,"['0.00211136', '0.00176757']"
42,['0.00794500']
43,['0.00595640']
44,['0.00980000']
45,"['0.00020000', '0.00028851', '0.00055045', '0.00022213']"
46,['0.00273227']
47,['0.00252702']
48,"['0.00011000', '0.00019513']"
49,"['0.00300000', '0.00034660']"
50,['0.00474133']
51,"['0.01000000', '0.00009636']"
52,['0.00340947']
53,"['0.00076900', '0.00139425', '0.00165354']"
54,['0.01000000']
55,['0.00667041']
56,['0.00334179']
57,['0.01000000']
58,['0.00666906']
59,['0.00333916']
60,['0.01010000']
61,['0.00676697']
62,"['0.00033766', '0.99595187']"
63,['0.00343534']
64,['0.01300000']
65,['0.00966439']
66,['0.00633437']
67,"['0.00007950', '0.00300566', '0.00033473']"
68,['0.01733983']
69,['0.01401071']
70,['0.01068219']
71,['0.00767836']
72,['0.00446057']
73,['0.03535793']
74,['0.03214838']
75,['0.02881761']
76,['0.02551319']
77,"['0.00245029', '0.00100000']"
78,['0.02211485']
79,['0.01876714']
80,['0.01543300']
81,['0.01209856']
82,"['0.00276630', '0.00011365', '0.00046999']"
83,"['0.00010239', '3.00000000']"
84,['0.00910000']
85,['0.00576575']
86,"['2.99676248', '0.00011407']"
87,['0.00275830']
88,['0.01714000']
89,"['2.00000000', '0.00103265']"
90,['0.01448214']
91,['0.99295354']
92,['0.01115121']
93,['0.01014798']
94,['0.03000000']
95,"['2.97639110', '0.00014448']"
96,['0.00300000']
97,"['0.00116387', '0.97794991']"
98,['5.00000000']
99,['0.02799229']
