id,amount,fees,target_feerate,real_feerate,algo,num_inputs,negative_ev,num_outputs,change_amount,before_num_utxos,after_num_utxos,waste
0,0.00310000,0.00007253,0.00051435,0.000514397163121,knapsack,1,0,2,0.00011747,22,22,5229
1,0.00010100,0.00006530,0.00046306,0.000463120567376,srd,1,0,2,0.01552370,22,22,4721
2,0.00329400,0.00006071,0.00043052,0.000430567375887,srd,1,0,2,0.00604529,22,22,4399
3,0.00410100,0.00006476,0.00045929,0.000459290780142,knapsack,1,0,2,0.00066424,22,22,4684
4,0.00329000,0.00003628,0.00025725,0.000257304964539,srd,1,0,2,0.99667372,22,22,2684
5,0.00319400,0.00001690,0.00011981,0.000119858156028,knapsack,1,0,2,0.00007910,22,22,1323
6,0.00040100,0.00002415,0.00017125,0.000171276595745,srd,1,0,2,0.01527485,22,22,1832
7,0.00262000,0.00002932,0.00020791,0.000207943262411,knapsack,1,0,2,0.00064468,22,22,2195
8,0.00100000,0.00002720,0.00019288,0.000192907801418,srd,1,0,2,0.99564652,22,22,2046
9,0.00650000,0.00002657,0.00018838,0.000188439716312,srd,1,0,2,1.99347343,23,23,2001
10,0.00014000,0.00002237,0.00010753,0.000107548076923,knapsack,2,0,2,0.00003420,23,22,1390
11,0.00310000,0.00001647,0.00007917,0.0000791826923077,srd,2,0,2,3.99752821,29,28,916
12,0.00010100,0.00002683,0.00019026,0.000190283687943,knapsack,1,0,2,0.00002077,29,29,2020
13,0.00113200,0.00002890,0.00020493,0.000204964539007,srd,1,0,2,0.00863910,29,29,2166
14,0.00010200,0.00001863,0.00013210,0.000132127659574,srd,1,0,2,0.99552589,29,29,1445
15,0.00400000,0.00004813,0.00034131,0.000341347517730,srd,1,0,2,4.99595187,35,35,3516
16,0.00100000,0.00003200,0.00028435,0.000290909090909,bnb,1,0,1,,35,34,1461
17,0.00300000,0.00007157,0.00050756,0.000507588652482,srd,1,0,2,0.00692843,36,36,5162
18,0.00665800,0.00006765,0.00047972,0.000479787234043,srd,1,0,2,0.00327435,36,36,4887
19,0.00110000,0.00008313,0.00058951,0.000589574468085,srd,1,0,2,0.00745597,36,36,5973
20,0.00090000,0.00010000,0.00066830,0.000909090909091,bnb,1,0,1,,36,35,6649
