id,input_amounts
0,['0.00329000']
1,['0.01569000']
2,['0.00940000']
3,['0.00483000']
4,['1.00000000']
5,['0.00329000']
6,['0.01570000']
7,['0.00329400']
8,['0.99667372']
9,['2.00000000']
10,"['0.00007910', '0.00011747']"
11,"['4.00000000', '0.00064468']"
12,['0.00014860']
13,['0.00980000']
14,['0.99564652']
15,['5.00000000']
16,['0.00103200']
17,['0.01000000']
18,['0.01000000']
19,['0.00863910']
20,['0.00100000']
21,['0.00745597']
22,['0.00329400']
23,['0.00390000']
24,['0.02500000']
25,"['0.00056976', '0.00100000', '0.00115491', '0.00066424']"
26,['0.02073006']
27,"['0.00010000', '0.00329600']"
28,"['0.01552370', '0.00331400']"
29,"['0.00090000', '0.00000100', '0.00054113', '0.00050000', '0.00000200', '0.00109000']"
30,"['0.00331400', '0.00003420']"
31,"['0.00006282', '0.00002077', '0.00327435']"
32,"['0.00010863', '0.00329400']"
33,"['0.00329400', '0.00008939']"
34,['0.00500000']
35,['0.00100000']
36,['0.00604529']
37,"['0.00300000', '0.00069425']"
38,"['0.00303980', '0.00035923']"
39,"['0.00627333', '0.00006705']"
40,"['0.00300859', '0.00166185']"
41,['0.00692843']
42,['0.00360268']
43,"['0.00020000', '0.00161408', '0.00143544']"
44,['0.00794500']
45,['0.00288633']
46,['0.00182979']
47,['0.00162454']
48,"['0.00011000', '0.00014860']"
49,"['0.00300000', '0.00034660']"
50,"['0.00004983', '0.01870734']"
51,['0.01000000']
52,"['0.00331533', '0.00002144']"
53,['0.01010000']
54,['0.00676386']
55,['0.00343427']
56,['0.01300000']
57,['0.00999587']
58,['0.00666493']
59,['0.00333503']
60,"['0.00033060', '0.03535793']"
61,['0.01527485']
62,['0.01194322']
63,['0.00860980']
64,['0.00527685']
65,"['0.00076900', '0.00075106', '0.00194124']"
66,['0.01540815']
67,['0.01207944']
68,['0.00874020']
69,['0.00541108']
70,['0.01581705']
71,['0.01281322']
72,['0.00208256']
73,['0.00959543']
74,['0.00638588']
75,"['0.00011407', '0.00010565', '0.00305511', '0.00007228']"
76,['0.03235264']
77,['0.02895430']
78,['0.02562076']
79,"['0.99552589', '0.00003634']"
80,['0.02227305']
81,['0.01893861']
82,"['0.00012647', '4.99595187']"
83,['0.00960635']
84,['0.00627124']
85,"['0.00293699', '0.00100000']"
86,['0.99222470']
87,['0.00910000']
88,['0.00737435']
89,['0.00471649']
90,['0.01714000']
91,"['0.01380907', '0.00137899']"
92,"['0.00018271', '0.00092600']"
93,['0.03000000']
94,['0.01999650']
95,['0.01798879']
96,['0.00300000']
97,['0.01598416']
98,['4.99273693']
99,['4.97772469']
100,"['0.00100000', '0.00098946', '0.00006080']"
101,['0.00480000']
102,"['0.00021816', '0.00080000', '0.00100000']"
103,"['0.00000994', '0.00300000']"
104,"['0.00003587', '0.00100000']"
105,"['0.00107722', '0.00100000', '0.00100000']"
106,"['0.00010394', '0.00370000']"
107,"['0.00100000', '0.00116387']"
108,"['0.00002484', '0.00100000']"
109,"['0.00001938', '0.00004897', '0.00006461', '0.00480000']"
110,['0.00120000']
111,['0.00120000']
112,"['0.00009442', '0.00226293', '0.00010000', '0.00171142']"
113,"['0.00270000', '0.00069501']"
114,"['0.00040000', '0.00100000', '0.00200000', '0.00200000']"
115,['0.01450000']
116,"['0.00028336', '0.00002211', '0.00341677']"
117,['0.00087643']
118,"['0.00073267', '0.00300000', '0.00200000']"
119,"['0.00090000', '0.00228044']"
120,"['0.00006000', '0.00360000', '0.00010000', '0.00500000', '0.00008000', '0.00025639', '0.00017215']"
121,"['0.00500000', '0.00001721']"
122,"['0.00091371', '0.00163049', '0.00090000']"
123,"['0.00390000', '0.03500000']"
124,['0.01496624']
125,"['0.00592000', '0.00300000', '0.00110000']"
126,"['0.00480000', '0.00001005', '0.01000000', '0.00015518', '0.00005448']"
127,"['0.00100000', '0.00169500']"
128,['0.00290000']
129,['0.00444318']
130,"['0.00490000', '0.00121537']"
131,"['0.00464370', '0.00155050']"
132,['0.00695141']
133,"['4.97571329', '0.00454585']"
134,"['0.00226500', '0.00060595']"
135,"['0.00790000', '0.00213902']"
136,"['0.00003270', '0.00068806', '0.00049540', '0.00880000']"
137,['0.00300000']
138,"['0.00100000', '0.00099478']"
139,['0.00500000']
140,"['0.00008302', '0.00069882', '0.00500000', '0.00600000', '0.00100000', '0.00028675']"
141,['0.00339299']
142,"['0.00005346', '0.00200000']"
143,['0.00070000']
144,['3.99752821']
145,"['0.00180000', '0.00280000', '0.00138590', '0.00024546', '0.00004505', '0.00300000']"
146,['0.00500000']
147,['0.00196007']
148,['0.00600000']
149,"['0.01109159', '0.00029056']"
150,"['0.00800000', '0.00024160', '0.00157396']"
151,"['0.00011343', '0.00263338', '0.00500000', '0.00008879', '0.00900000', '0.00969612', '0.00900000', '0.01000000', '0.01348570']"
152,['3.00000000']
153,"['0.00040000', '0.03038182', '0.00000480', '0.00090000', '0.00980000', '0.00860000']"
154,['0.01000000']
155,"['0.00090000', '0.00290000']"
156,"['0.01490000', '0.01680000', '0.06000000', '0.01000000', '0.01000000', '0.00059033', '0.00880000']"
157,['0.00500000']
158,['0.00142790']
159,"['0.05000000', '0.02000000', '0.00057866', '0.00963986', '0.01990000']"
160,"['0.00005130', '0.00010507', '0.00800000', '0.01780000', '0.00002022', '0.00007134', '0.01500000', '0.05900000']"
161,"['0.02959206', '0.04000000', '0.03300000']"
162,['0.00700000']
163,"['0.00084400', '0.00038000', '0.00258217', '0.00021000']"
164,['0.01000000']
165,"['0.00001483', '0.00499242']"
166,['0.00199320']
167,['0.00800000']
168,"['0.00017000', '0.01000000']"
169,"['0.00016435', '0.00100000']"
170,['0.02471042']
171,"['0.00010000', '0.00129527']"
172,['0.00499480']
173,"['0.00090000', '0.00371975']"
174,"['0.00500000', '0.00001718']"
175,['0.01467583']
176,['0.03000000']
177,"['0.00980000', '0.00250000']"
178,['0.01979373']
179,['0.00040000']
180,['0.00179185']
181,['0.09980000']
182,['0.07024500']
183,['0.05000000']
184,['0.09990000']
185,['0.00142532']
186,['0.00114664']
187,['0.97174197']
188,['0.03964019']
189,"['0.01000000', '0.01000000']"
190,['0.00446846']
191,['0.00240370']
192,['0.08876379']
193,['0.08946782']
194,['0.05000000']
195,"['0.00000807', '0.00011409', '0.00100000']"
196,"['0.00170000', '4.96925301']"
