id,amount,fees,target_feerate,real_feerate,algo,num_inputs,negative_ev,num_outputs,change_amount,before_num_utxos,after_num_utxos,waste
0,0.00310000,0.00007253,0.00051435,0.000514397163121,knapsack,1,0,2,0.00011747,22,22,5229
1,0.00010100,0.00006530,0.00046306,0.000463120567376,srd,1,0,2,3.99983370,22,22,4721
2,0.00329400,0.00006071,0.00043052,0.000430567375887,srd,1,0,2,0.00164529,22,22,4399
3,0.00410100,0.00006476,0.00045929,0.000459290780142,knapsack,1,0,2,0.00066424,22,22,4684
4,0.00329000,0.00005351,0.00025725,0.000257259615385,knapsack,2,0,2,0.00006396,22,21,3890
5,0.00319400,0.00001690,0.00011981,0.000119858156028,knapsack,1,0,2,0.00008310,21,21,1323
6,0.00040100,0.00002415,0.00017125,0.000171276595745,knapsack,1,0,2,0.00023909,21,21,1832
7,0.00262000,0.00002932,0.00020791,0.000207943262411,knapsack,1,0,2,0.00064468,21,21,2195
8,0.00100000,0.00002720,0.00019288,0.000194285714286,srd,1,0,2,2.99897280,21,21,2046
9,0.00650000,0.00003919,0.00018838,0.000188413461538,knapsack,2,0,2,0.00004881,22,21,2738
10,0.00014000,0.00001517,0.00010753,0.000107588652482,srd,1,0,2,0.00778983,21,21,1202
11,0.00310000,0.00001117,0.00007917,0.0000792198581560,knapsack,1,0,2,0.00018483,28,28,921
12,0.00010100,0.00002683,0.00019026,0.000190283687943,srd,1,0,2,0.99987217,29,29,2020
13,0.00113200,0.00002890,0.00020493,0.000204964539007,srd,1,0,2,3.99867280,29,29,2166
14,0.00010200,0.00002991,0.00013210,0.000168983050847,bnb,2,0,1,,29,27,1348
15,0.00400000,0.00004813,0.00034131,0.000341347517730,srd,1,0,2,3.99462467,33,33,3516
16,0.00100000,0.00003200,0.00028435,0.000290909090909,bnb,1,0,1,,33,32,1461
17,0.00300000,0.00007157,0.00050756,0.000507588652482,srd,1,0,2,0.00692843,34,34,5162
18,0.00665800,0.00006765,0.00047972,0.000479787234043,srd,1,0,2,0.01827435,34,34,4887
19,0.00110000,0.00008313,0.00058951,0.000589574468085,srd,1,0,2,4.99881687,34,34,5973
20,0.00090000,0.00010000,0.00066830,0.000909090909091,bnb,1,0,1,,34,33,6649
21,0.00110000,0.00011444,0.00058609,0.000646553672316,bnb,2,0,1,,33,31,7894
22,0.00209300,0.00004609,0.00032686,0.000326879432624,srd,1,0,2,0.01355091,31,31,3373
23,0.00332600,0.00003287,0.00023312,0.000233120567376,srd,1,0,2,0.01019204,31,31,2445
24,0.00424600,0.00002394,0.00016975,0.000169787234043,srd,1,0,2,0.00513006,31,31,1818
25,0.00333000,0.00002478,0.00017571,0.000175744680851,srd,1,0,2,0.01491957,31,31,1876
26,0.00200000,0.00002272,0.00016108,0.000161134751773,srd,1,0,2,0.00187728,31,31,1732
27,0.00337500,0.00001523,0.00010801,0.000108014184397,srd,1,0,2,0.00439960,31,31,1206
28,0.00300000,0.00002588,0.00009927,0.000105632653061,bnb,3,0,1,,31,28,539
29,0.00294600,0.00003169,0.00005283,0.0000707366071429,bnb,6,0,1,,28,22,-317
30,0.00332500,0.00001651,0.00011709,0.000117092198582,srd,1,0,2,0.00685053,23,23,1296
