id,input_amounts
0,['0.00329000']
1,['4.00000000']
2,['0.00500000']
3,['0.00483000']
4,"['0.00329000', '0.00011747']"
5,['0.00329400']
6,['0.00066424']
7,['0.00329400']
8,['3.00000000']
9,"['0.00329400', '0.00329400']"
10,['0.00794500']
11,['0.00329600']
12,['1.00000000']
13,['3.99983370']
14,"['0.00004881', '0.00008310']"
15,['3.99867280']
16,['0.00103200']
17,['0.01000000']
18,['0.02500000']
19,['5.00000000']
20,['0.00100000']
21,"['0.00064468', '0.00056976']"
22,['0.01569000']
23,['0.01355091']
24,['0.00940000']
25,['0.01827435']
26,['0.00390000']
27,['0.00778983']
28,"['0.00187728', '0.00014860', '0.00100000']"
29,"['0.00014860', '0.00050000', '0.00023909', '0.00090000', '0.00010000', '0.00109000']"
30,['0.01019204']
31,['3.99462467']
32,['0.00331400']
33,"['0.00331400', '0.00006396']"
34,['0.00439960']
35,['0.00100000']
36,"['0.00000100', '0.00164529', '0.00106145', '0.00000200', '0.00069425']"
37,"['0.00300000', '0.00038988']"
38,['0.00513006']
39,['0.00685053']
40,['0.00352028']
41,['0.00692843']
42,"['0.00179968', '0.00020000']"
43,['0.00360268']
44,['0.00980000']
45,['0.00300000']
46,"['0.00018483', '0.00005486']"
47,['0.00194346']
48,"['0.00010863', '0.00011000']"
49,['0.00474133']
50,"['0.00106998', '0.00037855', '0.00151090', '0.00034660', '0.00028785']"
51,['0.01000000']
52,"['0.00003195', '0.00331533']"
53,['0.01000000']
54,['0.00666386']
55,['0.00333427']
56,"['0.01300000', '0.00001495']"
57,['0.01000885']
58,['0.00667791']
59,['0.00334801']
60,['0.01010000']
61,['0.00676697']
62,"['0.00023896', '0.01570000']"
63,['0.00343534']
64,"['0.01260297', '0.00076900']"
65,['0.01003370']
66,['0.00670368']
67,['0.00337497']
68,['0.01491957']
69,['0.01159045']
70,['0.00826193']
71,['0.00525810']
72,"['0.03535793', '0.00204031']"
73,['0.03538308']
74,['0.03217353']
75,"['0.99987217', '0.00034358']"
76,['0.02884276']
77,['0.02544442']
78,"['0.00010239', '4.99881687']"
79,['0.02211088']
80,['0.01877674']
81,['0.01544230']
82,['0.00611004']
83,"['0.00277231', '0.00100000']"
84,['0.00910000']
85,['0.00576575']
86,['0.99690924']
87,['0.00275830']
88,['0.01714000']
89,['0.01448214']
90,['0.01114464']
91,['0.97642651']
92,['0.00103265']
93,['0.03000000']
94,['0.00781371']
95,['0.00580600']
96,['0.00300000']
97,"['0.00003573', '0.00098946']"
98,['0.01780000']
99,['2.00000000']
100,"['0.00116387', '0.00100000']"
101,"['0.00380137', '0.00100000']"
102,"['0.00080000', '0.00006080', '0.00100000', '0.00015302']"
103,"['0.00300000', '0.00000986']"
104,"['0.00002942', '0.00100000']"
105,"['0.00021534', '0.00001839', '0.00278776']"
106,"['0.00100000', '0.00100000']"
107,"['0.00043240', '0.00171142']"
108,"['0.00100000', '0.00000888']"
109,"['0.00444318', '0.00002892', '0.00045899']"
110,['0.00120000']
111,['0.00107722']
112,"['0.00087643', '0.00057223', '0.00270000']"
113,"['0.00120000', '0.00200000']"
114,"['0.00009442', '0.00008835', '0.00480000', '0.00040000']"
115,['0.00390000']
116,"['0.00370000', '0.00010000']"
117,['0.00100000']
118,"['0.00480000', '0.00085624']"
119,"['0.00288570', '0.00006000', '0.00008000']"
120,"['0.00008108', '0.00464370', '0.00090000', '0.00010000', '0.00001471', '0.00000488', '0.00025639', '0.00228044', '0.00008132', '0.00091371']"
121,"['0.00163049', '0.00341677']"
122,"['0.00100000', '0.00090000', '0.00169500']"
123,['0.01000000']
124,['4.99556837']
125,"['0.00110000', '0.00592000', '0.00300000']"
126,"['0.00500000', '0.00200000', '0.00800000', '0.00004010']"
127,"['0.00002399', '0.00200000']"
128,['0.00148768']
129,"['0.00020528', '0.00290000', '0.00013818']"
130,"['0.00360000', '0.00300000']"
131,['0.00790000']
132,"['0.00179242', '0.00454585', '0.00001705']"
133,['0.01109159']
134,"['0.00226500', '0.00000722', '0.00000464', '0.00048676']"
135,"['0.00008743', '0.00500000', '0.00500000']"
136,"['0.01000000', '0.00007905']"
137,['0.00213902']
138,['0.00300000']
139,"['0.00013380', '0.00100000', '0.00049540']"
140,"['0.00800000', '0.00500000', '0.00001548']"
141,"['0.00006970', '0.00129455', '0.00069882']"
142,"['0.00200000', '0.00000930']"
143,['0.00070000']
144,['4.98755354']
145,"['0.00500000', '0.00004920', '0.00024546', '0.00100000', '0.00300000']"
146,"['0.00180000', '0.00280000']"
147,['0.00480000']
148,['0.00600000']
149,"['0.00490000', '0.00024160', '0.00313049', '0.00155773']"
150,"['0.00600000', '0.00500000']"
151,"['0.01450000', '0.00900000', '0.00969612', '0.00900000', '0.01680000', '0.00001694']"
152,['0.00263338']
153,"['0.00040000', '0.01490000', '0.00090000', '0.00127514', '0.00880000', '0.00090000', '0.00290000', '0.01999650']"
154,['0.01000000']
155,['0.00860000']
156,"['0.01000000', '0.06000000', '0.01000000', '0.00061058', '0.00002022', '0.03500000', '0.00539344']"
157,['0.00500000']
158,['0.00142790']
159,"['0.00057866', '0.00963986', '0.02000000', '0.05000000', '0.01990000']"
160,"['0.00880000', '0.02959206', '0.01500000', '0.00980000', '0.04000000']"
161,['0.96142288']
162,['0.00700000']
163,"['0.00316988', '0.00084400']"
164,['0.01000000']
165,"['0.00002607', '0.00499242']"
166,"['0.00010507', '0.00000525', '0.00038000', '0.00021000', '0.00000481']"
167,['0.00800000']
168,"['0.00001118', '0.01000000']"
169,"['0.00000553', '0.00100000']"
170,['0.02471042']
171,['0.00199320']
172,"['0.00061771', '0.00017000', '0.00040000', '0.00010000']"
173,['0.00499480']
174,"['0.00002630', '0.00500000']"
175,['0.01467583']
176,['0.03000000']
177,"['0.00980000', '0.00090000']"
178,['0.01979373']
179,['0.00049096']
180,['0.00250000']
181,['0.05000000']
182,['0.09980000']
183,['4.98544171']
184,"['0.00911479', '0.00213347']"
185,['3.99128332']
186,['0.00446846']
187,['0.05900000']
188,['0.05000000']
189,['3.99100464']
190,['0.00372481']
191,['4.97508190']
192,['1.99798860']
193,"['0.01000000', '0.00500000', '0.00012682']"
194,['1.98585947']
195,"['0.00090000', '0.00009484', '0.00019185']"
196,['0.03581971']
197,['2.99897280']
198,['0.00407482']
199,['0.07024500']
200,['0.01000000']
201,['0.05121740']
202,['0.01000000']
203,"['0.00276563', '0.02000000', '0.00180000', '0.00318000']"
204,['0.00900000']
205,['4.97295258']
206,"['0.00014000', '0.00100000', '0.00044827', '0.00010000', '0.00028000', '0.00795187', '0.00390000', '0.00166005', '0.00001719', '0.00090000', '0.00006080', '0.00050000', '0.00200000']"
207,"['0.00006483', '0.03300000']"
208,['0.02400000']
209,['0.00170000']
210,['0.00069103']
211,"['0.00099000', '0.00400000', '0.00290000', '0.00047992', '0.01000000']"
212,"['0.00229870', '0.00990000', '0.00975391', '0.00005297', '0.01000000', '0.01000000', '0.00005460', '0.01998365', '0.00797606', '0.01000000', '0.01000000', '0.01000000']"
213,"['0.02026681', '0.01000000', '0.00097600']"
214,['0.00039116']
215,"['0.01000000', '0.01090000', '0.01000000', '0.01904047', '0.01570000', '0.00005419', '0.00013614', '0.00019558', '0.00900000']"
216,"['0.00005460', '0.01000000']"
217,"['0.02900000', '0.01000000', '0.00180000', '0.00004686', '0.01950000', '0.03966782']"
218,"['0.00193800', '0.01944692', '0.01000000']"
219,['0.00128826']
220,['0.00108418']
221,"['0.00390000', '0.09990000', '0.00969500', '0.01000000', '0.00087304']"
222,"['0.02310000', '0.00096700', '0.01030000']"
223,['0.00041420']
224,"['0.03000000', '0.00100000']"
