Scenario File,Current Balance,Mean #UTXO,Current #UTXO,#Deposits,#Inputs Spent,#Withdraws,#Uneconomical outputs spent,#Change Created,#Changeless,Min Change Value,Max Change Value,Mean Change Value,Std. Dev. of Change Value,Total Fees,Mean Fees per Withdraw,Cost to Empty (10 sat/vB),Total Cost,Min Input Size,Max Input Size,Mean Input Size,Std. Dev. of Input Size,Usage
bustabit-tiny-hot-wallet_peak-and-tail,0E-8,0,0,0,0,0,0,0,Total: **0**,0,0,0,0,0,0,0E-66,0E-66,0,0,0,0,
bustabit-tiny-hot-wallet_peak-and-tail,15.19425222,24.7300000000,24,267,447,233,1,204,bnb: **23** ; knapsack: **6** ; Total: **29**,0.00000464,4.99881687,0.375447865588,1.16419520794,0.00460745,0.0000197744635193,0.000163200000,0.004770650000,1,13,1.91845493562,1.79011972699,knapsack: **157** ; srd: **53** ; bnb: **23**
bustabit-tiny-hot-wallet_peak-and-tail,23.92712706,30.3940000000,41,594,896,406,1,343,bnb: **54** ; knapsack: **9** ; Total: **63**,0.00000375,4.99881687,0.292067579650,0.996509314304,0.00819711,0.0000201899261084,0.000278800000,0.008475910000,1,16,2.20689655172,2.16858643705,knapsack: **273** ; srd: **79** ; bnb: **54**
bustabit-tiny-hot-wallet_peak-and-tail,27.28298593,37.5406666667,82,961,1320,539,3,441,bnb: **87** ; knapsack: **11** ; Total: **98**,0.00000375,8.79744181,0.309089295057,1.08310823251,0.01161907,0.0000215567161410,0.000557600000,0.012176670000,1,17,2.44897959184,2.60159621390,knapsack: **338** ; srd: **114** ; bnb: **87**
bustabit-tiny-hot-wallet_peak-and-tail,19.66722839,39.8915000000,15,1316,1860,684,5,559,bnb: **112** ; knapsack: **13** ; Total: **125**,0.00000375,9.79521970,0.331679109302,1.23215619423,0.01459576,0.0000213388304094,0.000102000000,0.014697760000,1,37,2.71929824561,3.33535681307,knapsack: **431** ; srd: **141** ; bnb: **112**
bustabit-tiny-hot-wallet_peak-and-tail,26.29687007,37.4704000000,42,1682,2311,818,5,671,bnb: **133** ; knapsack: **14** ; Total: **147**,0.00000375,9.79521970,0.332038964143,1.29160517511,0.01749096,0.0000213825916870,0.000285600000,0.017776560000,1,37,2.82518337408,3.42608633747,knapsack: **520** ; srd: **165** ; bnb: **133**
bustabit-tiny-hot-wallet_peak-and-tail,18.38077838,36.5910000000,26,2008,2803,992,6,821,bnb: **156** ; knapsack: **15** ; Total: **171**,0.00000317,9.79521970,0.371215533886,1.36250087271,0.02202909,0.0000222067439516,0.000176800000,0.022205890000,1,37,2.82560483871,3.36492707875,knapsack: **623** ; srd: **213** ; bnb: **156**
bustabit-tiny-hot-wallet_peak-and-tail,26.40407915,37.4271428571,43,2415,3263,1085,6,891,bnb: **178** ; knapsack: **16** ; Total: **194**,0.00000317,9.79521970,0.350169604949,1.31329999224,0.02431139,0.0000224068110599,0.000292400000,0.024603790000,1,37,3.00737327189,3.67422720918,knapsack: **680** ; srd: **227** ; bnb: **178**
bustabit-tiny-hot-wallet_peak-and-tail,23.47178006,38.4597500000,43,2818,3742,1182,6,967,bnb: **198** ; knapsack: **17** ; Total: **215**,0.00000317,9.79521970,0.325502371944,1.26378135204,0.02720581,0.0000230167597293,0.000292400000,0.027498210000,1,37,3.16582064298,3.89048853768,knapsack: **750** ; srd: **234** ; bnb: **198**
bustabit-tiny-hot-wallet_peak-and-tail,15.35531780,39.5,24,3213,4239,1287,6,1050,bnb: **218** ; knapsack: **19** ; Total: **237**,0.00000317,9.79521970,0.308984758495,1.21626358191,0.03084614,0.0000239674747475,0.000163200000,0.031009340000,1,37,3.29370629371,4.09272189247,knapsack: **814** ; srd: **255** ; bnb: **218**
bustabit-tiny-hot-wallet_peak-and-tail,15.77939168,39.6140000000,22,3571,4717,1429,6,1168,bnb: **241** ; knapsack: **20** ; Total: **261**,0.00000317,9.79521970,0.292534337089,1.15881874991,0.03364483,0.0000235443177047,0.000149600000,0.033794430000,1,37,3.30090972708,4.07875969927,knapsack: **911** ; srd: **277** ; bnb: **241**
bustabit-tiny-hot-wallet_peak-and-tail,22.01579318,38.8125454545,37,3938,5184,1562,6,1283,bnb: **258** ; knapsack: **21** ; Total: **279**,0.00000317,9.79521970,0.303123686703,1.15844852535,0.03717453,0.0000237993149808,0.000251600000,0.037426130000,1,37,3.31882202305,4.13119463874,knapsack: **1001** ; srd: **303** ; bnb: **258**
bustabit-tiny-hot-wallet_peak-and-tail,20.44321380,38.0703333333,31,4278,5666,1722,6,1419,bnb: **280** ; knapsack: **23** ; Total: **303**,0.00000317,9.79521970,0.302653270465,1.14561189994,0.04044984,0.0000234900348432,0.000210800000,0.040660640000,1,37,3.29036004646,4.04239732871,knapsack: **1109** ; srd: **333** ; bnb: **280**
bustabit-tiny-hot-wallet_peak-and-tail,20.92176815,38.2849230769,37,4650,6137,1850,6,1524,bnb: **299** ; knapsack: **27** ; Total: **326**,0.00000317,9.79521970,0.294040930545,1.11128025621,0.04323643,0.0000233710432432,0.000251600000,0.043488030000,1,37,3.31729729730,4.07532819347,knapsack: **1192** ; srd: **359** ; bnb: **299**
bustabit-tiny-hot-wallet_peak-and-tail,27.28272547,38.2680000000,66,4990,6592,2010,6,1668,bnb: **315** ; knapsack: **27** ; Total: **342**,0.00000317,9.79521970,0.282997084910,1.06819049626,0.04695222,0.0000233593134328,0.000448800000,0.047401020000,1,37,3.27960199005,4.02919063134,knapsack: **1305** ; srd: **390** ; bnb: **315**
bustabit-tiny-hot-wallet_peak-and-tail,16.99758603,37.8969333333,23,5335,7110,2165,6,1798,bnb: **340** ; knapsack: **27** ; Total: **367**,0.00000317,9.79521970,0.276272013131,1.04622465628,0.04984675,0.0000230239030023,0.000156400000,0.050003150000,1,37,3.28406466513,3.99689691506,knapsack: **1408** ; srd: **417** ; bnb: **340**
bustabit-tiny-hot-wallet_peak-and-tail,12.91763570,36.7432500000,21,5654,7598,2346,6,1965,bnb: **353** ; knapsack: **28** ; Total: **381**,0.00000317,9.79521970,0.299917489191,1.08945525447,0.05353206,0.0000228184398977,0.000142800000,0.053674860000,1,37,3.23870417732,3.91401863301,knapsack: **1538** ; srd: **455** ; bnb: **353**
bustabit-tiny-hot-wallet_peak-and-tail,26.62408865,36.2670588235,38,5963,8063,2537,6,2138,bnb: **370** ; knapsack: **29** ; Total: **399**,0.00000317,9.79521970,0.292601856333,1.06692948736,0.05792246,0.0000228310839574,0.000258400000,0.058180860000,1,37,3.17816318486,3.84075101918,knapsack: **1681** ; srd: **486** ; bnb: **370**
bustabit-tiny-hot-wallet_peak-and-tail,15.61063969,36.3706666667,30,6278,8551,2722,6,2303,bnb: **387** ; knapsack: **32** ; Total: **419**,0.00000317,9.79521970,0.280845103391,1.03316105241,0.06151621,0.0000225996362968,0.000204000000,0.061720210000,1,37,3.14144011756,3.79057350092,knapsack: **1825** ; srd: **510** ; bnb: **387**
bustabit-tiny-hot-wallet_peak-and-tail,19.57968916,36.1245263158,36,6573,9028,2927,6,2491,bnb: **404** ; knapsack: **32** ; Total: **436**,0.00000317,9.79521970,0.269055314982,0.997718893229,0.06523649,0.0000222878339597,0.000244800000,0.065481290000,1,37,3.08438674411,3.71554145211,knapsack: **1981** ; srd: **542** ; bnb: **404**
bustabit-tiny-hot-wallet_peak-and-tail,13.43072603,36.0808000000,17,6892,9527,3108,6,2652,bnb: **423** ; knapsack: **33** ; Total: **456**,0.00000317,9.79521970,0.263905617640,0.972303641409,0.06915619,0.0000222510263835,0.000115600000,0.069271790000,1,37,3.06531531532,3.68268860514,knapsack: **2104** ; srd: **581** ; bnb: **423**
bustabit-tiny-hot-wallet_peak-and-tail,13.07139916,35.3059047619,42,7193,9991,3307,6,2840,bnb: **433** ; knapsack: **34** ; Total: **467**,0.00000317,9.91989463,0.289262713004,1.04318210295,0.07246871,0.0000219137314787,0.000285600000,0.072754310000,1,37,3.02116722105,3.61688076461,knapsack: **2256** ; srd: **618** ; bnb: **433**
bustabit-tiny-hot-wallet_peak-and-tail,12.20756408,34.9355454545,50,7533,10463,3467,6,2980,bnb: **451** ; knapsack: **36** ; Total: **487**,0.00000317,9.91989463,0.290979457057,1.03805962713,0.07646078,0.0000220538736660,0.000340000000,0.076800780000,1,37,3.01788289588,3.58536533208,knapsack: **2370** ; srd: **646** ; bnb: **451**
bustabit-tiny-hot-wallet_peak-and-tail,27.27325774,35.0416521739,49,7877,10939,3623,6,3111,bnb: **475** ; knapsack: **37** ; Total: **512**,0.00000317,9.91989463,0.285722362684,1.02162567561,0.07950419,0.0000219442975435,0.000333200000,0.079837390000,1,37,3.01932100469,3.56135182432,knapsack: **2475** ; srd: **673** ; bnb: **475**
