id,amount,fees,target_feerate,real_feerate,algo,num_inputs,negative_ev,num_outputs,change_amount,before_num_utxos,after_num_utxos,waste
0,0.00310000,0.00007253,0.00051435,0.000514397163121,knapsack,1,0,2,0.00011747,22,22,5229
1,0.00010100,0.00006530,0.00046306,0.000463120567376,srd,1,0,2,3.99983370,22,22,4721
2,0.00329400,0.00008955,0.00043052,0.000430528846154,knapsack,2,0,2,0.00002392,22,21,6783
3,0.00410100,0.00006476,0.00045929,0.000459290780142,knapsack,1,0,2,0.00066424,21,21,4684
4,0.00329000,0.00004792,0.00025725,0.000270734463277,bnb,2,0,1,,21,19,2623
5,0.00319400,0.00001690,0.00011981,0.000119858156028,knapsack,1,0,2,0.00008310,19,19,1323
6,0.00040100,0.00002415,0.00017125,0.000171276595745,knapsack,1,0,2,0.00023909,19,19,1832
7,0.00262000,0.00002932,0.00020791,0.000207943262411,knapsack,1,0,2,0.00064468,19,19,2195
8,0.00100000,0.00002720,0.00019288,0.000194285714286,srd,1,0,2,0.00691780,19,19,2046
9,0.00650000,0.00003919,0.00018838,0.000188413461538,knapsack,2,0,2,0.00004881,20,19,2738
10,0.00014000,0.00001517,0.00010753,0.000107588652482,srd,1,0,2,0.00924483,19,19,1202
11,0.00310000,0.00001117,0.00007917,0.0000792198581560,knapsack,1,0,2,0.00018483,26,26,921
12,0.00010100,0.00002683,0.00019026,0.000190283687943,srd,1,0,2,3.99970587,27,27,2020
13,0.00113200,0.00002890,0.00020493,0.000204964539007,srd,1,0,2,0.00575690,27,27,2166
14,0.00010200,0.00002991,0.00013210,0.000168983050847,bnb,2,0,1,,27,25,1348
15,0.00400000,0.00004813,0.00034131,0.000341347517730,srd,1,0,2,0.00095187,31,31,3516
16,0.00100000,0.00003200,0.00028435,0.000290909090909,bnb,1,0,1,,31,30,1461
17,0.00300000,0.00007157,0.00050756,0.000507588652482,srd,1,0,2,4.99692843,32,32,5162
18,0.00665800,0.00006765,0.00047972,0.000479787234043,srd,1,0,2,2.99327435,32,32,4887
19,0.00110000,0.00008313,0.00058951,0.000589574468085,srd,1,0,2,3.99852274,32,32,5973
20,0.00090000,0.00010000,0.00066830,0.000909090909091,bnb,1,0,1,,32,31,6649
21,0.00110000,0.00011444,0.00058609,0.000646553672316,bnb,2,0,1,,31,29,7894
22,0.00209300,0.00004609,0.00032686,0.000326879432624,srd,1,0,2,0.02286091,29,29,3373
23,0.00332600,0.00004849,0.00023312,0.000233125000,srd,2,0,2,0.00771551,29,28,3487
24,0.00424600,0.00002394,0.00016975,0.000169787234043,srd,1,0,2,0.01143006,28,28,1818
25,0.00333000,0.00003655,0.00017571,0.000175721153846,srd,2,0,2,0.00817214,28,27,2527
26,0.00200000,0.00002272,0.00016108,0.000161134751773,srd,1,0,2,0.00187728,27,27,1732
27,0.00337500,0.00001523,0.00010801,0.000108014184397,srd,1,0,2,0.99660977,27,27,1206
28,0.00300000,0.00002588,0.00009927,0.000105632653061,bnb,3,0,1,,27,24,539
29,0.00294600,0.00003609,0.00005283,0.0000528404099561,knapsack,9,2,2,0.00004530,24,16,-812
30,0.00332500,0.00003430,0.00011709,0.000193785310734,knapsack,2,0,1,,17,15,1549
