id,input_amounts
0,['0.00329000']
1,['4.00000000']
2,"['0.00011747', '0.00329000']"
3,['0.00483000']
4,"['0.00331400', '0.00002392']"
5,['0.00329400']
6,['0.00066424']
7,['0.00329400']
8,['0.00794500']
9,"['0.00329400', '0.00329400']"
10,['0.00940000']
11,['0.00329600']
12,['3.99983370']
13,['0.00691780']
14,"['0.00004881', '0.00008310']"
15,['0.00500000']
16,['0.00103200']
17,['5.00000000']
18,['3.00000000']
19,['3.99970587']
20,['0.00100000']
21,"['0.00056976', '0.00064468']"
22,['0.02500000']
23,"['0.01000000', '0.00109000']"
24,['0.01570000']
25,"['0.01143006', '0.00010863']"
26,['0.00390000']
27,['1.00000000']
28,"['0.00187728', '0.00014860', '0.00100000']"
29,"['0.00023909', '0.00000100', '0.00018483', '0.00090000', '0.00095187', '0.00000200', '0.00014860', '0.00010000', '0.00050000']"
30,"['0.00331400', '0.00004530']"
31,['0.00575690']
32,['0.00771551']
33,['0.00440654']
34,"['0.00241555', '0.00100000']"
35,['0.00103243']
36,['0.00817214']
37,"['0.00072668', '0.00300000']"
38,['0.00516665']
39,['0.00924483']
40,['0.00591458']
41,"['0.00183627', '0.00268215']"
42,['0.00980000']
43,['0.00781140']
44,"['0.00020000', '0.00039166', '0.00458727']"
45,['0.00118994']
46,"['0.00007543', '0.00013340']"
47,['0.00300000']
48,"['0.00011674', '0.00011000']"
49,['0.01000000']
50,['0.00676957']
51,['0.01000000']
52,"['0.00331533', '0.00001797']"
53,['0.00342249']
54,['0.01010000']
55,['0.00677041']
56,"['0.00076900', '0.00034660', '0.00212652']"
57,['0.00344179']
58,['0.01300000']
59,['0.00967010']
60,"['0.00011085', '2.00000000']"
61,['0.00666567']
62,['0.00333404']
63,['0.01569000']
64,['0.01235705']
65,['0.00902144']
66,['0.00569142']
67,['0.02286091']
68,['0.01952167']
69,['0.01619255']
70,['0.01286403']
71,['0.00986020']
72,['0.00236271']
73,['0.00664241']
74,['0.00343286']
75,['0.03535793']
76,['0.03205351']
77,['0.02865517']
78,['0.02532163']
79,['0.02197392']
80,['0.01863978']
81,['0.01530534']
82,['0.00597308']
83,"['0.00035243', '0.00010209', '0.00023403', '0.00008635', '0.00263535']"
84,['0.00910000']
85,['0.00576575']
86,['0.99660977']
87,['0.00275830']
88,['0.01714000']
89,['0.01448214']
90,['0.01114464']
91,"['0.00100000', '0.00103265', '4.99692843']"
92,['0.00781371']
93,['0.03000000']
94,['0.00681048']
95,['0.00480277']
96,['0.00279814']
97,['0.00116387']
98,['0.97612704']
99,['4.98395398']
100,"['0.00005571', '0.00014595', '0.00078760', '0.00006080', '0.00100000']"
101,['0.00480000']
102,"['0.00080000', '0.00100000', '0.00021816']"
103,"['0.00300000', '0.00000994']"
104,"['0.00100000', '0.00002858']"
105,"['0.00300000', '0.00001755']"
106,"['0.00100000', '0.00100000']"
107,"['0.00171142', '0.00045899']"
108,"['0.00100000', '0.00000804']"
109,"['0.00100000', '0.00120000', '0.00005551', '0.00270000']"
110,['0.00120000']
111,['0.00107722']
112,"['0.00200000', '0.00009442', '0.00200000', '0.00010000']"
113,"['0.00200000', '0.00057223', '0.00087643']"
114,"['0.00500000', '0.00004286', '0.00033321']"
115,"['0.00100000', '0.00002147']"
116,"['0.00341677', '0.00040000']"
117,['0.00228044']
118,"['0.00370000', '0.00213668']"
119,"['0.00090000', '0.00163049', '0.00008000', '0.00009809', '0.00006000', '0.00026152']"
120,"['0.00025639', '0.00010000', '0.00390000', '0.00001103', '0.00500000']"
121,"['0.00090000', '0.00444318']"
122,['0.00360000']
123,['0.01000000']
124,['0.01109159']
125,"['0.00100000', '0.00300000', '0.00110000', '0.00290000', '0.00033602', '0.00148768', '0.00021748']"
126,"['0.00480000', '0.00091371', '0.00464370', '0.00480000']"
127,['0.00300000']
128,['0.00169500']
129,"['0.00307676', '0.00034550']"
130,"['0.00014130', '0.00500000', '0.00099529']"
131,"['0.00592000', '0.00019027']"
132,['0.00790000']
133,"['0.00454585', '0.00155454', '0.00001902', '0.00490000']"
134,['0.00800000']
135,"['0.01000000', '0.00000927']"
136,"['0.00213902', '0.00524425', '0.00226500', '0.00049540']"
137,['0.00300000']
138,"['0.00100000', '0.00099478']"
139,['0.00500000']
140,"['0.00012821', '0.00069882', '0.00339299', '0.00880000']"
141,['0.00500000']
142,"['0.00200000', '0.00001084']"
143,['0.00070000']
144,['0.00600000']
145,"['0.00600000', '0.00028675', '0.00299291']"
146,"['0.00024546', '0.00100000', '0.00180000']"
147,['0.00280000']
148,"['0.00290000', '0.00300000']"
149,"['0.00113049', '0.00880000']"
150,"['0.00388817', '0.00800000']"
151,"['0.00012230', '0.00969612', '0.00216331', '0.00900000', '0.01780000', '0.00860000', '0.00263338', '0.00900000']"
152,['0.01680000']
153,"['0.03500000', '0.00013903', '0.00040000', '0.01450000']"
154,['0.01000000']
155,['0.00500000']
156,"['0.00980000', '0.00179344', '0.01999650', '0.06000000', '0.01477720', '0.01490000']"
157,['0.00500000']
158,['0.00090000']
159,"['0.00142790', '0.00090000', '0.00002022', '0.01000000', '3.99852274', '0.01500000']"
160,"['0.00963986', '0.02959206', '0.01990000', '0.00005076', '0.00084400', '0.04000000']"
161,"['0.03300000', '0.01000000', '0.05900000']"
162,['0.00700000']
163,"['0.00001720', '0.00199320', '0.00001367', '0.00199011']"
164,['0.01000000']
165,"['0.00499242', '0.00021000']"
166,"['0.00025051', '0.00038000', '0.00019511']"
167,['0.00800000']
168,"['0.01000000', '0.00012393']"
169,"['0.00100000', '0.00011828']"
170,['0.02000000']
171,['0.00499480']
172,['0.00361931']
173,['0.00996541']
174,"['0.00010000', '0.00500000']"
175,['0.02471042']
176,"['0.00546157', '0.00250000', '0.00234426']"
177,"['0.00009357', '0.00040000', '0.00980000', '0.00009089', '0.00017000']"
178,['0.01450305']
179,['0.00090000']
180,['0.00053586']
181,['0.96111480']
182,['4.98194258']
183,['0.05000000']
184,['0.09990000']
185,['0.00382411']
186,['0.00354543']
187,['0.05000000']
188,"['0.01000000', '0.08876379']"
189,['3.92585522']
190,['0.00280178']
191,['0.00318000']
192,"['0.03964019', '0.00003832']"
193,['2.99327435']
194,['0.05000000']
195,"['0.00010000', '0.00105068']"
196,['4.97109754']
197,['0.06000000']
198,['4.95554464']
199,"['0.08454535', '0.00073702']"
200,['3.91468992']
201,['0.05000000']
202,['0.04797421']
203,['0.05898229']
204,"['0.00003421', '0.00100000']"
205,['0.02310000']
206,"['0.00014000', '0.00006080', '0.00180000', '0.00500000', '0.00016933', '0.00390000', '0.00050000', '0.00011394', '0.00400000', '0.00028000', '0.00099000', '0.00200000']"
207,['2.98224778']
208,['0.00900000']
209,"['0.00044827', '0.00090000']"
210,['0.00033503']
211,"['0.00090000', '0.00290000', '0.00170000', '0.00180000', '0.01090000', '0.00012392']"
212,"['0.00097600', '0.02000000', '0.00005460', '0.00498365', '0.03000000', '0.01000000', '0.01000000', '0.02400000']"
213,"['0.02753554', '0.09980000']"
214,['0.00039116']
215,"['0.01000000', '0.00997128', '0.01000000', '0.00390000', '0.00229870', '0.03884735']"
216,"['0.01000000', '0.00005460']"
217,"['0.00013614', '0.02900000', '0.01000000', '0.07024500']"
218,"['0.01000000', '0.01000000', '0.00019558', '0.01000000']"
219,['0.00193800']
220,['0.00173392']
221,"['0.01030000', '0.00004686', '0.03000000', '0.01950000', '0.01000000', '0.00009679', '0.01000000', '0.00900000', '0.01000000', '0.01570000', '0.00969500']"
222,"['0.00096700', '0.00152278', '0.03127842', '0.00100000']"
223,['0.00081250']
224,"['0.02700000', '0.00500000']"
225,"['0.04229076', '0.00010000', '0.05000000', '0.04772812', '0.00990000']"
