Scenario File,Current Balance,Mean #UTXO,Current #UTXO,#Deposits,#Inputs Spent,#Withdraws,#Uneconomical outputs spent,#Change Created,#Changeless,Min Change Value,Max Change Value,Mean Change Value,Std. Dev. of Change Value,Total Fees,Mean Fees per Withdraw,Cost to Empty (10 sat/vB),Total Cost,Min Input Size,Max Input Size,Mean Input Size,Std. Dev. of Input Size,Usage
bustabit-tiny-hot-wallet_peak-and-tail,0E-8,0,0,0,0,0,0,0,Total: **0**,0,0,0,0,0,0,0E-66,0E-66,0,0,0,0,
bustabit-tiny-hot-wallet_peak-and-tail,15.19420496,24.1540000000,27,267,443,233,2,203,bnb: **25** ; knapsack: **5** ; Total: **30**,0.00000649,4.99692843,0.343506857734,1.11913115507,0.00465471,0.0000199772961373,0.000183600000,0.004838310000,1,12,1.90128755365,1.70031641798,knapsack: **162** ; srd: **46** ; bnb: **25**
bustabit-tiny-hot-wallet_peak-and-tail,23.92682507,28.3130000000,34,594,901,406,2,341,bnb: **53** ; knapsack: **12** ; Total: **65**,0.00000390,4.99692843,0.245544697185,0.917899287882,0.00849910,0.0000209337438424,0.000231200000,0.008730300000,1,15,2.21921182266,2.15537808421,knapsack: **287** ; srd: **66** ; bnb: **53**
bustabit-tiny-hot-wallet_peak-and-tail,27.28269528,35.1466666667,76,961,1325,539,4,440,bnb: **86** ; knapsack: **13** ; Total: **99**,0.00000390,8.81669636,0.261199246909,0.956525834329,0.01190972,0.0000220959554731,0.000516800000,0.012426520000,1,17,2.45825602968,2.55126281169,knapsack: **351** ; srd: **102** ; bnb: **86**
bustabit-tiny-hot-wallet_peak-and-tail,19.66693312,36.4395000000,16,1316,1859,684,6,559,bnb: **111** ; knapsack: **14** ; Total: **125**,0.00000390,9.98188041,0.341928780233,1.33181127370,0.01489103,0.0000217705116959,0.000108800000,0.014999830000,1,51,2.71783625731,3.46167944702,knapsack: **442** ; srd: **131** ; bnb: **111**
bustabit-tiny-hot-wallet_peak-and-tail,26.29656727,36.0364000000,51,1682,2297,818,6,666,bnb: **136** ; knapsack: **16** ; Total: **152**,0.00000352,9.98188041,0.345355202883,1.36493295246,0.01779376,0.0000217527628362,0.000346800000,0.018140560000,1,51,2.80806845966,3.46425473822,knapsack: **533** ; srd: **149** ; bnb: **136**
bustabit-tiny-hot-wallet_peak-and-tail,18.38046936,35.6730000000,30,2008,2795,992,6,817,bnb: **158** ; knapsack: **17** ; Total: **175**,0.00000317,9.98188041,0.382368515508,1.42321228662,0.02233811,0.0000225182560484,0.000204000000,0.022542110000,1,51,2.81754032258,3.43572593680,knapsack: **641** ; srd: **193** ; bnb: **158**
bustabit-tiny-hot-wallet_peak-and-tail,26.40382074,37.2177142857,44,2415,3258,1085,6,887,bnb: **180** ; knapsack: **18** ; Total: **198**,0.00000317,9.98188041,0.364794282604,1.38393494531,0.02456980,0.0000226449769585,0.000299200000,0.024869000000,1,53,3.00276497696,3.87333962822,knapsack: **697** ; srd: **208** ; bnb: **180**
bustabit-tiny-hot-wallet_peak-and-tail,23.47150297,38.5062500000,47,2818,3735,1182,6,964,bnb: **199** ; knapsack: **19** ; Total: **218**,0.00000317,9.98188041,0.338599515405,1.33112748148,0.02748290,0.0000232511844332,0.000319600000,0.027802500000,1,53,3.15989847716,4.06475726715,knapsack: **771** ; srd: **212** ; bnb: **199**
bustabit-tiny-hot-wallet_peak-and-tail,15.35502003,39.6508888889,25,3213,4235,1287,6,1047,bnb: **219** ; knapsack: **21** ; Total: **240**,0.00000317,9.98188041,0.321537867660,1.28068226544,0.03114391,0.0000241988422688,0.000170000000,0.031313910000,1,53,3.29059829060,4.25520596341,knapsack: **835** ; srd: **233** ; bnb: **219**
bustabit-tiny-hot-wallet_peak-and-tail,15.77906842,39.7582000000,21,3571,4716,1429,6,1166,bnb: **241** ; knapsack: **22** ; Total: **263**,0.00000317,9.98188041,0.300160676038,1.21810107302,0.03396809,0.0000237705318404,0.000142800000,0.034110890000,1,53,3.30020993702,4.23075722284,knapsack: **931** ; srd: **257** ; bnb: **241**
bustabit-tiny-hot-wallet_peak-and-tail,22.01582083,38.9260000000,44,3938,5176,1562,6,1282,bnb: **258** ; knapsack: **22** ; Total: **280**,0.00000317,9.98188041,0.325100822457,1.26034849139,0.03714688,0.0000237816133163,0.000299200000,0.037446080000,1,53,3.31370038412,4.25653108695,knapsack: **1022** ; srd: **282** ; bnb: **258**
bustabit-tiny-hot-wallet_peak-and-tail,20.44303472,38.1990000000,26,4278,5671,1722,6,1419,bnb: **280** ; knapsack: **23** ; Total: **303**,0.00000317,9.98188041,0.306788781966,1.21932795366,0.04062892,0.0000235940301974,0.000176800000,0.040805720000,1,53,3.29326364692,4.17046014976,knapsack: **1141** ; srd: **301** ; bnb: **280**
bustabit-tiny-hot-wallet_peak-and-tail,20.92133953,38.2598461538,31,4650,6146,1850,6,1527,bnb: **298** ; knapsack: **25** ; Total: **323**,0.00000317,9.98188041,0.300863414054,1.18906396180,0.04366505,0.0000236027297297,0.000210800000,0.043875850000,1,53,3.32216216216,4.17155056955,knapsack: **1228** ; srd: **324** ; bnb: **298**
bustabit-tiny-hot-wallet_peak-and-tail,27.28246056,38.0531428571,72,4990,6589,2010,6,1671,bnb: **313** ; knapsack: **26** ; Total: **339**,0.00000317,9.98188041,0.292110515488,1.14587270126,0.04721713,0.0000234911094527,0.000489600000,0.047706730000,1,53,3.27810945274,4.10935249247,knapsack: **1338** ; srd: **359** ; bnb: **313**
