id,input_amounts
0,['0.00329000']
1,['5.00000000']
2,"['0.00011747', '0.00329000']"
3,['0.00483000']
4,"['0.00331400', '0.00002392']"
5,['0.00329400']
6,['0.00066424']
7,['0.00329400']
8,['4.99983370']
9,['0.00940000']
10,['0.01569000']
11,"['0.00287343', '0.00010000', '0.00014860']"
12,['0.00014860']
13,['0.01000000']
14,['0.00023909']
15,['0.00500000']
16,['0.00103200']
17,['0.01553483']
18,"['0.00329600', '0.00064468', '0.01246326']"
19,['0.00980000']
20,['0.00100000']
21,"['0.00109000', '0.00011846']"
22,['0.00794500']
23,['0.00390000']
24,['4.00000000']
25,['0.02500000']
26,"['0.00054113', '0.00050000', '0.00100000']"
27,"['0.00008310', '0.00331400']"
28,['0.00329400']
29,['0.00329400']
30,['0.00580591']
31,['0.01570000']
32,"['0.00028000', '0.00246440', '0.00000100', '0.00002077', '0.00056976', '0.00000200']"
33,"['0.00095187', '0.02164522']"
34,['0.00861687']
35,['0.00034055']
36,['0.00527872']
37,"['0.00010863', '0.00227323', '0.00100000']"
38,"['0.00300000', '0.00090000']"
39,['0.00883910']
40,['0.00550885']
41,['0.00961353']
42,['0.00227642']
43,['0.00628778']
44,['0.01000000']
45,"['0.00020000', '0.00028782', '0.00003480', '0.00056802']"
46,['0.00300000']
47,['0.00279475']
48,['0.00192127']
49,"['0.00306365', '0.00004488', '0.00011000', '0.00002468']"
50,['0.00494133']
51,['0.01000000']
52,"['0.00171403', '0.00034660', '0.00159425']"
53,"['0.00032015', '0.00331533']"
54,['0.01010000']
55,['0.00677041']
56,['0.00344179']
57,['0.01235865']
58,['0.00902771']
59,['0.00569781']
60,"['0.00043766', '0.00269338', '0.00029405']"
61,['0.01300000']
62,['0.00966837']
63,['0.00633495']
64,"['0.00300200', '0.00076900']"
65,['0.01921771']
66,['0.01588769']
67,['0.01255898']
68,['0.00921974']
69,['0.00589062']
70,"['0.00043273', '0.00008629', '0.00256210']"
71,['0.03535793']
72,['0.03214014']
73,['0.03012986']
74,['0.02692031']
75,['0.02358954']
76,['0.02028512']
77,['0.01688678']
78,['0.01355324']
79,['0.01020553']
80,['0.00687139']
81,['1.00000000']
82,['0.00353695']
83,['0.99066774']
84,['0.00910000']
85,['0.00576575']
86,['0.98733263']
87,['0.00275830']
88,"['4.99880650', '0.00100000']"
89,['0.01714000']
90,['0.01380250']
91,"['0.00007363', '2.00000000']"
92,['0.00103265']
93,['0.01047157']
94,['0.03000000']
95,['0.02799229']
96,['0.00300000']
97,['0.00116387']
98,"['0.01490000', '0.00014595']"
99,"['0.00100000', '0.00002942', '0.00002790', '0.00098946']"
100,['0.00480000']
101,['0.01780000']
102,"['0.00001897', '0.00019922', '0.00100000', '0.00080000']"
103,"['0.00000794', '0.00300000']"
104,"['0.00006080', '0.00100000']"
105,"['0.00100000', '0.00107722', '0.00100000']"
106,"['0.00100000', '0.00046807', '0.00006461', '0.00004977']"
107,['0.00279265']
108,"['0.00003293', '0.00100000']"
109,"['0.00120000', '0.00002747', '0.00171142', '0.00200000']"
110,['0.00120000']
111,['0.00068255']
112,"['0.00390000', '0.00009442', '0.00017756']"
113,"['0.00087643', '0.00270000']"
114,"['0.00046478', '0.00341677', '0.00100000', '0.00010000', '0.00040000']"
115,['0.00200000']
116,"['0.00370000', '0.00002428']"
117,['0.00098570']
118,"['0.00480000', '0.00084194']"
119,"['0.00200000', '0.00006000', '0.00006678', '0.00090000']"
120,"['0.00000485', '0.00001308', '0.00500000', '0.00228044', '0.00025639', '0.00008000', '0.00163049', '0.00000560']"
121,"['0.00091371', '0.00010000', '0.00300000', '0.00100000']"
122,['0.00360000']
123,"['0.00480000', '0.00090000', '0.00290000']"
124,['0.01321816']
125,"['0.00592000', '0.00110000', '0.00300000']"
126,"['0.00021748', '0.00520333', '0.00790000', '0.00169500']"
127,['0.00444318']
128,['0.00243847']
129,['0.00454585']
130,"['0.00108897', '0.00500000', '0.00007588']"
131,"['0.00131804', '0.00490000']"
132,"['0.00500000', '0.01000000']"
133,['0.01109159']
134,['0.00464370']
135,"['0.00188795', '0.00004728', '0.00800000', '0.00008743']"
136,"['0.01000000', '0.00001222']"
137,['0.00213902']
138,"['0.00013380', '0.00010686', '0.00100000', '0.00049540']"
139,['0.00226500']
140,"['0.00865195', '0.00069882', '0.00065799', '0.00300000']"
141,['0.00500000']
142,"['0.00002278', '0.00200000']"
143,['0.00070000']
144,"['0.00100000', '0.00180000']"
145,"['0.00280000', '0.00299291', '0.00300000', '0.00068256']"
146,['0.00500000']
147,['0.00196007']
148,['0.00600000']
149,"['0.00020995', '0.00600000', '0.00024546', '0.00029056', '0.00024160', '0.00290000']"
150,"['0.00500000', '0.00800000']"
