id,input_amounts
0,['0.00329000']
1,['0.01570000']
2,['0.01553370']
3,['0.00483000']
4,['0.00794500']
5,['0.00329000']
6,['5.00000000']
7,['0.00329400']
8,['4.99957485']
9,"['4.99854765', '0.00064468']"
10,['0.00461872']
11,"['0.00007910', '0.01010000']"
12,['0.00014860']
13,['0.00980000']
14,['0.00011747']
15,['0.00706263']
16,['0.00103200']
17,['0.00863910']
18,"['0.00331400', '0.00014860', '0.00331400']"
19,['0.00329400']
20,['0.00100000']
21,['3.00000000']
22,['0.02500000']
23,['0.00500000']
24,['2.00000000']
25,"['1.00000000', '0.00109000']"
26,['2.99881736']
27,"['0.00010000', '0.00329600']"
28,['0.00301450']
29,"['0.00100000', '0.00056976', '0.00050000', '0.00090000', '0.00000200', '0.00000100']"
30,['0.02286091']
31,['0.01000000']
32,"['0.00002077', '0.00329400']"
33,"['0.00010863', '0.00329400']"
34,"['0.00164113', '0.00211087']"
35,['0.00041188']
36,['0.00390000']
37,"['0.00300000', '0.00066424']"
38,['0.00446355']
39,"['0.00113317', '0.00089451', '0.00100000', '0.00032922']"
40,['0.00556753']
41,['0.00665865']
42,['0.00233510']
43,['0.00333290']
44,['0.00940000']
45,['0.00300000']
46,"['0.00010613', '0.00010877']"
47,['0.00194346']
48,"['0.00020000', '0.00002198']"
49,['0.00434133']
50,['0.01000000']
51,"['0.00665292', '0.00002325', '0.00001321']"
52,['0.01000000']
53,"['0.00011000', '0.00076900', '0.00034650', '0.00106998', '0.00111090']"
54,['0.00667003']
55,['0.00334044']
56,['0.01217899']
57,['0.00917486']
58,['0.00584392']
59,['0.01300000']
60,['0.00999557']
61,['0.00666254']
62,"['0.00333091', '0.00001182']"
63,['0.01569000']
64,['0.01235705']
65,['0.00902144']
66,['0.00569142']
67,"['0.00251402', '0.00236271']"
68,['0.01951940']
69,['0.01619028']
70,['0.01286176']
71,['0.00985793']
72,['0.00664014']
73,['0.00462986']
74,"['0.00142031', '0.00004884', '0.00153547', '0.00034660']"
75,['0.03535793']
76,['0.03205351']
77,['0.02865517']
78,['0.02532163']
79,['0.02197392']
80,['0.01863978']
81,['0.01530534']
82,['0.00597308']
83,"['0.00100000', '0.00263535']"
84,['0.00910000']
85,['0.00576575']
86,['0.99772345']
87,['0.00275830']
88,['0.01714000']
89,"['0.00029544', '2.99679464']"
90,['0.01448214']
91,['0.97724072']
92,['0.00103265']
93,['0.01115121']
94,"['0.00116387', '0.00114771']"
95,['0.03000000']
96,['0.00300000']
97,['2.99374902']
98,"['0.00030021', '0.01490000']"
99,"['0.00002942', '0.00100000', '0.00001214', '0.00098946']"
100,['0.00480000']
101,['0.01780000']
102,"['0.00100000', '0.00006080', '0.00080000', '0.00018216']"
103,"['0.00003271', '0.00300000']"
104,"['0.00100000', '0.00002557']"
105,"['0.00107722', '0.00100000', '0.00100000']"
106,['0.00200000']
107,"['0.00171142', '0.00046318']"
108,"['0.00100000', '0.00001454']"
109,"['0.00005970', '0.00006461', '0.00000908', '0.00480000']"
110,['0.00120000']
111,['0.00100000']
112,"['0.00049501', '0.00009442', '0.00087643', '0.00270000']"
113,"['0.00120000', '0.00200000']"
114,"['0.00008835', '0.00040000', '0.00200000', '0.00279265', '0.00010000']"
115,['0.00341677']
116,"['0.00240247', '0.96223709', '0.00100000']"
117,['0.00228044']
118,"['0.00370000', '0.00213668']"
119,"['0.00001430', '0.00300000']"
120,"['0.00444318', '0.00360000', '0.00025639', '0.00090000', '0.00006000', '0.00000601']"
121,"['0.00090000', '0.00026152', '0.00390000']"
122,"['0.00163049', '0.00008000', '0.00169500']"
123,"['0.00464370', '0.00290000', '0.00100000']"
124,"['0.00001958', '0.00800000']"
125,"['0.00300000', '0.00110000', '0.00592000']"
126,"['0.96191771', '0.00480000', '0.00001577', '0.00005202', '0.00454585']"
127,['0.00490000']
128,['0.00289529']
129,['0.00500000']
130,"['0.00154579', '0.00500000']"
131,"['0.00500000', '0.00043255', '0.00091371']"
132,['0.00790000']
133,['0.01109159']
134,"['0.00177219', '0.00155454']"
135,"['0.00880000', '0.00008743', '0.00049540', '0.00056921', '0.00010000']"
136,"['0.01000000', '0.00003953']"
137,['0.00213902']
138,['0.00226500']
139,"['0.00055955', '0.00100000', '0.00013380']"
140,"['0.00300000', '0.00003018', '0.00900000', '0.00100000']"
141,['0.00500000']
142,"['0.00200000', '0.00002100']"
143,['0.00069882']
144,"['0.00024428', '0.00180000', '0.00007963']"
145,"['0.00300000', '0.00299291', '0.00280000', '0.00070000']"
146,['0.00500000']
147,['0.00196007']
148,['0.00600000']
149,"['0.00024160', '0.00022739', '0.00023143', '0.00600000', '0.00029056', '0.00290000']"
150,['0.01000000']
151,"['0.02799537', '0.00027703', '0.00969612', '0.00263338', '0.00001259', '0.00860000', '0.00980000']"
152,['1.99573006']
153,"['0.00900000', '0.01680000', '0.00007344', '0.00880000', '0.01450000', '0.00090000']"
154,['0.01000000']
155,['0.00500000']
156,"['0.00090000', '0.00800000', '0.06000000', '0.00179344', '0.03500000', '0.00040000', '0.01000000', '0.00500000']"
157,['0.01000000']
158,['0.00642790']
159,"['0.01990000', '0.00963986', '0.00557866', '0.01500000', '0.05000000']"
160,"['0.00084400', '0.00010507', '0.05900000', '0.04000000', '0.00007209']"
161,['0.95631305']
162,['0.00700000']
163,['0.01000000']
164,['0.00599385']
165,['0.01000000']
166,['0.00098627']
167,"['0.00199320', '0.00017000', '0.00038000', '0.00028834', '0.00021000']"
168,"['0.00499505', '0.00800000']"
169,"['0.00002022', '0.00100000']"
170,['0.01321816']
171,['0.00298940']
172,['0.00161391']
173,"['0.00002635', '0.00090000', '0.00040000', '0.00318357']"
174,"['0.00500000', '0.00001588']"
175,['0.02000000']
176,"['0.00979263', '0.00010000', '0.00033886']"
177,"['0.00250000', '0.00980000']"
178,['0.02471042']
179,['0.00179185']
180,['0.00142771']
181,['0.07024500']
182,['4.00000000']
183,['0.05991282']
184,['0.01403148']
185,['0.00106118']
186,['0.00078250']
187,['0.05000000']
188,"['0.00289527', '3.98915496', '0.01000000']"
189,"['1.99370726', '0.00090000']"
190,['0.00500000']
191,['0.00293524']
192,['0.05000000']
193,"['0.01000000', '0.01000000']"
194,['0.01000000']
195,"['0.00000677', '0.00010000', '0.00001923', '0.00100000']"
196,['2.99273110']
197,['0.01000000']
198,['0.05000000']
199,['0.06000000']
200,['0.03300000']
201,['0.06000000']
202,['0.00028000']
203,['0.03884735']
204,['0.09980000']
205,['2.97717820']
206,"['0.00170000', '0.00390000', '0.00180000', '0.00044827', '0.00006080', '0.00900000', '0.00099000', '0.00003885', '0.00003812', '0.00003391', '0.00080592', '0.00014000']"
207,['4.99265314']
208,['0.00990000']
209,"['0.00050000', '0.00090000']"
210,['0.00038676']
211,"['0.00318000', '0.00896081', '0.00017565', '0.00400000', '0.00200000']"
212,"['0.00797421', '0.03095187', '0.00290000', '0.01000000', '0.01000000', '0.01000000', '0.01000000', '0.00005460', '0.00898229', '0.00097600', '0.00588365', '0.00229870']"
213,"['0.02959206', '0.00180000']"
214,['0.00039116']
215,"['0.00019558', '0.00013614', '0.01000000', '0.01000000', '0.00020606', '0.01000000', '0.00390000', '0.01000000', '0.01944692', '0.01114348']"
216,"['0.00005460', '0.01000000']"
217,"['0.02000000', '0.02310000', '0.00900000', '0.00004686', '0.01000000', '0.03787087']"
218,"['0.01090000', '0.01950000']"
219,['0.00030547']
220,['0.00193800']
221,"['0.01570000', '0.01000000', '0.05000000', '0.04869081']"
