Scenario File,Current Balance,Mean #UTXO,Current #UTXO,#Deposits,#Inputs Spent,#Withdraws,#Uneconomical outputs spent,#Change Created,#Changeless,Min Change Value,Max Change Value,Mean Change Value,Std. Dev. of Change Value,Total Fees,Mean Fees per Withdraw,Cost to Empty (10 sat/vB),Total Cost,Min Input Size,Max Input Size,Mean Input Size,Std. Dev. of Input Size,Usage
bustabit-tiny-hot-wallet_peak-and-tail,0E-8,0,0,0,0,0,0,0,Total: **0**,0,0,0,0,0,0,0E-66,0E-66,0,0,0,0,
bustabit-tiny-hot-wallet_peak-and-tail,15.19420259,24.1240000000,24,267,448,233,2,205,bnb: **24** ; knapsack: **4** ; Total: **28**,0.00000601,4.99957485,0.310480172585,1.00791494039,0.00465708,0.0000199874678112,0.000163200000,0.004820280000,1,12,1.92274678112,1.75505359244,knapsack: **163** ; srd: **46** ; bnb: **24**
bustabit-tiny-hot-wallet_peak-and-tail,23.92682972,27.7990000000,31,594,910,406,2,347,bnb: **54** ; knapsack: **5** ; Total: **59**,0.00000379,4.99957485,0.247407188646,0.899258580398,0.00849445,0.0000209222906404,0.000210800000,0.008705250000,1,16,2.24137931034,2.18205069907,knapsack: **284** ; srd: **68** ; bnb: **54**
bustabit-tiny-hot-wallet_peak-and-tail,27.28259744,32.9840000000,75,961,1338,539,3,452,bnb: **80** ; knapsack: **7** ; Total: **87**,0.00000379,8.81196341,0.241480450442,0.904946449234,0.01200756,0.0000222774768089,0.000510000000,0.012517560000,1,16,2.48237476809,2.58842955944,knapsack: **358** ; srd: **101** ; bnb: **80**
bustabit-tiny-hot-wallet_peak-and-tail,19.66695902,35.6735000000,21,1316,1859,684,5,564,bnb: **112** ; knapsack: **8** ; Total: **120**,0.00000379,9.82485294,0.291722006365,1.14810045670,0.01486513,0.0000217326461988,0.000142800000,0.015007930000,1,40,2.71783625731,3.22066497268,knapsack: **445** ; srd: **127** ; bnb: **112**
bustabit-tiny-hot-wallet_peak-and-tail,26.29656687,34.7876000000,50,1682,2305,818,5,673,bnb: **136** ; knapsack: **9** ; Total: **145**,0.00000379,9.82485294,0.264452730446,1.07679633552,0.01779416,0.0000217532518337,0.000340000000,0.018134160000,1,40,2.81784841076,3.30495333402,knapsack: **537** ; srd: **145** ; bnb: **136**
bustabit-tiny-hot-wallet_peak-and-tail,18.38044649,35.2046666667,28,2008,2800,992,5,820,bnb: **159** ; knapsack: **13** ; Total: **172**,0.00000358,9.82485294,0.276991271951,1.10407083088,0.02236098,0.0000225413104839,0.000190400000,0.022551380000,1,40,2.82258064516,3.24461428995,knapsack: **647** ; srd: **186** ; bnb: **159**
bustabit-tiny-hot-wallet_peak-and-tail,26.40373601,35.8928571429,35,2415,3272,1085,5,892,bnb: **179** ; knapsack: **14** ; Total: **193**,0.00000358,9.82485294,0.262030950235,1.06210968405,0.02465453,0.0000227230691244,0.000238000000,0.024892530000,1,40,3.01566820276,3.63342590419,knapsack: **708** ; srd: **198** ; bnb: **179**
bustabit-tiny-hot-wallet_peak-and-tail,23.47142894,36.7692500000,44,2818,3743,1182,5,969,bnb: **199** ; knapsack: **14** ; Total: **213**,0.00000358,9.82485294,0.246961721362,1.02210682773,0.02755693,0.0000233138155668,0.000299200000,0.027856130000,1,40,3.16666666667,3.85492269896,knapsack: **776** ; srd: **207** ; bnb: **199**
bustabit-tiny-hot-wallet_peak-and-tail,15.35488076,37.7228888889,22,3213,4243,1287,5,1052,bnb: **217** ; knapsack: **18** ; Total: **235**,0.00000358,9.82485294,0.238106318812,0.984095501870,0.03128318,0.0000243070551671,0.000149600000,0.031432780000,1,40,3.29681429681,4.08736407154,knapsack: **839** ; srd: **231** ; bnb: **217**
bustabit-tiny-hot-wallet_peak-and-tail,15.77890716,37.8416000000,22,3571,4724,1429,5,1175,bnb: **235** ; knapsack: **19** ; Total: **254**,0.00000358,9.82485294,0.220095751668,0.934307042469,0.03412935,0.0000238833799860,0.000149600000,0.034278950000,1,40,3.30580825752,4.05005116261,knapsack: **947** ; srd: **247** ; bnb: **235**
