id,input_amounts
0,['0.00329000']
1,['0.00331400']
2,"['0.00794500', '0.00329600']"
3,['0.00483000']
4,"['0.00329400', '0.00329400']"
5,['0.00324449']
6,['0.00066424']
7,['0.00314770']
8,['0.00329400']
9,['2.00000000']
10,['0.00329400']
11,"['0.00014860', '0.00049838', '0.00010000', '0.00011747', '0.00226680']"
12,['0.00014860']
13,['0.00313883']
14,['0.00023909']
15,['0.01570000']
16,['0.00103200']
17,['0.01000000']
18,"['4.00000000', '0.00329000']"
19,['3.99653221']
20,['0.00100000']
21,['0.00331400']
22,['0.00213136']
23,['0.00940000']
24,['0.01165187']
25,['0.00692843']
26,['1.00000000']
27,"['0.00090000', '0.00003359', '0.00197793', '0.00050000']"
28,['0.00357365']
29,"['0.00055965', '0.00056976', '0.00000200', '0.00100000', '0.00000100', '0.00109000']"
30,['0.00390000']
31,['0.00500000']
32,['0.00604113']
33,"['0.00010863', '0.00273216', '0.00055849']"
34,['0.00738193']
35,"['0.00011846', '0.00025110']"
36,['0.00404378']
37,"['0.00100000', '0.00165865', '0.00103829']"
38,"['0.00035996', '0.00300000']"
39,['0.00785745']
40,"['0.01569000', '0.00002798']"
41,"['5.00000000', '0.00001454']"
42,['0.00452720']
43,['0.00980000']
44,['0.00657587']
45,['0.00151720']
46,"['0.00002077', '0.00020000']"
47,['0.00253860']
48,['0.00046066']
49,"['0.00025342', '0.00300000']"
50,['0.01000000']
51,"['0.00006109', '0.00665292']"
52,['0.01000000']
53,"['0.01010000', '0.00002712', '0.00011000']"
54,['0.00667003']
55,['0.00334044']
56,['0.00689032']
57,['0.00388619']
58,"['0.00034660', '0.00055525', '0.00076900', '0.00166512']"
59,['0.01248298']
60,['0.00947855']
61,['0.00614552']
62,['0.01300000']
63,['0.00966658']
64,['0.00633363']
65,"['0.00281389', '0.00299802']"
66,['0.02500000']
67,['0.02167129']
68,['0.01833205']
69,['0.01500293']
70,['0.01167441']
71,['0.00867058']
72,['0.00247950']
73,['0.00545279']
74,['0.03535793']
75,['0.03202716']
76,['0.02872274']
77,"['0.00100000', '0.00046922', '0.00224324']"
78,['0.02532440']
79,['0.02197669']
80,['0.01864255']
81,['0.01530811']
82,['0.00597585']
83,['0.99797728']
84,['0.00910000']
85,"['0.00037267', '0.00263812']"
86,"['0.00001303', '4.99668606']"
87,['0.00576575']
88,['0.00404010']
89,['0.01714000']
90,['0.01380250']
91,"['4.97621364', '0.00138224']"
92,['0.01047157']
93,['0.03000000']
94,['0.00946834']
95,['0.00746063']
96,['0.00300000']
97,['0.00116387']
98,"['0.01490000', '0.00014595']"
99,"['0.00100000', '0.00001182', '0.00098946', '0.00002790']"
100,['0.00480000']
101,['0.00545600']
102,"['0.00100000', '0.00002089', '0.00100000']"
103,"['0.00006080', '0.00100000', '0.00107722', '0.00087416']"
104,"['0.00001267', '0.00100000']"
105,"['0.00279265', '0.00080000']"
106,"['0.00058314', '0.00100000']"
107,"['0.00120000', '0.00171142']"
108,"['0.00004213', '0.00100000']"
109,"['0.00300000', '0.00200000']"
110,['0.00120000']
111,['0.00079652']
112,"['0.00009442', '0.00370000', '0.00029153', '0.00007151']"
113,"['0.00087643', '0.00270000']"
114,"['0.00040000', '0.00100000', '0.00010000', '0.00046478', '0.00341677']"
115,['0.00200000']
116,['0.00390000']
117,['0.00018443']
118,"['0.00003667', '0.00454585', '0.00098570', '0.00004067']"
119,"['0.00200000', '0.00091371', '0.00002906', '0.00008000']"
120,"['0.00000907', '0.00000590', '0.00500000', '0.00090000', '0.00010000', '0.00300000', '0.00025639']"
121,"['0.00006000', '0.00500000']"
122,"['0.00163049', '0.00090000', '0.00100000']"
123,"['0.00480000', '0.00360000', '0.00014077']"
124,['1.99347343']
125,"['0.00300000', '0.00592000', '0.00110000']"
126,"['0.00228044', '0.00169500', '0.01109159']"
127,['0.00290000']
128,['0.00444318']
129,"['0.00309368', '0.00089529']"
130,"['0.00790000', '0.00005284']"
131,"['0.00183960', '0.00464370']"
132,['0.00800000']
133,"['0.00037212', '0.00900000', '0.00165454']"
134,"['0.00075698', '0.00226500']"
135,"['0.00480000', '0.00490000', '0.00026446', '0.00005312']"
136,"['0.00500000', '0.00001665', '0.00500000']"
137,"['0.00213902', '0.00100000']"
138,['0.00300000']
139,"['0.00113132', '0.00049540']"
140,"['0.00600000', '0.00069882', '0.00129455', '0.00001638', '0.00500000', '0.00000424']"
141,['0.00800000']
142,"['0.00200000', '0.00001853']"
143,['0.00070000']
144,"['0.00180000', '0.00100000']"
145,"['0.00599291', '0.00068256', '0.00280000']"
146,"['0.00300000', '0.00021301']"
147,['0.00600000']
148,"['0.00290000', '0.00433049']"
149,['0.01000000']
150,['0.01000000']
151,"['0.00017074', '0.00027703', '0.00880000', '0.00019413', '0.00880000', '0.00263338', '0.00980000', '0.01450000', '0.00024546', '0.00500000', '0.00860000']"
152,['0.01999650']
153,"['0.00000714', '3.00000000', '0.00001012']"
154,['0.01000000']
155,"['0.00090000', '0.00090000', '0.00146952']"
156,"['0.01000000', '0.01780000', '0.00040000', '0.06000000', '0.00500000', '0.01797370', '0.01000000']"
157,['0.00900000']
158,['0.00542790']
159,"['0.00002022', '0.03500000', '0.05000000', '0.01500000']"
160,"['0.00084400', '0.04000000', '0.00963986', '0.01990000', '0.00005668', '0.02959206']"
161,"['0.01680000', '0.02000000', '0.00457866', '0.05900000']"
162,['0.00700000']
163,['0.00969612']
164,['0.00568997']
165,['0.01000000']
166,"['0.00015471', '0.00021000', '0.00036634']"
167,"['0.00038000', '0.00199320', '0.00068239']"
168,"['0.01000000', '0.00000682']"
169,"['0.00100000', '0.00000899']"
170,"['0.00800000', '0.00499505']"
171,['0.00295828']
172,['0.00158279']
173,['0.02471042']
174,"['0.00002936', '0.00500000']"
175,['0.02020658']
176,"['0.00999921', '0.00017000', '0.00004541']"
177,"['0.00980000', '0.00000465', '0.00030774', '0.00040000']"
178,['0.03000000']
179,['0.00090000']
180,['0.00053586']
181,['4.96259053']
182,['0.05000000']
183,['0.01932106']
184,"['0.00250000', '0.00896125']"
185,['0.00030783']
186,['0.00500000']
187,['0.05000000']
188,['0.99464217']
189,['0.07024500']
190,['0.00425635']
191,['0.00219159']
192,['0.09980000']
193,['4.95225835']
194,['0.01000000']
195,"['0.00100000', '0.00010000', '0.00002025']"
196,"['0.01000000', '0.00180000', '0.01000000']"
197,['0.03915496']
198,['0.01000000']
199,"['0.00028000', '0.06000000']"
200,['0.01090000']
