Scenario File,Current Balance,Mean #UTXO,Current #UTXO,#Deposits,#Inputs Spent,#Withdraws,#Uneconomical outputs spent,#Change Created,#Changeless,Min Change Value,Max Change Value,Mean Change Value,Std. Dev. of Change Value,Total Fees,Mean Fees per Withdraw,Cost to Empty (10 sat/vB),Total Cost,Min Input Size,Max Input Size,Mean Input Size,Std. Dev. of Input Size,Usage
bustabit-tiny-hot-wallet_peak-and-tail,0E-8,0,0,0,0,0,0,0,Total: **0**,0,0,0,0,0,0,0E-66,0E-66,0,0,0,0,
bustabit-tiny-hot-wallet_peak-and-tail,15.19424947,23.8640000000,21,267,455,233,2,209,bnb: **22** ; knapsack: **2** ; Total: **24**,0.00000424,4.99668606,0.233411134545,0.950322728627,0.00461020,0.0000197862660944,0.000142800000,0.004753000000,1,14,1.95278969957,1.79856346735,knapsack: **165** ; srd: **46** ; bnb: **22**
bustabit-tiny-hot-wallet_peak-and-tail,23.92708780,27.4350000000,32,594,913,406,2,351,bnb: **47** ; knapsack: **8** ; Total: **55**,0.00000424,4.99668606,0.186784472507,0.794548914047,0.00823637,0.0000202866256158,0.000217600000,0.008453970000,1,16,2.24876847291,2.21770339679,knapsack: **284** ; srd: **75** ; bnb: **47**
bustabit-tiny-hot-wallet_peak-and-tail,27.28275915,31.9020000000,71,961,1349,539,4,459,bnb: **66** ; knapsack: **14** ; Total: **80**,0.00000354,8.81957132,0.245989198017,1.02216042477,0.01184585,0.0000219774582560,0.000482800000,0.012328650000,1,20,2.50278293135,2.70300185103,knapsack: **365** ; srd: **108** ; bnb: **66**
bustabit-tiny-hot-wallet_peak-and-tail,19.66714174,37.6855000000,23,1316,1860,684,6,567,bnb: **100** ; knapsack: **17** ; Total: **117**,0.00000354,9.99018394,0.229792000811,1.01423411205,0.01468241,0.0000214655116959,0.000156400000,0.014838810000,1,31,2.71929824561,3.10435986407,knapsack: **458** ; srd: **126** ; bnb: **100**
bustabit-tiny-hot-wallet_peak-and-tail,26.29685534,37.6044000000,56,1682,2300,818,6,674,bnb: **124** ; knapsack: **20** ; Total: **144**,0.00000354,9.99018394,0.217684091469,0.968465568429,0.01750569,0.0000214005990220,0.000380800000,0.017886490000,1,31,2.81173594132,3.22152478684,knapsack: **547** ; srd: **147** ; bnb: **124**
bustabit-tiny-hot-wallet_peak-and-tail,18.38090003,38.0486666667,34,2008,2795,992,7,821,bnb: **150** ; knapsack: **21** ; Total: **171**,0.00000317,9.99018394,0.239694682789,0.996271737413,0.02190744,0.0000220841129032,0.000231200000,0.022138640000,1,31,2.81754032258,3.17723594539,knapsack: **650** ; srd: **192** ; bnb: **150**
bustabit-tiny-hot-wallet_peak-and-tail,26.40419704,38.3985714286,39,2415,3268,1085,7,892,bnb: **170** ; knapsack: **23** ; Total: **193**,0.00000317,9.99018394,0.227374967444,0.959074003543,0.02419350,0.0000222981566820,0.000265200000,0.024458700000,1,41,3.01198156682,3.59541069710,knapsack: **712** ; srd: **203** ; bnb: **170**
bustabit-tiny-hot-wallet_peak-and-tail,23.47209332,39.2020000000,43,2818,3742,1182,7,967,bnb: **191** ; knapsack: **24** ; Total: **215**,0.00000317,9.99018394,0.221263818335,0.945069558730,0.02689255,0.0000227517343486,0.000292400000,0.027184950000,1,41,3.16582064298,3.77225253760,knapsack: **779** ; srd: **212** ; bnb: **191**
bustabit-tiny-hot-wallet_peak-and-tail,15.35541919,39.9864444444,25,3213,4240,1287,7,1052,bnb: **208** ; knapsack: **27** ; Total: **235**,0.00000317,9.99018394,0.21448275,0.910135057132,0.03074475,0.0000238886946387,0.000170000000,0.030914750000,1,41,3.29448329448,4.04825009057,knapsack: **848** ; srd: **231** ; bnb: **208**
bustabit-tiny-hot-wallet_peak-and-tail,15.77948511,39.8468000000,27,3571,4711,1429,7,1167,bnb: **232** ; knapsack: **30** ; Total: **262**,0.00000317,9.99018394,0.201618966761,0.867190164273,0.03355140,0.0000234789363191,0.000183600000,0.033735000000,1,41,3.29671098670,4.00911029597,knapsack: **948** ; srd: **249** ; bnb: **232**
bustabit-tiny-hot-wallet_peak-and-tail,22.01631503,38.7485454545,42,3938,5177,1562,7,1281,bnb: **250** ; knapsack: **31** ; Total: **281**,0.00000317,9.99018394,0.214388431577,0.891379949569,0.03665268,0.0000234652240717,0.000285600000,0.036938280000,1,41,3.31434058899,4.05050267527,knapsack: **1040** ; srd: **272** ; bnb: **250**
bustabit-tiny-hot-wallet_peak-and-tail,20.44374929,38.1353333333,27,4278,5672,1722,7,1421,bnb: **268** ; knapsack: **33** ; Total: **301**,0.00000317,9.99018394,0.213602232182,0.860975640785,0.03991435,0.0000231790650407,0.000183600000,0.040097950000,1,41,3.29384436702,3.99355340121,knapsack: **1147** ; srd: **307** ; bnb: **268**
