id,input_amounts
0,['0.00329000']
1,['2.00000000']
2,['5.00000000']
3,['0.00483000']
4,['1.99983370']
5,['0.00329000']
6,['0.00329400']
7,['0.00286885']
8,"['4.00000000', '0.00021953']"
9,['0.01570000']
10,['0.01569000']
11,['0.00329400']
12,['0.00014860']
13,['0.02500000']
14,['0.00011747']
15,['0.01553483']
16,['0.00103200']
17,['0.01000000']
18,['3.99917941']
19,['0.00980000']
20,['0.00100000']
21,['0.01010000']
22,['0.00390000']
23,['0.01148670']
24,['0.00917343']
25,['3.00000000']
26,['0.00329400']
27,"['0.00010000', '0.00329600']"
28,"['0.00127128', '0.00109000', '0.00066424']"
29,"['0.00176091', '0.00010863', '0.00002077', '0.00007910', '0.00100000']"
30,['0.02383910']
31,['0.00490349']
32,['0.00331400']
33,"['0.00000100', '0.00014860', '0.00329400', '0.00000200']"
34,"['0.00018283', '0.00005551', '0.00156214', '0.00100000', '0.00056976']"
35,['0.00050000']
36,['0.00331400']
37,"['0.00030851', '0.00300000', '0.00019425']"
38,['0.00500000']
39,['0.00692843']
40,['0.00359818']
41,['0.00794500']
42,"['0.00166962', '0.00016578', '0.00020000']"
43,['0.00461925']
44,['0.00812783']
45,"['0.00036575', '0.00090000']"
46,['0.00020610']
47,['0.00139512']
48,['0.00052164']
49,"['0.00004240', '0.00011000', '0.00306916', '0.00002411']"
50,"['0.00031440', '0.00034660', '0.00300000']"
51,['0.00861687']
52,['0.00891736']
53,"['0.00558739', '0.00031002']"
54,"['0.00255598', '0.00193220']"
55,['0.00940000']
56,['0.00607138']
57,"['0.00306725', '0.00076900']"
58,['0.01000000']
59,['0.00667010']
60,['0.00366567']
61,['0.01000000']
62,['0.00666837']
63,['0.00333495']
64,['0.01300000']
65,['0.00966439']
66,['0.00633437']
67,"['0.00300566', '0.00050344']"
68,['0.02049759']
69,"['0.00016784', '0.03535793']"
70,['0.01716847']
71,['0.01416464']
72,['0.01094685']
73,['0.00893657']
74,['0.00572702']
75,"['0.00115640', '0.00239625']"
76,['0.03219558']
77,['0.02879724']
78,['0.02546370']
79,['0.02211599']
80,"['0.00033264', '4.99664529']"
81,['0.01878185']
82,['0.00944959']
83,['0.00611186']
84,"['0.00277675', '0.00100000']"
85,['0.00910000']
86,['1.00000000']
87,['0.00609255']
88,['0.00436690']
89,['0.01714000']
90,['0.01380250']
91,['0.97951727']
92,['0.00170904']
93,['0.01047157']
94,"['0.00046807', '0.00043811', '0.00116387']"
95,['0.03000000']
96,"['0.02799537', '0.00005496']"
97,['0.00300000']
98,"['0.00024614', '0.01490000']"
99,"['0.00006080', '0.00198208']"
100,['0.00480000']
101,"['0.00070581', '0.00100000', '0.00279265', '0.00012809']"
102,"['0.00100000', '0.00002606', '0.00100000']"
103,"['0.00300000', '0.00001784']"
104,"['0.00001070', '0.00100000']"
105,['0.00370000']
106,"['0.00069355', '0.00100000']"
107,"['0.00120000', '0.00015254', '0.00080000']"
108,"['0.00100000', '0.00003200']"
109,"['0.00003277', '0.00100000', '0.00390000']"
110,['0.00120000']
111,"['0.00500000', '0.00002654']"
112,"['0.00010000', '0.00200000', '0.00009442', '0.00200000']"
113,"['0.00107722', '0.00004286', '0.00200000']"
114,"['0.00087643', '0.00451918']"
115,['0.00790000']
116,"['0.00002440', '0.00100000', '0.00270000']"
117,['0.00040000']
118,"['0.00228044', '0.00341677']"
119,"['0.00008000', '0.00171142', '0.00025624', '0.00091371', '0.00006000']"
120,"['0.00090000', '0.00000496', '0.00800000', '0.00010000', '0.00000463', '0.00025639']"
121,"['0.00100000', '0.00012205', '0.00090000', '0.00300000']"
122,['0.00360000']
123,"['0.00688570', '0.00163049']"
124,"['0.00169500', '0.02603478']"
125,"['0.00300000', '0.00110000', '0.00592000']"
126,"['0.01000000', '0.00021748', '0.00480000']"
127,['0.00290000']
128,['0.00444318']
129,"['0.00089529', '0.00309368', '0.00000357']"
130,['0.00800000']
131,"['0.00454585', '0.00189102']"
132,"['0.00464370', '0.00480000']"
133,"['0.00032569', '0.00500000', '0.00075630', '0.00500000']"
134,['0.00309565']
135,"['0.00001021', '0.01000000']"
136,"['0.00490000', '0.00213902', '0.00033990', '0.00049540', '0.00226500']"
137,['0.00300000']
138,"['0.00099478', '0.00100000']"
139,['0.00500000']
140,"['0.00880000', '0.00339299', '0.00012080', '0.00069882']"
141,['0.00500000']
142,"['0.00007185', '0.00200000']"
143,['0.00070000']
144,"['0.00006344', '0.00000389', '0.00028675', '0.00180000']"
145,"['0.00024546', '0.00300000', '0.00002523', '0.00600000']"
146,"['0.00280000', '0.00100000']"
147,['0.00299291']
148,"['0.00075773', '0.00500000', '0.00000517']"
149,"['0.00880000', '0.00132340']"
150,['0.01109159']
151,"['0.00860000', '0.01680000', '0.00031521', '0.01450000', '0.00980000', '0.00900000']"
152,['0.00969612']
153,"['0.01970791', '0.00263338', '0.00900000', '0.01780000', '0.00090000']"
154,['0.01000000']
155,"['0.00290000', '0.00040000']"
156,"['0.01000000', '0.03500000', '0.00009033', '0.00090000', '0.01500000', '0.06000000', '0.00002022', '0.00001091']"
157,['0.00500000']
158,['0.00136862']
159,"['0.00051938', '0.04000000', '0.02000000', '0.01000000', '0.01990000', '0.00963986']"
160,"['0.00767332', '0.02959206', '0.00600000', '0.05900000']"
161,['0.96451364']
162,['0.00700000']
163,"['0.00004360', '0.00021000', '0.00038000', '0.00199320', '0.00142790']"
164,['0.01000000']
165,"['0.00003674', '0.00499242']"
166,['0.00084400']
167,['0.00800000']
168,"['0.00002185', '0.01000000']"
169,"['0.00001620', '0.00100000']"
170,['0.02471042']
171,['0.00224686']
172,"['0.00087137', '0.00001186', '0.00040000']"
173,['0.00499480']
174,"['0.00010000', '0.00500000']"
175,['0.01467583']
176,['0.03000000']
177,"['0.00049096', '0.00014607', '0.00009089', '0.00980000']"
178,['0.01979373']
179,['0.00090000']
180,['0.00053586']
181,['4.99364090']
182,['0.05000000']
183,['0.03300000']
184,['0.07024500']
185,['0.00250000']
186,['0.00222132']
187,['0.05000000']
188,['0.03884735']
189,['0.05000000']
190,['0.00911479']
191,['0.05000000']
192,['1.99650742']
193,['0.09990000']
194,['4.98330872']
195,"['0.00010000', '0.00016933', '0.00090000']"
196,"['0.01000000', '0.04787068', '0.00446846']"
197,['0.00170000']
198,['0.03883470']
199,"['0.02466706', '0.00100000']"
200,['0.01000000']
201,"['0.00660829', '0.04675857']"
202,['0.00318000']
203,['0.08887343']
204,['0.00180000']
205,['0.03752551']
206,"['0.00147767', '0.00044827', '0.00017000', '0.00900000', '0.00014000', '0.00006080', '0.00001444', '0.00099000', '0.00293391', '0.00200000', '0.00028000', '0.00004747', '0.00050000', '0.00090000']"
207,['2.99664522']
208,['0.01000000']
209,"['0.00077606', '0.00068229']"
210,['0.00044511']
211,"['0.00705003', '0.01000000', '0.00795187']"
