Scenario File,Current Balance,Mean #UTXO,Current #UTXO,#Deposits,#Inputs Spent,#Withdraws,#Uneconomical outputs spent,#Change Created,#Changeless,Min Change Value,Max Change Value,Mean Change Value,Std. Dev. of Change Value,Total Fees,Mean Fees per Withdraw,Cost to Empty (10 sat/vB),Total Cost,Min Input Size,Max Input Size,Mean Input Size,Std. Dev. of Input Size,Usage
bustabit-tiny-hot-wallet_peak-and-tail,0E-8,0,0,0,0,0,0,0,Total: **0**,0,0,0,0,0,0,0E-66,0E-66,0,0,0,0,
bustabit-tiny-hot-wallet_peak-and-tail,15.19426657,24.7420000000,24,267,450,233,2,207,bnb: **23** ; knapsack: **3** ; Total: **26**,0.00000357,4.99664529,0.256102834686,0.962707187150,0.00459310,0.0000197128755365,0.000163200000,0.004756300000,1,14,1.93133047210,1.69291282282,knapsack: **154** ; srd: **56** ; bnb: **23**
bustabit-tiny-hot-wallet_peak-and-tail,23.92706504,29.3850000000,35,594,906,406,2,347,bnb: **54** ; knapsack: **5** ; Total: **59**,0.00000357,4.99664529,0.219808665447,0.862651983573,0.00825913,0.0000203426847291,0.000238000000,0.008497130000,1,14,2.23152709360,2.04289582241,knapsack: **270** ; srd: **82** ; bnb: **54**
bustabit-tiny-hot-wallet_peak-and-tail,27.28286092,35.2566666667,80,961,1330,539,4,449,bnb: **81** ; knapsack: **9** ; Total: **90**,0.00000357,4.99664529,0.211069361782,0.803094099849,0.01174408,0.0000217886456401,0.000544000000,0.012288080000,1,16,2.46753246753,2.48197285503,knapsack: **344** ; srd: **114** ; bnb: **81**
bustabit-tiny-hot-wallet_peak-and-tail,19.66710681,39.0210000000,24,1316,1856,684,6,564,bnb: **109** ; knapsack: **11** ; Total: **120**,0.00000357,4.99664529,0.189132794167,0.734607035573,0.01471734,0.0000215165789474,0.000163200000,0.014880540000,1,35,2.71345029240,3.09532218200,knapsack: **440** ; srd: **135** ; bnb: **109**
bustabit-tiny-hot-wallet_peak-and-tail,26.29668359,37.7816000000,51,1682,2306,818,6,675,bnb: **131** ; knapsack: **12** ; Total: **143**,0.00000357,9.96520207,0.212218233348,0.882213353156,0.01767744,0.0000216105623472,0.000346800000,0.018024240000,1,35,2.81907090465,3.24239482906,knapsack: **532** ; srd: **155** ; bnb: **131**
bustabit-tiny-hot-wallet_peak-and-tail,18.38030545,37.2106666667,22,2008,2811,992,6,825,bnb: **154** ; knapsack: **13** ; Total: **167**,0.00000317,9.96520207,0.261943466970,1.04411063001,0.02250202,0.0000226834879032,0.000149600000,0.022651620000,1,35,2.83366935484,3.20877257475,knapsack: **637** ; srd: **201** ; bnb: **154**
bustabit-tiny-hot-wallet_peak-and-tail,26.40356493,37.8565714286,38,2415,3276,1085,6,899,bnb: **172** ; knapsack: **14** ; Total: **186**,0.00000317,9.96520207,0.249687913493,1.01029689045,0.02482561,0.0000228807465438,0.000258400000,0.025084010000,1,43,3.01935483871,3.65870966462,knapsack: **697** ; srd: **216** ; bnb: **172**
bustabit-tiny-hot-wallet_peak-and-tail,23.47161920,38.6472500000,49,2818,3743,1182,6,974,bnb: **191** ; knapsack: **17** ; Total: **208**,0.00000317,9.96520207,0.234959783943,0.973554345693,0.02736667,0.0000231528510998,0.000333200000,0.027699870000,1,43,3.16666666667,3.89382440193,knapsack: **769** ; srd: **222** ; bnb: **191**
bustabit-tiny-hot-wallet_peak-and-tail,15.35509095,39.9773333333,23,3213,4245,1287,6,1055,bnb: **214** ; knapsack: **18** ; Total: **232**,0.00000317,9.96520207,0.228699788085,0.939377541667,0.03107299,0.0000241437373737,0.000156400000,0.031229390000,1,43,3.29836829837,4.13886358035,knapsack: **833** ; srd: **240** ; bnb: **214**
bustabit-tiny-hot-wallet_peak-and-tail,15.77911199,39.8848000000,20,3571,4726,1429,6,1175,bnb: **232** ; knapsack: **22** ; Total: **254**,0.00000317,9.96520207,0.217159472247,0.895581428503,0.03392452,0.0000237400419874,0.000136000000,0.034060520000,1,43,3.30720783765,4.11206257916,knapsack: **939** ; srd: **258** ; bnb: **232**
bustabit-tiny-hot-wallet_peak-and-tail,22.01608137,38.9176363636,43,3938,5185,1562,6,1290,bnb: **250** ; knapsack: **22** ; Total: **272**,0.00000317,9.96520207,0.237426464899,0.947306677351,0.03688634,0.0000236148143406,0.000292400000,0.037178740000,1,43,3.31946222791,4.14546427098,knapsack: **1029** ; srd: **283** ; bnb: **250**
bustabit-tiny-hot-wallet_peak-and-tail,20.44354861,38.3088333333,29,4278,5681,1722,6,1432,bnb: **266** ; knapsack: **24** ; Total: **290**,0.00000317,9.96520207,0.234059763352,0.909612779040,0.04011503,0.0000232956039489,0.000197200000,0.040312230000,1,43,3.29907084785,4.07248234402,knapsack: **1139** ; srd: **317** ; bnb: **266**
