id,input_amounts
0,['0.00329000']
1,['1.00000000']
2,['5.00000000']
3,['0.00483000']
4,"['0.00329000', '0.00011747']"
5,['0.00329400']
6,['0.00066424']
7,['0.00329400']
8,['4.99664529']
9,['4.00000000']
10,['0.00331400']
11,"['0.00315883', '0.00331400']"
12,['0.00794500']
13,['0.01010000']
14,['0.02500000']
15,['0.00781717']
16,['0.00103200']
17,['0.01570000']
18,['3.99347343']
19,"['0.00329600', '0.00014860']"
20,['0.00100000']
21,['0.00500000']
22,"['0.00980000', '0.00008310']"
23,['0.00335636']
24,['0.02487937']
25,['0.01000000']
26,['0.02060943']
27,"['0.00050000', '0.00010000', '0.00109000', '0.00100000', '0.00056976', '0.00006396', '0.00010863']"
28,['0.00940000']
29,"['0.00014860', '0.00064468', '0.00000100', '0.00222198', '0.00000200']"
30,['0.00390000']
31,['2.00000000']
32,"['0.00329400', '0.00005049']"
33,"['0.00329400', '0.00023909']"
34,['0.00376904']
35,['0.00043089']
36,['0.00381736']
37,"['0.00100000', '0.00055849', '0.00090000', '0.00012514', '0.00081187']"
38,['0.00638600']
39,"['0.00300000', '0.00305562']"
40,['0.00664522']
41,['0.00341279']
42,['0.00272383']
43,['0.00772211']
44,"['0.00073523', '0.00449798']"
45,['0.00300000']
46,"['0.00015371', '0.00005459']"
47,['0.00194346']
48,"['0.00008704', '0.00011000', '0.00003125']"
49,['0.00893910']
50,"['0.01858671', '0.00020000']"
51,"['0.00106998', '0.00570867']"
52,['0.01000000']
53,['0.00667003']
54,['0.00333389']
55,['0.01000000']
56,['0.00667138']
57,"['0.00017279', '1.99665865']"
58,['0.00366725']
59,['0.01262843']
60,['0.00962400']
61,['0.00629097']
62,"['0.00009176', '0.00295934', '0.00033735']"
63,['0.01300000']
64,['0.00966705']
65,['0.00633144']
66,"['0.00034660', '0.00300142']"
67,['0.01543769']
68,['0.01209845']
69,['0.00876933']
70,['0.00544081']
71,"['0.00076900', '0.00001755', '0.00243698']"
72,['0.01569000']
73,['0.01367972']
74,['0.01047017']
75,['0.00713940']
76,['0.00383498']
77,['0.03535793']
78,['0.03202439']
79,['0.02867668']
80,"['0.00043664', '3.98674778']"
81,['0.02534254']
82,['0.01601028']
83,['0.01267255']
84,['0.00910000']
85,['0.00576575']
86,"['3.00000000', '0.00275830']"
87,['0.00933744']
88,['0.00761179']
89,['0.00495393']
90,"['3.98384739', '0.00001796']"
91,['0.01714000']
92,"['0.00004985', '0.00100000']"
93,['0.03000000']
94,['0.00213637']
95,"['0.00116387', '0.00161643']"
96,['0.00300000']
97,['2.98227285']
98,"['0.00012866', '0.01490000']"
99,"['0.00004508', '0.00098946', '0.00100000']"
100,['0.00480000']
101,"['0.00006080', '0.00100000', '0.00077347', '0.00279265']"
102,['0.00300000']
103,"['0.00099580', '0.00100000', '0.00001223', '0.00001061', '0.00100000']"
104,"['0.00003237', '0.00100000']"
105,['0.00370000']
106,"['0.00069355', '0.00100000']"
107,"['0.00080000', '0.00000451', '0.00120000', '0.00015254']"
108,"['0.00100000', '0.00002134']"
109,"['0.00390000', '0.00107722']"
110,['0.00120000']
111,['0.00171142']
112,"['0.00001588', '0.00200000', '0.00009442', '0.00200000', '0.00004873']"
113,"['0.00120643', '0.00200000']"
114,"['0.00009478', '0.00100000', '0.00341677', '0.00087643']"
115,['0.00270000']
116,"['0.00168570', '0.00228044']"
117,['0.00024746']
118,"['0.00500000', '0.00010000', '0.00040000', '0.00010370']"
119,"['0.00300000', '0.00001009']"
120,"['0.00003241', '0.00025639', '0.00008000', '0.00090000', '0.00790000', '0.00010000']"
121,"['0.00500000', '0.00002387']"
122,"['0.00163049', '0.00169500', '0.00001671', '0.00006000']"
123,"['0.00290000', '0.00100000', '0.00464370']"
124,"['0.00001958', '0.00800000']"
125,"['0.00110000', '0.00300000', '0.00592000']"
126,"['0.00480000', '0.00090000', '0.00000885', '0.00360000', '0.00480000', '0.00091371']"
127,['0.00444318']
128,['0.00243847']
129,['0.00454585']
130,"['0.00131804', '0.00490000']"
131,"['0.00108897', '0.00010480', '0.00500000']"
132,['0.00800000']
133,['0.01109159']
