id,input_amounts
0,['0.00329000']
1,['3.00000000']
2,['5.00000000']
3,['0.00483000']
4,"['0.00329000', '0.00011747']"
5,['0.00329400']
6,['0.00066424']
7,['0.00329400']
8,['0.01570000']
9,['0.01569000']
10,['0.00329400']
11,['0.00313883']
12,['0.01000000']
13,['0.00916343']
14,"['0.00010000', '0.00002766']"
15,['4.00000000']
16,['0.00103200']
17,"['0.01000000', '0.00100000']"
18,['2.00000000']
19,['0.00987217']
20,['0.00100000']
21,['0.00794500']
22,['0.01467280']
23,['3.99595187']
24,['0.01253371']
25,['1.99327435']
26,['0.00676236']
27,"['0.00331400', '0.00008310']"
28,"['0.00006396', '0.00010863', '0.00064468', '0.00023909', '0.00109000', '0.00090000']"
29,['0.00329400']
30,['0.00473964']
31,['0.00868904']
32,"['0.01010000', '0.00014860']"
33,"['0.00000200', '0.00014860', '0.00329600', '0.00000100']"
34,"['0.00100000', '0.00005751', '0.00056976', '0.00139813', '0.00034055']"
35,['0.00050000']
36,['0.00331400']
37,"['0.00300000', '0.00019425', '0.00030851']"
38,['0.00390000']
39,['0.00500000']
40,['0.00534769']
41,"['0.00166975', '0.00211526']"
42,['0.00693536']
43,['0.00494676']
44,['0.00789442']
45,"['0.00016578', '0.00045653', '0.00056962']"
46,"['0.00020000', '0.00001982']"
47,['0.00172263']
48,"['0.00011000', '0.00012913']"
49,"['0.00034660', '0.00300000']"
50,"['0.00283575', '0.00084915']"
51,['0.00800253']
52,['0.00826377']
53,['0.00493380']
54,"['0.00159766', '0.00011407', '0.00131786', '0.00033588']"
55,['0.00940000']
56,['0.00607138']
57,"['0.00076900', '0.00306725']"
58,['0.00980000']
59,['0.00647010']
60,['0.00346567']
61,['0.01000000']
62,['0.00666837']
63,"['0.00002927', '1.00000000']"
64,['0.00333495']
65,['0.01300000']
66,['0.00966998']
67,['0.00634127']
68,"['0.00300203', '0.00050344']"
69,['0.02500000']
70,['0.02167148']
71,['0.01866765']
72,['0.01544986']
73,['0.01343958']
74,['0.01023003']
75,['0.00689926']
76,"['3.99259300', '0.00013264']"
77,['0.00359484']
78,['0.03535793']
79,['0.03201022']
80,['0.02867608']
81,['0.02534164']
82,"['0.00001208', '0.01600938']"
83,['0.01268005']
84,['0.00910000']
85,"['3.98932476', '0.00026130']"
86,['0.99669445']
87,['0.00576575']
88,['0.00404010']
89,['0.00934494']
90,['0.00600744']
91,['0.01714000']
92,"['0.00003036', '0.00100000']"
93,"['0.97621172', '0.00002559']"
94,['0.00213637']
95,"['0.00138224', '0.00116387']"
96,['0.00267651']
97,['2.99983370']
98,"['0.00012866', '0.01490000']"
99,"['0.00100000', '0.00066597', '0.00053928']"
100,['0.00300000']
101,['0.00480000']
102,"['0.00100000', '0.00001061', '0.00100000']"
103,"['0.00099265', '0.00006080', '0.00080000', '0.00017439', '0.00100000']"
104,"['0.00001371', '0.00100000']"
105,"['0.00018294', '0.00300000']"
106,['0.00200000']
107,"['0.00046318', '0.00171142']"
108,"['0.00100000', '0.00005970']"
109,"['0.00017343', '0.00100000', '0.00270000', '0.00107722']"
110,['0.00120000']
111,['0.00120000']
112,"['0.00200000', '0.00200000', '0.00005424', '0.00010000']"
113,['0.00370000']
114,"['0.00390000', '0.00001661', '0.00059210', '0.00087643']"
115,['0.03000000']
116,"['0.00009442', '0.00021816', '0.00341677']"
117,['0.00040000']
118,"['0.00500000', '0.00069501']"
119,"['0.00008000', '0.00100000', '0.00091371', '0.00000725', '0.00011985', '0.00090000']"
120,"['0.00006000', '0.00025639', '0.00500000', '0.00360000', '0.00025624', '0.00010000']"
121,"['0.00300000', '0.00228044']"
122,"['0.00163049', '0.00100000', '0.00090000']"
123,"['0.00290000', '0.00592000']"
124,['0.01450000']
125,"['0.00169500', '0.00014077', '0.00030182', '0.00790000']"
126,"['0.00444318', '0.00464370', '0.00110000', '0.00454585', '0.00001067', '0.00027328', '0.00000603']"
127,['0.00300000']
128,['0.00480000']
129,['0.00345050']
130,"['0.00099529', '0.00490000', '0.00022269']"
131,['0.00648517']
132,['0.00800000']
133,"['0.00037759', '0.00165454', '0.00900000']"
134,['0.00480000']
135,"['0.00500000', '0.00500000', '0.00000750']"
136,"['0.00002400', '0.01000000']"
137,['0.00204425']
138,['0.00213902']
139,"['0.00100000', '0.00049540', '0.00043357']"
140,"['0.00069882', '0.00001465', '0.00600000', '0.00100000', '0.00226500', '0.00300000', '0.00003903']"
141,['0.00500000']
142,"['0.00200000', '0.00031525']"
143,['0.00070000']
144,"['0.00024546', '0.00030684', '0.00180000']"
145,['0.01000000']
146,"['0.00299291', '0.00022916']"
147,['0.00280000']
148,"['0.00290000', '0.00300000']"
149,"['0.00013903', '0.00017980', '0.00880000', '0.00074363']"
150,"['0.00113049', '0.00880000']"
151,"['0.02898570', '0.00860000', '0.00980000', '0.00263338', '0.00900000']"
152,['0.01780000']
153,"['0.03500000', '0.00020563', '0.00090000', '0.00800000', '0.00090000', '0.00004958', '0.00500000']"
154,['0.01000000']
155,['0.00600000']
156,"['0.01680000', '0.01000000', '0.06000000', '0.01109159', '0.00040000', '0.00279344', '0.01500000', '0.00500000']"
157,['0.00969612']
158,['0.00612402']
159,"['0.04000000', '0.00001488', '0.01000000', '0.05000000']"
160,"['0.00527478', '0.00006368', '0.00000860', '0.01577720', '0.01990000', '0.05900000']"
161,['0.96623215']
162,['0.00700000']
163,['0.00963986']
164,['0.00563371']
165,['0.01000000']
166,"['0.00021000', '0.00062613']"
167,"['0.00199320', '0.00017000', '0.00002022', '0.00084400']"
168,"['0.01000000', '0.00001474']"
