Scenario File,Current Balance,Mean #UTXO,Current #UTXO,#Deposits,#Inputs Spent,#Withdraws,#Uneconomical outputs spent,#Change Created,#Changeless,Min Change Value,Max Change Value,Mean Change Value,Std. Dev. of Change Value,Total Fees,Mean Fees per Withdraw,Cost to Empty (10 sat/vB),Total Cost,Min Input Size,Max Input Size,Mean Input Size,Std. Dev. of Input Size,Usage
bustabit-tiny-hot-wallet_peak-and-tail,0E-8,0,0,0,0,0,0,0,Total: **0**,0,0,0,0,0,0,0E-66,0E-66,0,0,0,0,
bustabit-tiny-hot-wallet_peak-and-tail,15.19427077,24.9400000000,22,267,457,233,2,212,bnb: **20** ; knapsack: **1** ; Total: **21**,0.00000365,4.99664529,0.275479046745,0.949493746404,0.00458890,0.0000196948497854,0.000149600000,0.004738500000,1,15,1.96137339056,1.89901558041,knapsack: **163** ; srd: **50** ; bnb: **20**
bustabit-tiny-hot-wallet_peak-and-tail,23.92705007,30.0220000000,34,594,911,406,2,351,bnb: **50** ; knapsack: **5** ; Total: **55**,0.00000365,8.81890576,0.274892101595,0.996586987644,0.00827410,0.0000203795566502,0.000231200000,0.008505300000,1,16,2.24384236453,2.24920266032,knapsack: **280** ; srd: **76** ; bnb: **50**
bustabit-tiny-hot-wallet_peak-and-tail,27.28269853,34.7306666667,74,961,1340,539,3,453,bnb: **80** ; knapsack: **6** ; Total: **86**,0.00000365,8.81890576,0.316001412892,1.20420230300,0.01190647,0.0000220899257885,0.000503200000,0.012409670000,1,16,2.48608534323,2.59705496636,knapsack: **352** ; srd: **107** ; bnb: **80**
bustabit-tiny-hot-wallet_peak-and-tail,19.66702764,36.2710000000,19,1316,1869,684,5,572,bnb: **106** ; knapsack: **6** ; Total: **112**,0.00000365,9.92636806,0.372269403724,1.44332267016,0.01479651,0.0000216323245614,0.000129200000,0.014925710000,1,44,2.73245614035,3.35721933013,knapsack: **441** ; srd: **137** ; bnb: **106**
bustabit-tiny-hot-wallet_peak-and-tail,26.29667916,35.6208000000,48,1682,2314,818,5,680,bnb: **131** ; knapsack: **7** ; Total: **138**,0.00000365,9.92636806,0.379889209897,1.50956944405,0.01768187,0.0000216159779951,0.000326400000,0.018008270000,1,44,2.82885085575,3.40746518634,knapsack: **533** ; srd: **154** ; bnb: **131**
bustabit-tiny-hot-wallet_peak-and-tail,18.38060945,35.4460000000,22,2008,2815,992,6,829,bnb: **155** ; knapsack: **8** ; Total: **163**,0.00000317,9.92636806,0.380126767141,1.48695125859,0.02219802,0.0000223770362903,0.000149600000,0.022347620000,1,44,2.83770161290,3.34870036083,knapsack: **636** ; srd: **201** ; bnb: **155**
bustabit-tiny-hot-wallet_peak-and-tail,26.40395693,36.3171428571,41,2415,3278,1085,6,904,bnb: **172** ; knapsack: **9** ; Total: **181**,0.00000317,9.92636806,0.364802020332,1.44282808822,0.02443361,0.0000225194562212,0.000278800000,0.024712410000,1,44,3.02119815668,3.69732530760,knapsack: **700** ; srd: **213** ; bnb: **172**
bustabit-tiny-hot-wallet_peak-and-tail,23.47172109,37.4507500000,45,2818,3749,1182,6,976,bnb: **197** ; knapsack: **9** ; Total: **206**,0.00000317,9.92636806,0.342394096230,1.39193462951,0.02726478,0.0000230666497462,0.000306000000,0.027570780000,1,44,3.17174280880,3.91701992015,knapsack: **766** ; srd: **219** ; bnb: **197**
bustabit-tiny-hot-wallet_peak-and-tail,15.35514218,38.3753333333,23,3213,4251,1287,6,1061,bnb: **215** ; knapsack: **11** ; Total: **226**,0.00000317,9.92636806,0.328171985127,1.33876802948,0.03102176,0.0000241039316239,0.000156400000,0.031178160000,1,44,3.30303030303,4.13777295095,knapsack: **828** ; srd: **244** ; bnb: **215**
bustabit-tiny-hot-wallet_peak-and-tail,15.77909552,38.3308000000,24,3571,4724,1429,6,1177,bnb: **239** ; knapsack: **13** ; Total: **252**,0.00000317,9.92636806,0.306115886669,1.27770023433,0.03394099,0.0000237515675297,0.000163200000,0.034104190000,1,44,3.30580825752,4.09561507947,knapsack: **931** ; srd: **259** ; bnb: **239**
bustabit-tiny-hot-wallet_peak-and-tail,15.87909552,38.3281343731,25,3572,4724,1429,6,1177,bnb: **239** ; knapsack: **13** ; Total: **252**,0.00000317,9.92636806,0.306115886669,1.27770023433,0.03394099,0.0000237515675297,0.000170000000,0.034110990000,1,44,3.30580825752,4.09561507947,knapsack: **931** ; srd: **259** ; bnb: **239**
