id,amount,fees,target_feerate,real_feerate,algo,num_inputs,negative_ev,num_outputs,change_amount,before_num_utxos,after_num_utxos,waste
0,0.00310000,0.00007253,0.00051435,0.000514397163121,knapsack,1,0,2,0.00011747,22,22,5093
1,0.00010100,0.00006530,0.00046306,0.000463120567376,srd,1,0,2,0.00483370,22,22,4585
2,0.00329400,0.00006071,0.00043052,0.000430567375887,srd,1,0,2,4.99664529,22,22,4263
3,0.00410100,0.00006476,0.00045929,0.000459290780142,knapsack,1,0,2,0.00066424,22,22,4548
4,0.00329000,0.00003628,0.00025725,0.000257304964539,srd,1,0,2,0.99667372,22,22,2548
5,0.00319400,0.00001690,0.00011981,0.000119858156028,knapsack,1,0,2,0.00007910,22,22,1187
6,0.00040100,0.00002415,0.00017125,0.000171276595745,srd,1,0,2,2.99957485,22,22,1696
7,0.00262000,0.00002932,0.00020791,0.000207943262411,knapsack,1,0,2,0.00064468,22,22,2059
8,0.00100000,0.00002720,0.00019288,0.000192907801418,srd,1,0,2,0.00380650,22,22,1910
9,0.00650000,0.00002657,0.00018838,0.000188439716312,srd,1,0,2,1.99347343,23,23,1865
10,0.00014000,0.00001517,0.00010753,0.000107588652482,srd,1,0,2,0.99651855,23,23,1066
11,0.00310000,0.00001117,0.00007917,0.0000792198581560,knapsack,1,0,2,0.00018283,30,30,785
12,0.00010100,0.00002683,0.00019026,0.000190283687943,knapsack,1,0,2,0.00002077,31,31,1884
13,0.00113200,0.00002890,0.00020493,0.000204964539007,srd,1,0,2,0.01452910,31,31,2030
14,0.00010200,0.00001547,0.00013210,0.000140636363636,bnb,1,0,1,,31,30,312
15,0.00400000,0.00004813,0.00034131,0.000341347517730,srd,1,0,2,0.02095187,36,36,3380
16,0.00100000,0.00003200,0.00028435,0.000290909090909,bnb,1,0,1,,36,35,1325
17,0.00300000,0.00007157,0.00050756,0.000507588652482,srd,1,0,2,4.99357372,37,37,5026
18,0.00665800,0.00006765,0.00047972,0.000479787234043,srd,1,0,2,0.00897435,37,37,4751
19,0.00110000,0.00008313,0.00058951,0.000589574468085,srd,1,0,2,0.99533542,37,37,5837
20,0.00090000,0.00010000,0.00066830,0.000909090909091,bnb,1,0,1,,37,36,6513
21,0.00110000,0.00011444,0.00058609,0.000646553672316,bnb,2,0,1,,36,34,7622
22,0.00209300,0.00004609,0.00032686,0.000326879432624,srd,1,0,2,0.99319633,34,34,3237
23,0.00332600,0.00004710,0.00023312,0.000266101694915,bnb,2,0,1,,34,32,2370
24,0.00424600,0.00002394,0.00016975,0.000169787234043,srd,1,0,2,0.00470441,32,32,1682
25,0.00333000,0.00002478,0.00017571,0.000175744680851,srd,1,0,2,0.00674522,32,32,1740
26,0.00200000,0.00002272,0.00016108,0.000161134751773,srd,1,0,2,0.00129128,32,32,1596
27,0.00337500,0.00002100,0.00010801,0.000118644067797,bnb,2,0,1,,32,30,286
28,0.00300000,0.00003835,0.00009927,0.000122523961661,bnb,4,0,1,,30,26,698
29,0.00294600,0.00000745,0.00005283,0.0000528368794326,knapsack,1,0,2,0.00034055,26,26,524
30,0.00332500,0.00001651,0.00011709,0.000117092198582,srd,1,0,2,0.98985482,27,27,1160
31,0.00332500,0.00001635,0.00011591,0.000115957446809,srd,1,0,2,0.01118775,27,27,1149
32,0.00330000,0.00001324,0.00006361,0.0000636538461538,srd,2,0,2,0.98665021,27,26,384
33,0.00336300,0.00002709,0.00007874,0.00007875000,knapsack,4,2,2,0.00007551,26,23,349
34,0.00333400,0.00001013,0.00002942,0.0000294476744186,knapsack,4,0,2,0.00008642,26,23,-1144
35,0.00030000,0.00000575,0.00004071,0.0000407801418440,knapsack,1,0,2,0.00019425,23,23,404
36,0.00300100,0.00000449,0.00003180,0.0000318439716312,knapsack,1,0,2,0.00080101,23,23,316
37,0.00332900,0.00000995,0.00002890,0.0000289244186047,knapsack,4,0,2,0.00001723,24,21,-1162
38,0.00332700,0.00000338,0.00002392,0.0000239716312057,knapsack,1,0,2,0.00056962,21,21,238
