id,input_amounts
0,['0.00329000']
1,['0.00500000']
2,['5.00000000']
3,['0.00483000']
4,['1.00000000']
5,['0.00329000']
6,['3.00000000']
7,['0.00329400']
8,['0.00483370']
9,['2.00000000']
10,['0.99667372']
11,['0.00329400']
12,['0.00014860']
13,['0.01569000']
14,['0.00011747']
15,['0.02500000']
16,['0.00103200']
17,['4.99664529']
18,['0.01570000']
19,['0.99651855']
20,['0.00100000']
21,"['0.00056976', '0.00064468']"
22,['0.99533542']
23,"['0.00329400', '0.00007910']"
24,['0.00897435']
25,['0.01010000']
26,['0.00331400']
27,"['0.00329600', '0.00010000']"
28,"['0.00018283', '0.00090000', '0.00066424', '0.00129128']"
29,['0.00329400']
30,['0.99319633']
31,['0.01452910']
32,"['0.00010863', '0.98985482']"
33,"['0.00000200', '0.00331400', '0.00000100', '0.00014860']"
34,"['0.00100000', '0.00100000', '0.00034055', '0.00109000']"
35,['0.00050000']
36,['0.00380650']
37,"['0.00019425', '0.00300000', '0.00008642', '0.00007551']"
38,['0.00390000']
39,['0.00470441']
40,['0.00674522']
41,['0.00351279']
42,"['0.00018704', '0.00056962', '0.00137416']"
43,['0.00794500']
44,"['0.00472087', '0.00013782', '0.00001723', '0.00020000']"
45,['0.00300000']
46,['0.00080101']
47,['0.00194346']
48,['0.00059576']
49,['0.00940000']
50,['0.00616957']
51,['0.00980000']
52,"['0.00011000', '0.00038852', '0.00002077', '0.00282249']"
53,"['0.00034660', '0.00311533']"
54,['0.01000000']
55,['0.00667041']
56,['0.00334179']
57,['0.01000000']
58,['0.00666906']
59,['0.00333916']
60,['0.01000000']
61,['0.00666697']
62,['0.00333534']
63,['0.01118775']
64,['0.00785480']
65,['0.00451919']
66,"['0.00033473', '0.00106998', '0.00076900', '0.00118917']"
67,['0.01300000']
68,['0.00966076']
69,['0.00633164']
70,"['0.00001196', '0.00300312']"
71,['0.02095187']
72,['0.01773408']
73,['0.01572380']
74,['0.01251425']
75,['0.00918348']
76,['0.00587906']
77,"['0.00100000', '0.00248072']"
78,['0.03535793']
79,['0.03201022']
80,['0.02867608']
81,"['2.99957485', '0.00014408']"
82,['0.02534164']
83,['0.02200391']
84,['0.00910000']
85,['0.00576575']
86,"['0.01866880', '0.00275830']"
87,"['0.00094165', '0.98665021', '0.00012050']"
88,"['0.00000943', '4.00000000']"
89,['0.01714000']
90,['0.01380250']
91,['0.98598323']
92,['0.01047157']
93,['0.03000000']
94,['0.00946834']
95,['0.00746063']
96,['0.00300000']
97,['0.00116387']
98,"['0.01490000', '0.00014595']"
99,"['0.00002883', '0.00098946', '0.00002790', '0.00100000']"
100,['0.00480000']
101,['0.00545600']
102,"['0.00087416', '0.00033766', '0.00080000']"
103,"['0.00100000', '0.00100000', '0.00100000', '0.00001838']"
104,"['0.00006080', '0.00100000']"
105,"['0.00300000', '0.00004977']"
106,['0.00200000']
107,"['0.00000658', '0.00004026', '0.00100000', '0.00107722']"
108,['0.00120000']
109,"['0.00046318', '0.00279265', '0.00171142']"
110,"['0.00100000', '0.00019630']"
111,['0.00120000']
112,"['0.00200000', '0.00010000', '0.00008807', '0.00200000']"
113,"['0.00069501', '0.00270000']"
114,"['0.00040000', '0.00100000', '0.00028336', '0.00370000']"
115,['0.00341677']
116,['0.00390000']
117,['0.00018443']
118,"['0.00087643', '0.00240247', '0.00228044', '0.00003599']"
119,"['0.00300000', '0.00001550']"
120,"['0.00000721', '0.00360000', '0.00000547', '0.00090000', '0.00003651', '0.00454585', '0.00004067', '0.00008000', '0.00006000']"
121,"['0.00480000', '0.00025639']"
122,"['0.00163049', '0.00010000', '0.00169500']"
123,"['0.00004923', '0.00290000', '0.00464370', '0.00100000']"
124,['3.99734784']
125,"['0.00592000', '0.00300000', '0.00110000']"
126,"['0.00003577', '0.00500000', '0.01000000']"
127,['0.00444318']
128,"['0.00091371', '0.00090000']"
129,['0.00480000']
130,"['0.00157219', '0.00490000']"
131,"['0.00500000', '0.00243847']"
132,"['0.00500000', '0.00132729', '0.00006287']"
133,"['0.00900000', '0.00002186', '0.00800000']"
134,"['0.00046161', '0.00003948', '0.00226500']"
135,"['0.01000000', '0.00000676']"
136,"['0.00213902', '0.00790000']"
137,['0.00300000']
138,"['0.00035895', '0.00049540', '0.00099478']"
139,['0.00500000']
140,"['0.00100000', '0.00500000', '0.00601373', '0.00100000']"
141,['0.00339299']
142,"['0.00200000', '0.00002967']"
143,['0.00069882']
144,"['0.00024428', '0.00180000', '0.00000455', '0.00013847']"
145,"['0.00800000', '0.00138590']"
146,"['0.00005845', '0.00300000']"
147,['0.00280000']
148,"['0.00012651', '0.00070000', '0.00500000']"
149,"['0.00113049', '0.00880000']"
150,['0.01109159']
151,"['0.00290000', '0.00600000', '0.00136862', '0.01680000', '0.00263338', '0.01450000', '0.00600000', '0.00001618', '0.00860000', '0.00002126', '0.00006294', '0.00012230']"
152,['1.99347343']
153,"['0.01999650', '0.00090000', '0.00880000', '0.00969612', '0.00980000', '0.00090000']"
154,['0.01000000']
155,['0.00900000']
156,"['0.00040000', '0.03500000', '0.00579344', '0.06000000', '0.01500000', '0.00500000']"
157,['0.01000000']
158,['0.00642790']
159,"['0.04000000', '0.01000000', '0.00002022', '0.05000000']"
160,"['0.01780000', '0.00557866', '0.05900000', '0.01990000']"
161,"['2.99038464', '0.00005730']"
162,['0.00700000']
163,"['0.00199320', '0.00226014']"
164,['0.00963986']
165,"['0.00463228', '0.00038000']"
166,['0.00084400']
167,['0.00800000']
168,"['0.00000497', '0.01000000']"
169,"['0.00100000', '0.00000899']"
170,"['0.00010000', '0.01000000']"
171,"['0.00040000', '0.00024427', '0.00017681', '0.00006323', '0.00021000', '0.00014607', '0.00017000']"
172,['0.00499480']
173,"['0.00090000', '0.00371975']"
174,"['0.00001910', '0.00500000']"
175,['0.02000000']
176,"['0.00979263', '0.00250000']"
177,"['0.00208339', '0.00980000']"
178,['0.02471042']
179,['0.00137524']
180,['0.00101110']
