Scenario File,Current Balance,Mean #UTXO,Current #UTXO,#Deposits,#Inputs Spent,#Withdraws,#Uneconomical outputs spent,#Change Created,#Changeless,Min Change Value,Max Change Value,Mean Change Value,Std. Dev. of Change Value,Total Fees,Mean Fees per Withdraw,Cost to Empty (10 sat/vB),Total Cost,Min Input Size,Max Input Size,Mean Input Size,Std. Dev. of Input Size,Usage
bustabit-tiny-hot-wallet_peak-and-tail,0E-8,0,0,0,0,0,0,0,Total: **0**,0,0,0,0,0,0,0E-66,0E-66,0,0,0,0,
bustabit-tiny-hot-wallet_peak-and-tail,15.19424366,25.2360000000,24,267,454,233,2,211,bnb: **21** ; knapsack: **1** ; Total: **22**,0.00000455,4.99664529,0.300267955403,0.988167716795,0.00461601,0.0000198112017167,0.000163200000,0.004779210000,1,14,1.94849785408,1.89302482616,knapsack: **166** ; srd: **46** ; bnb: **21**
bustabit-tiny-hot-wallet_peak-and-tail,23.92690086,28.7960000000,35,594,913,406,2,354,bnb: **46** ; knapsack: **6** ; Total: **52**,0.00000392,4.99664529,0.224436750113,0.841790264896,0.00842331,0.0000207470689655,0.000238000000,0.008661310000,1,14,2.24876847291,2.22991689168,knapsack: **286** ; srd: **74** ; bnb: **46**
bustabit-tiny-hot-wallet_peak-and-tail,27.28263750,34.7673333333,77,961,1344,539,3,460,bnb: **70** ; knapsack: **9** ; Total: **79**,0.00000392,8.79998570,0.257960016783,0.978057526795,0.01196750,0.0000222031539889,0.000523600000,0.012491100000,1,18,2.49350649351,2.59206942943,knapsack: **364** ; srd: **105** ; bnb: **70**
bustabit-tiny-hot-wallet_peak-and-tail,19.66690846,37.5765000000,17,1316,1875,684,5,576,bnb: **97** ; knapsack: **11** ; Total: **108**,0.00000392,9.99839349,0.259020061181,1.03900292989,0.01491569,0.0000218065643275,0.000115600000,0.015031290000,1,32,2.74122807018,3.16348061746,knapsack: **463** ; srd: **124** ; bnb: **97**
bustabit-tiny-hot-wallet_peak-and-tail,26.29640121,35.5988000000,46,1682,2321,818,5,685,bnb: **120** ; knapsack: **13** ; Total: **133**,0.00000392,9.99839349,0.277391380234,1.17627049578,0.01795982,0.0000219557701711,0.000312800000,0.018272620000,1,32,2.83740831296,3.32995295243,knapsack: **556** ; srd: **142** ; bnb: **120**
bustabit-tiny-hot-wallet_peak-and-tail,18.38005115,34.9460000000,23,2008,2815,992,6,830,bnb: **148** ; knapsack: **14** ; Total: **162**,0.00000317,9.99839349,0.405955606482,1.53207261558,0.02275632,0.0000229398387097,0.000156400000,0.022912720000,1,32,2.83770161290,3.27742945834,knapsack: **652** ; srd: **192** ; bnb: **148**
bustabit-tiny-hot-wallet_peak-and-tail,26.40336590,35.8928571429,37,2415,3280,1085,6,902,bnb: **167** ; knapsack: **16** ; Total: **183**,0.00000317,9.99839349,0.386666124712,1.47755914419,0.02502464,0.0000230641843318,0.000251600000,0.025276240000,1,39,3.02304147465,3.60841881062,knapsack: **711** ; srd: **207** ; bnb: **167**
bustabit-tiny-hot-wallet_peak-and-tail,23.47122879,36.9947500000,52,2818,3744,1182,6,978,bnb: **187** ; knapsack: **17** ; Total: **204**,0.00000317,9.99839349,0.359526651319,1.42270887705,0.02775708,0.0000234831472081,0.000353600000,0.028110680000,1,39,3.16751269036,3.82456435924,knapsack: **783** ; srd: **212** ; bnb: **187**
bustabit-tiny-hot-wallet_peak-and-tail,15.35457545,38.3768888889,27,3213,4248,1287,6,1062,bnb: **207** ; knapsack: **18** ; Total: **225**,0.00000317,9.99839349,0.341631859708,1.36858924372,0.03158849,0.0000245442812743,0.000183600000,0.031772090000,1,39,3.30069930070,4.05949431178,knapsack: **842** ; srd: **238** ; bnb: **207**
bustabit-tiny-hot-wallet_peak-and-tail,15.77841938,38.2774000000,21,3571,4732,1429,6,1182,bnb: **229** ; knapsack: **18** ; Total: **247**,0.00000317,9.99839349,0.314646593105,1.30116124801,0.03461713,0.0000242247235829,0.000142800000,0.034759930000,1,39,3.31140657803,4.01645983807,knapsack: **944** ; srd: **256** ; bnb: **229**
bustabit-tiny-hot-wallet_peak-and-tail,15.87841938,38.2741451710,22,3572,4732,1429,6,1182,bnb: **229** ; knapsack: **18** ; Total: **247**,0.00000317,9.99839349,0.314646593105,1.30116124801,0.03461713,0.0000242247235829,0.000149600000,0.034766730000,1,39,3.31140657803,4.01645983807,knapsack: **944** ; srd: **256** ; bnb: **229**
