id,amount,fees,target_feerate,real_feerate,algo,num_inputs,negative_ev,num_outputs,change_amount,before_num_utxos,after_num_utxos,waste
0,0.00310000,0.00007253,0.00051435,0.000514397163121,knapsack,1,0,2,0.00011747,22,22,5093
1,0.00010100,0.00006530,0.00046306,0.000463120567376,srd,1,0,2,0.00312770,22,22,4585
2,0.00329400,0.00008955,0.00043052,0.000430528846154,srd,2,0,2,1.99990645,22,21,6511
3,0.00410100,0.00006476,0.00045929,0.000459290780142,knapsack,1,0,2,0.00066424,21,21,4548
4,0.00329000,0.00003628,0.00025725,0.000257304964539,srd,1,0,2,0.00461872,21,21,2548
5,0.00319400,0.00002493,0.00011981,0.000119855769231,knapsack,2,0,2,0.00002624,21,20,1322
6,0.00040100,0.00002415,0.00017125,0.000171276595745,knapsack,1,0,2,0.00023909,20,20,1696
7,0.00262000,0.00002932,0.00020791,0.000207943262411,knapsack,1,0,2,0.00064468,20,20,2059
8,0.00100000,0.00004012,0.00019288,0.000192884615385,srd,2,0,2,2.99919897,20,19,2542
9,0.00650000,0.00002657,0.00018838,0.000188439716312,srd,1,0,2,0.99347343,20,20,1865
10,0.00014000,0.00001517,0.00010753,0.000107588652482,srd,1,0,2,4.99984483,20,20,1066
11,0.00310000,0.00001117,0.00007917,0.0000792198581560,knapsack,1,0,2,0.00018283,27,27,785
12,0.00010100,0.00002683,0.00019026,0.000190283687943,knapsack,1,0,2,0.00002077,28,28,1884
13,0.00113200,0.00002890,0.00020493,0.000204964539007,srd,1,0,2,0.00215310,28,28,2030
14,0.00010200,0.00002424,0.00013210,0.000136949152542,bnb,2,0,1,,28,26,509
15,0.00400000,0.00004813,0.00034131,0.000341347517730,srd,1,0,2,0.98942530,32,32,3380
16,0.00100000,0.00003200,0.00028435,0.000290909090909,bnb,1,0,1,,32,31,1325
17,0.00300000,0.00007157,0.00050756,0.000507588652482,srd,1,0,2,0.00082843,33,33,5026
18,0.00665800,0.00009979,0.00047972,0.000479759615385,srd,2,0,2,0.00354221,33,32,7334
19,0.00110000,0.00008313,0.00058951,0.000589574468085,srd,1,0,2,3.99881687,32,32,5837
20,0.00090000,0.00010000,0.00066830,0.000909090909091,bnb,1,0,1,,32,31,6513
21,0.00110000,0.00008264,0.00058609,0.000586099290780,srd,1,0,2,0.01450736,31,31,5803
22,0.00209300,0.00004609,0.00032686,0.000326879432624,srd,1,0,2,0.00115691,31,31,3237
23,0.00332600,0.00003287,0.00023312,0.000233120567376,srd,1,0,2,0.00164113,31,31,2309
24,0.00424600,0.00002394,0.00016975,0.000169787234043,srd,1,0,2,2.99492903,31,31,1682
25,0.00333000,0.00002478,0.00017571,0.000175744680851,srd,1,0,2,0.00664522,31,31,1740
26,0.00200000,0.00004287,0.00016108,0.000174979591837,bnb,3,0,1,,31,28,1570
27,0.00337500,0.00003533,0.00010801,0.000112875399361,bnb,4,0,1,,28,24,359
28,0.00300000,0.00004090,0.00009927,0.0000992718446602,knapsack,5,2,2,0.00010901,24,20,968
29,0.00294600,0.00000745,0.00005283,0.0000528368794326,knapsack,1,0,2,0.00034055,20,20,524
30,0.00332500,0.00001651,0.00011709,0.000117092198582,srd,1,0,2,0.01235849,21,21,1160
31,0.00332500,0.00001635,0.00011591,0.000115957446809,srd,1,0,2,0.00901714,21,21,1149
32,0.00330000,0.00001324,0.00006361,0.0000636538461538,srd,2,0,2,0.02179577,21,20,384
33,0.00336300,0.00001638,0.00007874,0.00007875000,knapsack,2,0,2,0.00011745,20,19,637
34,0.00333400,0.00000415,0.00002942,0.0000294326241135,knapsack,1,0,2,0.00020406,22,22,293
35,0.00030000,0.00000847,0.00004071,0.0000407211538462,knapsack,2,0,2,0.00001304,22,21,1
36,0.00300100,0.00001449,0.00003180,0.0000380314960630,bnb,5,0,1,,21,16,-2085
37,0.00332900,0.00000408,0.00002890,0.0000289361702128,knapsack,1,0,2,0.00128564,17,17,287
38,0.00332700,0.00000498,0.00002392,0.0000239423076923,knapsack,2,0,2,0.00095366,17,16,-279
39,0.00332700,0.00000325,0.00002302,0.0000230496453901,knapsack,1,0,2,0.00331497,16,16,229
40,0.00322700,0.00000543,0.00003845,0.0000385106382979,knapsack,1,0,2,0.00008254,16,16,382
41,0.00332000,0.00000575,0.00004075,0.0000407801418440,knapsack,1,0,2,0.00569139,16,16,401
42,0.00198400,0.00000460,0.00003259,0.0000326241134752,knapsack,1,0,2,0.00370279,17,17,324
43,0.00322000,0.00000413,0.00002925,0.0000292907801418,knapsack,1,0,2,0.00047866,17,17,290
44,0.00505500,0.00000367,0.00002602,0.0000260283687943,knapsack,1,0,2,0.00434133,19,19,254
45,0.00105000,0.00000965,0.00004637,0.0000463942307692,knapsack,2,0,2,0.00009401,20,19,92
46,0.00020000,0.00000774,0.00003719,0.0000372115384615,srd,2,0,2,1.99978125,19,18,-62
47,0.00086900,0.00000448,0.00003177,0.0000317730496454,knapsack,1,0,2,0.00212652,18,18,312
48,0.00020400,0.00000324,0.00002292,0.0000229787234043,knapsack,1,0,2,0.00027142,19,19,224
49,0.00322600,0.00000443,0.00003136,0.0000314184397163,knapsack,1,0,2,0.00111090,19,19,308
50,0.00334300,0.00000995,0.00002891,0.0000289244186047,knapsack,4,0,2,0.00008848,19,16,-1166
51,0.00668000,0.00000467,0.00003311,0.0000331205673759,knapsack,1,0,2,0.00331533,16,16,325
52,0.00332500,0.00000733,0.00003523,0.0000352403846154,knapsack,2,0,2,0.00007148,16,15,-94
53,0.00332500,0.00001114,0.00007896,0.0000790070921986,knapsack,1,0,2,0.00666386,15,15,778
54,0.00332500,0.00000459,0.00003255,0.0000325531914894,knapsack,1,0,2,0.00333427,15,15,319
55,0.00332500,0.00000707,0.00002561,0.0000256159420290,srd,3,0,2,0.98720883,15,13,-759
56,0.00300000,0.00000413,0.00002929,0.0000292907801418,knapsack,1,0,2,0.00033014,13,13,287
57,0.00332700,0.00000394,0.00002793,0.0000279432624113,knapsack,1,0,2,0.00676906,13,13,273
58,0.00332500,0.00000490,0.00003473,0.0000347517730496,knapsack,1,0,2,0.00343916,13,13,341
59,0.00300000,0.00000443,0.00003138,0.0000314184397163,knapsack,1,0,2,0.00043473,13,13,170
60,0.00332700,0.00000603,0.00004272,0.0000427659574468,knapsack,1,0,2,0.00966697,13,13,282
