id,input_amounts
0,['0.00329000']
1,['0.00329400']
2,"['2.00000000', '0.00329000']"
3,['0.00483000']
4,['0.00794500']
5,"['0.00312770', '0.00011747']"
6,['0.00066424']
7,['0.00329400']
8,"['0.00023909', '3.00000000']"
9,['1.00000000']
10,['5.00000000']
11,['0.00329400']
12,['0.00014860']
13,['0.00331400']
14,"['0.00010000', '0.00002624']"
15,['0.99347343']
16,['0.00103200']
17,['0.00390000']
18,"['0.00980000', '0.00050000']"
19,['4.00000000']
20,['0.00100000']
21,['0.01569000']
22,['0.00329600']
23,['0.00500000']
24,['2.99919897']
25,['0.01000000']
26,"['0.00082843', '0.00056976', '0.00064468']"
27,"['0.00010863', '0.00100000', '0.00014860', '0.00215310']"
28,"['0.00090000', '0.00115691', '0.00000200', '0.00000100', '0.00109000']"
29,['0.00329400']
30,['0.01570000']
31,['0.01235849']
32,"['0.02500000', '0.00010901']"
33,"['0.00018283', '0.00331400']"
34,['0.00354221']
35,"['0.00020406', '0.00011745']"
36,"['0.00001304', '0.00100000', '0.00164113', '0.00002077', '0.00034055']"
37,['0.00461872']
38,"['0.00300000', '0.00128564']"
39,['0.00664522']
40,['0.00331497']
41,['0.00901714']
42,['0.00569139']
43,['0.00370279']
44,['0.00940000']
45,"['0.00095366', '0.00020000']"
46,"['0.00008254', '1.99990645']"
47,['0.00300000']
48,['0.00047866']
49,['0.00434133']
50,"['0.00011000', '0.00009401', '0.00212652', '0.00111090']"
51,['0.01000000']
52,"['0.00008848', '0.00331533']"
53,['0.01000000']
54,['0.00666386']
55,"['0.00034660', '0.00076900', '0.98942530']"
56,['0.00333427']
57,['0.01010000']
58,['0.00676906']
59,['0.00343916']
60,['0.01300000']
61,['0.00966697']
62,['0.00633534']
63,"['0.00027142', '0.00007148', '0.00300192']"
64,['0.01450736']
65,['0.01117175']
66,['0.00784173']
67,['0.00451302']
68,['0.02179577']
69,['0.01846665']
70,['0.01513813']
71,['0.01213430']
72,['0.00891651']
73,['0.00690623']
74,['0.00369668']
75,['0.03535793']
76,['0.03205351']
77,['0.02865517']
78,['0.02532163']
79,['0.02197392']
80,['0.01863978']
81,"['3.99881687', '0.00117378', '0.00043473']"
82,"['0.00100000', '4.99984483']"
83,['0.01530534']
84,['0.00910000']
85,['0.00576575']
86,['0.98720883']
87,['0.00275830']
88,['0.01197023']
89,['0.00931237']
90,['0.00597487']
91,['0.01714000']
92,['0.00103265']
93,"['0.00002942', '4.99750342']"
94,['0.00213637']
95,['0.00264394']
96,"['0.00063931', '0.00033014', '0.00116387']"
97,['0.00300000']
98,"['0.00012866', '0.01490000']"
99,"['0.00006080', '0.00198208']"
100,"['0.01780000', '0.00002606']"
101,['0.00480000']
102,"['0.00100000', '0.00000809', '0.00100000']"
103,"['0.00001061', '0.00300000']"
104,"['0.00080000', '0.00021816']"
105,"['0.00100000', '0.00100000', '0.00107722']"
106,"['0.00100000', '0.00100000']"
107,"['0.00011269', '0.00000713', '0.00200000']"
108,"['0.00006461', '0.00100000']"
109,"['0.00370000', '0.00120000', '0.00005915']"
110,['0.00120000']
111,"['0.00009442', '0.00045899']"
112,"['0.00200000', '0.00004605', '0.00010000', '0.00200000', '0.00002789']"
113,"['0.00087643', '0.00270000']"
114,"['0.00390000', '0.00046478', '0.00100000', '0.00001851']"
115,['0.00171142']
116,"['0.00069712', '0.00040000', '0.00036591', '0.00228044']"
117,['0.00300000']
118,"['0.00341677', '0.00285624']"
119,"['0.00163049', '0.00069785', '0.00090000']"
120,"['0.00025639', '0.00001846', '0.00790000', '0.00010000', '0.00091371', '0.00008000']"
121,"['0.00480000', '0.00021735']"
122,"['0.00090000', '0.00169500', '0.00100000']"
123,"['0.00480000', '0.00020528', '0.00360000']"
124,['0.01581521']
125,"['0.00592000', '0.00300000', '0.00110000']"
126,"['0.00001019', '0.00000540', '0.00500000', '0.01000000']"
127,['0.00290000']
128,['0.00444318']
129,"['0.00008116', '0.00309368', '0.00006000']"
130,['0.00780038']
131,"['0.00169140', '0.00454585']"
132,['0.00800000']
133,"['0.00012607', '0.00089529', '0.00500000', '0.00500000']"
134,"['0.00165454', '0.00226500']"
135,"['0.01000000', '0.00001122']"
136,"['0.00049540', '0.00464370', '0.00490000']"
137,['0.00213902']
138,"['0.00116202', '0.00100000']"
139,['0.00300000']
