Scenario File,Current Balance,Mean #UTXO,Current #UTXO,#Deposits,#Inputs Spent,#Withdraws,#Uneconomical outputs spent,#Change Created,#Changeless,Min Change Value,Max Change Value,Mean Change Value,Std. Dev. of Change Value,Total Fees,Mean Fees per Withdraw,Cost to Empty (10 sat/vB),Total Cost,Min Input Size,Max Input Size,Mean Input Size,Std. Dev. of Input Size,Usage
bustabit-tiny-hot-wallet_peak-and-tail,0E-8,0,0,0,0,0,0,0,Total: **0**,0,0,0,0,0,0,0E-66,0E-66,0,0,0,0,
bustabit-tiny-hot-wallet_peak-and-tail,15.19417425,25.1440000000,24,267,450,233,2,207,bnb: **25** ; knapsack: **1** ; Total: **26**,0.00000490,4.99984483,0.297557404155,0.996351251453,0.00468542,0.0000201090987124,0.000163200000,0.004848620000,1,15,1.93133047210,1.73068315139,knapsack: **157** ; srd: **51** ; bnb: **25**
bustabit-tiny-hot-wallet_peak-and-tail,23.92690574,28.9790000000,34,594,912,406,2,352,bnb: **49** ; knapsack: **5** ; Total: **54**,0.00000348,8.51995187,0.265987004972,0.990602217347,0.00841843,0.0000207350492611,0.000231200000,0.008649630000,1,16,2.24630541872,2.24178580607,knapsack: **281** ; srd: **76** ; bnb: **49**
bustabit-tiny-hot-wallet_peak-and-tail,27.28268853,33.7280000000,75,961,1337,539,3,451,bnb: **80** ; knapsack: **8** ; Total: **88**,0.00000348,8.51995187,0.258311396031,0.988884822518,0.01191647,0.0000221084786642,0.000510000000,0.012426470000,1,16,2.48051948052,2.60273856866,knapsack: **353** ; srd: **106** ; bnb: **80**
bustabit-tiny-hot-wallet_peak-and-tail,19.66695089,34.9525000000,15,1316,1863,684,5,562,bnb: **105** ; knapsack: **17** ; Total: **122**,0.00000348,9.84545639,0.313671644217,1.27484754196,0.01487326,0.0000217445321637,0.000102000000,0.014975260000,1,47,2.72368421053,3.36391502979,knapsack: **453** ; srd: **126** ; bnb: **105**
bustabit-tiny-hot-wallet_peak-and-tail,26.29649777,33.8308000000,45,1682,2310,818,5,673,bnb: **125** ; knapsack: **20** ; Total: **145**,0.00000348,9.84545639,0.323102876597,1.29189331720,0.01786326,0.0000218377261614,0.000306000000,0.018169260000,1,47,2.82396088020,3.43654675075,knapsack: **546** ; srd: **147** ; bnb: **125**
bustabit-tiny-hot-wallet_peak-and-tail,18.38061291,34.0726666667,28,2008,2805,992,6,825,bnb: **147** ; knapsack: **20** ; Total: **167**,0.00000317,9.84545639,0.345281403915,1.28756542794,0.02219456,0.0000223735483871,0.000190400000,0.022384960000,1,47,2.82762096774,3.38893599379,knapsack: **654** ; srd: **191** ; bnb: **147**
bustabit-tiny-hot-wallet_peak-and-tail,26.40399842,36.2600000000,53,2415,3259,1085,6,897,bnb: **168** ; knapsack: **20** ; Total: **188**,0.00000317,9.84545639,0.338487508751,1.26244931455,0.02439212,0.0000224812165899,0.000360400000,0.024752520000,1,47,3.00368663594,3.69750904151,knapsack: **711** ; srd: **206** ; bnb: **168**
bustabit-tiny-hot-wallet_peak-and-tail,23.47168260,37.7950000000,53,2818,3739,1182,6,974,bnb: **188** ; knapsack: **20** ; Total: **208**,0.00000317,9.84545639,0.316622878511,1.21510469635,0.02730327,0.0000230992131980,0.000360400000,0.027663670000,1,47,3.16328257191,3.94602517763,knapsack: **782** ; srd: **212** ; bnb: **188**
bustabit-tiny-hot-wallet_peak-and-tail,15.35516545,39.3193333333,24,3213,4245,1287,6,1056,bnb: **209** ; knapsack: **22** ; Total: **231**,0.00000317,9.84545639,0.299511041297,1.17013218999,0.03099849,0.0000240858508159,0.000163200000,0.031161690000,1,47,3.29836829837,4.17775961575,knapsack: **845** ; srd: **233** ; bnb: **209**
bustabit-tiny-hot-wallet_peak-and-tail,15.77914094,39.3238000000,24,3571,4720,1429,6,1173,bnb: **233** ; knapsack: **23** ; Total: **256**,0.00000317,9.84545639,0.280317260247,1.11484707747,0.03389557,0.0000237197830651,0.000163200000,0.034058770000,1,47,3.30300909727,4.13208029661,knapsack: **942** ; srd: **254** ; bnb: **233**
bustabit-tiny-hot-wallet_peak-and-tail,15.87914094,39.3209358128,25,3572,4720,1429,6,1173,bnb: **233** ; knapsack: **23** ; Total: **256**,0.00000317,9.84545639,0.280317260247,1.11484707747,0.03389557,0.0000237197830651,0.000170000000,0.034065570000,1,47,3.30300909727,4.13208029661,knapsack: **942** ; srd: **254** ; bnb: **233**
