id,amount,fees,target_feerate,real_feerate,algo,num_inputs,negative_ev,num_outputs,change_amount,before_num_utxos,after_num_utxos,waste
0,0.00310000,0.00007253,0.00051435,0.000514397163121,knapsack,1,0,2,0.00011747,22,22,5093
1,0.00010100,0.00006530,0.00046306,0.000463120567376,srd,1,0,2,0.00314770,22,22,4585
2,0.00329400,0.00006071,0.00043052,0.000430567375887,srd,1,0,2,0.00147529,22,22,4263
3,0.00410100,0.00006476,0.00045929,0.000459290780142,srd,1,0,2,3.99583424,22,22,4548
4,0.00329000,0.00005351,0.00025725,0.000257259615385,srd,2,0,2,1.99994649,22,21,3618
5,0.00319400,0.00001690,0.00011981,0.000119858156028,srd,1,0,2,1.99673559,21,21,1187
6,0.00040100,0.00002415,0.00017125,0.000171276595745,knapsack,1,0,2,0.00105014,21,21,1696
7,0.00262000,0.00002932,0.00020791,0.000207943262411,knapsack,1,0,2,0.00049838,21,21,2059
8,0.00100000,0.00002720,0.00019288,0.000192907801418,knapsack,1,0,2,0.00002294,21,21,1910
9,0.00650000,0.00002657,0.00018838,0.000188439716312,srd,1,0,2,1.99020902,22,22,1865
10,0.00014000,0.00001517,0.00010753,0.000107588652482,srd,1,0,2,0.00313883,22,22,1066
11,0.00310000,0.00001117,0.00007917,0.0000792198581560,knapsack,1,0,2,0.00002766,29,29,785
12,0.00010100,0.00003941,0.00019026,0.000222655367232,bnb,2,0,1,,30,28,1781
13,0.00113200,0.00002890,0.00020493,0.000204964539007,srd,1,0,2,0.00678410,28,28,2030
14,0.00010200,0.00002566,0.00013210,0.000144971751412,bnb,2,0,1,,28,26,651
15,0.00400000,0.00007100,0.00034131,0.000341346153846,srd,2,0,2,0.00932300,32,31,5021
16,0.00100000,0.00003200,0.00028435,0.000290909090909,bnb,1,0,1,,31,30,1325
17,0.00300000,0.00007157,0.00050756,0.000507588652482,srd,1,0,2,2.99692843,32,32,5026
18,0.00665800,0.00006765,0.00047972,0.000479787234043,srd,1,0,2,0.00327435,32,32,4751
19,0.00110000,0.00008313,0.00058951,0.000589574468085,srd,1,0,2,0.00213087,32,32,5837
20,0.00090000,0.00010000,0.00066830,0.000909090909091,bnb,1,0,1,,32,31,6513
21,0.00110000,0.00008264,0.00058609,0.000586099290780,srd,1,0,2,0.00209171,31,31,5803
22,0.00209300,0.00003787,0.00032686,0.000344272727273,bnb,1,0,1,,31,30,1734
23,0.00332600,0.00003287,0.00023312,0.000233120567376,srd,1,0,2,0.00604113,30,30,2309
24,0.00424600,0.00002394,0.00016975,0.000169787234043,srd,1,0,2,0.00553006,30,30,1682
25,0.00333000,0.00002478,0.00017571,0.000175744680851,srd,1,0,2,0.00217528,30,30,1740
26,0.00200000,0.00002272,0.00016108,0.000161134751773,srd,1,0,2,0.99797728,30,30,1596
27,0.00337500,0.00004208,0.00010801,0.000110446194226,bnb,5,0,1,,30,25,354
28,0.00300000,0.00003415,0.00009927,0.0000992732558140,knapsack,4,2,2,0.00004413,25,22,972
29,0.00294600,0.00000745,0.00005283,0.0000528368794326,knapsack,1,0,2,0.00034055,22,22,524
30,0.00332500,0.00001651,0.00011709,0.000117092198582,srd,1,0,2,4.99665849,23,23,1160
31,0.00332500,0.00001635,0.00011591,0.000115957446809,srd,1,0,2,0.00055865,23,23,1149
32,0.00330000,0.00003047,0.00006361,0.0000636116910230,knapsack,6,0,2,0.00001091,23,18,-604
33,0.00336300,0.00001638,0.00007874,0.00007875000,knapsack,2,0,2,0.00025517,18,17,637
34,0.00333400,0.00000612,0.00002942,0.0000294230769231,knapsack,2,0,2,0.00021105,20,19,-186
35,0.00030000,0.00000575,0.00004071,0.0000407801418440,knapsack,1,0,2,0.00069425,19,19,404
36,0.00300100,0.00000449,0.00003180,0.0000318439716312,knapsack,1,0,2,0.00199451,19,19,316
37,0.00332900,0.00000602,0.00002890,0.0000289423076923,knapsack,2,0,2,0.00035923,20,19,-196
38,0.00332700,0.00000338,0.00002392,0.0000239716312057,knapsack,1,0,2,0.00271075,19,19,238
39,0.00332700,0.00000479,0.00002302,0.0000230288461538,knapsack,2,0,2,0.00137347,19,18,-294
40,0.00322700,0.00000543,0.00003845,0.0000385106382979,knapsack,1,0,2,0.00355167,18,18,382
41,0.00332000,0.00000575,0.00004075,0.0000407801418440,knapsack,1,0,2,0.00022592,18,18,401
42,0.00198400,0.00001122,0.00003259,0.0000326162790698,knapsack,4,0,2,0.00001522,19,16,-1193
43,0.00322000,0.00000413,0.00002925,0.0000292907801418,knapsack,1,0,2,0.00609887,16,16,286
44,0.00505500,0.00000367,0.00002602,0.0000260283687943,knapsack,1,0,2,0.00104020,18,18,254
45,0.00105000,0.00001633,0.00004637,0.0000666530612245,bnb,3,0,1,,19,16,-602
46,0.00020000,0.00000525,0.00003719,0.0000372340425532,knapsack,1,0,2,0.00015398,16,16,226
47,0.00086900,0.00000448,0.00003177,0.0000317730496454,knapsack,1,0,2,0.00212652,16,16,173
48,0.00020400,0.00000477,0.00002292,0.0000229326923077,knapsack,2,0,2,0.00005521,17,16,-439
49,0.00322600,0.00000443,0.00003136,0.0000314184397163,knapsack,1,0,2,0.00676957,16,16,169
50,0.00334300,0.00000602,0.00002891,0.0000289423076923,srd,2,0,2,0.02199758,16,15,-339
51,0.00668000,0.00000467,0.00003311,0.0000331205673759,knapsack,1,0,2,0.00008490,15,15,186
52,0.00332500,0.00000497,0.00003523,0.0000355000,knapsack,1,0,2,0.00667003,15,15,207
53,0.00332500,0.00001114,0.00007896,0.0000790070921986,knapsack,1,0,2,0.00333389,15,15,639
54,0.00332500,0.00000889,0.00003255,0.0000808181818182,bnb,1,0,1,,15,14,72
55,0.00332500,0.00000362,0.00002561,0.0000256737588652,knapsack,1,0,2,0.00967138,14,14,116
56,0.00300000,0.00001008,0.00002929,0.0000293023255814,knapsack,4,0,2,0.00002555,14,11,-1288
57,0.00332700,0.00000394,0.00002793,0.0000279432624113,knapsack,1,0,2,0.00634044,11,11,138
58,0.00332500,0.00000490,0.00003473,0.0000347517730496,knapsack,1,0,2,0.00301054,11,11,206
59,0.00300000,0.00001054,0.00003138,0.0000958181818182,knapsack,1,0,1,,11,10,173
60,0.00332700,0.00000603,0.00004272,0.0000427659574468,knapsack,1,0,2,0.01235697,10,10,285
61,0.00332700,0.00000463,0.00003282,0.0000328368794326,knapsack,1,0,2,0.00902534,10,10,298
62,0.00332800,0.00000542,0.00003837,0.0000384397163121,knapsack,1,0,2,0.00569192,10,10,352
63,0.00332900,0.00000395,0.00002798,0.0000280141843972,knapsack,1,0,2,0.00235897,10,10,250
64,0.00333000,0.00000561,0.00003974,0.0000397872340426,knapsack,1,0,2,0.01236439,10,10,367
65,0.00332500,0.00000502,0.00003559,0.0000356028368794,knapsack,1,0,2,0.00903437,10,10,215
66,0.00332500,0.00000547,0.00002628,0.0000262980769231,srd,2,0,2,0.03438643,10,9,-379
67,0.00333500,0.00000424,0.00003005,0.0000300709219858,knapsack,1,0,2,0.00569513,9,9,-181
68,0.00332500,0.00000412,0.00002921,0.0000292198581560,knapsack,1,0,2,0.00236601,9,9,-189
69,0.00332500,0.00000352,0.00002495,0.0000249645390071,knapsack,1,0,2,0.01866906,9,9,-231
70,0.00300000,0.00000383,0.00002712,0.0000271631205674,knapsack,1,0,2,0.01566523,9,9,-209
71,0.00321200,0.00000579,0.00004100,0.0000410638297872,knapsack,1,0,2,0.01244744,9,9,-72
72,0.00200000,0.00001028,0.00007284,0.0000729078014184,knapsack,1,0,2,0.00035573,10,10,243
73,0.00320000,0.00000955,0.00006768,0.0000677304964539,knapsack,1,0,2,0.00923789,10,10,192
74,0.00332500,0.00000577,0.00004091,0.0000409219858156,knapsack,1,0,2,0.00590712,10,10,-73
75,0.00330000,0.00000442,0.00003128,0.0000313475177305,knapsack,1,0,2,0.00260270,10,10,-169
