id,input_amounts
0,['0.00329000']
1,['0.00331400']
2,['0.00483000']
3,['4.00000000']
4,"['2.00000000', '0.00329000']"
5,['1.99994649']
6,['0.00147529']
7,['0.00314770']
8,['0.00105014']
9,['1.99673559']
10,['0.00329400']
11,['0.00313883']
12,"['0.00002294', '0.00011747']"
13,['0.00794500']
14,"['0.00002766', '0.00010000']"
15,"['0.00329400', '0.01010000']"
16,['0.00103200']
17,['3.00000000']
18,['0.01000000']
19,['0.00331400']
20,['0.00100000']
21,['0.00327435']
22,['0.00213087']
23,['0.00940000']
24,['0.00980000']
25,['0.00553006']
26,['1.00000000']
27,"['0.00049838', '0.00010863', '0.00056976', '0.00209171', '0.00014860']"
28,"['0.00090000', '0.00000100', '0.00217528', '0.00000200']"
29,['0.00329400']
30,['5.00000000']
31,['0.00390000']
32,"['0.00055865', '0.00050000', '0.00100000', '0.00014860', '0.00109000', '0.00004413']"
33,"['0.00034055', '0.00329400']"
34,"['0.00025517', '0.00329600']"
35,['0.00100000']
36,['0.00500000']
37,"['0.00069425', '0.00300000']"
38,['0.00604113']
39,"['0.00199451', '0.00271075']"
40,['0.00678410']
41,['0.00355167']
42,"['0.00022592', '0.00020000', '0.00021105', '0.00137347']"
43,['0.00932300']
44,['0.00609887']
45,"['0.00104020', '0.00001091', '0.00001522']"
46,['0.00035923']
47,['0.00300000']
48,"['0.00015398', '0.00011000']"
49,['0.01000000']
50,"['0.00034660', '0.02500000']"
51,['0.00676957']
52,['0.01000000']
53,['0.00667003']
54,['0.00333389']
55,['0.01300000']
56,"['0.00008490', '0.00005521', '0.00212652', '0.00076900']"
57,['0.00967138']
58,['0.00634044']
59,['0.00301054']
60,['0.01569000']
61,['0.01235697']
62,['0.00902534']
63,['0.00569192']
64,['0.01570000']
65,['0.01236439']
66,"['0.03535793', '0.00235897']"
67,['0.00903437']
68,['0.00569513']
69,['0.02199758']
70,['0.01866906']
71,['0.01566523']
72,['0.00236601']
73,['0.01244744']
74,['0.00923789']
75,['0.00590712']
76,['0.03438643']
77,"['0.00100000', '0.00260270']"
78,['0.03098809']
79,"['0.00035573', '1.99020902']"
80,['0.02764038']
81,['0.02430594']
82,['0.01497368']
83,"['0.00002555', '4.99665849']"
84,['0.00910000']
85,['0.00576575']
86,['0.99797728']
87,['0.00275830']
88,['0.01163595']
89,['0.00897809']
90,['0.00564059']
91,['0.01714000']
92,['0.00103265']
93,"['0.00026606', '0.97749455']"
94,"['0.96775545', '0.00116387']"
95,['0.00213637']
96,['0.00230966']
97,['0.00300000']
98,"['0.01490000', '0.00013174']"
99,"['0.00002942', '0.00198208', '0.00001369']"
100,['0.00480000']
101,"['0.00100000', '0.00279265', '0.00100000']"
102,"['0.00080000', '0.00020236', '0.00100000', '0.00006080']"
103,"['0.00300000', '0.00005291']"
104,"['0.00100000', '0.00004577']"
105,"['3.99583424', '0.00029912']"
106,"['0.00100000', '0.00100000']"
107,"['0.00045899', '0.00171142']"
108,"['0.00003474', '0.00100000']"
109,"['0.00120000', '0.00370000', '0.00005551']"
110,"['0.00002425', '0.00107722', '0.00002928']"
111,['0.00120000']
112,"['0.00270000', '0.00087643', '0.00069501']"
113,['0.00390000']
114,"['0.00444318', '0.00001984', '0.00012374', '0.00079210']"
115,['4.99334413']
116,"['0.00228044', '0.00010000', '0.00040000', '0.00100000']"
117,['0.00200000']
118,"['0.00185624', '0.00200000', '0.00200000']"
119,"['0.00163049', '0.00006000', '0.00091371', '0.00027875', '0.00008000', '0.00005543']"
120,"['0.00300000', '0.00592000', '0.00010000', '0.00025639']"
121,"['0.00001503', '0.00500000']"
122,['0.00341677']
123,"['0.00090000', '0.00480000', '0.00360000', '0.00290000']"
124,['0.01109159']
125,"['0.00300000', '0.00110000', '0.00090000', '0.00003425', '0.00500000']"
126,"['0.00100000', '0.00169500', '0.00790000', '0.00454585']"
127,['0.00307676']
128,['0.00366994']
129,"['0.00232044', '0.00107205']"
130,['0.00800000']
131,"['0.00189102', '0.00464370']"
132,['0.00800000']
133,"['0.00165454', '0.00042354', '0.00900000']"
134,['0.00480000']
135,"['0.00500000', '0.00500000', '0.00000787']"
136,"['0.00213902', '0.00006995', '0.00226500', '0.00016050', '0.00490000', '0.00049540']"
137,['0.00204425']
138,['0.00300000']
139,"['0.00129455', '0.00100000']"
140,"['0.00068421', '0.00069882', '0.00600000', '0.00500000', '0.00100000']"
141,['0.00880000']
142,"['0.00000834', '0.00200000']"
143,"['0.00037086', '0.00012474']"
144,"['0.00180000', '0.00070000']"
145,"['0.00038256', '0.00600000', '0.00300000']"
146,['0.00679291']
147,['0.00280000']
148,"['0.00500000', '0.00113049']"
149,['0.01000000']
150,"['0.00003700', '0.00003903', '0.00019413', '0.00900000', '0.00036952', '0.00012010']"
151,"['0.01780000', '0.00860000', '0.00263338', '0.03000000']"
152,['4.99232983']
153,"['0.01450000', '0.00290000', '0.00375298', '0.00880000', '0.01000000', '0.00969612', '0.00040000']"
154,"['2.99692843', '0.00090000']"
155,['0.00980000']
156,"['0.03500000', '0.01000000', '0.01000000', '0.06000000', '0.00659344']"
157,['0.00500000']
158,"['2.98784400', '0.00057914']"
159,"['0.01000000', '0.04000000', '0.00002463', '0.05000000']"
160,"['0.00090000', '4.99030703', '0.05900000', '0.00084400', '0.01680000']"
161,"['0.02000000', '0.03300000', '0.02959206', '0.01990000']"
162,['0.00700000']
163,"['0.00038000', '0.00199320', '0.00000877', '0.00142790', '0.00021000']"
164,['0.00963986']
165,"['0.00463228', '0.00247974']"
166,['0.00210471']
167,['0.00800000']
168,"['0.00001340', '0.01000000']"
169,"['0.00100000', '0.00000775']"
170,"['0.00010000', '0.01000000']"
171,['0.00140678']
172,['0.00499480']
173,"['0.00090000', '0.00371975']"
174,"['0.00002730', '0.00500000']"
175,['0.01500000']
176,['0.02471042']
177,"['0.00003129', '0.00001819', '0.00040000', '0.00017000', '0.00011409', '0.00980000']"
178,['0.01450415']
179,['0.00250000']
180,['0.00213586']
181,['1.98722722']
182,['3.99312385']
183,['0.06000000']
184,['0.04964019']
185,['0.00176933']
186,['0.00149065']
187,['0.05000000']
188,['0.07024500']
189,['0.03850398']
190,['0.00382521']
191,['0.01000000']
192,"['0.00500000', '0.01000000']"
193,['2.98757141']
194,['0.03884735']
195,"['0.00000341', '0.00010000', '0.00006323', '0.00100000']"
196,"['0.05000000', '0.00170000']"
197,"['0.00028000', '0.00074700']"
198,['0.01000000']
