Scenario File,Current Balance,Mean #UTXO,Current #UTXO,#Deposits,#Inputs Spent,#Withdraws,#Uneconomical outputs spent,#Change Created,#Changeless,Min Change Value,Max Change Value,Mean Change Value,Std. Dev. of Change Value,Total Fees,Mean Fees per Withdraw,Cost to Empty (10 sat/vB),Total Cost,Min Input Size,Max Input Size,Mean Input Size,Std. Dev. of Input Size,Usage
bustabit-tiny-hot-wallet_peak-and-tail,0E-8,0,0,0,0,0,0,0,Total: **0**,0,0,0,0,0,0,0E-66,0E-66,0,0,0,0,
bustabit-tiny-hot-wallet_peak-and-tail,15.19419776,23.8400000000,23,267,454,233,3,210,bnb: **21** ; knapsack: **2** ; Total: **23**,0.00000341,4.99665849,0.337114200667,1.04511386654,0.00466191,0.0000200081974249,0.000156400000,0.004818310000,1,14,1.94849785408,1.76335052143,knapsack: **158** ; srd: **54** ; bnb: **21**
bustabit-tiny-hot-wallet_peak-and-tail,23.92718913,30.5940000000,36,594,909,406,3,351,bnb: **52** ; knapsack: **3** ; Total: **55**,0.00000341,6.33042641,0.293649631852,0.990913163550,0.00813504,0.0000200370443350,0.000244800000,0.008379840000,1,15,2.23891625616,2.23983306430,knapsack: **275** ; srd: **79** ; bnb: **52**
bustabit-tiny-hot-wallet_peak-and-tail,27.28287298,35.6406666667,77,961,1341,539,4,457,bnb: **77** ; knapsack: **5** ; Total: **82**,0.00000341,6.33042641,0.264135369453,0.915119582306,0.01173202,0.0000217662708720,0.000523600000,0.012255620000,1,17,2.48794063080,2.62978069325,knapsack: **352** ; srd: **110** ; bnb: **77**
bustabit-tiny-hot-wallet_peak-and-tail,19.66718729,36.9125000000,20,1316,1868,684,6,572,bnb: **107** ; knapsack: **5** ; Total: **112**,0.00000341,9.98188041,0.265370519476,0.961305429039,0.01463686,0.0000213989181287,0.000136000000,0.014772860000,1,46,2.73099415205,3.31695650776,knapsack: **441** ; srd: **136** ; bnb: **107**
bustabit-tiny-hot-wallet_peak-and-tail,26.29686650,35.6056000000,52,1682,2311,818,7,681,bnb: **128** ; knapsack: **9** ; Total: **137**,0.00000341,9.98188041,0.300159008326,1.12889851278,0.01749453,0.0000213869559902,0.000353600000,0.017848130000,1,46,2.82518337408,3.40134634271,knapsack: **534** ; srd: **156** ; bnb: **128**
bustabit-tiny-hot-wallet_peak-and-tail,18.38086083,35.6803333333,27,2008,2809,992,8,828,bnb: **153** ; knapsack: **11** ; Total: **164**,0.00000317,9.98188041,0.345037345507,1.26717193737,0.02194664,0.0000221236290323,0.000183600000,0.022130240000,1,46,2.83165322581,3.35682897924,knapsack: **635** ; srd: **204** ; bnb: **153**
bustabit-tiny-hot-wallet_peak-and-tail,26.40413306,36.6217142857,41,2415,3276,1085,8,902,bnb: **170** ; knapsack: **13** ; Total: **183**,0.00000317,9.98188041,0.327709568004,1.21922163229,0.02425748,0.0000223571244240,0.000278800000,0.024536280000,1,46,3.01935483871,3.69783440519,knapsack: **698** ; srd: **217** ; bnb: **170**
bustabit-tiny-hot-wallet_peak-and-tail,23.47186823,37.6825000000,44,2818,3753,1182,8,979,bnb: **190** ; knapsack: **13** ; Total: **203**,0.00000317,9.98188041,0.307971882104,1.17390364758,0.02711764,0.0000229421658206,0.000299200000,0.027416840000,1,46,3.17512690355,3.88910076598,knapsack: **767** ; srd: **225** ; bnb: **190**
bustabit-tiny-hot-wallet_peak-and-tail,15.35531531,38.7573333333,22,3213,4255,1287,8,1064,bnb: **209** ; knapsack: **14** ; Total: **223**,0.00000317,9.98188041,0.293992342293,1.12965769221,0.03084863,0.0000239694094794,0.000149600000,0.030998230000,1,46,3.30613830614,4.10584887098,knapsack: **829** ; srd: **249** ; bnb: **209**
bustabit-tiny-hot-wallet_peak-and-tail,15.77933377,38.7016000000,25,3571,4729,1429,8,1183,bnb: **232** ; knapsack: **14** ; Total: **246**,0.00000317,9.98188041,0.276005873948,1.07770359570,0.03370274,0.0000235848425472,0.000170000000,0.033872740000,1,46,3.30930720784,4.05384679279,knapsack: **929** ; srd: **268** ; bnb: **232**
bustabit-tiny-hot-wallet_peak-and-tail,15.87933377,38.6990601880,26,3572,4729,1429,8,1183,bnb: **232** ; knapsack: **14** ; Total: **246**,0.00000317,9.98188041,0.276005873948,1.07770359570,0.03370274,0.0000235848425472,0.000176800000,0.033879540000,1,46,3.30930720784,4.05384679279,knapsack: **929** ; srd: **268** ; bnb: **232**
