id,amount,fees,target_feerate,real_feerate,algo,num_inputs,negative_ev,num_outputs,change_amount,before_num_utxos,after_num_utxos,waste
0,0.00310000,0.00007253,0.00051435,0.000514397163121,knapsack,1,0,2,0.00011747,22,22,5093
1,0.00010100,0.00006530,0.00046306,0.000463120567376,srd,1,0,2,3.99983370,22,22,4585
2,0.00329400,0.00008955,0.00043052,0.000430528846154,knapsack,2,0,2,0.00002392,22,21,6511
3,0.00410100,0.00006476,0.00045929,0.000459290780142,knapsack,1,0,2,0.00066424,21,21,4548
4,0.00329000,0.00004792,0.00025725,0.000270734463277,bnb,2,0,1,,21,19,2351
5,0.00319400,0.00001690,0.00011981,0.000119858156028,knapsack,1,0,2,0.00008310,19,19,1187
6,0.00040100,0.00002415,0.00017125,0.000171276595745,knapsack,1,0,2,0.00023909,19,19,1696
7,0.00262000,0.00002932,0.00020791,0.000207943262411,knapsack,1,0,2,0.00064468,19,19,2059
8,0.00100000,0.00002720,0.00019288,0.000192907801418,srd,1,0,2,0.01467280,19,19,1910
9,0.00650000,0.00002657,0.00018838,0.000188439716312,srd,1,0,2,0.99347343,20,20,1865
10,0.00014000,0.00001517,0.00010753,0.000107588652482,srd,1,0,2,0.00778983,20,20,1066
11,0.00310000,0.00001117,0.00007917,0.0000792198581560,knapsack,1,0,2,0.00018283,27,27,785
12,0.00010100,0.00002683,0.00019026,0.000190283687943,knapsack,1,0,2,0.00002077,28,28,1884
13,0.00113200,0.00002890,0.00020493,0.000204964539007,srd,1,0,2,0.00383910,28,28,2030
14,0.00010200,0.00001863,0.00013210,0.000132127659574,knapsack,1,0,2,0.00002797,28,28,1309
15,0.00400000,0.00004813,0.00034131,0.000341347517730,srd,1,0,2,0.00535187,34,34,3380
16,0.00100000,0.00003200,0.00028435,0.000290909090909,bnb,1,0,1,,34,33,1325
17,0.00300000,0.00007157,0.00050756,0.000507588652482,srd,1,0,2,2.99692843,35,35,5026
18,0.00665800,0.00006765,0.00047972,0.000479787234043,srd,1,0,2,0.01827435,35,35,4751
19,0.00110000,0.00008313,0.00058951,0.000589574468085,srd,1,0,2,0.00660670,35,35,5837
20,0.00090000,0.00010000,0.00066830,0.000909090909091,bnb,1,0,1,,35,34,6513
21,0.00110000,0.00008264,0.00058609,0.000586099290780,srd,1,0,2,0.99229079,34,34,5803
22,0.00209300,0.00004609,0.00032686,0.000326879432624,srd,1,0,2,3.99769461,34,34,3237
23,0.00332600,0.00003287,0.00023312,0.000233120567376,srd,1,0,2,0.00644113,34,34,2309
24,0.00424600,0.00005387,0.00016975,0.000172108626198,bnb,4,0,1,,34,30,1954
25,0.00333000,0.00003655,0.00017571,0.000175721153846,srd,2,0,2,1.99687254,30,29,2255
26,0.00200000,0.00002272,0.00016108,0.000161134751773,srd,1,0,2,0.00181638,29,29,1596
27,0.00337500,0.00004251,0.00010801,0.000111574803150,bnb,5,0,1,,29,24,397
28,0.00300000,0.00001400,0.00009927,0.0000992907801418,knapsack,1,0,2,0.00028000,24,24,984
29,0.00294600,0.00000745,0.00005283,0.0000528368794326,knapsack,1,0,2,0.00036055,24,24,524
30,0.00332500,0.00001651,0.00011709,0.000117092198582,knapsack,1,0,2,0.00055849,25,25,1160
31,0.00332500,0.00002411,0.00011591,0.000115913461538,srd,2,0,2,3.99616188,25,24,1258
32,0.00330000,0.00000897,0.00006361,0.0000636170212766,knapsack,1,0,2,0.00204290,24,24,631
33,0.00336300,0.00004575,0.00007874,0.0000886627906977,knapsack,7,1,1,,24,17,-83
34,0.00333400,0.00000415,0.00002942,0.0000294326241135,knapsack,1,0,2,0.00310298,20,20,293
35,0.00030000,0.00000575,0.00004071,0.0000407801418440,knapsack,1,0,2,0.00005480,20,20,404
36,0.00300100,0.00000449,0.00003180,0.0000318439716312,knapsack,1,0,2,0.00009749,20,20,316
37,0.00332900,0.00000798,0.00002890,0.0000289130434783,knapsack,3,0,2,0.00004051,21,19,-679
38,0.00332700,0.00000338,0.00002392,0.0000239716312057,knapsack,1,0,2,0.00327632,19,19,238
39,0.00332700,0.00000412,0.00002302,0.0000232768361582,bnb,2,0,1,,19,17,-1045
40,0.00322700,0.00000543,0.00003845,0.0000385106382979,knapsack,1,0,2,0.00676757,17,17,382
41,0.00332000,0.00000575,0.00004075,0.0000407801418440,knapsack,1,0,2,0.00344182,17,17,401
42,0.00198400,0.00000460,0.00003259,0.0000326241134752,knapsack,1,0,2,0.00145322,18,18,324
43,0.00322000,0.00000609,0.00002925,0.0000292788461538,srd,2,0,2,0.01346391,18,17,-191
44,0.00505500,0.00000367,0.00002602,0.0000260283687943,knapsack,1,0,2,0.00494133,19,19,254
45,0.00105000,0.00000654,0.00004637,0.0000463829787234,knapsack,1,0,2,0.00039668,20,20,456
46,0.00020000,0.00001027,0.00003719,0.0000372101449275,knapsack,3,0,2,0.00003224,20,18,-489
47,0.00086900,0.00000448,0.00003177,0.0000317730496454,knapsack,1,0,2,0.00212652,18,18,312
48,0.00020400,0.00000324,0.00002292,0.0000229787234043,knapsack,1,0,2,0.00018944,19,19,224
49,0.00322600,0.00000443,0.00003136,0.0000314184397163,knapsack,1,0,2,0.00171090,19,19,308
50,0.00334300,0.00000602,0.00002891,0.0000289423076923,knapsack,2,0,2,0.00048840,19,18,-273
51,0.00668000,0.00000467,0.00003311,0.0000331205673759,knapsack,1,0,2,0.00331533,18,18,252
52,0.00332500,0.00000733,0.00003523,0.0000352403846154,knapsack,2,0,2,0.00001524,18,17,-94
53,0.00332500,0.00001114,0.00007896,0.0000790070921986,knapsack,1,0,2,0.00676386,17,17,778
54,0.00332500,0.00000459,0.00003255,0.0000325531914894,knapsack,1,0,2,0.00343427,17,17,319
55,0.00332500,0.00000362,0.00002561,0.0000256737588652,knapsack,1,0,2,0.00010565,17,17,113
56,0.00300000,0.00000413,0.00002929,0.0000292907801418,knapsack,1,0,2,0.00999587,17,17,149
57,0.00332700,0.00000581,0.00002793,0.0000279326923077,srd,2,0,2,2.99436462,17,16,-355
58,0.00332500,0.00000723,0.00003473,0.0000347596153846,srd,2,0,2,0.03237230,16,15,-240
59,0.00300000,0.00000653,0.00003138,0.0000313942307692,srd,2,0,2,0.01215467,15,14,-231
60,0.00332700,0.00000603,0.00004272,0.0000427659574468,knapsack,1,0,2,0.00666284,14,14,347
61,0.00332700,0.00000463,0.00003282,0.0000328368794326,knapsack,1,0,2,0.00333121,14,14,249
62,0.00332800,0.00000799,0.00003837,0.0000384134615385,knapsack,2,0,2,0.00001046,14,13,-116
63,0.00332900,0.00000395,0.00002798,0.0000280141843972,knapsack,1,0,2,0.00882172,13,13,201
64,0.00333000,0.00000561,0.00003974,0.0000397872340426,knapsack,1,0,2,0.00548611,13,13,318
65,0.00332500,0.00000502,0.00003559,0.0000356028368794,knapsack,1,0,2,0.00215609,13,13,-126
66,0.00332500,0.00000371,0.00002628,0.0000263120567376,knapsack,1,0,2,0.01013520,13,13,-204
67,0.00333500,0.00000424,0.00003005,0.0000300709219858,knapsack,1,0,2,0.00679596,13,13,-181
68,0.00332500,0.00000412,0.00002921,0.0000292198581560,knapsack,1,0,2,0.00346684,13,13,-189
69,0.00332500,0.00000352,0.00002495,0.0000249645390071,knapsack,1,0,2,0.00013832,13,13,-231
70,0.00300000,0.00000383,0.00002712,0.0000271631205674,knapsack,1,0,2,0.01527052,13,13,-209
71,0.00321200,0.00000579,0.00004100,0.0000410638297872,knapsack,1,0,2,0.01205273,13,13,-72
72,0.00200000,0.00001028,0.00007284,0.0000734285714286,knapsack,1,0,2,0.00014581,14,14,243
73,0.00320000,0.00000955,0.00006768,0.0000677304964539,knapsack,1,0,2,0.00884318,14,14,206
74,0.00332500,0.00000577,0.00004091,0.0000409219858156,knapsack,1,0,2,0.00551241,14,14,-59
75,0.00330000,0.00000864,0.00003128,0.0000313043478261,srd,3,0,2,0.00249886,14,12,-1089
76,0.00339300,0.00000534,0.00003786,0.0000378723404255,knapsack,1,0,2,0.02897396,12,12,-89
77,0.00332700,0.00000964,0.00004632,0.0000463461538462,knapsack,2,0,2,0.00016222,12,11,-371
78,0.00334100,0.00000671,0.00004752,0.0000475886524823,knapsack,1,0,2,0.02562625,11,11,7
79,0.00332700,0.00000714,0.00005059,0.0000506382978723,knapsack,1,0,2,0.02229211,11,11,37
80,0.00332900,0.00000544,0.00003857,0.0000385815602837,knapsack,1,0,2,0.01895767,12,12,-59
81,0.00932800,0.00000629,0.00003020,0.0000302403846154,srd,2,0,2,3.98698981,12,11,-616
82,0.00333000,0.00000773,0.00005482,0.0000548226950355,knapsack,1,0,2,0.01561994,12,12,101
83,0.00332500,0.00001011,0.00007168,0.0000717021276596,knapsack,1,0,2,0.01228483,12,12,269
84,0.00332500,0.00001809,0.00006554,0.0000655434782609,srd,3,0,2,2.99126985,12,10,-260
85,0.00300000,0.00000745,0.00005282,0.0000528368794326,knapsack,1,0,2,0.00609255,10,10,105
86,0.02047700,0.00000573,0.00004059,0.0000406382978723,knapsack,1,0,2,0.97180806,10,10,-16
87,0.00172200,0.00000365,0.00002583,0.0000258865248227,knapsack,1,0,2,0.00436690,10,10,-162
88,0.00265000,0.00000786,0.00005570,0.0000557446808511,knapsack,1,0,2,0.00170904,11,11,133
89,0.00333000,0.00000750,0.00005315,0.0000531914893617,knapsack,1,0,2,0.00894733,11,11,124
90,0.00332500,0.00000593,0.00004202,0.0000420567375887,knapsack,1,0,2,0.00561640,11,11,14
91,0.01500000,0.00000363,0.00002572,0.0000257446808511,knapsack,1,0,2,0.00213637,12,12,-148
92,0.00100000,0.00000323,0.00002289,0.0000229078014184,knapsack,1,0,2,0.00070581,12,12,-176
93,0.01000000,0.00000350,0.00002479,0.0000248226950355,knapsack,1,0,2,0.01999650,12,12,-239
94,0.00200000,0.00001549,0.00005464,0.0000632244897959,bnb,3,0,1,,15,12,-721
95,0.00200000,0.00000463,0.00003280,0.0000328368794326,knapsack,1,0,2,0.00013174,12,12,-159
96,0.00200000,0.00001054,0.00007472,0.0000747517730496,knapsack,1,0,2,0.00098946,15,15,256
97,0.00100000,0.00001792,0.00012707,0.000127092198582,srd,1,0,2,2.99025193,15,15,781
98,0.01500000,0.00001805,0.00008674,0.0000867788461538,knapsack,2,0,2,0.00001369,18,17,304
99,0.00200000,0.00002231,0.00008082,0.0000808333333333,knapsack,3,0,2,0.00002795,17,15,76
100,0.00200000,0.00000735,0.00005212,0.0000521276595745,knapsack,1,0,2,0.00279265,15,15,52
101,0.00457300,0.00000884,0.00006264,0.0000626950354610,knapsack,1,0,2,0.00103456,15,15,156
102,0.00200000,0.00001046,0.00002977,0.0000426938775510,bnb,3,0,1,,25,22,-1120
103,0.00300000,0.00000714,0.00003429,0.0000343269230769,knapsack,2,0,2,0.00000655,24,23,-508
104,0.00100000,0.00001103,0.00005302,0.0000530288461538,knapsack,2,0,2,0.00001692,27,26,-196
105,0.00300000,0.00001261,0.00004568,0.0000456884057971,knapsack,3,0,2,0.00009917,26,24,-688
106,0.00152800,0.00001301,0.00006253,0.0000625480769231,knapsack,2,0,2,0.00025899,25,24,-37
107,0.00210000,0.00002264,0.00007160,0.0000723322683706,bnb,4,0,1,,28,24,-757
