id,input_amounts
0,['0.00329000']
1,['4.00000000']
2,"['0.00011747', '0.00329000']"
3,['0.00483000']
4,"['0.00002392', '0.00331400']"
5,['0.00329400']
6,['0.00066424']
7,['0.00329400']
8,['0.01570000']
9,['1.00000000']
10,['0.00794500']
11,['0.00329400']
12,['0.00014860']
13,['0.00500000']
14,['0.00014860']
15,['0.00940000']
16,['0.00103200']
17,['3.00000000']
18,['0.02500000']
19,['0.00778983']
20,['0.00100000']
21,['0.99347343']
22,['3.99983370']
23,['0.00980000']
24,"['0.00329600', '0.00090000', '0.00008310', '0.00002077']"
25,"['0.00023909', '2.00000000']"
26,['0.00383910']
27,"['0.00109000', '0.00100000', '0.00050000', '0.00064468', '0.00018283']"
28,['0.00329400']
29,['0.00331400']
30,['0.00390000']
31,"['0.00181638', '3.99769461']"
32,['0.00535187']
33,"['0.00010863', '0.00204290', '0.00010000', '0.00056976', '0.00002797', '0.00055849', '0.00000100']"
34,['0.00644113']
35,['0.00036055']
36,['0.00310298']
37,"['0.00028000', '0.00009749', '0.00300000']"
38,['0.00660670']
39,"['0.00327632', '0.00005480']"
40,['0.01000000']
41,['0.00676757']
42,['0.00344182']
43,"['0.01569000', '0.00100000']"
44,['0.01000000']
45,['0.00145322']
46,"['0.00000200', '0.00004051', '0.00020000']"
47,['0.00300000']
48,['0.00039668']
49,['0.00494133']
50,"['0.00212652', '0.00171090']"
51,['0.01000000']
52,"['0.00003224', '0.00331533']"
53,['0.01010000']
54,['0.00676386']
55,['0.00343427']
56,['0.01300000']
57,"['0.00076900', '2.99692843']"
58,"['0.00034660', '0.03535793']"
59,"['0.01467280', '0.00048840']"
60,['0.00999587']
61,['0.00666284']
62,"['0.00333121', '0.00001524']"
63,['0.01215467']
64,['0.00882172']
65,['0.00548611']
66,['0.01346391']
67,['0.01013520']
68,['0.00679596']
69,['0.00346684']
70,['0.01827435']
71,['0.01527052']
72,['0.00215609']
73,['0.01205273']
74,['0.00884318']
75,"['0.00551241', '0.00018944', '0.00010565']"
76,['0.03237230']
77,"['0.00100000', '0.00249886']"
78,['0.02897396']
79,['0.02562625']
80,['0.02229211']
81,"['0.00016222', '3.99616188']"
82,['0.01895767']
83,['0.01561994']
84,"['2.99436462', '0.00011000', '0.00013832']"
85,['0.00910000']
86,['0.99229079']
87,['0.00609255']
88,['0.00436690']
89,['0.01228483']
90,['0.00894733']
91,['0.01714000']
92,['0.00170904']
93,['0.03000000']
94,"['0.00014581', '0.00070581', '0.00116387']"
95,['0.00213637']
96,['0.00300000']
97,['2.99126985']
98,"['0.00013174', '0.01490000']"
99,"['0.00006080', '0.00098946', '0.00100000']"
100,['0.00480000']
101,['0.00561640']
102,"['0.00100000', '0.00100000', '0.00001046']"
103,"['0.00001369', '0.00300000']"
104,"['0.00100000', '0.00002795']"
105,"['0.00103456', '0.00100000', '0.00107722']"
106,"['0.00100000', '0.00080000']"
107,"['0.00009917', '0.00000655', '0.00200000', '0.00001692']"
108,['0.00120000']
109,"['0.00019630', '0.00025899', '0.00171142', '0.00279265']"
110,['0.00120000']
111,['0.00100000']
112,"['0.00270000', '0.00049501', '0.00087643', '0.00009442']"
113,['0.00370000']
114,"['0.00059210', '0.00480000']"
115,"['0.00100000', '0.00002089']"
116,"['0.00040000', '0.00341677']"
117,"['0.00009809', '0.00010000']"
118,"['0.00390000', '0.00200000']"
119,"['0.00001430', '0.00032484', '0.00004779', '0.00008000', '0.00163049', '0.00002532', '0.00090000']"
120,"['0.00010000', '0.00300000', '0.00025639', '0.00091371', '0.00500000']"
121,"['0.00500000', '0.00006000']"
122,"['0.00100000', '0.00169500', '0.00090000']"
123,"['0.00228044', '0.00005284', '0.01780000', '0.00592000']"
124,"['0.00444318', '0.00360000']"
125,"['0.00002131', '0.00200000', '0.00800000']"
126,"['0.00454585', '0.00480000', '0.00110000', '0.00464370']"
127,['0.00290000']
128,['0.00300000']
129,['0.00490000']
130,"['0.00089529', '0.00007344', '0.00500000', '0.00020528']"
131,['0.00790000']
132,['0.00800000']
133,['0.01109159']
134,"['0.00165050', '0.00165454']"
135,"['0.00005211', '0.00500000', '0.00213902', '0.00054752', '0.00179242', '0.00049540']"
136,"['0.01000000', '0.00001193']"
137,['0.00226500']
138,"['0.00167219', '0.00008743']"
139,['0.00300000']
140,"['0.00600000', '0.00100000', '0.00100000', '0.00500000', '0.00005159']"
141,"['0.00069882', '0.00139299']"
142,"['0.00200000', '0.00003942']"
143,['0.00070000']
144,"['0.00180000', '0.00024546', '0.00008136']"
145,"['0.00025978', '0.00600000', '0.00000610', '0.00300000']"
146,['0.00880000']
147,['0.00280000']
148,['0.00576007']
149,"['0.00113049', '0.00880000']"
150,['0.01000000']
151,"['0.00290000', '0.01752322', '0.00012230', '0.00027703', '0.01450000', '0.00969612', '0.00500000', '0.00900000']"
152,"['0.00263338', '0.00003101']"
153,"['0.00063075', '0.00860000', '0.00900000', '0.00090000', '0.00040000', '0.00980000', '0.01999650', '0.00090000']"
154,['0.01000000']
155,['0.01000000']
156,"['0.06000000', '0.00679344', '0.03500000', '0.00500000', '0.01500000']"
157,"['0.00077914', '0.01680000']"
158,['0.00963986']
159,"['0.00002022', '0.05000000', '0.04000000', '0.01000000']"
160,"['0.00879062', '0.01990000', '0.05900000', '0.01400462']"
161,['0.97180806']
162,['0.00700000']
163,"['0.00038000', '0.00167672', '0.00199320']"
164,['0.01000000']
165,"['0.00499242', '0.00003789']"
166,"['0.06000000', '0.00018191']"
167,['0.00800000']
168,"['0.00000899', '0.01000000']"
169,"['0.00017000', '0.00084400']"
170,['0.02000000']
171,"['0.00100000', '0.00040000']"
172,['0.00499480']
173,"['0.00371975', '0.00090000']"
174,"['0.00500000', '0.00000966']"
175,"['0.00002300', '0.00021000', '0.00996541', '0.00000334', '0.00002191']"
176,['0.02471042']
177,"['0.00980000', '0.00250000']"
178,['0.01450415']
179,['0.00179185']
180,['0.00142771']
181,['0.05000000']
182,['1.99687254']
183,['0.07024500']
184,['0.09990000']
185,['0.00106118']
186,['0.00078250']
187,['0.05000000']
188,['0.03300000']
189,['0.03000000']
190,['0.00382521']
191,['0.03884735']
192,['0.05000000']
193,"['0.00011409', '0.03966782']"
194,['0.01000000']
195,"['0.00090000', '0.00010000', '0.00010000', '0.00003885']"
196,['0.87180301']
197,['0.03787087']
198,['0.01000000']
199,"['0.00028000', '0.01881971']"
200,['0.01000000']
201,"['0.00176045', '0.01000000']"
202,['0.00044827']
203,['3.98698981']
204,"['0.00004094', '0.00099000']"
205,['5.00000000']
206,"['0.00014000', '0.00020218', '0.00318000', '0.00200000', '0.00795187', '0.00390000', '0.00001161', '0.00100000', '0.00006080', '0.00050000']"
207,['0.05948211']
208,['0.01000000']
209,['0.00170000']
210,['0.00069103']
211,"['0.00290000', '0.00047992', '0.00500000', '0.01000000']"
212,"['0.01570000', '0.00797421', '0.00229870', '0.00180000', '0.00400000', '0.00400644', '0.00006626', '0.00180000', '0.00598365', '0.00090000', '0.00097600', '0.04546560', '0.00900000', '0.00005460']"
213,"['0.00869081', '0.02310000']"
214,['0.00039116']
215,"['0.00013614', '0.05988519', '0.00390000', '0.01090000', '0.00019558']"
216,"['0.01000000', '0.00005460']"
217,"['0.02874272', '0.00060481', '0.01000000', '0.02400000', '0.03671803']"
218,"['0.00005247', '0.02000000', '0.00004686', '0.01000000']"
219,['0.00193800']
220,['0.00173392']
221,"['0.03685316', '0.00969500', '0.01950000', '0.01944692', '0.01883470', '0.01000000', '0.01000000']"
222,"['0.02900000', '0.00900000']"
223,['0.00096700']
224,"['0.00990000', '0.01000000', '0.00100000', '0.01000000']"
225,"['0.08876379', '0.00405011', '0.00010000', '0.00010000', '0.02700000', '0.03000000']"
