Scenario File,Current Balance,Mean #UTXO,Current #UTXO,#Deposits,#Inputs Spent,#Withdraws,#Uneconomical outputs spent,#Change Created,#Changeless,Min Change Value,Max Change Value,Mean Change Value,Std. Dev. of Change Value,Total Fees,Mean Fees per Withdraw,Cost to Empty (10 sat/vB),Total Cost,Min Input Size,Max Input Size,Mean Input Size,Std. Dev. of Input Size,Usage
bustabit-tiny-hot-wallet_peak-and-tail,0E-8,0,0,0,0,0,0,0,Total: **0**,0,0,0,0,0,0,0E-66,0E-66,0,0,0,0,
bustabit-tiny-hot-wallet_peak-and-tail,15.19419200,24.8640000000,25,267,446,233,1,204,bnb: **24** ; knapsack: **5** ; Total: **29**,0.00000334,4.98687128,0.228926205539,0.836104355225,0.00466767,0.0000200329184549,0.000170000000,0.004837670000,1,14,1.91416309013,1.70228454736,knapsack: **162** ; srd: **47** ; bnb: **24**
bustabit-tiny-hot-wallet_peak-and-tail,23.92699917,29.1260000000,34,594,910,406,1,350,bnb: **45** ; knapsack: **11** ; Total: **56**,0.00000334,4.98687128,0.168225223257,0.698307137905,0.00832500,0.0000205049261084,0.000231200000,0.008556200000,1,16,2.24137931034,2.19558750966,knapsack: **289** ; srd: **72** ; bnb: **45**
bustabit-tiny-hot-wallet_peak-and-tail,27.28270544,34.2833333333,73,961,1341,539,3,453,bnb: **74** ; knapsack: **12** ; Total: **86**,0.00000334,4.98687128,0.175994760530,0.687118171679,0.01189956,0.0000220771057514,0.000496400000,0.012395960000,1,16,2.48794063080,2.57694655703,knapsack: **361** ; srd: **104** ; bnb: **74**
bustabit-tiny-hot-wallet_peak-and-tail,19.66707030,38.0940000000,23,1316,1857,684,5,564,bnb: **105** ; knapsack: **15** ; Total: **120**,0.00000334,4.98687128,0.166430006933,0.645429896392,0.01475385,0.0000215699561404,0.000156400000,0.014910250000,1,29,2.71491228070,3.02682199398,knapsack: **450** ; srd: **129** ; bnb: **105**
bustabit-tiny-hot-wallet_peak-and-tail,26.29635948,36.0276000000,45,1682,2309,818,5,672,bnb: **126** ; knapsack: **20** ; Total: **146**,0.00000334,8.01960116,0.214642725446,0.904067554357,0.01800155,0.0000220067848411,0.000306000000,0.018307550000,1,29,2.82273838631,3.19295757081,knapsack: **547** ; srd: **145** ; bnb: **126**
bustabit-tiny-hot-wallet_peak-and-tail,18.38024210,35.5176666667,25,2008,2803,992,5,820,bnb: **151** ; knapsack: **21** ; Total: **172**,0.00000317,8.01960116,0.263000049232,1.01978403592,0.02256537,0.0000227473487903,0.000170000000,0.022735370000,1,29,2.82560483871,3.16782984875,knapsack: **649** ; srd: **192** ; bnb: **151**
bustabit-tiny-hot-wallet_peak-and-tail,26.40349207,37.2277142857,43,2415,3265,1085,5,893,bnb: **169** ; knapsack: **23** ; Total: **192**,0.00000317,8.01960116,0.249147497783,0.991763792628,0.02489847,0.0000229478986175,0.000292400000,0.025190870000,1,35,3.00921658986,3.52768542002,knapsack: **714** ; srd: **202** ; bnb: **169**
bustabit-tiny-hot-wallet_peak-and-tail,23.47116453,38.2992500000,41,2818,3742,1182,5,965,bnb: **193** ; knapsack: **24** ; Total: **217**,0.00000317,8.01960116,0.234023441440,0.956678220758,0.02782134,0.0000235375126904,0.000278800000,0.028100140000,1,35,3.16582064298,3.77135456925,knapsack: **781** ; srd: **208** ; bnb: **193**
bustabit-tiny-hot-wallet_peak-and-tail,15.35466773,39.1486666667,25,3213,4235,1287,5,1047,bnb: **213** ; knapsack: **27** ; Total: **240**,0.00000317,8.01960116,0.223156502426,0.921675584033,0.03149621,0.0000244725796426,0.000170000000,0.031666210000,1,35,3.29059829060,3.99682185555,knapsack: **846** ; srd: **228** ; bnb: **213**
bustabit-tiny-hot-wallet_peak-and-tail,15.77866162,39.125,26,3571,4710,1429,5,1165,bnb: **233** ; knapsack: **31** ; Total: **264**,0.00000317,8.01960116,0.210519309322,0.877615360505,0.03437489,0.0000240552064381,0.000176800000,0.034551690000,1,35,3.29601119664,3.94817506187,knapsack: **944** ; srd: **252** ; bnb: **233**
bustabit-tiny-hot-wallet_peak-and-tail,15.87866162,39.1225754849,27,3572,4710,1429,5,1165,bnb: **233** ; knapsack: **31** ; Total: **264**,0.00000317,8.01960116,0.210519309322,0.877615360505,0.03437489,0.0000240552064381,0.000183600000,0.034558490000,1,35,3.29601119664,3.94817506187,knapsack: **944** ; srd: **252** ; bnb: **233**
