id,amount,fees,target_feerate,real_feerate,algo,num_inputs,negative_ev,num_outputs,change_amount,before_num_utxos,after_num_utxos,waste
0,0.00310000,0.00001579,0.00007590,0.0000759134615385,srd,2,0,2,0.01273281,22,21,590
1,0.00010100,0.00000429,0.00003040,0.0000304255319149,knapsack,1,0,2,0.00318471,21,21,302
2,0.00329400,0.00000316,0.00002240,0.0000224113475177,knapsack,1,0,2,0.00610284,21,21,223
3,0.00410100,0.00000425,0.00002040,0.0000204326923077,knapsack,2,0,2,0.00682759,21,20,-338
4,0.00329000,0.00001253,0.00006020,0.0000602403846154,srd,2,0,2,0.00330547,20,19,327
5,0.00319400,0.00000793,0.00003810,0.000038125000,gg,2,0,2,0.00338207,19,18,-41
6,0.00040100,0.00000230,0.00001630,0.0000163120567376,knapsack,1,0,2,0.00278141,18,18,162
7,0.00262000,0.00000333,0.00001600,0.0000160096153846,srd,2,0,2,4.99752527,18,17,-412
8,0.00100000,0.00000302,0.00002140,0.0000214184397163,knapsack,1,0,2,0.00177839,17,17,213
9,0.00650000,0.00000649,0.00003120,0.0000312019230769,knapsack,2,0,2,0.00178751,18,17,-157
10,0.00014000,0.00000632,0.00004480,0.0000448226950355,knapsack,1,0,2,0.00163207,17,17,444
11,0.00310000,0.00001215,0.00005840,0.0000584134615385,knapsack,2,0,2,0.00181392,24,23,298
12,0.00010100,0.00001594,0.00011300,0.000113049645390,knapsack,1,0,2,0.00167057,24,24,1120
13,0.00113200,0.00000824,0.00005840,0.0000584397163121,knapsack,1,0,2,0.00215576,24,24,580
14,0.00010200,0.00001027,0.00007280,0.0000728368794326,knapsack,1,0,2,0.00155830,24,24,722
15,0.00400000,0.00001467,0.00010400,0.000104042553191,gg,1,0,2,0.00598533,30,30,1031
16,0.00100000,0.00002526,0.00009150,0.0000915217391304,knapsack,3,0,2,0.00197866,30,28,793
17,0.00300000,0.00000630,0.00001830,0.0000183139534884,knapsack,4,0,2,0.00480780,30,27,-1483
18,0.00665800,0.00000506,0.00001830,0.0000183333333333,knapsack,3,0,2,0.00705100,27,25,-928
19,0.00110000,0.00000421,0.00002020,0.0000202403846154,srd,2,0,2,3.99989579,25,24,-341
20,0.00090000,0.00000350,0.00001680,0.0000168269230769,srd,2,0,2,0.01282931,24,23,-397
21,0.00110000,0.00000467,0.00001690,0.0000169202898551,knapsack,3,0,2,0.00144475,23,21,-962
22,0.00209300,0.00000502,0.00003560,0.0000356028368794,knapsack,1,0,2,0.00121598,21,21,354
23,0.00332600,0.00001134,0.00005450,0.0000545192307692,gg,2,0,2,0.01014473,21,20,-236
24,0.00424600,0.00001560,0.00005650,0.0000565217391304,knapsack,3,1,2,0.00346799,20,18,-466
25,0.00333000,0.00000936,0.00004500,0.000045000,knapsack,2,0,2,0.00563764,18,17,-365
26,0.00200000,0.00000848,0.00006010,0.0000601418439716,knapsack,1,0,2,0.00145951,17,17,176
27,0.00337500,0.00002037,0.00009790,0.0000979326923077,knapsack,2,0,2,0.00487161,17,16,582
28,0.00300000,0.00001467,0.00010400,0.000104042553191,knapsack,1,0,2,0.00297066,16,16,722
29,0.00294600,0.00002014,0.00009680,0.0000968269230769,knapsack,2,0,2,0.00144927,16,15,630
30,0.00332500,0.00001819,0.00012900,0.000129007092199,srd,1,0,2,2.99665681,16,16,1002
31,0.00332500,0.00001777,0.00012600,0.000126028368794,srd,1,0,2,2.99331404,16,16,972
