id,input_amounts
0,"['0.00014860', '0.01570000']"
1,['0.00329000']
2,['0.00940000']
3,"['0.00483000', '0.00610284']"
4,"['0.00329400', '0.00331400']"
5,"['0.00329400', '0.00329000']"
6,['0.00318471']
7,"['5.00000000', '0.00014860']"
8,['0.00278141']
9,"['0.00500000', '0.00329400']"
10,['0.00177839']
11,"['0.00329400', '0.00163207']"
12,['0.00178751']
13,['0.00329600']
14,['0.00167057']
15,['0.01000000']
16,"['0.00109000', '0.00010000', '0.00181392']"
17,"['0.00390000', '0.00010863', '0.00330547', '0.00050000']"
18,"['0.00215576', '0.00155830', '0.01000000']"
19,"['4.00000000', '0.00100000']"
20,"['0.00100000', '0.01273281']"
21,"['0.00197866', '0.00000100', '0.00056976']"
22,['0.00331400']
23,"['0.01010000', '0.00338207']"
24,"['0.00682759', '0.00000200', '0.00090000']"
25,"['0.00794500', '0.00103200']"
26,['0.00346799']
27,"['0.00121598', '0.00705100']"
28,['0.00598533']
29,"['0.00144475', '0.00297066']"
30,['3.00000000']
31,['2.99665681']
32,['0.01569000']
33,['0.00487161']
34,['0.00980000']
35,['0.00100000']
36,['0.00480780']
37,['3.99989579']
38,['0.01300000']
39,['0.02500000']
40,['3.99654930']
41,['3.99330467']
42,['0.02165495']
43,['0.01237420']
44,['3.98996718']
45,['0.01965106']
46,['0.00300000']
47,['0.00300000']
48,"['0.00011000', '0.00067194']"
49,"['0.00034660', '0.00144927', '0.00145951']"
50,"['0.00211450', '0.00644287']"
51,"['4.99752527', '0.00177704', '0.00056094']"
52,['0.00520363']
53,['2.00000000']
54,"['0.00076900', '0.00277828', '0.00149253']"
55,"['0.00563764', '0.00168903']"
56,['0.00913713']
57,['0.00612596']
58,['1.99666047']
59,"['0.00399027', '0.00186751', '0.00277555']"
60,['0.00560699']
61,['0.00965551']
62,['0.01000000']
63,['0.00666902']
64,"['0.00226748', '0.00632422']"
65,"['0.00333718', '0.00525801']"
66,['0.01014473']
67,['0.00681730']
68,['0.00526588']
69,['0.01282931']
70,['0.00949145']
71,['0.01857991']
72,['1.99331403']
73,['0.00647424']
74,['1.99129118']
75,['0.01534986']
76,['0.01202673']
77,['0.03535793']
78,['1.00000000']
79,['2.99331404']
80,['0.99664236']
81,['4.99316900']
82,['2.98996137']
83,['2.98659174']
84,['1.98794460']
85,"['0.00348002', '0.00325111']"
86,['0.03201147']
87,['0.00369660']
88,['0.00860736']
89,['0.01151078']
90,['1.98459083']
91,['0.01714000']
92,['0.00593578']
93,['0.99329460']
94,['0.03000000']
95,['0.00815850']
96,['1.98124510']
97,['0.00193581']
98,"['3.98489187', '0.00300000']"
99,['0.00491716']
100,['0.00288360']
101,['0.01490000']
102,['2.98322190']
103,"['0.00092282', '0.00211758']"
104,['0.00480000']
105,['0.00500000']
106,['0.00480000']
107,['0.00500000']
108,['0.00910000']
109,"['0.00080000', '0.00020000', '0.00107722', '0.00287462']"
110,['0.00807870']
111,['0.00171142']
112,"['0.00197264', '0.00116387', '0.00010000', '0.00006080', '0.00087643']"
113,"['0.00084947', '0.00390000']"
114,"['0.00120000', '0.00100000', '0.00200000', '0.00119153']"
115,"['0.00040000', '0.00163031']"
116,['0.03500000']
117,['0.00100000']
118,['0.00613791']
119,"['0.00101134', '0.00195218', '0.00008000']"
120,"['0.00454585', '0.00010000', '0.00464370']"
121,['0.98326922']
122,['0.01109159']
123,['0.97824087']
124,"['0.00323703', '0.00480000']"
125,"['0.00200000', '0.00110000', '0.00696431']"
126,['4.98382337']
127,['0.00300000']
128,['0.00376460']
129,"['0.00300000', '0.00025639']"
130,['0.01000000']
131,['0.01780000']
132,"['0.00290000', '0.00228044', '0.00120000']"
133,"['0.00055454', '0.00090000', '0.00100000', '0.00100000', '0.00091371', '0.00100000', '0.00100000', '0.00163049', '0.00200000', '0.00100000', '0.00006000']"
134,['0.00790000']
135,"['0.96971534', '0.00100000']"
136,['2.98120328']
137,['0.00769106']
138,['0.00512515']
139,['0.00564199']
140,"['0.03126985', '0.00213902']"
141,['0.00500000']
142,['0.00500000']
143,['0.00270000']
144,['0.00500000']
145,"['0.00169500', '0.00399165', '0.00360000']"
146,['3.97285505']
147,"['0.00070000', '0.00100000']"
148,['0.01680000']
149,['0.96067748']
150,"['0.00880000', '0.00096728']"
151,['4.96878199']
152,['0.00592000']
153,['0.95083065']
154,['1.97922761']
155,"['0.00238972', '0.00085855']"
156,"['0.02797856', '0.00980000', '0.00880000', '0.06000000', '0.01450000']"
157,['0.00600000']
158,"['0.00049540', '0.00040000']"
159,"['0.01500000', '3.96979495']"
160,"['0.05900000', '0.02959206', '0.00860000', '0.00288068']"
161,"['1.96920868', '0.01029922', '0.00280000']"
162,['0.02032522']
163,"['0.00223158', '0.00180000']"
164,['0.00969612']
165,"['0.00090000', '0.00084400', '0.00090000', '0.00240268']"
166,['0.05000000']
167,['0.07024500']
168,['0.06000000']
169,['0.00290000']
170,"['0.00040000', '0.00500000', '0.00467482']"
171,['0.00370000']
172,['0.00337509']
173,['0.01000000']
174,['0.04928217']
175,['3.88476083']
176,"['0.00300000', '0.00226500', '0.00500000']"
177,"['0.00341677', '0.09990000']"
178,['0.04000000']
179,['0.00900000']
180,['2.97117677']
181,['0.05000000']
182,['0.04997151']
183,"['0.00100000', '0.00866503', '0.00069882']"
184,['0.02933503']
185,['0.00100000']
186,['0.00444318']
187,"['0.00017000', '0.00387419', '0.00700000']"
188,['4.90973940']
189,"['0.00021000', '0.00293387', '0.00800000']"
190,['3.87450668']
191,['0.06721017']
