id,input_amounts
0,['3.00000000']
1,['0.00329000']
2,['0.00483000']
3,['0.00500000']
4,['5.00000000']
5,"['0.00312370', '0.00329000']"
6,['0.00147529']
7,['0.00329400']
8,['0.00331400']
9,['0.01570000']
10,['0.00329600']
11,"['0.00331400', '0.00083424', '0.00319477', '0.00064468']"
12,['0.00105014']
13,['0.00228680']
14,['0.00940000']
15,['2.00000000']
16,['0.00103200']
17,['0.00390000']
18,['2.99682747']
19,['0.01000000']
20,['0.00100000']
21,['0.00927937']
22,['0.01569000']
23,['0.00794500']
24,"['0.00014860', '0.00100000', '0.00314083']"
25,['0.01000000']
26,['0.02500000']
27,"['0.00082843', '0.00092231', '0.00109000', '0.00056976']"
28,"['0.00010000', '0.00014860', '0.00000100', '0.00000200', '0.00090000', '0.00329400']"
29,"['0.00458613', '0.00112590']"
30,['0.00486045']
31,['0.00980000']
32,"['0.00151894', '0.00139804', '0.00275504']"
33,['0.00645865']
34,"['0.00881687', '0.00050000']"
35,['0.00100000']
36,"['0.00329400', '0.00308454', '0.00069425']"
37,"['0.00010863', '0.00809673']"
38,"['0.00487034', '0.00300000']"
39,['0.00406301']
40,['0.00597675']
41,"['0.00329400', '0.00073276']"
42,"['0.00274432', '0.00235446']"
43,"['0.00069828', '0.01000000']"
44,"['0.00664522', '0.00453836']"
45,['0.00300000']
46,['0.00194346']
47,['0.00310800']
48,['0.00173821']
49,"['0.00034660', '0.00020000', '0.00612316']"
50,"['0.00343510', '0.00223452']"
51,"['0.00747219', '0.00917343']"
52,['0.00995873']
53,"['0.00153097', '0.00662876']"
54,"['0.00232060', '0.02297728']"
55,['0.01010000']
56,['0.00481830']
57,['0.01300000']
58,['0.00677138']
59,['0.00966906']
60,"['0.00181417', '0.00666463', '0.00076900']"
61,['0.00590900']
62,"['0.00344148', '0.00257737']"
63,['0.01355091']
64,['0.01021796']
65,['0.00688235']
66,['0.02196610']
67,['0.01863739']
68,['0.01529815']
69,"['1.00000000', '0.00011000']"
70,"['4.99667372', '0.00268286']"
71,['0.01196903']
72,['0.00875124']
