id,amount,fees,target_feerate,real_feerate,algo,num_inputs,negative_ev,num_outputs,change_amount,before_num_utxos,after_num_utxos,waste
0,0.00310000,0.00001071,0.00007590,0.0000759574468085,knapsack,1,0,2,0.00483429,22,22,753
1,0.00010100,0.00000429,0.00003040,0.0000304255319149,knapsack,1,0,2,0.00318471,22,22,302
2,0.00329400,0.00000466,0.00002240,0.0000224038461538,knapsack,2,0,2,0.00471605,22,21,-304
3,0.00410100,0.00000425,0.00002040,0.0000204326923077,knapsack,2,0,2,0.00544335,21,20,-338
4,0.00329000,0.00000849,0.00006020,0.0000602127659574,knapsack,1,0,2,0.00153580,20,20,597
5,0.00319400,0.00000793,0.00003810,0.000038125000,knapsack,2,0,2,0.00511207,20,19,-41
6,0.00040100,0.00000230,0.00001630,0.0000163120567376,knapsack,1,0,2,0.00113250,19,19,162
7,0.00262000,0.00000333,0.00001600,0.0000160096153846,knapsack,2,0,2,0.00362124,19,18,-412
8,0.00100000,0.00000302,0.00002140,0.0000214184397163,knapsack,1,0,2,0.00228698,18,18,213
9,0.00650000,0.00001074,0.00003120,0.0000312209302326,knapsack,4,0,2,0.00666526,19,16,-1091
10,0.00014000,0.00000860,0.00004480,0.0000781818181818,bnb,1,0,1,,16,15,-9
11,0.00310000,0.00000824,0.00005840,0.0000584397163121,knapsack,1,0,2,0.00233511,22,22,580
12,0.00010100,0.00001594,0.00011300,0.000113049645390,knapsack,1,0,2,0.00217004,23,23,1120
13,0.00113200,0.00000824,0.00005840,0.0000584397163121,knapsack,1,0,2,0.00215576,23,23,580
14,0.00010200,0.00001027,0.00007280,0.0000728368794326,knapsack,1,0,2,0.00204349,23,23,722
15,0.00400000,0.00003374,0.00010400,0.000107795527157,bnb,4,0,1,,29,25,217
16,0.00100000,0.00001904,0.00009150,0.0000915384615385,knapsack,2,0,2,0.00205645,25,24,850
17,0.00300000,0.00000506,0.00001830,0.0000183333333333,knapsack,3,0,2,0.00161718,26,24,-928
18,0.00665800,0.00000381,0.00001830,0.0000183173076923,srd,2,0,2,0.00645219,24,23,-373
19,0.00110000,0.00000421,0.00002020,0.0000202403846154,knapsack,2,0,2,0.00151297,23,22,-341
20,0.00090000,0.00000350,0.00001680,0.0000168269230769,knapsack,2,0,2,0.00136654,22,21,-397
21,0.00110000,0.00000352,0.00001690,0.0000169230769231,knapsack,2,0,2,0.00152269,21,20,-397
22,0.00209300,0.00000983,0.00003560,0.0000356159420290,knapsack,3,0,2,0.00316571,20,18,-520
23,0.00332600,0.00001505,0.00005450,0.0000545289855072,knapsack,3,0,2,0.00614680,18,16,-545
24,0.00424600,0.00001176,0.00005650,0.0000565384615385,knapsack,2,0,2,0.00660509,16,15,-171
25,0.00333000,0.00000635,0.00004500,0.0000450354609929,knapsack,1,0,2,0.00326874,15,15,9
26,0.00200000,0.00001251,0.00006010,0.0000601442307692,knapsack,2,0,2,0.00205320,15,14,-95
27,0.00337500,0.00002037,0.00009790,0.0000979326923077,knapsack,2,0,2,0.00192657,14,13,583
28,0.00300000,0.00001467,0.00010400,0.000104042553191,knapsack,1,0,2,0.00365059,13,13,736
29,0.00294600,0.00001365,0.00009680,0.0000968085106383,knapsack,1,0,2,0.00704035,13,13,665
30,0.00332500,0.00001819,0.00012900,0.000129007092199,srd,1,0,2,0.00369716,14,14,1002
31,0.00332500,0.00001777,0.00012600,0.000126028368794,srd,1,0,2,0.01234723,14,14,972
32,0.00330000,0.00001580,0.00011200,0.000112056737589,srd,1,0,2,0.00903143,14,14,834
33,0.00336300,0.00001608,0.00011400,0.000114042553191,srd,1,0,2,1.99662092,14,14,946
34,0.00333400,0.00002313,0.00016400,0.000164042553191,srd,1,0,2,0.00664287,17,17,1462
35,0.00030000,0.00002806,0.00019900,0.000199007092199,knapsack,1,0,2,0.00067194,17,17,1823
36,0.00300100,0.00002976,0.00021100,0.000211063829787,knapsack,1,0,2,0.00066640,17,17,1942
37,0.00332900,0.00001749,0.00012400,0.000124042553191,srd,1,0,2,0.00329638,18,18,1081
38,0.00332700,0.00001749,0.00012400,0.000124042553191,srd,1,0,2,0.00568694,18,18,1172
39,0.00332700,0.00001805,0.00012800,0.000128014184397,srd,1,0,2,0.02165495,18,18,1251
40,0.00322700,0.00001763,0.00012500,0.000125035460993,srd,1,0,2,0.99675537,18,18,1221
41,0.00332000,0.00001749,0.00012400,0.000124042553191,srd,1,0,2,3.99666251,18,18,1229
42,0.00198400,0.00002933,0.00014100,0.000141009615385,knapsack,2,0,2,0.00194945,19,18,1676
43,0.00322000,0.00001707,0.00012100,0.000121063829787,srd,1,0,2,0.00686293,18,18,1199
44,0.00505500,0.00002031,0.00014400,0.000144042553191,srd,1,0,2,0.01657964,20,20,1427
45,0.00105000,0.00002115,0.00015000,0.00015000,knapsack,1,0,2,0.00192885,21,21,1485
46,0.00020000,0.00002172,0.00015400,0.000154042553191,srd,1,0,2,0.99653365,21,21,1526
47,0.00086900,0.00001650,0.00011700,0.000117021276596,srd,1,0,2,0.00104107,21,21,1159
48,0.00020400,0.00001700,0.00008170,0.0000817307692308,knapsack,2,0,2,0.00056094,22,21,686
49,0.00322600,0.00002520,0.00009130,0.0000913043478261,knapsack,3,0,2,0.00166817,21,19,787
50,0.00334300,0.00001776,0.00005160,0.0000516279069767,knapsack,4,0,2,0.00652337,19,16,-476
51,0.00668000,0.00001425,0.00005160,0.0000516304347826,knapsack,3,0,2,0.00483685,16,14,-147
52,0.00332500,0.00001112,0.00007880,0.0000788652482270,knapsack,1,0,2,0.00666388,14,14,781
53,0.00332500,0.00001453,0.00010300,0.000103049645390,srd,1,0,2,3.99332298,14,14,648
54,0.00332500,0.00001943,0.00009340,0.0000934134615385,srd,2,0,2,0.00394794,14,13,554
55,0.00332500,0.00001140,0.00005480,0.0000548076923077,knapsack,2,0,2,0.00544839,13,12,-92
56,0.00300000,0.00001648,0.00007920,0.0000792307692308,knapsack,2,0,2,0.00299285,12,11,316
57,0.00332700,0.00002341,0.00016600,0.000166028368794,srd,1,0,2,0.03200752,11,11,1316
58,0.00332500,0.00002144,0.00015200,0.000152056737589,srd,1,0,2,3.98997654,11,11,1178
59,0.00300000,0.00001985,0.00009540,0.0000954326923077,knapsack,2,0,2,0.00663688,11,10,619
60,0.00332700,0.00001251,0.00008870,0.0000887234042553,knapsack,1,0,2,0.00329737,10,10,584
61,0.00332700,0.00000429,0.00003040,0.0000304255319149,knapsack,1,0,2,0.00966871,10,10,26
62,0.00332800,0.00000298,0.00002110,0.0000211347517730,knapsack,1,0,2,0.00633773,10,10,-66
63,0.00332900,0.00000419,0.00002010,0.0000201442307692,knapsack,2,0,2,0.00630191,10,9,-619
64,0.00333000,0.00000250,0.00001770,0.0000177304964539,knapsack,1,0,2,0.01236750,9,9,-100
65,0.00332500,0.00000292,0.00002070,0.0000207092198582,knapsack,1,0,2,0.00903958,9,9,-70
66,0.00332500,0.00000243,0.00001720,0.0000172340425532,knapsack,1,0,2,0.00297448,9,9,-105
67,0.00333500,0.00000228,0.00001610,0.0000161702127660,knapsack,1,0,2,0.00570230,9,9,-116
68,0.00332500,0.00000507,0.00003590,0.0000359574468085,knapsack,1,0,2,0.00237223,9,9,81
69,0.00332500,0.00001286,0.00009120,0.0000912056737589,knapsack,1,0,2,0.01324178,9,9,628
70,0.00300000,0.00001721,0.00012200,0.000122056737589,knapsack,1,0,2,0.01022457,9,9,933
71,0.00321200,0.00001805,0.00012800,0.000128014184397,knapsack,1,0,2,0.00699452,9,9,992
72,0.00200000,0.00002285,0.00016200,0.000162056737589,srd,1,0,2,1.99459807,10,10,1442
73,0.00320000,0.00002313,0.00016400,0.000164042553191,srd,1,0,2,2.99677687,10,10,1481
74,0.00332500,0.00002158,0.00015300,0.000153049645390,knapsack,1,0,2,0.00364794,10,10,1353
75,0.00330000,0.00002313,0.00016400,0.000164042553191,knapsack,1,0,2,0.02868439,10,10,1481
76,0.00339300,0.00002637,0.00018700,0.000187021276596,srd,1,0,2,1.99117870,10,10,1708
77,0.00332700,0.00001946,0.00013800,0.000139000,srd,1,0,2,3.98663008,10,10,1291
78,0.00334100,0.00001664,0.00011800,0.000118014184397,srd,1,0,2,3.98327244,10,10,1114
79,0.00332700,0.00002567,0.00018200,0.000182056737589,srd,1,0,2,2.99342420,10,10,1748
80,0.00332900,0.00001876,0.00013300,0.000133049645390,srd,1,0,2,1.98783094,11,11,1263
81,0.00932800,0.00001763,0.00012500,0.000125035460993,knapsack,1,0,2,0.01933876,11,11,1183
82,0.00333000,0.00003963,0.00028100,0.000281063829787,srd,1,0,2,0.01596913,12,12,2728
83,0.00332500,0.00004484,0.00031800,0.000318014184397,cg,1,0,2,0.01259929,12,12,3094
84,0.00332500,0.00002877,0.00020400,0.000204042553191,srd,1,0,2,3.97991867,12,12,1966
85,0.00300000,0.00003453,0.00016600,0.000166009615385,srd,2,0,2,0.99647360,12,11,2038
86,0.02047700,0.00002369,0.00016800,0.000168014184397,knapsack,1,0,2,0.97597291,11,11,1609
87,0.00172200,0.00002242,0.00015900,0.000159007092199,srd,1,0,2,1.98608652,11,11,1520
88,0.00265000,0.00002158,0.00015300,0.000153049645390,knapsack,1,0,2,0.00642842,12,12,1043
89,0.00333000,0.00002228,0.00015800,0.000158014184397,knapsack,1,0,2,0.00307614,12,12,1092
90,0.00332500,0.00002073,0.00014700,0.000147021276596,srd,1,0,2,1.98274079,12,12,983
91,0.01500000,0.00002242,0.00015900,0.000159007092199,srd,1,0,2,0.00211758,13,13,1202
92,0.00100000,0.00001862,0.00013200,0.000132056737589,knapsack,1,0,2,0.00109896,13,13,980
93,0.01000000,0.00002538,0.00018000,0.00018000,knapsack,1,0,2,0.00257391,13,13,1454
94,0.00200000,0.00002144,0.00015200,0.000152056737589,srd,1,0,2,0.00105470,16,16,1198
95,0.00200000,0.00002059,0.00014600,0.000146028368794,srd,1,0,2,0.97395232,16,16,1138
96,0.00200000,0.00002580,0.00012400,0.000124038461538,srd,2,0,2,0.00272110,19,18,1269
97,0.00100000,0.00001916,0.00009210,0.0000921153846154,knapsack,2,0,2,0.00103554,18,17,736
98,0.01500000,0.00002496,0.00017700,0.000177021276596,srd,1,0,2,0.01497504,20,20,1677
99,0.00200000,0.00003356,0.00023800,0.000238014184397,srd,1,0,2,0.00068754,20,20,2303
100,0.00200000,0.00003413,0.00024200,0.000242056737589,srd,1,0,2,3.97788454,20,20,2343
101,0.00457300,0.00005438,0.00019700,0.000197028985507,srd,3,0,2,0.01674653,20,18,3217
102,0.00200000,0.00001862,0.00013200,0.000132056737589,srd,1,0,2,0.01295642,28,28,1254
103,0.00300000,0.00002877,0.00020400,0.000204042553191,srd,1,0,2,0.01371776,30,30,1945
104,0.00100000,0.00003554,0.00025100,0.000323090909091,bnb,1,0,1,,34,33,1819
105,0.00300000,0.00004036,0.00019400,0.000194038461538,srd,2,0,2,1.98070043,33,32,2438
106,0.00152800,0.00003497,0.00024800,0.000248014184397,srd,1,0,2,0.00143703,33,33,2332
107,0.00210000,0.00002538,0.00018000,0.00018000,srd,1,0,2,2.99129882,37,37,1658
108,0.00100000,0.00002130,0.00015100,0.000151063829787,srd,1,0,2,0.00377870,40,40,1352
109,0.00492000,0.00003251,0.00010100,0.000103865814696,bnb,4,0,1,,42,38,106
110,0.00110000,0.00001439,0.00010200,0.000102056737589,srd,1,0,2,0.01184203,40,40,935
111,0.00050000,0.00001989,0.00014100,0.000141063829787,srd,1,0,2,0.00338011,41,41,1343
112,0.00413200,0.00004226,0.00010200,0.000110918635171,bnb,5,0,1,,43,38,397
113,0.00310000,0.00001916,0.00009210,0.0000921153846154,knapsack,2,0,2,0.00201156,38,37,806
114,0.00536100,0.00003900,0.00009470,0.000102362204724,bnb,5,0,1,,40,35,102
115,0.00100000,0.00001286,0.00009120,0.0000912056737589,knapsack,1,0,2,0.00135937,35,35,850
116,0.00370900,0.00002115,0.00015000,0.00015000,srd,1,0,2,0.97022217,36,36,1430
117,0.00013000,0.00001145,0.00008120,0.0000812056737589,knapsack,1,0,2,0.00085855,37,37,750
118,0.00556800,0.00003003,0.00010900,0.000122571428571,bnb,3,0,1,,37,34,505
119,0.00300000,0.00002468,0.00017500,0.000175035460993,srd,1,0,2,0.00197532,45,45,1678
120,0.00924800,0.00004155,0.00016700,0.000169591836735,bnb,3,0,1,,47,44,1413
121,0.00500000,0.00002835,0.00020100,0.000201063829787,srd,1,0,2,0.02997165,47,47,1936
122,0.00337500,0.00005049,0.00018100,0.000206081632653,bnb,3,0,1,,48,45,2248
123,0.00850000,0.00002553,0.00018100,0.000181063829787,srd,1,0,2,0.96169664,45,45,1738
124,0.00800000,0.00005639,0.00020200,0.000230163265306,bnb,3,0,1,,46,43,2750
125,0.01000000,0.00006000,0.00025900,0.000338983050847,bnb,2,0,1,,43,41,3552
126,0.01500500,0.00003638,0.00025800,0.000258014184397,srd,1,0,2,0.94665526,41,41,2500
127,0.00200000,0.00003272,0.00023200,0.000232056737589,srd,1,0,2,0.00174598,41,41,2243
128,0.00134400,0.00003088,0.00021900,0.000219007092199,srd,1,0,2,0.00971671,41,41,2032
129,0.00321900,0.00002820,0.00020000,0.00020000,srd,1,0,2,0.00465280,42,42,1843
130,0.00610000,0.00003807,0.00018300,0.000183028846154,srd,2,0,2,0.00966193,42,41,2241
131,0.00610000,0.00003765,0.00018100,0.000181009615385,srd,2,0,2,0.01196235,41,40,2207
132,0.00634000,0.00004044,0.00016000,0.000165061224490,bnb,3,0,1,,40,37,1332
133,0.01100000,0.00005125,0.00007420,0.0000786042944785,bnb,9,0,1,,42,33,-1307
134,0.00275200,0.00002285,0.00016200,0.000162056737589,srd,1,0,2,0.00212515,33,33,1465
135,0.01000000,0.00004489,0.00018200,0.000183224489796,bnb,3,0,1,,37,34,1684
136,0.01000000,0.00003911,0.00018800,0.000188028846154,knapsack,2,0,2,0.00188782,34,33,2321
137,0.00200000,0.00004907,0.00034800,0.000348014184397,cg,1,0,2,0.00165093,35,35,3306
138,0.00170000,0.00005006,0.00035500,0.000355035460993,cg,1,0,2,0.00124994,35,35,3375
139,0.00160000,0.00005093,0.00035700,0.000463000,bnb,1,0,1,,35,34,2913
140,0.01299400,0.00006078,0.00043100,0.000431063829787,cg,1,0,2,0.01691687,37,37,3973
141,0.00200000,0.00006613,0.00046900,0.000469007092199,cg,1,0,2,0.00273387,37,37,4349
142,0.00200000,0.00004639,0.00032900,0.000329007092199,cg,1,0,2,0.00387361,39,39,2963
143,0.00044600,0.00002242,0.00015900,0.000159007092199,srd,1,0,2,0.01324934,43,43,1575
144,0.00210000,0.00002515,0.00013700,0.000228636363636,bnb,1,0,1,,45,44,1259
145,0.00925000,0.00004540,0.00014100,0.000145047923323,bnb,4,0,1,,44,40,1227
146,0.00303500,0.00002510,0.00017800,0.000178014184397,srd,1,0,2,4.99693990,40,40,1623
147,0.00166400,0.00003600,0.00019600,0.000203389830508,bnb,2,0,1,,40,38,1416
148,0.00575300,0.00003963,0.00028100,0.000281063829787,srd,1,0,2,0.01112424,39,39,2599
149,0.00980100,0.00004583,0.00032500,0.000325035460993,cg,1,0,2,0.00127741,39,39,3034
150,0.00971900,0.00003469,0.00024600,0.000246028368794,srd,1,0,2,4.98718621,40,40,2436
151,0.05900000,0.00004259,0.00030200,0.000302056737589,cg,1,0,2,0.88761267,47,47,2991
152,0.00200000,0.00005302,0.00037600,0.000376028368794,cg,1,0,2,0.00294698,49,49,3723
153,0.05000000,0.00004893,0.00034700,0.000347021276596,cg,1,0,2,0.00995107,49,49,3436
154,0.00997000,0.00004893,0.00034700,0.000347021276596,cg,1,0,2,0.00323041,49,49,3436
155,0.00320000,0.00003041,0.00025500,0.000276454545455,bnb,1,0,1,,53,52,1290
156,0.12100000,0.00005631,0.00020400,0.000204021739130,srd,3,0,2,4.87212990,54,52,3437
157,0.00356700,0.00003032,0.00021500,0.000215035460993,srd,1,0,2,0.00140268,55,55,2129
158,0.00084400,0.00003779,0.00026800,0.000268014184397,knapsack,1,0,2,0.00100603,55,55,2654
