id,input_amounts
0,['0.00794500']
1,['0.00329000']
2,"['0.00318471', '0.00483000']"
3,"['0.00014860', '0.00940000']"
4,['0.00483429']
5,"['0.00500000', '0.00331400']"
6,['0.00153580']
7,"['0.00511207', '0.00113250']"
8,['0.00329000']
9,"['0.00329400', '0.00329400', '0.00329400', '0.00329400']"
10,['0.00014860']
11,['0.00544335']
12,['0.00228698']
13,['0.00329600']
14,['0.00215576']
15,"['0.00109000', '0.00050000', '0.00010863', '0.00233511']"
16,"['0.00103200', '0.00204349']"
17,"['0.00362124', '0.00000100', '0.00100000']"
18,"['0.00980000', '0.00331400']"
19,"['0.00161718', '0.00100000']"
20,"['0.00217004', '0.00010000']"
21,"['0.00205645', '0.00056976']"
22,"['0.00000200', '0.00390000', '0.00136654']"
23,"['0.00151297', '0.00645219', '0.00152269']"
24,"['0.00614680', '0.00471605']"
25,['0.00660509']
26,"['0.00090000', '0.00316571']"
27,"['0.00205320', '0.00326874']"
28,['0.00666526']
29,['0.01000000']
30,['0.00704035']
31,['0.01569000']
32,['0.01234723']
33,['2.00000000']
34,['0.01000000']
35,['0.00100000']
36,['0.00369716']
37,['0.00664287']
38,['0.00903143']
39,['0.02500000']
40,['1.00000000']
41,['4.00000000']
42,"['0.00329638', '0.00066640']"
43,['0.01010000']
44,['0.02165495']
45,['0.00300000']
46,['0.99675537']
47,['0.00192657']
48,"['0.00011000', '0.00067194']"
49,"['0.00194945', '0.00104107', '0.00192885']"
50,"['0.00365059', '0.00034660', '0.00020000', '0.00568694']"
51,"['0.00300000', '0.00166817', '0.00686293']"
52,['0.01000000']
53,['3.99666251']
54,"['0.00076900', '0.00652337']"
55,"['0.00483685', '0.00394794']"
56,"['0.00056094', '0.00544839']"
57,['0.03535793']
58,['3.99332298']
59,"['0.00299285', '0.00666388']"
60,['0.00663688']
61,['0.01300000']
62,['0.00966871']
63,"['0.00633773', '0.00329737']"
64,['0.01570000']
65,['0.01236750']
66,['0.00630191']
67,['0.00903958']
68,['0.00570230']
69,['0.01657964']
70,['0.01324178']
71,['0.01022457']
72,['1.99662092']
73,['3.00000000']
74,['0.00699452']
75,['0.03200752']
76,['1.99459807']
77,['3.98997654']
78,['3.98663008']
79,['2.99677687']
80,['1.99117870']
81,['0.02868439']
82,['0.01933876']
83,['0.01596913']
84,['3.98327244']
85,"['0.00297448', '0.99653365']"
86,['0.99647360']
87,['1.98783094']
88,['0.00910000']
89,['0.00642842']
90,['1.98608652']
91,['0.01714000']
92,['0.00211758']
93,['0.01259929']
94,['0.00307614']
95,['0.97597291']
96,"['0.00364794', '0.00109896']"
97,"['0.00105470', '0.00100000']"
98,['0.03000000']
99,['0.00272110']
100,['3.97991867']
101,"['0.01780000', '0.00100000', '0.00257391']"
102,['0.01497504']
103,['0.01674653']
104,['0.00103554']
105,"['0.00100000', '1.98274079']"
106,['0.00300000']
107,['2.99342420']
108,['0.00480000']
109,"['0.00107722', '0.00116387', '0.00171142', '0.00100000']"
110,['0.01295642']
111,['0.00390000']
112,"['0.00143703', '0.00087643', '0.00006080', '0.00080000', '0.00100000']"
113,"['0.00444318', '0.00068754']"
114,"['0.00120000', '0.00100000', '0.00100000', '0.00120000', '0.00100000']"
115,['0.00237223']
116,['0.97395232']
117,['0.00100000']
118,"['0.00338011', '0.00135937', '0.00085855']"
119,['0.00500000']
120,"['0.00010000', '0.00464370', '0.00454585']"
121,['0.03500000']
122,"['0.00169500', '0.00010000', '0.00163049']"
123,['0.97022217']
124,"['0.00025639', '0.00300000', '0.00480000']"
125,"['0.00006000', '0.01000000']"
126,['0.96169664']
127,['0.00377870']
128,['0.01109159']
129,['0.00790000']
130,"['0.00090000', '0.01490000']"
131,"['0.00360000', '0.01450000']"
132,"['0.00300000', '0.00228044', '0.00110000']"
133,"['0.00200000', '0.00090000', '0.00008000', '0.00040000', '0.00200000', '0.00100000', '0.00091371', '0.00201156', '0.00174598']"
134,['0.00490000']
135,"['0.00465280', '0.00197532', '0.00341677']"
136,"['0.00226500', '0.00966193']"
137,['0.00370000']
138,['0.00300000']
139,['0.00165093']
140,['0.02997165']
141,['0.00480000']
142,['0.00592000']
143,['0.01371776']
144,['0.00212515']
145,"['0.00300000', '0.00280000', '0.00049540', '0.00300000']"
146,['5.00000000']
147,"['0.00100000', '0.00070000']"
148,['0.01691687']
149,['0.01112424']
150,['4.99693990']
151,['0.94665526']
152,['0.00500000']
153,['0.06000000']
154,['0.01324934']
155,['0.00323041']
156,"['4.98718621', '0.00100000', '0.00500000']"
157,['0.00500000']
158,['0.00188782']
159,['2.99129882']
160,"['0.00290000', '4.87212990']"
161,"['0.01990000', '0.00995107', '0.00860000', '0.00263338', '0.05900000']"
162,"['0.00290000', '0.00213902']"
163,['4.77498310']
164,"['0.00084400', '0.00124994', '0.00294698']"
165,"['0.00090000', '0.00140268', '0.00273387']"
166,['0.00880000']
167,['0.04000000']
168,"['0.00040000', '0.00963986']"
169,['0.00500000']
170,['0.01184203']
171,"['0.00040000', '0.00100603']"
172,['0.02000000']
173,['0.00800000']
174,['0.00800000']
175,['0.01680000']
176,['0.05000000']
177,['2.89127569']
178,['1.98070043']
179,['0.00090000']
180,['0.00200000']
181,['0.01870112']
182,"['0.00969612', '0.00100000', '0.00017000']"
183,['3.97788454']
184,['0.05000000']
185,['0.00500000']
186,"['0.00010000', '0.00056503']"
187,['0.05000000']
188,"['0.00808217', '0.01000000']"
189,"['0.00166841', '0.00347560', '0.00600000']"
190,['4.77096152']
191,['2.88074100']
192,"['0.00250000', '0.00127741', '0.00835966']"
193,"['0.00090000', '0.00600000', '0.00021000', '0.00393641']"
194,['0.00900000']
195,['0.00971671']
196,"['0.00697532', '0.00859358']"
197,['0.01090000']
198,['4.76893811']
199,"['0.01000000', '0.00900000']"
200,"['0.00069882', '0.00044827', '0.00090000']"
201,"['0.00318000', '0.00050000', '0.00396982']"
202,"['0.00014000', '0.00010000']"
203,['0.03000000']
204,['4.76764889']
205,"['0.00270000', '0.00390000', '0.00654585']"
206,"['0.00700000', '0.00170000', '0.00038000', '0.00987856']"
207,"['0.01196235', '0.00028000', '0.00180000']"
208,['3.96754971']
209,['0.09980000']
210,['0.00090000']
211,['0.03696517']
212,"['0.01000000', '0.00006080', '0.00400000', '0.00180000', '0.00099000', '0.07024500', '0.00097600', '0.00005460', '0.00066460', '0.00200000', '0.00200000', '0.00500000', '0.00229870']"
213,"['0.00178650', '0.00229910', '0.00477236', '0.00180000', '0.00100000', '0.00387361', '0.01570000']"
214,['0.00290000']
215,"['0.00880000', '0.09877927']"
216,['0.02959206']
217,"['0.00005460', '0.05000000', '0.05000000']"
218,['0.03976376']
219,['0.00193800']
220,['0.00169485']
221,['0.88761267']
222,['0.06000000']
223,['0.00096700']
224,['0.03886348']
225,['0.76324850']
226,['0.61318519']
227,['0.01863348']
228,['0.01500000']
229,['0.00792008']
230,['0.00100000']
231,['0.00294247']
232,['0.00143563']
233,['0.48811412']
234,['0.03253059']
235,['0.00800000']
236,['0.00161670']
237,['0.00084930']
238,['0.00114700']
239,['0.00170883']
240,['0.02600838']
241,['0.00990000']
242,['0.03897504']
243,['0.00633581']
244,['0.37751205']
