id,amount,fees,target_feerate,real_feerate,algo,num_inputs,negative_ev,num_outputs,change_amount,before_num_utxos,after_num_utxos,waste
0,0.00310000,0.00001579,0.00007590,0.0000759134615385,knapsack,2,0,2,0.00346821,22,21,590
1,0.00010100,0.00000429,0.00003040,0.0000304255319149,knapsack,1,0,2,0.00318471,21,21,302
2,0.00329400,0.00000466,0.00002240,0.0000224038461538,knapsack,2,0,2,0.00479494,21,20,-304
3,0.00410100,0.00000425,0.00002040,0.0000204326923077,knapsack,2,0,2,0.00387440,20,19,-338
4,0.00329000,0.00001253,0.00006020,0.0000602403846154,knapsack,2,0,2,0.00328547,19,18,327
5,0.00319400,0.00000538,0.00003810,0.0000381560283688,knapsack,1,0,2,0.00620062,18,18,379
6,0.00040100,0.00000230,0.00001630,0.0000163120567376,knapsack,1,0,2,0.00288217,18,18,162
7,0.00262000,0.00000226,0.00001600,0.0000160283687943,knapsack,1,0,2,0.00067174,18,18,159
8,0.00100000,0.00000302,0.00002140,0.0000214184397163,knapsack,1,0,2,0.00187915,18,18,213
9,0.00650000,0.00001074,0.00003120,0.0000312209302326,knapsack,4,0,2,0.00118875,19,16,-1091
10,0.00014000,0.00000632,0.00004480,0.0000448226950355,knapsack,1,0,2,0.00104243,16,16,444
11,0.00310000,0.00001215,0.00005840,0.0000584134615385,knapsack,2,0,2,0.00122628,23,22,298
12,0.00010100,0.00001594,0.00011300,0.000113049645390,knapsack,1,0,2,0.00110934,23,23,1120
13,0.00113200,0.00000824,0.00005840,0.0000584397163121,knapsack,1,0,2,0.00217376,23,23,580
14,0.00010200,0.00001027,0.00007280,0.0000728368794326,knapsack,1,0,2,0.00099707,23,23,722
15,0.00400000,0.00002164,0.00010400,0.000104038461538,srd,2,0,2,0.02206836,29,28,1059
16,0.00100000,0.00003148,0.00009150,0.0000915116279070,knapsack,4,0,2,0.00120622,28,25,736
17,0.00300000,0.00000506,0.00001830,0.0000183333333333,knapsack,3,0,2,0.00130994,27,25,-928
18,0.00665800,0.00000754,0.00001830,0.0000183009708738,knapsack,5,0,2,0.00707130,25,21,-2038
19,0.00110000,0.00000285,0.00002020,0.0000202127659574,knapsack,1,0,2,0.00236536,21,21,201
20,0.00090000,0.00000237,0.00001680,0.0000168085106383,knapsack,1,0,2,0.00127139,21,21,168
21,0.00110000,0.00000239,0.00001690,0.0000169503546099,knapsack,1,0,2,0.00126297,21,21,168
22,0.00209300,0.00001225,0.00003560,0.0000356104651163,knapsack,4,0,2,0.00393412,21,18,-957
23,0.00332600,0.00000769,0.00005450,0.0000545390070922,knapsack,1,0,2,0.00666631,18,18,73
